-- Logs begin at Mon 2022-12-12 19:29:47 UTC, end at Wed 2022-12-14 10:41:50 UTC. --
Dec 14 10:01:47 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 14 10:01:48 ubuntu dstat.sh[83142]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 14 10:01:48 ubuntu dstat.sh[83142]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 14 10:01:48 ubuntu dstat.sh[83142]: 14-12 10:01:48|                   | 923M 1110M  195M 5388M|           |           |           |           |0.83 0.53 0.46|3.0   0    |           |   0     0 |  8    5    0    8    2
Dec 14 10:01:49 ubuntu dstat.sh[83142]: 14-12 10:01:49| 33  20  47   0   0| 933M 1099M  195M 5389M| 327k   14k|   0   507k|   0  13.0 |3052  4606 |0.83 0.53 0.46|2.5   0 412|   0     0 |   0     0 |  8    5    0    8    2
Dec 14 10:01:50 ubuntu dstat.sh[83142]: 14-12 10:01:50| 28  21  51   0   0| 901M 1130M  195M 5390M| 259k 9681 |   0   380k|   0  12.0 |3190  4960 |0.83 0.53 0.46|1.0   0 367|   0     0 |   0     0 |  8    5    0    8    2
Dec 14 10:01:51 ubuntu dstat.sh[83142]: 14-12 10:01:51| 20  15  65   0   1| 901M 1129M  195M 5391M| 388k   12k|   0   272k|   0  7.00 |3213  5517 |1.09 0.58 0.48|2.0   0 205|   0     0 |   0     0 |  8    5    0    8    2
Dec 14 10:01:52 ubuntu dstat.sh[83142]: 14-12 10:01:52| 19  11  68   0   0|1048M  981M  195M 5513M| 433k 5847 |   0     0 |   0     0 |3376  5619 |1.09 0.58 0.48|  0   0  75|   0     0 |   0     0 |  9    6    0    8    2
Dec 14 10:01:53 ubuntu dstat.sh[83142]: 14-12 10:01:53| 18   9  73   0   0|1050M  978M  195M 5514M| 595k 9019 |   0    24k|   0  6.00 |2055  2320 |1.09 0.58 0.48|1.0   0 104|   0     0 |   0     0 |  9    8    0    8    2
Dec 14 10:01:54 ubuntu dstat.sh[83142]: 14-12 10:01:54| 15  12  71   0   0|1060M  967M  195M 5515M| 602k   20k|   0   304k|   0  18.0 |2429  3161 |1.09 0.58 0.48|1.0   0 183|   0     0 |   0     0 |  9    8    0   10    2
Dec 14 10:01:55 ubuntu dstat.sh[83142]: 14-12 10:01:55| 24   5  71   1   0|1082M  943M  195M 5517M| 788k 7628 |  52k 9522k|5.00  43.0 |1404  1425 |1.09 0.58 0.48|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Dec 14 10:01:56 ubuntu dstat.sh[83142]: 14-12 10:01:56| 24   4  72   1   1|1117M  905M  195M 5519M| 891k   11k| 144k 1351k|9.02  9.02 |1544  1535 |1.08 0.59 0.48|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Dec 14 10:01:57 ubuntu dstat.sh[83142]: 14-12 10:01:57| 17   2  70   9   0|1139M  881M  196M 5522M| 968k   21k|  12k 3382k|1.00   291 |3287  5255 |1.08 0.59 0.48|  0 1.0 9.0|   0     0 |   0     0 |  9   10    0   10    2
Dec 14 10:01:58 ubuntu dstat.sh[83142]: 14-12 10:01:58| 11   5  58  24   0|1108M  903M  196M 5530M|1025k   19k|   0    20M|   0  1121 |6488    12k|1.08 0.59 0.48|2.0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    4
Dec 14 10:01:59 ubuntu dstat.sh[83142]: 14-12 10:01:59| 29   7  45  18   0|1136M  875M  196M 5529M| 386k   12k|   0  7583k|   0   658 |5551  9791 |1.08 0.59 0.48|3.0 1.0  20|   0     0 |   0     0 |  9    8    0   10    2
