-- Logs begin at Tue 2023-08-08 14:13:46 UTC, end at Tue 2023-08-08 20:05:54 UTC. --
Aug 08 19:29:18 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 08 19:29:18 ubuntu dstat.sh[107638]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 08 19:29:18 ubuntu dstat.sh[107638]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 08 19:29:18 ubuntu dstat.sh[107638]: 08-08 19:29:18|                   | 978M  756M  226M 5633M|           |           |           |           |1.20 0.75 0.51|2.0   0    |           |   0     0 |  8    7    0   10    2
Aug 08 19:29:19 ubuntu dstat.sh[107638]: 08-08 19:29:19| 16  20  62   0   0| 954M  778M  226M 5635M|1952k   28k|   0  4283k|   0  28.0 |3870  5176 |1.20 0.75 0.51|2.0   0 382|   0     0 |   0     0 |  8    6    0   10    2
Aug 08 19:29:20 ubuntu dstat.sh[107638]: 08-08 19:29:20| 24  20  54   1   0| 894M  831M  226M 5642M|2583k   29k|   0  4570k|   0  28.0 |3930  5611 |1.20 0.75 0.51|2.0   0 345|   0     0 |   0     0 |  8    4    0    9    2
Aug 08 19:29:21 ubuntu dstat.sh[107638]: 08-08 19:29:21| 41  17  40   0   0| 913M  811M  226M 5642M| 201k 6473 |   0   580k|   0  13.0 |3356  6497 |1.20 0.75 0.51|2.0   0 206|   0     0 |   0     0 |  8    4    0    8    2
Aug 08 19:29:22 ubuntu dstat.sh[107638]: 08-08 19:29:22| 33  15  50   0   0|1061M  662M  226M 5765M| 234k 8506 |   0   760k|   0  18.0 |3837  7512 |1.18 0.75 0.52|1.0   0 141|   0     0 |   0     0 |  9    6    1    8    2
Aug 08 19:29:23 ubuntu dstat.sh[107638]: 08-08 19:29:23| 23   8  68   1   0|1062M  661M  226M 5765M| 180k 7456 |   0   556k|   0  18.0 |1759  2098 |1.18 0.75 0.52|1.0   0 112|   0     0 |   0     0 |  9    7    0    8    2
Aug 08 19:29:24 ubuntu dstat.sh[107638]: 08-08 19:29:24| 23   8  67   1   0|1100M  622M  226M 5766M|  78k   18k|  20k 1111k|2.00  40.0 |1946  2658 |1.18 0.75 0.52|1.0   0 114|   0     0 |   0     0 |  9    8    0   10    2
Aug 08 19:29:25 ubuntu dstat.sh[107638]: 08-08 19:29:25| 27   4  67   2   0|1126M  595M  226M 5767M| 169k 7668 | 176k 1812k|12.0  19.0 |1386  1505 |1.18 0.75 0.52|2.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Aug 08 19:29:26 ubuntu dstat.sh[107638]: 08-08 19:29:26| 18   3  69   9   0|1145M  574M  226M 5769M| 195k   16k|  12k 3500k|1.00   307 |3289  5230 |1.18 0.75 0.52|3.0 1.0  10|   0     0 |   0     0 |  9   10    0   10    2
Aug 08 19:29:27 ubuntu dstat.sh[107638]: 08-08 19:29:27|  8   4  60  25   0|1144M  569M  226M 5774M|1312k   37k|   0    27M|   0  1225 |6567    11k|1.17 0.76 0.52|2.0   0   0|   0     0 |   0     0 |  9   10    0   10    2
Aug 08 19:29:28 ubuntu dstat.sh[107638]: 08-08 19:29:28| 18   5  56  20   0|1100M  610M  227M 5777M| 838k   29k|   0    11M|   0   781 |6460    11k|1.17 0.76 0.52|1.0   0  18|   0     0 |   0     0 |  9    8    0   10    2
