-- Logs begin at Thu 2023-03-30 17:39:05 UTC, end at Thu 2023-03-30 19:14:21 UTC. --
Mar 30 18:36:08 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 30 18:36:08 ubuntu dstat.sh[93154]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 30 18:36:08 ubuntu dstat.sh[93154]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 30 18:36:08 ubuntu dstat.sh[93154]: 30-03 18:36:08|                   | 947M 1469M  175M 5034M|           |           |           |           |1.16 0.85 0.54|3.0   0    |           |   0     0 |  8    4    1    8    2
Mar 30 18:36:09 ubuntu dstat.sh[93154]: 30-03 18:36:09| 11  20  67   1   0| 948M 1467M  175M 5034M|  90k 8427 |   0    24M|   0   407 |3301  4097 |1.16 0.85 0.54|2.5   0 365|   0     0 |   0     0 |  8    4    0    8    2
Mar 30 18:36:10 ubuntu dstat.sh[93154]: 30-03 18:36:10| 21  18  60   1   0| 954M 1461M  175M 5035M| 165k 9326 |   0   796k|   0   213 |3101  5132 |1.16 0.85 0.54|4.0   0 335|   0     0 |   0     0 |  8    5    1    8    2
Mar 30 18:36:11 ubuntu dstat.sh[93154]: 30-03 18:36:11| 22  18  60   0   0| 940M 1474M  175M 5036M| 157k 9639 |   0   688k|   0  16.0 |3089  4903 |1.16 0.85 0.54|1.0   0 232|   0     0 |   0     0 |  8    6    0    7    2
Mar 30 18:36:12 ubuntu dstat.sh[93154]: 30-03 18:36:12| 21  14  65   0   0|1084M 1329M  175M 5158M| 243k   10k|   0   284k|   0  5.99 |3675  5397 |1.16 0.85 0.54|  0   0  76|   0     0 |   0     0 |  9    6    0    7    2
Mar 30 18:36:13 ubuntu dstat.sh[93154]: 30-03 18:36:13| 14   8  76   1   0|1092M 1321M  176M 5159M| 217k 9183 |   0   588k|   0  14.0 |1781  2218 |1.14 0.85 0.54|1.0   0  96|   0     0 |   0     0 |  9    8    0    7    2
Mar 30 18:36:14 ubuntu dstat.sh[93154]: 30-03 18:36:14| 18  11  69   2   0|1093M 1318M  176M 5160M| 532k   24k|   0   745k|   0  31.0 |2473  3211 |1.14 0.85 0.54|1.0   0 191|   0     0 |   0     0 |  9    8    0    9    2
Mar 30 18:36:15 ubuntu dstat.sh[93154]: 30-03 18:36:15| 33   5  59   2   0|1110M 1300M  176M 5161M| 539k   14k|  52k 2092k|5.00  21.0 |1581  1488 |1.14 0.85 0.54|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Mar 30 18:36:16 ubuntu dstat.sh[93154]: 30-03 18:36:16| 48   6  44   1   0|1140M 1268M  176M 5162M| 193k 9487 | 144k 1595k|8.99  17.0 |1715  1790 |1.14 0.85 0.54|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Mar 30 18:36:17 ubuntu dstat.sh[93154]: 30-03 18:36:17| 32   6  51  11   0|1169M 1239M  176M 5163M|  59k   16k|  12k 3670k|1.00   348 |3742  5903 |1.14 0.85 0.54|  0 1.0  15|   0     0 |   0     0 |  9    9    0    9    2
Mar 30 18:36:18 ubuntu dstat.sh[93154]: 30-03 18:36:18|  8   3  65  22   0|1169M 1236M  176M 5165M| 125k   14k|   0  7668k|   0   643 |5466  9370 |1.13 0.86 0.54|  0 1.0   0|   0     0 |   0     0 |  9    9    0    9    2
Mar 30 18:36:19 ubuntu dstat.sh[93154]: 30-03 18:36:19| 15   4  60  19   0|1178M 1223M  177M 5168M| 128k   15k|   0  9137k|   0   636 |5281  9513 |1.13 0.86 0.54|4.0 1.0  19|   0     0 |   0     0 |  9   10    0    9    2
Mar 30 18:36:20 ubuntu dstat.sh[93154]: 30-03 18:36:20| 10   3  66  20   0|1181M 1217M  177M 5171M| 667k   26k|   0  7099k|   0   633 |5418  9906 |1.13 0.86 0.54|1.0   0  21|   0     0 |   0     0 |  9   10    0    9    2
Mar 30 18:36:21 ubuntu dstat.sh[93154]: 30-03 18:36:21|  7   3  66  20   0|1184M 1211M  177M 5174M|1076k   36k|   0  7778k|   0   682 |6685    11k|1.13 0.86 0.54|2.0 1.0  11|   0     0 |   0     0 |  9   10    0    9    2
Mar 30 18:36:22 ubuntu dstat.sh[93154]: 30-03 18:36:22| 19   2  59  20   0|1188M 1204M  178M 5176M| 803k   27k|   0  5149k|   0   465 |5249  8258 |1.13 0.86 0.54|1.0   0  13|   0     0 |   0     0 |  9   10    0    9    2
Mar 30 18:36:23 ubuntu dstat.sh[93154]: 30-03 18:36:23| 24   6  69   1   0|1129M 1261M  178M 5178M| 755k   12k|   0   721k|   0  21.0 |1748  2071 |1.12 0.86 0.54|3.0   0  77|   0     0 |   0     0 |  9    8    0    9    2
Mar 30 18:36:24 ubuntu dstat.sh[93154]: 30-03 18:36:24| 46   6  47   1   0|1146M 1244M  178M 5178M| 263k 9309 |   0    35M|   0   210 |1662  1481 |1.12 0.86 0.54|3.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Mar 30 18:36:25 ubuntu dstat.sh[93154]: 30-03 18:36:25| 60   7  33   1   0|1183M 1204M  178M 5181M|  76k 5227 |   0  7840k|   0   417 |2612  3148 |1.12 0.86 0.54|2.0   0 6.0|   0     0 |   0     0 |  9    6    0    9    2
Mar 30 18:36:26 ubuntu dstat.sh[93154]: 30-03 18:36:26| 32   5  61   2   0|1131M 1255M  178M 5181M|  55k 6302 |   0  7704k|   0   398 |2431  3247 |1.12 0.86 0.54|1.0   0  14|   0     0 |   0     0 |  9    7    0    9    2
Mar 30 18:36:27 ubuntu dstat.sh[93154]: 30-03 18:36:27| 26   3  67   2   0|1176M 1209M  178M 5182M| 917k   26k|   0  7690k|   0   418 |3141  3551 |1.12 0.86 0.54|2.0   0 2.0|   0     0 |   0     0 |  9    7    0    9    2
Mar 30 18:36:28 ubuntu dstat.sh[93154]: 30-03 18:36:28| 42   7  51   1   0|1099M 1280M  179M 5187M| 265k 8531 |   0  8521k|   0   372 |2754  3392 |1.27 0.89 0.56|2.0   0  41|   0     0 |   0     0 |  9    8    0    9    2
Mar 30 18:36:29 ubuntu dstat.sh[93154]: 30-03 18:36:29| 16  18  63   1   0|1099M 1280M  179M 5187M| 120k   10k|   0  4666k|   0   139 |3260  5205 |1.27 0.89 0.56|1.0   0 378|   0     0 |   0     0 |  9    8    0    9    2
Mar 30 18:36:30 ubuntu dstat.sh[93154]: 30-03 18:36:30| 15  20  63   0   0|1102M 1275M  179M 5189M| 566k   18k|   0   908k|   0  23.0 |3788  5583 |1.27 0.89 0.56|2.0   0 292|   0     0 |   0     0 |  9    8    0    9    2
Mar 30 18:36:31 ubuntu dstat.sh[93154]: 30-03 18:36:31| 37  19  45   1   0|1168M 1207M  179M 5191M|1006k   23k| 196k  969k|3.00  9.01 |4387  6203 |1.27 0.89 0.56|3.0   0 185|   0     0 |   0     0 |  9    9    0    9    2
Mar 30 18:36:32 ubuntu dstat.sh[93154]: 30-03 18:36:32| 52   4  42   0   0|1197M 1176M  179M 5192M| 632k   13k| 128k 1550k|1.00  13.0 |1847  1496 |1.27 0.89 0.56|3.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
Mar 30 18:36:33 ubuntu dstat.sh[93154]: 30-03 18:36:33| 52   4  44   1   0|1236M 1137M  179M 5193M|  36k 4933 | 372k  544k|8.00  9.00 |1497  1505 |1.41 0.93 0.57|3.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
Mar 30 18:36:34 ubuntu dstat.sh[93154]: 30-03 18:36:34| 60   8  32   0   0|1264M 1106M  179M 5196M| 142k   11k|   0  8032k|   0  93.0 |2409    10k|1.41 0.93 0.57|2.0   0  34|   0     0 |   0     0 |  9    7    0   10    2
Mar 30 18:36:35 ubuntu dstat.sh[93154]: 30-03 18:36:35| 24   8  67   0   0|1307M 1062M  179M 5196M| 194k 9084 |   0   488k|   0  6.00 |2380  3409 |1.41 0.93 0.57|1.0   0 149|   0     0 |   0     0 |  9    6    0   11    2
Mar 30 18:36:36 ubuntu dstat.sh[93154]: 30-03 18:36:36| 32   4  63   0   0|1352M 1017M  179M 5196M|  65k 4821 |   0   324k|   0  7.00 |1255  1301 |1.41 0.93 0.57|3.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Mar 30 18:36:37 ubuntu dstat.sh[93154]: 30-03 18:36:37| 30   2  67   1   0|1369M 1000M  179M 5196M|  44k   19k|   0   677k|   0  24.0 |1391  1869 |1.41 0.93 0.57|1.0   0 1.0|   0     0 |   0     0 |  9   12    0   10    2
Mar 30 18:36:38 ubuntu dstat.sh[93154]: 30-03 18:36:38| 27   5  65   3   0|1270M 1098M  179M 5197M| 337k   60k|   0  3541k|   0   287 |3718  5819 |1.38 0.93 0.57|1.0   0  44|   0     0 |   0     0 |  9    6    0   12    2
Mar 30 18:36:39 ubuntu dstat.sh[93154]: 30-03 18:36:39| 34   5  58   2   0|1327M 1040M  179M 5198M|  29k 3296 |  36k   12M|3.00   307 |1558  1419 |1.38 0.93 0.57|2.0   0 4.0|   0     0 |   0     0 |  9    6    0   12    2
Mar 30 18:36:40 ubuntu dstat.sh[93154]: 30-03 18:36:40| 43   8  47   1   0|1339M 1024M  180M 5200M|  87k   78k|  28k 1913k|3.00  25.0 |2701  4084 |1.38 0.93 0.57|1.0 1.0 8.0|   0     0 |   0     0 |  9   18    0    9    2
Mar 30 18:36:41 ubuntu dstat.sh[93154]: 30-03 18:36:41| 37   6  49   7   0|1289M 1069M  180M 5204M|  57k   47k| 216k 1350k|53.9  34.0 |1894  2410 |1.38 0.93 0.57|2.0 1.0  48|   0     0 |   0     0 |  9   32    0    9    2
Mar 30 18:36:42 ubuntu dstat.sh[93154]: 30-03 18:36:42| 38   7  50   7   0|1339M 1001M  180M 5221M|9703  1622 |   0  1674k|   0  89.1 |1420  1757 |1.38 0.93 0.57|3.0   0   0|   0     0 |   0     0 |  9   32    0    9    2
Mar 30 18:36:43 ubuntu dstat.sh[93154]: 30-03 18:36:43| 45  10  39   6   0|1328M 1001M  181M 5230M|  71k   61k|   0  1843k|   0  75.0 |2174  3267 |1.51 0.97 0.59|4.0   0 159|   0     0 |   0     0 |  9   32    0    9    2
Mar 30 18:36:44 ubuntu dstat.sh[93154]: 30-03 18:36:44| 60  10  25   6   0|1402M  916M  182M 5238M|  56k   38k|   0  5149k|   0   245 |1823  2034 |1.51 0.97 0.59|5.0   0   0|   0     0 |   0     0 |  9   33    0    9    2
Mar 30 18:36:45 ubuntu dstat.sh[93154]: 30-03 18:36:45| 62   9  25   5   0|1355M  941M  182M 5258M| 687k  670k|  28k 2228k|2.00   100 |4940    12k|1.51 0.97 0.59|5.0   0  76|   0     0 |   0     0 |  9   37    0   13    2
Mar 30 18:36:46 ubuntu dstat.sh[93154]: 30-03 18:36:46| 78  18   3   0   0|1447M  844M  183M 5261M|  12k 2318 |   0  1584k|   0  52.0 |2396  4153 |1.51 0.97 0.59|6.0   0 397|   0     0 |   0     0 |  9   37    0   13    2
Mar 30 18:36:47 ubuntu dstat.sh[93154]: 30-03 18:36:47| 88  11   0   0   0|1577M  714M  183M 5262M| 202k  191k|   0    80k|   0  5.00 |2841  4330 |1.51 0.97 0.59|7.0   0 119|   0     0 |   0     0 |  9   38    0   13    2
Mar 30 18:36:48 ubuntu dstat.sh[93154]: 30-03 18:36:48| 88   9   2   0   0|1574M  737M  183M 5243M| 771k  762k|   0  6192k|   0   328 |5992    13k|1.95 1.07 0.62|7.0   0  51|   0     0 |   0     0 |  9   34    0   14    0
