-- Logs begin at Tue 2023-05-09 00:58:55 UTC, end at Tue 2023-05-09 02:13:24 UTC. --
May 09 02:01:10 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 09 02:01:10 ubuntu dstat.sh[78272]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 09 02:01:10 ubuntu dstat.sh[78272]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 09 02:01:10 ubuntu dstat.sh[78272]: 09-05 02:01:10|                   | 972M 1337M  195M 5121M|           |           |           |           |1.01 0.57 0.46|4.0   0    |           |   0     0 |  8    6    0    8    2
May 09 02:01:11 ubuntu dstat.sh[78272]: 09-05 02:01:11| 25  21  53   0   0| 975M 1333M  195M 5121M| 535k   13k|   0   825k|   0  25.0 |2947  4546 |1.01 0.57 0.46|3.0   0 432|   0     0 |   0     0 |  8    6    0    8    2
May 09 02:01:12 ubuntu dstat.sh[78272]: 09-05 02:01:12| 16  20  62   1   0| 968M 1337M  195M 5124M| 965k   17k|   0   764k|   0  22.0 |3198  4796 |1.01 0.57 0.46|1.0   0 363|   0     0 |   0     0 |  8    7    0    7    2
May 09 02:01:13 ubuntu dstat.sh[78272]: 09-05 02:01:13| 32  17  51   1   0| 950M 1352M  195M 5126M|1103k   16k|   0  2973k|   0  23.0 |3660  4930 |1.01 0.57 0.46|2.0   0 206|   0     0 |   0     0 |  8    6    0    7    4
May 09 02:01:14 ubuntu dstat.sh[78272]: 09-05 02:01:14| 38  14  47   0   0|1108M 1193M  195M 5249M| 170k   10k|   0    10M|   0  47.9 |3519  4876 |1.01 0.57 0.46|1.0   0  71|   0     0 |   0     0 |  9    6    0    7    2
May 09 02:01:15 ubuntu dstat.sh[78272]: 09-05 02:01:15| 30   8  61   1   0|1114M 1186M  195M 5249M| 116k 8113 |   0   440k|   0  13.0 |1635  2120 |1.01 0.57 0.46|1.0   0 100|   0     0 |   0     0 |  9    9    0    7    2
May 09 02:01:16 ubuntu dstat.sh[78272]: 09-05 02:01:16| 16  12  69   2   0|1117M 1183M  195M 5250M| 281k   22k|   0   592k|   0  28.0 |2267  3286 |1.01 0.57 0.46|1.0   0 191|   0     0 |   0     0 |  9    9    0    9    2
May 09 02:01:17 ubuntu dstat.sh[78272]: 09-05 02:01:17| 30   6  64   2   0|1122M 1177M  196M 5251M| 552k   12k|  52k 1397k|5.00  28.0 |1534  1465 |1.01 0.57 0.46|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
May 09 02:01:18 ubuntu dstat.sh[78272]: 09-05 02:01:18| 41   5  51   1   0|1108M 1188M  196M 5253M| 431k 9221 | 144k 2244k|9.00  16.0 |1593  1665 |1.17 0.61 0.48|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
May 09 02:01:19 ubuntu dstat.sh[78272]: 09-05 02:01:19| 38   4  45  13   0|1147M 1147M  196M 5255M|  82k   19k|  12k 6638k|1.00   516 |4626  7599 |1.17 0.61 0.48|2.0 1.0  11|   0     0 |   0     0 |  9    8    0    9    2
