-- Logs begin at Wed 2023-01-11 22:16:55 UTC, end at Thu 2023-01-12 07:10:03 UTC. --
Jan 12 06:29:29 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 12 06:29:29 ubuntu dstat.sh[82098]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 12 06:29:29 ubuntu dstat.sh[82098]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 12 06:29:29 ubuntu dstat.sh[82098]: 12-01 06:29:29|                   | 908M 1445M  197M 5075M|           |           |           |           |1.15 0.82 0.54|3.0   0    |           |   0     0 |  8    6    0   10    2
Jan 12 06:29:30 ubuntu dstat.sh[82098]: 12-01 06:29:30| 13  18  67   0   0| 910M 1441M  197M 5078M|2447k   32k|   0  2303k|   0  17.0 |3908  4639 |1.14 0.82 0.55|2.5   0 362|   0     0 |   0     0 |  8    6    0   10    2
Jan 12 06:29:31 ubuntu dstat.sh[82098]: 12-01 06:29:31| 20  21  58   1   0| 853M 1494M  197M 5082M| 675k   20k|   0  1905k|   0  18.5 |3935  5512 |1.14 0.82 0.55| 19   0 354|   0     0 |   0     0 |  8    4    0   10    2
Jan 12 06:29:32 ubuntu dstat.sh[82098]: 12-01 06:29:32| 16  16  65   1   0| 827M 1519M  197M 5082M| 243k 9174 |   0   633k|   0  13.0 |2749  4883 |1.14 0.82 0.55|1.0   0 182|   0     0 |   0     0 |  8    4    0   10    2
Jan 12 06:29:33 ubuntu dstat.sh[82098]: 12-01 06:29:33| 26  21  53   0   0| 970M 1375M  197M 5205M| 152k 8588 |   0    14M|   0   206 |6138    14k|1.14 0.82 0.55|  0   0 135|   0     0 |   0     0 |  9    4    0    9    2
Jan 12 06:29:34 ubuntu dstat.sh[82098]: 12-01 06:29:34| 15   6  76   1   0| 973M 1371M  197M 5205M| 169k 9256 |   0   964k|   0  14.0 |1568  1970 |1.14 0.82 0.55|2.0   0  97|   0     0 |   0     0 |  9    6    0    9    2
Jan 12 06:29:35 ubuntu dstat.sh[82098]: 12-01 06:29:35| 18  11  68   1   0| 975M 1369M  197M 5206M|  73k   18k|   0   616k|   0  30.0 |2189  3130 |1.20 0.84 0.55|1.0   0 190|   0     0 |   0     0 |  9    6    0   10    2
Jan 12 06:29:36 ubuntu dstat.sh[82098]: 12-01 06:29:36| 25   4  70   1   1|1029M 1314M  197M 5206M| 142k 8015 |  52k  968k|5.00  21.0 |1328  1484 |1.20 0.84 0.55|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 12 06:29:37 ubuntu dstat.sh[82098]: 12-01 06:29:37| 25   3  69   1   0|1052M 1290M  198M 5207M|  57k 6199 | 156k 1508k|10.0  17.0 |1296  1506 |1.20 0.84 0.55|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 12 06:29:38 ubuntu dstat.sh[82098]: 12-01 06:29:38| 12   3  64  19   0|1068M 1272M  198M 5209M|  79k   18k|   0    10M|   0   799 |5163  8464 |1.20 0.84 0.55|1.0 2.0  10|   0     0 |   0     0 |  9    8    0   10    2
Jan 12 06:29:39 ubuntu dstat.sh[82098]: 12-01 06:29:39| 13   4  64  19   0|1069M 1268M  198M 5211M|  48k   12k|   0  7961k|   0   690 |4172  9072 |1.20 0.84 0.55|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 12 06:29:40 ubuntu dstat.sh[82098]: 12-01 06:29:40|  9   3  68  19   0|1076M 1258M  199M 5213M| 199k   15k|   0  7488k|   0   637 |4742  9562 |1.19 0.84 0.56|1.0 1.0  25|   0     0 |   0     0 |  9    8    0   10    2
Jan 12 06:29:41 ubuntu dstat.sh[82098]: 12-01 06:29:41| 10   3  65  21   0|1078M 1254M  199M 5215M|  29k   11k|   0  6070k|   0   612 |5221  9211 |1.19 0.84 0.56|1.0 1.0  18|   0     0 |   0     0 |  9    8    0   10    2
