-- Logs begin at Sat 2022-12-10 02:16:44 UTC, end at Sat 2022-12-10 10:07:28 UTC. --
Dec 10 09:28:18 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 10 09:28:18 ubuntu dstat.sh[75142]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 10 09:28:18 ubuntu dstat.sh[75142]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 10 09:28:18 ubuntu dstat.sh[75142]: 10-12 09:28:18|                   | 926M 1128M  194M 5378M|           |           |           |           |1.26 0.54 0.29|3.0   0    |           |   0     0 |  8    8    0   10    0
Dec 10 09:28:19 ubuntu dstat.sh[75142]: 10-12 09:28:19| 15  19  65   0   0| 929M 1124M  194M 5378M|1260k   24k|   0  1059k|   0  20.0 |4102  6093 |1.26 0.54 0.29|2.0   0 383|   0     0 |   0     0 |  8    8    0   10    0
Dec 10 09:28:20 ubuntu dstat.sh[75142]: 10-12 09:28:20| 31  20  48   0   0| 938M 1112M  194M 5381M| 951k   15k|   0    28k|   0  13.5 |4014  6076 |1.26 0.54 0.29|2.0   0 338|   0     0 |   0     0 |  8    7    0   10    1
Dec 10 09:28:21 ubuntu dstat.sh[75142]: 10-12 09:28:21| 40  19  40   0   0| 913M 1135M  194M 5382M| 596k 7814 |   0  2523k|   0  11.0 |3449  4861 |1.32 0.57 0.30|2.0   0 212|   0     0 |   0     0 |  8    4    1   10    2
Dec 10 09:28:22 ubuntu dstat.sh[75142]: 10-12 09:28:22| 16  11  73   0   0|1049M  999M  194M 5504M| 122k 8731 |   0   866k|   0  6.99 |2710  6067 |1.32 0.57 0.30|1.0   0  63|   0     0 |   0     0 |  9    6    0    8    2
Dec 10 09:28:23 ubuntu dstat.sh[75142]: 10-12 09:28:23| 19   8  71   1   0|1056M  992M  194M 5505M| 471k   18k|   0   773k|   0  14.0 |1985  2245 |1.32 0.57 0.30|2.0   0 102|   0     0 |   0     0 |  9    8    0    8    2
Dec 10 09:28:24 ubuntu dstat.sh[75142]: 10-12 09:28:24| 18  12  68   0   0|1037M 1010M  194M 5505M| 281k   23k|   0   867k|   0  26.0 |2386  3302 |1.32 0.57 0.30|2.0   0 185|   0     0 |   0     0 |  9    8    0   10    2
Dec 10 09:28:25 ubuntu dstat.sh[75142]: 10-12 09:28:25| 32   5  61   1   0|1078M  968M  194M 5506M| 453k   13k|  20k 1200k|2.00  24.0 |1487  1775 |1.32 0.57 0.30|2.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 10 09:28:26 ubuntu dstat.sh[75142]: 10-12 09:28:26| 22   5  72   2   1|1111M  932M  194M 5509M|1009k   11k| 176k  472k|12.0  7.00 |1731  1540 |1.30 0.57 0.31|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Dec 10 09:28:27 ubuntu dstat.sh[75142]: 10-12 09:28:27| 19   2  71   7   0|1132M  907M  194M 5512M|1365k   21k|  12k 3368k|1.00   229 |3183  4234 |1.30 0.57 0.31|3.0 1.0 4.0|   0     0 |   0     0 |  9   10    0   10    2
