-- Logs begin at Wed 2022-12-21 17:53:29 UTC, end at Thu 2022-12-22 18:34:23 UTC. --
Dec 22 18:21:43 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 22 18:21:43 ubuntu dstat.sh[82723]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 22 18:21:43 ubuntu dstat.sh[82723]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 22 18:21:43 ubuntu dstat.sh[82723]: 22-12 18:21:43|                   | 859M 1496M  192M 5076M|           |           |           |           |1.19 0.64 0.46|2.0   0    |           |   0     0 |  8    4    0   11    2
Dec 22 18:21:44 ubuntu dstat.sh[82723]: 22-12 18:21:44| 19  22  59   0   0| 854M 1501M  192M 5076M| 409k   16k|   0   555k|   0  13.0 |3184  4981 |1.19 0.64 0.46|1.5   0 416|   0     0 |   0     0 |  8    4    0   11    2
Dec 22 18:21:45 ubuntu dstat.sh[82723]: 22-12 18:21:45| 23  19  56   0   1| 831M 1523M  192M 5078M| 643k   22k|   0   312k|   0  11.5 |3350  5484 |1.26 0.66 0.47|1.0   0 362|   0     0 |   0     0 |  8    4    0   11    2
Dec 22 18:21:46 ubuntu dstat.sh[82723]: 22-12 18:21:46| 18  16  64   0   0| 831M 1519M  192M 5081M|1970k   40k|   0    16k|   0  4.00 |4477  6446 |1.26 0.66 0.47|1.0   0 204|   0     0 |   0     0 |  8    4    0    9    2
Dec 22 18:21:47 ubuntu dstat.sh[82723]: 22-12 18:21:47| 17  12  70   0   0| 970M 1376M  192M 5207M|1733k   31k|   0  4229k|   0  5.99 |4228  8293 |1.26 0.66 0.47|1.0   0  71|   0     0 |   0     0 |  9    4    0    9    2
Dec 22 18:21:48 ubuntu dstat.sh[82723]: 22-12 18:21:48| 18   9  72   0   0| 976M 1367M  192M 5210M|1626k   29k|   0   160k|   0  9.00 |2641  2903 |1.26 0.66 0.47|1.0   0 108|   0     0 |   0     0 |  9    6    0    9    2
Dec 22 18:21:49 ubuntu dstat.sh[82723]: 22-12 18:21:49| 18  12  69   2   0| 995M 1347M  192M 5211M| 456k   22k|   0  2540k|   0  30.0 |2393  3252 |1.26 0.66 0.47|1.0   0 184|   0     0 |   0     0 |  9    6    0   11    2
Dec 22 18:21:50 ubuntu dstat.sh[82723]: 22-12 18:21:50| 26   3  69   1   0|1050M 1291M  192M 5212M| 191k 8955 | 152k 1345k|8.01  21.0 |1252  1331 |1.32 0.68 0.48|  0 1.0 1.0|   0     0 |   0     0 |  9    6    0   11    2
Dec 22 18:21:51 ubuntu dstat.sh[82723]: 22-12 18:21:51| 25   3  70   1   0|1055M 1285M  192M 5212M| 215k 9553 |  56k 1375k|7.00  17.0 |1376  1530 |1.32 0.68 0.48|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   11    2
Dec 22 18:21:52 ubuntu dstat.sh[82723]: 22-12 18:21:52| 11   3  62  21   0|1070M 1268M  193M 5214M|  89k   19k|   0  9724k|   0   769 |6174    11k|1.32 0.68 0.48|  0 1.0  10|   0     0 |   0     0 |  9    8    0   11    2
Dec 22 18:21:53 ubuntu dstat.sh[82723]: 22-12 18:21:53|  9   4  64  21   0|1078M 1257M  193M 5217M| 162k   14k|   0    17M|   0   756 |5878    10k|1.32 0.68 0.48|  0 1.0 4.0|   0     0 |   0     0 |  9    8    0   11    2
Dec 22 18:21:54 ubuntu dstat.sh[82723]: 22-12 18:21:54|  7   3  66  21   0|1079M 1253M  194M 5219M| 146k   13k|   0  7037k|   0   565 |5298  8963 |1.32 0.68 0.48|  0 1.0  16|   0     0 |   0     0 |  9    8    0   11    2
Dec 22 18:21:55 ubuntu dstat.sh[82723]: 22-12 18:21:55| 11   3  64  20   0|1082M 1248M  194M 5221M|  43k   11k|   0  6008k|   0   617 |5476  9278 |1.29 0.69 0.48|  0 1.0  21|   0     0 |   0     0 |  9    8    0   11    2
Dec 22 18:21:56 ubuntu dstat.sh[82723]: 22-12 18:21:56|  8   3  67  20   0|1084M 1244M  194M 5223M|  78k   12k|   0  6599k|   0   585 |5227  9185 |1.29 0.69 0.48|1.0 2.0 7.0|   0     0 |   0     0 |  9    8    0   11    2
Dec 22 18:21:57 ubuntu dstat.sh[82723]: 22-12 18:21:57| 21   2  63  13   0|1087M 1240M  194M 5223M|  60k   11k|   0  4071k|   0   426 |3762  6979 |1.29 0.69 0.48|1.0   0  12|   0     0 |   0     0 |  9    8    0   11    2
Dec 22 18:21:58 ubuntu dstat.sh[82723]: 22-12 18:21:58| 23   6  70   1   0|1027M 1300M  194M 5224M|  67k 6418 |   0  1029k|   0  36.0 |1486  2117 |1.29 0.69 0.48|1.0   0  76|   0     0 |   0     0 |  9    6    0   11    2
Dec 22 18:21:59 ubuntu dstat.sh[82723]: 22-12 18:21:59| 25   2  71   0   0|1082M 1244M  194M 5224M| 156k 8412 |   0   927k|   0  23.0 |1122  1304 |1.29 0.69 0.48|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   11    2
Dec 22 18:22:00 ubuntu dstat.sh[82723]: 22-12 18:22:00| 26   3  70   2   0|1000M 1326M  195M 5224M|  44k 5665 |   0  7594k|   0   406 |1976  3000 |1.27 0.69 0.48|2.0   0  11|   0     0 |   0     0 |  9    6    0   11    2
Dec 22 18:22:01 ubuntu dstat.sh[82723]: 22-12 18:22:01| 25   3  70   1   0|1053M 1271M  195M 5225M| 778k   21k|   0  7101k|   0   393 |2785  3405 |1.27 0.69 0.48|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   11    2
Dec 22 18:22:02 ubuntu dstat.sh[82723]: 22-12 18:22:02| 26   2  69   1   0|1087M 1237M  195M 5226M| 409k   13k|   0  8057k|   0   420 |2357  3081 |1.27 0.69 0.48|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   11    2
Dec 22 18:22:03 ubuntu dstat.sh[82723]: 22-12 18:22:03| 17  17  62   4   1|1002M 1321M  195M 5227M| 540k   19k|   0    48M|   0   910 |4893  5797 |1.27 0.69 0.48|4.0   0 311|   0     0 |   0     0 |  9    6    0   11    2
Dec 22 18:22:04 ubuntu dstat.sh[82723]: 22-12 18:22:04| 21  23  55   0   0| 995M 1326M  195M 5228M| 476k   15k|   0  1637k|   0  70.1 |3844    12k|1.27 0.69 0.48|5.0   0 401|   0     0 |   0     0 |  9    6    0   12    2
Dec 22 18:22:05 ubuntu dstat.sh[82723]: 22-12 18:22:05| 29  18  51   1   0|1041M 1279M  195M 5229M| 104k 7372 | 196k  744k|3.00  22.0 |4588    10k|1.25 0.70 0.49|4.0   0 173|   0     0 |   0     0 |  9    6    0   11    2
