-- Logs begin at Thu 2023-03-30 21:51:59 UTC, end at Fri 2023-03-31 03:13:16 UTC. --
Mar 31 02:33:21 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 02:33:21 ubuntu dstat.sh[79677]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 31 02:33:21 ubuntu dstat.sh[79677]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 31 02:33:21 ubuntu dstat.sh[79677]: 31-03 02:33:21|                   | 941M 1486M  175M 5023M|           |           |           |           |0.95 0.71 0.47|3.0   0    |           |   0     0 |  8    6    0    8    2
Mar 31 02:33:22 ubuntu dstat.sh[79677]: 31-03 02:33:22| 14  18  67   1   0| 943M 1482M  175M 5025M|2254k   40k|   0  4166k|   0  19.0 |3842  4524 |0.99 0.72 0.47|3.5   0 348|   0     0 |   0     0 |  8    6    0    8    2
Mar 31 02:33:23 ubuntu dstat.sh[79677]: 31-03 02:33:23| 31  20  48   1   0| 925M 1494M  175M 5030M|1481k   27k|   0  3522k|   0  18.0 |3744  4523 |1.04 0.73 0.48|4.0   0 346|   0     0 |   0     0 |  8    4    0    8    2
Mar 31 02:33:24 ubuntu dstat.sh[79677]: 31-03 02:33:24| 39  22  37   0   1| 925M 1494M  175M 5030M| 229k 9485 |   0   959k|   0  13.0 |3853  8391 |1.04 0.73 0.48|2.0   0 239|   0     0 |   0     0 |  8    4    0    8    2
Mar 31 02:33:25 ubuntu dstat.sh[79677]: 31-03 02:33:25| 25  15  58   1   0|1063M 1356M  175M 5153M| 119k 8049 |   0    10M|   0  45.0 |3303  6215 |1.04 0.73 0.48|  0   0  70|   0     0 |   0     0 |  9    5    0    8    2
Mar 31 02:33:26 ubuntu dstat.sh[79677]: 31-03 02:33:26| 21   8  69   1   0|1066M 1351M  175M 5153M| 185k   12k|   0  1350k|   0  21.0 |1906  2353 |1.04 0.73 0.48|2.0   0 114|   0     0 |   0     0 |  9    7    0    7    2
Mar 31 02:33:27 ubuntu dstat.sh[79677]: 31-03 02:33:27| 23  11  65   0   0|1099M 1318M  175M 5153M| 176k   21k|   0   819k|   0  25.0 |2211  3353 |0.95 0.72 0.48|1.0   0 174|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:28 ubuntu dstat.sh[79677]: 31-03 02:33:28| 24   3  69   4   0|1138M 1277M  175M 5156M| 182k   10k| 196k 1905k|14.0  29.0 |1442  1776 |0.95 0.72 0.48|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:29 ubuntu dstat.sh[79677]: 31-03 02:33:29| 25   3  70   2   0|1149M 1266M  176M 5156M| 175k   16k|  12k 1625k|1.00  53.0 |1491  1949 |0.95 0.72 0.48|1.0   0 1.0|   0     0 |   0     0 |  9   10    0    9    2
Mar 31 02:33:30 ubuntu dstat.sh[79677]: 31-03 02:33:30| 10   4  63  23   0|1159M 1253M  176M 5158M| 518k   20k|   0    12M|   0   905 |5674    10k|0.95 0.72 0.48|  0 1.0  10|   0     0 |   0     0 |  9   10    0    9    2
Mar 31 02:33:31 ubuntu dstat.sh[79677]: 31-03 02:33:31| 11   5  63  19   0|1131M 1276M  176M 5162M| 772k   20k|   0  9364k|   0   667 |5554  9348 |0.95 0.72 0.48|1.0 1.0  10|   0     0 |   0     0 |  9    8    0    9    4
Mar 31 02:33:32 ubuntu dstat.sh[79677]: 31-03 02:33:32| 30   6  44  20   0|1157M 1247M  177M 5165M|  76k   12k|   0  6517k|   0   650 |5432  9189 |1.12 0.76 0.49|2.0 2.0  22|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:33 ubuntu dstat.sh[79677]: 31-03 02:33:33| 26   5  48  20   0|1169M 1233M  177M 5166M| 175k   14k|   0  7390k|   0   676 |5656  9709 |1.12 0.76 0.49|  0 1.0  23|   0     0 |   0     0 |  9    8    1    9    2
Mar 31 02:33:34 ubuntu dstat.sh[79677]: 31-03 02:33:34|  9   2  66  19   0|1170M 1230M  178M 5168M|  72k   13k|   0  6556k|   0   636 |4543  9021 |1.12 0.76 0.49|1.0 1.0 6.0|   0     0 |   0     0 |  9    9    0    9    2
Mar 31 02:33:35 ubuntu dstat.sh[79677]: 31-03 02:33:35| 27   5  62   4   0|1103M 1296M  178M 5168M| 108k   12k|   0  1616k|   0   123 |2541  3776 |1.12 0.76 0.49|1.0   0  83|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:36 ubuntu dstat.sh[79677]: 31-03 02:33:36| 32   7  58   3   0|1187M 1213M  178M 5168M| 101k 9121 |   0    29M|   0   632 |2945  5216 |1.12 0.76 0.49|3.0   0  35|   0     0 |   0     0 | 10    9    0    8    2
Mar 31 02:33:37 ubuntu dstat.sh[79677]: 31-03 02:33:37| 27   2  67   2   0|1172M 1227M  178M 5168M| 132k 7983 |   0  7555k|   0   398 |2175  3147 |1.11 0.76 0.49|1.0   0   0|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:38 ubuntu dstat.sh[79677]: 31-03 02:33:38| 24   4  69   1   0|1141M 1256M  178M 5170M| 857k   23k|   0  7933k|   0   414 |2816  3530 |1.11 0.76 0.49|1.0   0  12|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:39 ubuntu dstat.sh[79677]: 31-03 02:33:39| 29   3  65   2   0|1174M 1220M  178M 5173M|1820k   43k|   0  8427k|   0   394 |3094  3610 |1.11 0.76 0.49|2.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:40 ubuntu dstat.sh[79677]: 31-03 02:33:40| 39  17  42   2   0|1071M 1322M  178M 5175M| 622k   17k|   0  9388k|   0   389 |3787  5704 |1.11 0.76 0.49|3.0   0 330|   0     0 |   0     0 |  9    6    0    9    2
Mar 31 02:33:41 ubuntu dstat.sh[79677]: 31-03 02:33:41| 36  22  41   1   0|1088M 1304M  178M 5175M| 100k 7185 |   0    16M|   0   153 |3362  5413 |1.11 0.76 0.49|2.0   0 383|   0     0 |   0     0 |  9    6    0    9    2
Mar 31 02:33:42 ubuntu dstat.sh[79677]: 31-03 02:33:42| 37  18  43   1   0|1167M 1225M  179M 5176M| 120k 7950 | 196k 1311k|3.00  18.0 |3915  7636 |1.26 0.80 0.51|2.0 1.0 191|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:43 ubuntu dstat.sh[79677]: 31-03 02:33:43| 50   5  43   2   0|1256M 1134M  179M 5176M| 123k 9223 | 148k  540k|5.00  13.0 |1426  1496 |1.26 0.80 0.51|4.0   0 3.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:44 ubuntu dstat.sh[79677]: 31-03 02:33:44| 56   5  38   0   0|1300M 1088M  179M 5178M| 260k   11k| 352k 1188k|4.00  25.0 |1777  1516 |1.26 0.80 0.51|4.0   0 3.0|   0     0 |   0     0 |  9    9    0    9    2
Mar 31 02:33:45 ubuntu dstat.sh[79677]: 31-03 02:33:45| 47  11  42   0   0|1315M 1069M  179M 5182M|  63k 6740 |   0  1346k|   0  9.01 |2639  6688 |1.26 0.80 0.51|4.0   0 118|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:46 ubuntu dstat.sh[79677]: 31-03 02:33:46| 24   7  68   0   0|1371M 1011M  179M 5184M| 856k   23k|   0  4196k|   0  11.0 |2445  2891 |1.26 0.80 0.51|3.0   0  25|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:47 ubuntu dstat.sh[79677]: 31-03 02:33:47| 35   6  59   0   1|1406M  970M  179M 5189M| 603k   13k|   0  1854k|   0  8.01 |1543  1419 |1.32 0.82 0.52|5.0   0 2.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 02:33:48 ubuntu dstat.sh[79677]: 31-03 02:33:48| 33   3  60   3   0|1363M 1010M  179M 5191M|1114k   84k|   0  4114k|   0   231 |3646  5400 |1.32 0.82 0.52|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   11    4
Mar 31 02:33:49 ubuntu dstat.sh[79677]: 31-03 02:33:49| 24   6  69   1   0|1285M 1087M  179M 5192M| 557k   17k|  36k  973k|3.00  16.0 |1726  2248 |1.32 0.82 0.52|2.0   0  45|   0     0 |   0     0 |  9    6    0   11    2
Mar 31 02:33:50 ubuntu dstat.sh[79677]: 31-03 02:33:50| 25   4  70   1   0|1307M 1064M  180M 5192M| 151k   85k|  28k 1550k|3.00  18.0 |1565  2272 |1.32 0.82 0.52|2.0   0 2.0|   0     0 |   0     0 |  9   18    0   11    2
Mar 31 02:33:51 ubuntu dstat.sh[79677]: 31-03 02:33:51| 22   3  67   8   0|1255M 1116M  180M 5193M|  98k   51k| 216k 8754k|54.0   119 |1927  2789 |1.32 0.82 0.52|2.0 1.0  12|   0     0 |   0     0 |  9   32    0   11    2
Mar 31 02:33:52 ubuntu dstat.sh[79677]: 31-03 02:33:52| 26   5  68   1   0|1301M 1070M  180M 5193M|  47k 5464 |   0   428k|   0  10.0 |1277  1679 |1.29 0.83 0.52|2.0   0  36|   0     0 |   0     0 |  9   32    0   11    2
Mar 31 02:33:53 ubuntu dstat.sh[79677]: 31-03 02:33:53| 28   4  66   1   0|1259M 1112M  180M 5193M| 251k   69k|   0  1312k|   0  33.0 |1536  1991 |1.29 0.83 0.52|2.0   0 5.0|   0     0 |   0     0 |  9   32    0   11    2
Mar 31 02:33:54 ubuntu dstat.sh[79677]: 31-03 02:33:54| 42  13  44   1   0|1350M 1020M  180M 5194M| 146k 7154 |   0  4458k|   0   201 |2396  3191 |1.29 0.83 0.52|4.0   0 159|   0     0 |   0     0 |  9   32    0   11    2
Mar 31 02:33:55 ubuntu dstat.sh[79677]: 31-03 02:33:55| 53   7  40   1   0|1389M  980M  180M 5194M| 323k  297k|  28k  868k|2.00  26.0 |2410  4953 |1.29 0.83 0.52|3.0   0 3.0|   0     0 |   0     0 |  9   38    0    8    2
Mar 31 02:33:56 ubuntu dstat.sh[79677]: 31-03 02:33:56| 53  17  28   1   0|1327M 1042M  180M 5194M| 497k  421k|   0  4472k|   0  68.0 |4919  9700 |1.29 0.83 0.52|7.0   0 397|   0     0 |   0     0 |  9   36    0    9    2
Mar 31 02:33:57 ubuntu dstat.sh[79677]: 31-03 02:33:57| 86  13   0   0   0|1490M  879M  180M 5195M| 242k 9500 |   0  1210k|   0  24.0 |2248  2852 |1.59 0.89 0.54|8.0   0 157|   0     0 |   0     0 |  9   36    0    9    2
Mar 31 02:33:58 ubuntu dstat.sh[79677]: 31-03 02:33:58| 90  10   0   0   0|1607M  761M  180M 5195M| 528k  517k|   0  1414k|   0  55.1 |3693  6907 |1.59 0.89 0.54|9.0   0  41|   0     0 |   0     0 |  9   38    0    9    2
Mar 31 02:33:59 ubuntu dstat.sh[79677]: 31-03 02:33:59| 83  15   1   0   0|1488M  876M  180M 5198M| 461k  453k|   0  1732k|   0  58.0 |5262    10k|1.59 0.89 0.54|5.0   0 153|   0     0 |   0     0 |  9   37    0    9    2
Mar 31 02:34:00 ubuntu dstat.sh[79677]: 31-03 02:34:00| 57  11  29   3   0|1301M 1049M  180M 5210M| 336k  328k|   0  1988k|   0  86.0 |3649  7493 |1.59 0.89 0.54|3.0   0 161|   0     0 |   0     0 |  9   36    0    9    2
Mar 31 02:34:01 ubuntu dstat.sh[79677]: 31-03 02:34:01| 38   5  49   7   0|1347M  993M  181M 5219M|9130  1617 |   0  4669k|   0   101 |1445  1769 |1.59 0.89 0.54|3.0   0 1.0|   0     0 |   0     0 |  9   36    0    9    2
Mar 31 02:34:02 ubuntu dstat.sh[79677]: 31-03 02:34:02| 37  10  48   6   1|1296M 1032M  182M 5228M| 214k  207k|   0  2424k|   0   103 |3111  5206 |1.70 0.93 0.56|2.0 1.0  69|   0     0 |   0     0 |  9   36    0    9    2
Mar 31 02:34:03 ubuntu dstat.sh[79677]: 31-03 02:34:03| 38   7  49   7   0|1346M  968M  182M 5239M|  12k 1622 |   0  2684k|   0  90.1 |1503  1741 |1.70 0.93 0.56|2.0 1.0 3.0|   0     0 |   0     0 |  9   36    0    9    2
Mar 31 02:34:04 ubuntu dstat.sh[79677]: 31-03 02:34:04| 41   6  48   4   0|1291M 1003M  183M 5257M| 211k  201k|   0  2023k|   0  89.0 |2725  4327 |1.70 0.93 0.56|3.0   0  22|   0     0 |   0     0 |  9   36    0   10    2
Mar 31 02:34:05 ubuntu dstat.sh[79677]: 31-03 02:34:05| 13  20  63   1   0|1289M 1003M  183M 5258M|  10k 1816 |   0  1016k|   0  27.0 |2717  3951 |1.70 0.93 0.56|2.0   0 403|   0     0 |   0     0 |  9   37    0   10    2
Mar 31 02:34:06 ubuntu dstat.sh[79677]: 31-03 02:34:06| 46  23  30   0   0|1384M  914M  183M 5253M|  15k 3723 |   0    10M|   0   443 |3492  5332 |1.70 0.93 0.56|8.0   0 610|   0     0 |   0     0 |  9   34    0   10    3
Mar 31 02:34:07 ubuntu dstat.sh[79677]: 31-03 02:34:07| 88  11   0   0   0|1491M  821M  183M 5239M|  10k 1944 |   0  2085k|   0  76.0 |1998  2089 |2.05 1.01 0.59|7.0   0  16|   0     0 |   0     0 |  9   34    0   10    0
Mar 31 02:34:08 ubuntu dstat.sh[79677]: 31-03 02:34:08| 85  13   2   0   0|1586M  726M  183M 5239M| 835k  819k|   0  1449k|   0  32.9 |5687    32k|2.05 1.01 0.59|8.0   0 8.0|   0     0 |   0     0 |  9   38    0   10    0
Mar 31 02:34:09 ubuntu dstat.sh[79677]: 31-03 02:34:09| 80  14   5   1   1|1408M  904M  183M 5240M| 938k  929k|   0  2667k|   0  96.1 |6072    20k|2.05 1.01 0.59|7.0   0  91|   0     0 |   0     0 |  9   35    0   10    0
Mar 31 02:34:10 ubuntu dstat.sh[79677]: 31-03 02:34:10| 86  13   1   0   0|1424M  888M  183M 5240M| 131k  123k|   0   596k|   0  31.0 |8988    17k|2.05 1.01 0.59|7.0   0 121|   0     0 |   0     0 |  9   34    0   10    0
Mar 31 02:34:11 ubuntu dstat.sh[79677]: 31-03 02:34:11| 86  14   0   0   0|1526M  786M  183M 5240M| 330k  320k|   0  7775k|   0   229 |3772  6105 |2.05 1.01 0.59|7.0   0 130|   0     0 |   0     0 |  9   37    0   10    0
Mar 31 02:34:12 ubuntu dstat.sh[79677]: 31-03 02:34:12| 87  12   1   0   0|1610M  701M  183M 5240M| 945k  931k|   0  1820k|   0  64.0 |4560    12k|2.36 1.10 0.62| 10   0 4.0|   0     0 |   0     0 |  9   36    0   10    0
Mar 31 02:34:13 ubuntu dstat.sh[79677]: 31-03 02:34:13| 80  15   3   0   0|1428M  883M  183M 5240M|1234k 1215k|   0  1002k|   0  39.9 |5799    15k|2.36 1.10 0.62|6.0   0 159|   0     0 |   0     0 |  9   37    0   11    0
Mar 31 02:34:14 ubuntu dstat.sh[79677]: 31-03 02:34:14| 58  12  30   0   0|1302M 1009M  183M 5241M| 437k  421k|   0   569k|   0  44.1 |3387  7284 |2.36 1.10 0.62|3.0   0 159|   0     0 |   0     0 |  9   35    0   13    0
Mar 31 02:34:15 ubuntu dstat.sh[79677]: 31-03 02:34:15| 46   5  49   0   0|1362M  949M  183M 5241M|  94k   80k|   0   212k|   0  8.00 |1426  1924 |2.36 1.10 0.62|3.0   0   0|   0     0 |   0     0 |  9   36    0   13    0
Mar 31 02:34:16 ubuntu dstat.sh[79677]: 31-03 02:34:16| 47   8  45   1   0|1306M 1005M  183M 5241M| 711k  701k|   0   940k|   0  65.0 |4650    11k|2.36 1.10 0.62|4.0   0  94|   0     0 |   0     0 |  9   36    0   15    0
Mar 31 02:34:17 ubuntu dstat.sh[79677]: 31-03 02:34:17| 61  15  23   0   0|1368M  943M  183M 5241M|  23k 3505 |   0  3669k|   0   118 |2283  3103 |2.42 1.13 0.63|5.0   0 289|   0     0 |   0     0 |  9   36    0   12    0
Mar 31 02:34:18 ubuntu dstat.sh[79677]: 31-03 02:34:18| 63   7  28   0   0|1431M  879M  183M 5241M| 554k  469k|   0   712k|   0  25.0 |2825  7231 |2.42 1.13 0.63|4.0   0   0|   0     0 |   0     0 |  9   39    0   12    0
Mar 31 02:34:19 ubuntu dstat.sh[79677]: 31-03 02:34:19| 68  18  13   1   1|1344M  965M  183M 5242M| 763k  570k|   0  1996k|   0   134 |4697    12k|2.42 1.13 0.63|6.0   0 266|   0     0 |   0     0 |  9   36    0   12    0
Mar 31 02:34:20 ubuntu dstat.sh[79677]: 31-03 02:34:20| 87  12   0   0   0|1482M  827M  183M 5243M| 176k   43k|   0   508k|   0  6.00 |1860  1832 |2.42 1.13 0.63|5.0   0 1.0|   0     0 |   0     0 |  9   38    0   12    0
Mar 31 02:34:21 ubuntu dstat.sh[79677]: 31-03 02:34:21| 72  10  16   0   0|1444M  864M  183M 5243M|1543k 1213k|   0  1457k|   0  60.0 |6399    16k|2.42 1.13 0.63|6.0   0 115|   0     0 |   0     0 |  9   39    0   13    0
Mar 31 02:34:22 ubuntu dstat.sh[79677]: 31-03 02:34:22| 79  14   6   0   0|1371M  933M  184M 5247M|2178k  528k|   0  2160k|   0  46.0 |4976  9338 |2.70 1.21 0.66|4.0   0 215|   0     0 |   0     0 |  9   36    0   13    0
Mar 31 02:34:23 ubuntu dstat.sh[79677]: 31-03 02:34:23| 65  10  24   0   0|1440M  859M  184M 5251M|2828k  471k|   0  4947k|   0  28.0 |4130  7567 |2.70 1.21 0.66| 10   0 2.0|   0     0 |   0     0 |  9   39    0   14    0
Mar 31 02:34:24 ubuntu dstat.sh[79677]: 31-03 02:34:24| 67  19  13   0   0|1406M  894M  184M 5251M| 684k  669k|   0  1105k|   0  63.1 |5175    12k|2.70 1.21 0.66|6.0   0 255|   0     0 |   0     0 |  9   37    0   14    0
Mar 31 02:34:25 ubuntu dstat.sh[79677]: 31-03 02:34:25| 75  11  14   0   0|1434M  865M  184M 5252M| 208k  199k|   0  1000k|   0  22.0 |2717  4333 |2.70 1.21 0.66|6.0   0  50|   0     0 |   0     0 |  9   36    0   14    0
Mar 31 02:34:26 ubuntu dstat.sh[79677]: 31-03 02:34:26| 68  11  19   0   0|1349M  950M  184M 5252M|1030k  900k|   0  1108k|   0  56.0 |5604    14k|2.70 1.21 0.66|7.0   0 240|   0     0 |   0     0 |  9   37    0   16    0
Mar 31 02:34:27 ubuntu dstat.sh[79677]: 31-03 02:34:27| 80  13   7   0   0|1407M  890M  184M 5254M| 770k  148k|   0  1592k|   0  30.0 |2498  3571 |2.81 1.26 0.68|5.0   0  54|   0     0 |   0     0 |  9   36    0   16    0
Mar 31 02:34:28 ubuntu dstat.sh[79677]: 31-03 02:34:28| 67   6  26   0   0|1447M  850M  184M 5254M|1104k  761k|   0  1191k|   0  36.0 |3784    11k|2.81 1.26 0.68|3.0   0 1.0|   0     0 |   0     0 |  9   39    0   16    0
Mar 31 02:34:29 ubuntu dstat.sh[79677]: 31-03 02:34:29| 67  11  21   0   0|1367M  928M  184M 5255M| 672k  147k|   0  1291k|   0  56.0 |2987  4748 |2.81 1.26 0.68|4.0   0 118|   0     0 |   0     0 |  9   36    0   17    0
Mar 31 02:34:30 ubuntu dstat.sh[79677]: 31-03 02:34:30| 74   9  15   1   0|1449M  846M  184M 5256M| 427k  336k|   0  1154k|   0  26.0 |3121  5584 |2.81 1.26 0.68|4.0   0 1.0|   0     0 |   0     0 |  9   39    0   17    0
Mar 31 02:34:31 ubuntu dstat.sh[79677]: 31-03 02:34:31| 68  16  15   2   0|1319M  975M  184M 5256M| 565k  554k|   0  1768k|   0   125 |5035    11k|2.81 1.26 0.68|5.0   0 291|   0     0 |   0     0 |  9   36    0   20    0
Mar 31 02:34:32 ubuntu dstat.sh[79677]: 31-03 02:34:32| 86  14   0   0   0|1457M  838M  184M 5256M|  24k   15k|   0    27M|   0   123 |2284  2682 |3.06 1.34 0.70|7.0   0 123|   0     0 |   0     0 |  9   37    0   20    0
Mar 31 02:34:33 ubuntu dstat.sh[79677]: 31-03 02:34:33| 84  16   0   0   0|1500M  795M  184M 5256M| 606k  592k|   0  3568k|   0  99.0 |5304    12k|3.06 1.34 0.70|9.0   0 159|   0     0 |   0     0 |  9   36    0   20    0
