-- Logs begin at Mon 2023-03-27 23:32:12 UTC, end at Tue 2023-03-28 03:06:40 UTC. --
Mar 28 02:24:30 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 28 02:24:31 ubuntu dstat.sh[73365]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 28 02:24:31 ubuntu dstat.sh[73365]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 28 02:24:31 ubuntu dstat.sh[73365]: 28-03 02:24:31|                   | 940M 1479M  173M 5033M|           |           |           |           |0.79 0.72 0.52|3.0   0    |           |   0     0 |  8    4    0    8    2
Mar 28 02:24:32 ubuntu dstat.sh[73365]: 28-03 02:24:32| 27  22  50   0   0| 945M 1474M  173M 5033M| 186k   10k|   0  1366k|   0  23.0 |2889  4390 |0.84 0.73 0.52|2.5   0 411|   0     0 |   0     0 |  8    4    0    8    2
Mar 28 02:24:33 ubuntu dstat.sh[73365]: 28-03 02:24:33| 17  20  61   0   0| 932M 1486M  173M 5034M| 160k 9703 |   0   848k|   0  19.0 |2782  5052 |0.89 0.74 0.53|1.0   0 341|   0     0 |   0     0 |  8    5    0    8    2
Mar 28 02:24:34 ubuntu dstat.sh[73365]: 28-03 02:24:34| 20  15  51  14   0| 937M 1480M  173M 5035M|  55k 5402 |   0    19M|   0   311 |2923  6646 |0.89 0.74 0.53| 13   0 201|   0     0 |   0     0 |  8    6    0    8    2
Mar 28 02:24:35 ubuntu dstat.sh[73365]: 28-03 02:24:35| 20  13  65   0   0|1079M 1337M  173M 5157M| 153k   11k|   0  1579k|   0  11.0 |3069  6562 |0.89 0.74 0.53|1.0   0 102|   0     0 |   0     0 |  9    8    0    8    2
Mar 28 02:24:36 ubuntu dstat.sh[73365]: 28-03 02:24:36| 20   7  71   0   0|1081M 1335M  173M 5158M| 259k   11k|   0   696k|   0  17.0 |1933  2199 |0.89 0.74 0.53|1.0   0  91|   0     0 |   0     0 |  9    8    0    7    2
Mar 28 02:24:37 ubuntu dstat.sh[73365]: 28-03 02:24:37| 18  11  70   0   0|1110M 1305M  174M 5158M| 310k   22k|   0   995k|   0  28.0 |2236  3248 |0.82 0.73 0.52|1.0   0 171|   0     0 |   0     0 |  9    8    0    9    2
Mar 28 02:24:38 ubuntu dstat.sh[73365]: 28-03 02:24:38| 23   3  71   2   0|1150M 1263M  174M 5160M| 438k 8106 | 196k 1322k|14.0  22.0 |1362  1426 |0.82 0.73 0.52|1.0   0   0|   0     0 |   0     0 |  9    8    0    9    2
Mar 28 02:24:39 ubuntu dstat.sh[73365]: 28-03 02:24:39| 34   5  61   0   0|1123M 1289M  174M 5161M| 666k   17k|  12k 2398k|1.00  17.0 |1778  1852 |0.82 0.73 0.52|2.0   0 3.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 28 02:24:40 ubuntu dstat.sh[73365]: 28-03 02:24:40| 34   5  41  19   0|1158M 1251M  174M 5163M|  68k   14k|   0  9843k|   0   767 |4920  9610 |0.82 0.73 0.52|2.0 3.0  10|   0     0 |   0     0 |  9    8    0    9    2
Mar 28 02:24:41 ubuntu dstat.sh[73365]: 28-03 02:24:41| 20   6  52  21   1|1169M 1236M  175M 5166M| 116k   13k|   0  8698k|   0   670 |4829  9344 |0.82 0.73 0.52|  0 1.0  11|   0     0 |   0     0 |  9    9    0    9    2
Mar 28 02:24:42 ubuntu dstat.sh[73365]: 28-03 02:24:42| 11   4  65  18   0|1172M 1231M  175M 5168M| 132k   16k|   0  6562k|   0   633 |4740  9550 |0.99 0.77 0.54|  0 1.0  27|   0     0 |   0     0 |  9    9    0    9    2
Mar 28 02:24:43 ubuntu dstat.sh[73365]: 28-03 02:24:43| 16   4  61  19   0|1178M 1221M  176M 5171M| 939k   30k|   0  7684k|   0   653 |5534  9667 |0.99 0.77 0.54|2.0 1.0  14|   0     0 |   0     0 |  9   10    0    9    2
Mar 28 02:24:44 ubuntu dstat.sh[73365]: 28-03 02:24:44|  9   3  65  20   0|1183M 1213M  176M 5174M| 694k   25k|   0    10M|   0   741 |5616  9008 |0.99 0.77 0.54|1.0 1.0 4.0|   0     0 |   0     0 |  9   10    0    9    2
Mar 28 02:24:45 ubuntu dstat.sh[73365]: 28-03 02:24:45| 19   7  63   9   1|1094M 1301M  176M 5175M| 728k   25k|   0    35M|   0   363 |3790  5444 |0.99 0.77 0.54|1.0   0  88|   0     0 |   0     0 |  9    8    0    9    2
Mar 28 02:24:46 ubuntu dstat.sh[73365]: 28-03 02:24:46| 26   4  71   1   0|1152M 1241M  176M 5176M| 449k   12k|   0   956k|   0  31.0 |1333  1372 |0.99 0.77 0.54|1.0   0 2.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 28 02:24:47 ubuntu dstat.sh[73365]: 28-03 02:24:47| 28   2  69   0   0|1178M 1214M  176M 5177M| 802k   14k|   0  1215k|   0  26.0 |1578  1437 |0.99 0.77 0.54|2.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 28 02:24:48 ubuntu dstat.sh[73365]: 28-03 02:24:48| 32   5  61   2   0|1084M 1307M  177M 5178M|  99k 6835 |   0  8659k|   0   402 |2322  3160 |0.99 0.77 0.54|2.0   0  13|   0     0 |   0     0 |  9    6    0    9    2
Mar 28 02:24:49 ubuntu dstat.sh[73365]: 28-03 02:24:49| 31   5  63   0   0|1120M 1268M  177M 5180M| 194k 8014 |   0  8064k|   0   393 |2330  3043 |0.99 0.77 0.54|1.0   0 4.0|   0     0 |   0     0 |  9    6    0    9    2
Mar 28 02:24:50 ubuntu dstat.sh[73365]: 28-03 02:24:50| 28   4  66   1   0|1036M 1350M  177M 5182M| 985k   25k|   0    10M|   0   463 |3646  4368 |0.99 0.77 0.54|3.0   0  40|   0     0 |   0     0 |  9    6    0    9    2
Mar 28 02:24:51 ubuntu dstat.sh[73365]: 28-03 02:24:51| 24  23  52   1   0|1037M 1344M  177M 5186M|  16k 2712 |   0  8113k|   0   383 |3738  6149 |0.99 0.77 0.54|3.0   0 406|   0     0 |   0     0 |  9    6    0    9    2
Mar 28 02:24:52 ubuntu dstat.sh[73365]: 28-03 02:24:52| 18  18  62   0   0|1041M 1340M  177M 5187M| 351k   13k|   0  1890k|   0  89.9 |4287  7268 |0.99 0.78 0.54|5.0   0 266|   0     0 |   0     0 |  9    6    0    9    2
Mar 28 02:24:53 ubuntu dstat.sh[73365]: 28-03 02:24:53| 36  18  44   3   0|1116M 1262M  177M 5189M| 728k   21k| 196k 2075k|3.00  19.0 |4160  7370 |0.99 0.78 0.54|2.0   0 184|   0     0 |   0     0 |  9    7    0    9    2
Mar 28 02:24:54 ubuntu dstat.sh[73365]: 28-03 02:24:54| 49   5  45   0   0|1204M 1174M  177M 5190M|  59k 6090 | 148k  396k|5.00  9.00 |1427  1514 |0.99 0.78 0.54|2.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
Mar 28 02:24:55 ubuntu dstat.sh[73365]: 28-03 02:24:55| 51   3  44   1   0|1234M 1143M  177M 5190M|  82k 6883 | 352k 3948k|4.00  17.0 |1439  1303 |0.99 0.78 0.54|2.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
Mar 28 02:24:56 ubuntu dstat.sh[73365]: 28-03 02:24:56| 45  15  39   1   0|1261M 1113M  178M 5192M|  61k 8644 |   0  1705k|   0  59.0 |3432    10k|0.99 0.78 0.54|1.0   0 175|   0     0 |   0     0 |  9    6    0   10    2
Mar 28 02:24:57 ubuntu dstat.sh[73365]: 28-03 02:24:57| 30   2  66   0   0|1329M 1044M  178M 5193M| 189k 9389 |   0   443k|   0  5.99 |1396  1539 |0.99 0.78 0.55|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Mar 28 02:24:58 ubuntu dstat.sh[73365]: 28-03 02:24:58| 30   2  67   1   0|1361M 1012M  178M 5193M| 146k 7159 |   0   601k|   0  9.01 |1319  1356 |0.99 0.78 0.55|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Mar 28 02:24:59 ubuntu dstat.sh[73365]: 28-03 02:24:59| 32   2  62   2   0|1364M 1009M  178M 5193M|  94k   68k|   0  1414k|   0   164 |2888  4682 |0.99 0.78 0.55|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   12    2
Mar 28 02:25:00 ubuntu dstat.sh[73365]: 28-03 02:25:00| 24   7  68   1   0|1285M 1087M  178M 5193M|  35k 5021 |   0    11M|   0   185 |2044  2535 |0.99 0.78 0.55|1.0   0  44|   0     0 |   0     0 |  9    6    0   12    2
Mar 28 02:25:01 ubuntu dstat.sh[73365]: 28-03 02:25:01| 28   6  64   2   0|1322M 1049M  178M 5195M| 350k   82k|  64k 1594k|6.01  14.0 |1810  2367 |0.99 0.78 0.55|2.0   0 4.0|   0     0 |   0     0 |  9   19    0   12    2
Mar 28 02:25:02 ubuntu dstat.sh[73365]: 28-03 02:25:02| 39   8  48   5   0|1289M 1076M  178M 5199M|  61k   53k| 216k  684k|54.0  17.0 |2346  3728 |1.08 0.80 0.55|2.0   0  46|   0     0 |   0     0 |  9   32    0   12    2
Mar 28 02:25:03 ubuntu dstat.sh[73365]: 28-03 02:25:03| 44   6  49   0   0|1316M 1050M  178M 5198M|9730  1619 |   0    16k|   0  4.00 |1541  1870 |1.08 0.80 0.55|2.0   0  10|   0     0 |   0     0 |  9   32    0   12    2
Mar 28 02:25:04 ubuntu dstat.sh[73365]: 28-03 02:25:04| 40  14  46   1   0|1306M 1038M  179M 5218M|  68k   60k|   0  3470k|   0   107 |2356  3502 |1.08 0.80 0.55|4.0   0 157|   0     0 |   0     0 |  9   32    0   12    2
Mar 28 02:25:05 ubuntu dstat.sh[73365]: 28-03 02:25:05| 60  13  25   2   0|1377M  953M  180M 5229M|  19k 1457 |   0    14M|   0   567 |2807  2206 |1.08 0.80 0.55|3.0   0 2.0|   0     0 |   0     0 |  9   32    0    9    2
Mar 28 02:25:06 ubuntu dstat.sh[73365]: 28-03 02:25:06| 66   8  25   1   0|1410M  892M  181M 5253M| 649k  639k|  28k 2904k|2.00   109 |4580    11k|1.08 0.80 0.55|4.0   0 2.0|   0     0 |   0     0 |  9   37    0    9    2
Mar 28 02:25:07 ubuntu dstat.sh[73365]: 28-03 02:25:07| 68  21   8   2   0|1405M  890M  181M 5259M|  75k   66k|   0  7148k|   0   304 |3474  6869 |1.55 0.90 0.59|6.0   0 442|   0     0 |   0     0 |  9   37    0    9    2
Mar 28 02:25:08 ubuntu dstat.sh[73365]: 28-03 02:25:08| 85  15   1   0   0|1551M  744M  181M 5259M| 237k  227k|   0   612k|   0  10.0 |3126  4994 |1.55 0.90 0.59|8.0   0 137|   0     0 |   0     0 |  9   38    0    9    2
Mar 28 02:25:09 ubuntu dstat.sh[73365]: 28-03 02:25:09| 87  12   0   0   0|1587M  728M  181M 5240M| 694k  685k|   0  1660k|   0  57.0 |4956  9803 |1.55 0.90 0.59|9.0   0  37|   0     0 |   0     0 |  9   35    0    9    0
