-- Logs begin at Mon 2022-12-26 05:42:19 UTC, end at Mon 2022-12-26 17:41:28 UTC. --
Dec 26 17:02:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 26 17:02:38 ubuntu dstat.sh[73717]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 26 17:02:38 ubuntu dstat.sh[73717]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 26 17:02:38 ubuntu dstat.sh[73717]: 26-12 17:02:38|                   | 841M 1528M  191M 5070M|           |           |           |           |1.21 1.03 0.68|2.0   0    |           |   0     0 |  8    4    0   10    2
Dec 26 17:02:39 ubuntu dstat.sh[73717]: 26-12 17:02:39| 12  20  68   0   0| 842M 1526M  191M 5071M|1371k   41k|   0   208k|   0  9.99 |4527  6106 |1.17 1.02 0.68|1.5   0 375|   0     0 |   0     0 |  8    4    0   10    2
Dec 26 17:02:40 ubuntu dstat.sh[73717]: 26-12 17:02:40| 13  20  65   0   1| 847M 1514M  191M 5077M|2485k   42k|   0    28k|   0  8.50 |5016  6524 |1.12 1.02 0.67| 14   0 355|   0     0 |   0     0 |  8    4    0   10    2
Dec 26 17:02:41 ubuntu dstat.sh[73717]: 26-12 17:02:41| 21  17  63   0   0| 825M 1534M  191M 5079M|1149k   25k|   0  4619k|   0  20.0 |3663  4984 |1.12 1.02 0.67|2.0   0 185|   0     0 |   0     0 |  8    4    0   10    2
Dec 26 17:02:42 ubuntu dstat.sh[73717]: 26-12 17:02:42| 24  17  57   1   0| 976M 1380M  191M 5204M|1372k   26k|   0    13M|   0   104 |4855  7728 |1.12 1.02 0.67|1.0   0 124|   0     0 |   0     0 |  9    6    0   10    2
Dec 26 17:02:43 ubuntu dstat.sh[73717]: 26-12 17:02:43| 20   9  71   1   0| 977M 1378M  191M 5204M| 222k   10k|   0   752k|   0  17.0 |1825  2127 |1.12 1.02 0.67|1.0   0  97|   0     0 |   0     0 |  9    6    0   10    2
Dec 26 17:02:44 ubuntu dstat.sh[73717]: 26-12 17:02:44| 19  11  69   1   0|1001M 1355M  191M 5205M| 195k   21k|   0  1032k|   0  37.0 |2241  3231 |1.11 1.02 0.68|1.0   0 173|   0     0 |   0     0 |  9    6    0   12    2
Dec 26 17:02:45 ubuntu dstat.sh[73717]: 26-12 17:02:45| 26   3  69   2   0|1055M 1299M  191M 5206M| 136k 8936 | 196k 1716k|14.0  20.0 |1419  1534 |1.11 1.02 0.68|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Dec 26 17:02:46 ubuntu dstat.sh[73717]: 26-12 17:02:46| 26   3  68   3   0|1058M 1295M  191M 5207M| 164k   17k|  12k 2272k|1.00  92.1 |2044  2728 |1.11 1.02 0.68|  0 1.0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 26 17:02:47 ubuntu dstat.sh[73717]: 26-12 17:02:47|  8   5  63  22   0|1067M 1283M  191M 5209M| 145k   13k|   0    22M|   0  1024 |5566    11k|1.11 1.02 0.68|1.0   0  10|   0     0 |   0     0 |  9    8    0   10    2
Dec 26 17:02:48 ubuntu dstat.sh[73717]: 26-12 17:02:48|  9   4  65  20   0|1074M 1272M  192M 5212M|  43k   11k|   0  8280k|   0   711 |5013    10k|1.11 1.02 0.68|  0 1.0  15|   0     0 |   0     0 |  9    8    0   10    2
Dec 26 17:02:49 ubuntu dstat.sh[73717]: 26-12 17:02:49|  8   3  65  21   0|1076M 1269M  192M 5213M|  70k   12k|   0  6243k|   0   588 |5143  8927 |1.34 1.07 0.69|  0 1.0  15|   0     0 |   0     0 |  9    8    0   10    2
Dec 26 17:02:50 ubuntu dstat.sh[73717]: 26-12 17:02:50| 14   4  63  20   0|1080M 1263M  193M 5215M|  64k   12k|   0  6539k|   0   655 |5103  9528 |1.34 1.07 0.69|1.0   0  16|   0     0 |   0     0 |  9    8    0   10    2
Dec 26 17:02:51 ubuntu dstat.sh[73717]: 26-12 17:02:51| 12   5  65  19   0|1083M 1257M  193M 5217M|  75k   15k|   0  7412k|   0   710 |5128    10k|1.34 1.07 0.69|2.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
Dec 26 17:02:52 ubuntu dstat.sh[73717]: 26-12 17:02:52| 22   5  72   0   0|1007M 1333M  193M 5217M|  43k 5488 |   0   376k|   0  14.0 |1440  2127 |1.34 1.07 0.69|1.0   0  76|   0     0 |   0     0 |  9    6    0   10    2
Dec 26 17:02:53 ubuntu dstat.sh[73717]: 26-12 17:02:53| 24   4  71   1   0|1063M 1277M  193M 5217M| 147k 7905 |   0   681k|   0  9.01 |1001  1211 |1.34 1.07 0.69|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 26 17:02:54 ubuntu dstat.sh[73717]: 26-12 17:02:54| 30   7  62   3   1|1020M 1320M  193M 5218M| 318k   12k|   0  7540k|   0   393 |2766  6013 |1.31 1.06 0.70|3.0   0  44|   0     0 |   0     0 |  9    6    0   10    2
