-- Logs begin at Fri 2023-03-31 05:00:59 UTC, end at Sun 2023-04-02 08:58:26 UTC. --
Apr 02 08:20:26 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 02 08:20:27 ubuntu dstat.sh[84102]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 02 08:20:27 ubuntu dstat.sh[84102]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 02 08:20:27 ubuntu dstat.sh[84102]: 02-04 08:20:27|                   | 938M 1151M  199M 5326M|           |           |           |           |0.95 0.86 0.62|1.0   0    |           |   0     0 |  8    6    0    8    2
Apr 02 08:20:28 ubuntu dstat.sh[84102]: 02-04 08:20:28| 15  19  66   1   1| 942M 1147M  199M 5327M| 310k   11k|   0   856k|   0  20.0 |2798  4207 |0.95 0.86 0.62|2.0   0 363|   0     0 |   0     0 |  8    6    0    8    2
Apr 02 08:20:29 ubuntu dstat.sh[84102]: 02-04 08:20:29| 18  19  63   0   0| 952M 1133M  199M 5330M|1398k   38k|   0    28k|   0  13.5 |3560  4881 |0.95 0.86 0.62| 16   0 354|   0     0 |   0     0 |  8    6    0    7    2
Apr 02 08:20:30 ubuntu dstat.sh[84102]: 02-04 08:20:30| 17  18  63   0   0| 931M 1149M  199M 5335M|2484k   46k|   0    16k|   0  4.00 |4367  6962 |0.95 0.86 0.62|1.0   0 207|   0     0 |   0     0 |  8    6    0    7    2
Apr 02 08:20:31 ubuntu dstat.sh[84102]: 02-04 08:20:31| 30  15  54   1   0|1049M 1029M  199M 5459M|1143k   16k|   0  5127k|   0  18.0 |4598  6800 |0.95 0.86 0.62|1.0   0  73|   0     0 |   0     0 |  9    4    0    7    2
Apr 02 08:20:32 ubuntu dstat.sh[84102]: 02-04 08:20:32| 32   9  59   0   0|1076M  998M  199M 5463M|1984k   40k|   0  2014k|   0  6.00 |3435  3130 |0.95 0.86 0.62|3.0   0  87|   0     0 |   0     0 |  9    6    0    7    2
Apr 02 08:20:33 ubuntu dstat.sh[84102]: 02-04 08:20:33| 31  13  55   0   0|1075M  999M  199M 5463M| 114k 8574 |   0   487k|   0  16.0 |1998  2558 |0.96 0.86 0.62|2.0   0 154|   0     0 |   0     0 |  9    7    0    7    2
Apr 02 08:20:34 ubuntu dstat.sh[84102]: 02-04 08:20:34| 23   6  69   1   0|1119M  954M  199M 5464M| 265k   25k|  52k 1311k|5.01  36.1 |1831  2368 |0.96 0.86 0.62|2.0   0  56|   0     0 |   0     0 |  9    7    0    9    2
Apr 02 08:20:35 ubuntu dstat.sh[84102]: 02-04 08:20:35| 33   4  62   2   0|1144M  928M  199M 5465M| 157k 7500 | 144k 1764k|9.00  20.0 |1438  1588 |0.96 0.86 0.62|3.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:20:36 ubuntu dstat.sh[84102]: 02-04 08:20:36| 18   4  66  11   0|1166M  905M  200M 5465M| 135k   21k|  12k 5709k|1.00   449 |3860  6349 |0.96 0.86 0.62|1.0 1.0  11|   0     0 |   0     0 |  9   10    0    9    2
Apr 02 08:20:37 ubuntu dstat.sh[84102]: 02-04 08:20:37| 10   4  68  19   0|1167M  901M  200M 5468M| 198k   15k|   0    19M|   0   825 |4654  8776 |0.96 0.86 0.62|3.0 1.0   0|   0     0 |   0     0 |  9   10    0    9    2
Apr 02 08:20:38 ubuntu dstat.sh[84102]: 02-04 08:20:38|  9   4  66  20   0|1174M  890M  200M 5471M| 476k   20k|   0  7456k|   0   638 |5558  9388 |1.12 0.90 0.63|1.0   0  19|   0     0 |   0     0 |  9   10    0    9    2
Apr 02 08:20:39 ubuntu dstat.sh[84102]: 02-04 08:20:39| 14   4  61  21   0|1139M  921M  200M 5475M| 787k   19k|   0  8321k|   0   695 |5944  9832 |1.12 0.90 0.63|1.0 1.0  20|   0     0 |   0     0 |  9    8    0    9    4
Apr 02 08:20:40 ubuntu dstat.sh[84102]: 02-04 08:20:40| 30   6  47  17   0|1172M  886M  201M 5476M|  74k   13k|   0  6898k|   0   622 |4958  8867 |1.12 0.90 0.63|1.0 2.0  11|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:20:41 ubuntu dstat.sh[84102]: 02-04 08:20:41| 34   5  48  12   0|1180M  876M  201M 5478M|  75k   13k|   0  4465k|   0   427 |4007  6869 |1.12 0.90 0.63|1.0   0  16|   0     0 |   0     0 |  9    6    1    9    2
Apr 02 08:20:42 ubuntu dstat.sh[84102]: 02-04 08:20:42| 24   7  67   1   0|1133M  923M  201M 5478M|  56k 6244 |   0  7276k|   0   385 |2276  2170 |1.12 0.90 0.63|1.0 1.0  76|   0     0 |   0     0 |  9    7    0    9    2
Apr 02 08:20:43 ubuntu dstat.sh[84102]: 02-04 08:20:43| 32   4  63   0   0|1176M  881M  201M 5478M|  62k 7829 |   0  1128k|   0  29.0 |1348  1418 |1.19 0.92 0.64|1.0   0   0|   0     0 |   0     0 |  9    7    1    9    2
Apr 02 08:20:44 ubuntu dstat.sh[84102]: 02-04 08:20:44| 27   3  68   2   0|1110M  946M  201M 5478M|  43k 5992 |   0  7386k|   0   405 |2502  3218 |1.19 0.92 0.64|1.0   0  13|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:20:45 ubuntu dstat.sh[84102]: 02-04 08:20:45| 26   4  68   2   0|1164M  892M  201M 5478M| 217k   10k|   0  7369k|   0   390 |2452  3068 |1.19 0.92 0.64|1.0   0 2.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:20:46 ubuntu dstat.sh[84102]: 02-04 08:20:46| 28   3  66   2   0|1181M  873M  201M 5480M|1068k   28k|   0  8238k|   0   424 |3179  3744 |1.19 0.92 0.64|1.0   0   0|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:20:47 ubuntu dstat.sh[84102]: 02-04 08:20:47| 16  17  64   2   0|1092M  959M  201M 5483M|1428k   35k|   0    40M|   0   499 |5251  6612 |1.19 0.92 0.64|1.0   0 369|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:20:48 ubuntu dstat.sh[84102]: 02-04 08:20:48| 36  21  41   1   0|1081M  968M  201M 5485M| 723k   17k|   0  4713k|   0   123 |4645  7410 |1.34 0.95 0.65|2.0   0 341|   0     0 |   0     0 |  9    6    0    9    2
Apr 02 08:20:49 ubuntu dstat.sh[84102]: 02-04 08:20:49| 55  16  28   0   0|1150M  899M  201M 5485M| 102k 8020 | 196k  644k|3.00  19.0 |3818  7738 |1.34 0.95 0.65|3.0   0 188|   0     0 |   0     0 |  9    7    0    9    2
Apr 02 08:20:50 ubuntu dstat.sh[84102]: 02-04 08:20:50| 56   6  37   0   0|1253M  795M  201M 5486M| 159k 9022 | 128k  399k|1.00  8.98 |1635  1509 |1.34 0.95 0.65|3.0   0 4.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:20:51 ubuntu dstat.sh[84102]: 02-04 08:20:51| 54   5  39   2   0|1301M  744M  202M 5488M| 238k   11k| 373k 1090k|8.02  19.0 |1873  1761 |1.34 0.95 0.65|4.0   0 3.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:20:52 ubuntu dstat.sh[84102]: 02-04 08:20:52| 60   9  31   0   0|1260M  782M  202M 5491M|  48k 6891 |   0  3390k|   0  23.0 |2135  7081 |1.34 0.95 0.65|3.0   0 106|   0     0 |   0     0 |  9    6    0    9    2
Apr 02 08:20:53 ubuntu dstat.sh[84102]: 02-04 08:20:53| 25   6  68   1   0|1319M  722M  202M 5491M|  56k 6036 |   0   500k|   0  9.00 |1858  2699 |1.31 0.95 0.66|1.0   0  36|   0     0 |   0     0 |  9    6    0    9    2
Apr 02 08:20:54 ubuntu dstat.sh[84102]: 02-04 08:20:54| 33   6  61   0   0|1352M  684M  202M 5496M| 895k   24k|   0   940k|   0  4.00 |2221  1880 |1.31 0.95 0.66|2.0   0 5.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 02 08:20:55 ubuntu dstat.sh[84102]: 02-04 08:20:55| 27   4  67   2   0|1269M  765M  202M 5497M| 553k   81k|   0  4265k|   0   268 |3684  5446 |1.31 0.95 0.66|4.0   0 4.0|   0     0 |   0     0 |  9    6    0   11    2
Apr 02 08:20:56 ubuntu dstat.sh[84102]: 02-04 08:20:56| 25   6  67   1   0|1293M  739M  202M 5498M| 554k   15k|  60k  920k|9.00  9.00 |1771  2043 |1.31 0.95 0.66|1.0   0  44|   0     0 |   0     0 |  9    6    0   11    2
Apr 02 08:20:57 ubuntu dstat.sh[84102]: 02-04 08:20:57| 25   4  70   2   1|1319M  713M  202M 5499M| 244k   81k|  28k 4781k|3.00  33.0 |1813  2403 |1.31 0.95 0.66|1.0   0 3.0|   0     0 |   0     0 |  9   19    0   11    2
Apr 02 08:20:58 ubuntu dstat.sh[84102]: 02-04 08:20:58| 22   4  69   4   0|1272M  759M  202M 5500M| 120k   60k| 216k 1645k|53.9  38.9 |2068  2853 |1.29 0.95 0.66|1.0   0  47|   0     0 |   0     0 |  9   32    0   10    2
Apr 02 08:20:59 ubuntu dstat.sh[84102]: 02-04 08:20:59| 25   4  71   0   0|1319M  712M  202M 5500M|  50k 5974 |   0   296k|   0  9.01 |1143  1358 |1.29 0.95 0.66|1.0   0 1.0|   0     0 |   0     0 |  9   32    0   10    2
Apr 02 08:21:00 ubuntu dstat.sh[84102]: 02-04 08:21:00| 28  10  60   0   0|1289M  742M  202M 5500M| 224k   67k|   0   420k|   0  9.00 |2147  3181 |1.29 0.95 0.66|2.0   0 158|   0     0 |   0     0 |  9   32    0   10    2
Apr 02 08:21:01 ubuntu dstat.sh[84102]: 02-04 08:21:01| 50   9  42   0   0|1394M  636M  202M 5500M| 145k 7371 |   0   444k|   0  9.01 |1581  1628 |1.29 0.95 0.66|3.0   0 5.0|   0     0 |   0     0 |  9   32    0   10    2
Apr 02 08:21:02 ubuntu dstat.sh[84102]: 02-04 08:21:02| 54   7  39   1   0|1409M  621M  203M 5501M| 735k  712k|  28k  956k|2.00  62.0 |4296    11k|1.29 0.95 0.66|4.0   0 2.0|   0     0 |   0     0 |  9   36    0   11    2
Apr 02 08:21:03 ubuntu dstat.sh[84102]: 02-04 08:21:03| 63  21  15   0   0|1421M  608M  203M 5501M|  45k 4659 |   0    10M|   0   116 |2616  4540 |1.58 1.02 0.68|7.0   0 458|   0     0 |   0     0 |  9   36    0   11    2
Apr 02 08:21:04 ubuntu dstat.sh[84102]: 02-04 08:21:04| 87  13   0   0   0|1539M  489M  203M 5502M| 221k  170k|   0   944k|   0  39.0 |2768  4370 |1.58 1.02 0.68|7.0   0 136|   0     0 |   0     0 |  9   38    0   10    2
Apr 02 08:21:05 ubuntu dstat.sh[84102]: 02-04 08:21:05| 87  12   0   0   0|1577M  446M  203M 5506M| 676k  665k|   0  2009k|   0  67.0 |4168    10k|1.58 1.02 0.68|7.0   0  20|   0     0 |   0     0 |  9   37    0   10    2
Apr 02 08:21:06 ubuntu dstat.sh[84102]: 02-04 08:21:06| 77  13  10   0   0|1419M  605M  203M 5505M| 357k  340k|   0  1619k|   0  93.0 |4202  8392 |1.58 1.02 0.68|3.0   0 185|   0     0 |   0     0 |  9   37    0   10    2
Apr 02 08:21:07 ubuntu dstat.sh[84102]: 02-04 08:21:07| 42  11  45   2   0|1328M  675M  203M 5524M| 145k  139k|   0  3237k|   0   146 |2944  4952 |1.58 1.02 0.68|2.0   0 112|   0     0 |   0     0 |  9   36    0   10    2
Apr 02 08:21:08 ubuntu dstat.sh[84102]: 02-04 08:21:08| 46  11  40   3   0|1366M  628M  204M 5531M|  61k   54k|   0  4399k|   0  88.0 |2127  6546 |1.78 1.07 0.70|1.0 1.0  34|   0     0 |   0     0 |  9   36    0   11    2
Apr 02 08:21:09 ubuntu dstat.sh[84102]: 02-04 08:21:09| 36   8  48   7   0|1321M  660M  205M 5541M| 164k  155k|   0  5704k|   0   271 |2973  5039 |1.78 1.07 0.70|2.0   0  70|   0     0 |   0     0 |  9   36    0   11    2
Apr 02 08:21:10 ubuntu dstat.sh[84102]: 02-04 08:21:10| 42   7  49   3   0|1360M  600M  205M 5560M|  10k 1837 |   0  1217k|   0  38.0 |1373  1474 |1.78 1.07 0.70|1.0 1.0   0|   0     0 |   0     0 |  9   36    0   10    2
Apr 02 08:21:11 ubuntu dstat.sh[84102]: 02-04 08:21:11| 33   8  56   2   0|1304M  649M  206M 5565M| 214k  206k|   0  1634k|   0  67.1 |2265  4265 |1.78 1.07 0.70|1.0   0  57|   0     0 |   0     0 |  9   37    0   10    2
Apr 02 08:21:12 ubuntu dstat.sh[84102]: 02-04 08:21:12| 11  19  68   0   0|1300M  653M  206M 5565M|  15k 3113 |   0   424k|   0  7.99 |2690  3725 |1.78 1.07 0.70|1.0   0 397|   0     0 |   0     0 |  9   37    0   10    2
Apr 02 08:21:13 ubuntu dstat.sh[84102]: 02-04 08:21:13| 51  20  23   6   0|1392M  581M  206M 5546M|  13k 3296 |   0    10M|   0   413 |3397  4348 |2.04 1.14 0.72|5.0   0 441|   0     0 |   0     0 |  9   34    0   10    0
Apr 02 08:21:14 ubuntu dstat.sh[84102]: 02-04 08:21:14| 83  16   0   0   0|1470M  504M  206M 5546M| 125k  118k|   0  1652k|   0  57.0 |2466  3911 |2.04 1.14 0.72|6.0   0 152|   0     0 |   0     0 |  9   35    0   10    0
Apr 02 08:21:15 ubuntu dstat.sh[84102]: 02-04 08:21:15| 86  13   1   0   0|1559M  413M  206M 5547M| 915k  906k|   0  1932k|   0  49.0 |8910    17k|2.04 1.14 0.72|7.0   0  21|   0     0 |   0     0 |  9   36    0   11    0
Apr 02 08:21:16 ubuntu dstat.sh[84102]: 02-04 08:21:16| 87  11   1   0   0|1476M  497M  206M 5547M| 492k  484k|   0   968k|   0  42.0 |4281  8475 |2.04 1.14 0.72|6.0   0  96|   0     0 |   0     0 |  9   35    0   11    0
