-- Logs begin at Fri 2022-12-16 09:37:56 UTC, end at Mon 2022-12-19 14:40:25 UTC. --
Dec 19 14:28:00 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 19 14:28:00 ubuntu dstat.sh[84289]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 19 14:28:00 ubuntu dstat.sh[84289]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 19 14:28:00 ubuntu dstat.sh[84289]: 19-12 14:28:00|                   | 917M 1428M  194M 5081M|           |           |           |           |1.16 0.80 0.51|1.0   0    |           |   0     0 |  8    6    0   10    2
Dec 19 14:28:01 ubuntu dstat.sh[84289]: 19-12 14:28:01| 11  18  68   0   0| 918M 1426M  194M 5083M|1752k   48k|   0   244k|   0  10.0 |4353  5299 |1.16 0.80 0.51|2.0   0 393|   0     0 |   0     0 |  8    6    0   10    2
Dec 19 14:28:02 ubuntu dstat.sh[84289]: 19-12 14:28:02| 17  20  61   1   0| 904M 1433M  194M 5090M|2644k   58k|   0    16M|   0   130 |5190  5954 |1.16 0.80 0.51|1.0   0 353|   0     0 |   0     0 |  8    6    0   10    2
Dec 19 14:28:03 ubuntu dstat.sh[84289]: 19-12 14:28:03| 21  16  62   1   0| 902M 1429M  194M 5095M|2695k   52k|   0  1502k|   0  12.0 |5317  6226 |1.23 0.82 0.52|2.0   0 205|   0     0 |   0     0 |  8    4    0   10    4
Dec 19 14:28:04 ubuntu dstat.sh[84289]: 19-12 14:28:04| 39  17  42   2   1|1036M 1294M  194M 5218M| 306k   12k|   0  2503k|   0  15.0 |3850  7585 |1.23 0.82 0.52|2.0 1.0 149|   0     0 |   0     0 |  9    6    0   10    2
Dec 19 14:28:05 ubuntu dstat.sh[84289]: 19-12 14:28:05| 41  11  45   2   0|1046M 1283M  194M 5218M| 214k 9511 |   0   436k|   0  16.0 |2071  2613 |1.23 0.82 0.52|2.0   0 170|   0     0 |   0     0 |  9    6    1   10    2
Dec 19 14:28:06 ubuntu dstat.sh[84289]: 19-12 14:28:06| 23   5  69   3   0|1091M 1238M  194M 5219M| 204k   20k|  20k 1446k|2.00  39.1 |1670  2232 |1.23 0.82 0.52|2.0   0  48|   0     0 |   0     0 |  9    7    0   10    2
Dec 19 14:28:07 ubuntu dstat.sh[84289]: 19-12 14:28:07| 31   4  59   5   0|1122M 1206M  194M 5220M|  83k 8055 | 176k   11M|12.0  49.9 |1447  1548 |1.23 0.82 0.52|1.0   0 1.0|   0     0 |   0     0 |  9    7    1   10    2
Dec 19 14:28:08 ubuntu dstat.sh[84289]: 19-12 14:28:08| 22   1  67   9   0|1134M 1193M  194M 5221M| 153k   17k|  12k 1902k|1.00  94.9 |1934  2835 |1.21 0.82 0.53|  0 2.0 1.0|   0     0 |   0     0 |  9   10    0   10    2
Dec 19 14:28:09 ubuntu dstat.sh[84289]: 19-12 14:28:09|  4   3  65  26   0|1144M 1182M  194M 5222M|  43k 6921 |   0  8406k|   0   619 |4383  7932 |1.21 0.82 0.53|  0 1.0 9.0|   0     0 |   0     0 |  9   10    0   10    2
Dec 19 14:28:10 ubuntu dstat.sh[84289]: 19-12 14:28:10|  6   2  66  23   0|1145M 1179M  194M 5224M| 328k   15k|   0  5398k|   0   457 |4327  7605 |1.21 0.82 0.53|2.0 1.0 3.0|   0     0 |   0     0 |  9   10    0   10    2
Dec 19 14:28:11 ubuntu dstat.sh[84289]: 19-12 14:28:11|  9   3  65  21   0|1152M 1168M  195M 5227M| 586k   15k|   0  5970k|   0   461 |4724  8067 |1.21 0.82 0.53|  0 1.0  15|   0     0 |   0     0 |  9   10    0   10    2
Dec 19 14:28:12 ubuntu dstat.sh[84289]: 19-12 14:28:12| 17   4  58  20   0|1126M 1192M  195M 5230M| 626k   15k|   0  7262k|   0   539 |4774  8467 |1.21 0.82 0.53|1.0 1.0  16|   0     0 |   0     0 |  9    8    0   10    2
Dec 19 14:28:13 ubuntu dstat.sh[84289]: 19-12 14:28:13| 31   5  45  18   0|1148M 1167M  195M 5232M|  37k   10k|   0  6008k|   0   529 |4236  7729 |1.35 0.86 0.54|2.0 1.0  14|   0     0 |   0     0 |  9    8    0   10    2
