-- Logs begin at Sun 2022-12-25 00:55:23 UTC, end at Mon 2022-12-26 05:39:42 UTC. --
Dec 26 05:00:51 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 26 05:00:51 ubuntu dstat.sh[82529]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 26 05:00:51 ubuntu dstat.sh[82529]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 26 05:00:51 ubuntu dstat.sh[82529]: 26-12 05:00:51|                   | 839M 1509M  194M 5081M|           |           |           |           |1.18 0.88 0.57|1.0   0    |           |   0     0 |  8    4    0   10    2
Dec 26 05:00:52 ubuntu dstat.sh[82529]: 26-12 05:00:52| 19  19  62   0   0| 842M 1505M  194M 5081M| 531k   18k|   0   431k|   0  13.0 |2994  4247 |1.18 0.88 0.57|1.0   0 347|   0     0 |   0     0 |  8    4    0   10    2
Dec 26 05:00:53 ubuntu dstat.sh[82529]: 26-12 05:00:53| 12  19  67   0   0| 845M 1497M  194M 5086M|2419k   21k|   0    28k|   0  9.99 |3270  3968 |1.18 0.88 0.57|1.0   0 334|   0     0 |   0     0 |  8    4    0   10    2
Dec 26 05:00:54 ubuntu dstat.sh[82529]: 26-12 05:00:54| 19  20  60   0   1| 833M 1506M  194M 5090M|1583k   13k|   0  4378k|   0  14.0 |4049  8508 |1.18 0.88 0.57|1.0   0 233|   0     0 |   0     0 |  8    4    0   10    2
Dec 26 05:00:55 ubuntu dstat.sh[82529]: 26-12 05:00:55| 18  14  66   0   0| 976M 1359M  194M 5215M|1971k   10k|   0  2003k|   0  4.00 |4122  8881 |1.18 0.88 0.57|  0   0  74|   0     0 |   0     0 |  9    4    0   10    2
Dec 26 05:00:56 ubuntu dstat.sh[82529]: 26-12 05:00:56| 15   7  76   0   0| 983M 1352M  194M 5215M| 102k 7798 |   0   516k|   0  13.0 |1566  2157 |1.08 0.87 0.57|1.0   0  98|   0     0 |   0     0 |  9    6    0    8    2
Dec 26 05:00:57 ubuntu dstat.sh[82529]: 26-12 05:00:57| 18  12  70   1   0| 981M 1354M  194M 5216M| 263k   19k|   0   772k|   0  29.0 |2165  3135 |1.08 0.87 0.57|1.0   0 189|   0     0 |   0     0 |  9    6    0   10    2
Dec 26 05:00:58 ubuntu dstat.sh[82529]: 26-12 05:00:58| 24   4  71   0   0|1036M 1298M  194M 5216M| 151k 5727 |  52k  992k|5.00  21.0 |1246  1375 |1.08 0.87 0.57|1.0   0 5.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 26 05:00:59 ubuntu dstat.sh[82529]: 26-12 05:00:59| 26   2  69   2   0|1052M 1280M  195M 5218M| 169k 7381 | 144k 1697k|9.00  17.0 |1278  1508 |1.08 0.87 0.57|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 26 05:01:00 ubuntu dstat.sh[82529]: 26-12 05:01:00| 14   3  63  16   0|1073M 1257M  195M 5219M|  62k   17k|  12k 7557k|1.00   586 |4487  7748 |1.08 0.87 0.57|  0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
