-- Logs begin at Thu 2023-05-04 20:55:00 UTC, end at Fri 2023-05-05 09:46:37 UTC. --
May 05 09:09:37 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 05 09:09:38 ubuntu dstat.sh[82160]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 05 09:09:38 ubuntu dstat.sh[82160]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 05 09:09:38 ubuntu dstat.sh[82160]: 05-05 09:09:38|                   | 990M 1315M  197M 5118M|           |           |           |           |1.12 0.78 0.54|3.0   0    |           |   0     0 |  8    7    0    8    2
May 05 09:09:39 ubuntu dstat.sh[82160]: 05-05 09:09:39| 15  19  64   0   0| 997M 1306M  197M 5120M|2545k   42k|   0   355k|   0  19.2 |4394  6657 |1.12 0.78 0.54|4.0   0 397|   0     0 |   0     0 |  8    7    0    8    2
May 05 09:09:40 ubuntu dstat.sh[82160]: 05-05 09:09:40| 32  22  43   1   0| 960M 1338M  197M 5126M|1254k   26k|   0  5135k|   0  20.6 |4468  7526 |1.12 0.78 0.54|4.0   0 370|   0     0 |   0     0 |  8    6    0    9    2
May 05 09:09:41 ubuntu dstat.sh[82160]: 05-05 09:09:41| 33  12  43  10   1| 976M 1318M  197M 5129M|1925k   37k|   0    18M|   0   257 |4050  3679 |1.12 0.78 0.54|2.0   0 166|   0     0 |   0     0 |  8    6    0    8    2
May 05 09:09:42 ubuntu dstat.sh[82160]: 05-05 09:09:42| 32  17  50   0   0|1120M 1173M  197M 5252M| 329k   13k|   0   502k|   0  9.96 |4292    11k|1.19 0.80 0.55|3.0   0 118|   0     0 |   0     0 |  9    7    0    8    2
May 05 09:09:43 ubuntu dstat.sh[82160]: 05-05 09:09:43| 18   7  74   1   0|1126M 1164M  197M 5254M|1280k   36k|   0   752k|   0  15.0 |2317  2273 |1.19 0.80 0.55|4.0   0  92|   0     0 |   0     0 |  9    9    0    7    2
May 05 09:09:44 ubuntu dstat.sh[82160]: 05-05 09:09:44| 33  12  52   1   0|1111M 1178M  198M 5256M|1061k   25k|   0  3114k|   0  39.0 |2702  3276 |1.19 0.80 0.55|4.0   0 197|   0     0 |   0     0 |  9    8    0    9    2
May 05 09:09:45 ubuntu dstat.sh[82160]: 05-05 09:09:45| 47   5  45   1   0|1181M 1107M  198M 5257M| 169k 9808 |  52k 1335k|5.00  21.0 |1598  1492 |1.19 0.80 0.55|4.0   0 3.0|   0     0 |   0     0 |  9    8    0    9    2
May 05 09:09:46 ubuntu dstat.sh[82160]: 05-05 09:09:46| 37   6  54   2   0|1193M 1093M  198M 5258M| 154k 8434 | 144k   11M|9.02  45.1 |1596  1682 |1.19 0.80 0.55|1.0   0 6.0|   0     0 |   0     0 |  9    9    0    9    2
May 05 09:09:47 ubuntu dstat.sh[82160]: 05-05 09:09:47| 13   3  64  18   0|1212M 1071M  198M 5261M| 521k   26k|  12k 8718k|1.00   672 |4814  8625 |1.41 0.85 0.57|  0 1.0  11|   0     0 |   0     0 |  9   11    0    9    2
May 05 09:09:48 ubuntu dstat.sh[82160]: 05-05 09:09:48| 18   4  57  18   0|1139M 1139M  198M 5265M| 740k   23k|   0  9834k|   0   675 |5861  9728 |1.41 0.85 0.57|8.0 1.0 4.0|   0     0 |   0     0 |  9    8    0    9    4
May 05 09:09:49 ubuntu dstat.sh[82160]: 05-05 09:09:49| 32   4  44  21   0|1162M 1113M  199M 5267M|  56k   11k|   0  6364k|   0   693 |5665  9721 |1.41 0.85 0.57|1.0 1.0  25|   0     0 |   0     0 |  9    8    0    9    2
