-- Logs begin at Fri 2022-12-23 01:18:50 UTC, end at Sat 2022-12-24 05:01:56 UTC. --
Dec 24 04:21:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 24 04:21:38 ubuntu dstat.sh[83266]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 24 04:21:38 ubuntu dstat.sh[83266]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 24 04:21:38 ubuntu dstat.sh[83266]: 24-12 04:21:38|                   | 920M 1441M  192M 5071M|           |           |           |           |0.83 0.46 0.33|4.0   0    |           |   0     0 |  8    8    0   10    0
Dec 24 04:21:39 ubuntu dstat.sh[83266]: 24-12 04:21:39| 11  20  68   0   0| 921M 1440M  192M 5072M| 431k   13k|   0    11M|   0  86.8 |2754  3896 |0.88 0.47 0.34|3.5   0 347|   0     0 |   0     0 |  8    8    0   10    0
Dec 24 04:21:40 ubuntu dstat.sh[83266]: 24-12 04:21:40| 11  19  68   0   0| 923M 1436M  193M 5073M|1109k   17k|   0   188k|   0  47.9 |2808  3839 |0.92 0.48 0.34|4.0   0 341|   0     0 |   0     0 |  8    8    0   10    1
Dec 24 04:21:41 ubuntu dstat.sh[83266]: 24-12 04:21:41| 18  17  64   0   0| 882M 1476M  193M 5075M| 840k   14k|   0    24k|   0  6.00 |3544  5664 |0.92 0.48 0.34|2.0   0 218|   0     0 |   0     0 |  8    6    0    8    2
Dec 24 04:21:42 ubuntu dstat.sh[83266]: 24-12 04:21:42| 20  15  64   0   0|1022M 1334M  193M 5198M| 662k 9631 |   0   280k|   0  3.00 |5067  8758 |0.92 0.48 0.34|1.0   0 101|   0     0 |   0     0 |  9    6    0    8    2
Dec 24 04:21:43 ubuntu dstat.sh[83266]: 24-12 04:21:43|  6   4  88   1   0| 988M 1367M  193M 5199M| 269k   11k|   0  2547k|   0  9.01 |1341  1600 |0.92 0.48 0.34|1.0 1.0  51|   0     0 |   0     0 |  9    7    0    8    2
Dec 24 04:21:44 ubuntu dstat.sh[83266]: 24-12 04:21:44| 20   9  70   0   0| 990M 1365M  193M 5199M| 338k   15k|   0  4844k|   0   171 |2019  2168 |0.93 0.49 0.34|2.0   0 106|   0     0 |   0     0 |  9    7    0    8    2
Dec 24 04:21:45 ubuntu dstat.sh[83266]: 24-12 04:21:45| 30  10  60   1   0| 995M 1359M  193M 5199M| 275k   21k|   0   800k|   0  31.0 |2107  2876 |0.93 0.49 0.34|2.0   0 131|   0     0 |   0     0 |  9    6    0   10    2
Dec 24 04:21:46 ubuntu dstat.sh[83266]: 24-12 04:21:46| 22   3  72   1   0|1029M 1323M  193M 5201M| 654k 5927 | 196k  643k|14.0  7.99 |1342  1586 |0.93 0.49 0.34|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 24 04:21:47 ubuntu dstat.sh[83266]: 24-12 04:21:47| 25   2  72   1   0|1050M 1300M  193M 5203M| 712k   14k|  12k 1342k|1.00  34.1 |1525  1809 |0.93 0.49 0.34|  0 1.0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 24 04:21:48 ubuntu dstat.sh[83266]: 24-12 04:21:48|  6   3  66  22   0|1062M 1285M  193M 5206M| 672k   14k|   0    12M|   0   959 |5647    11k|0.93 0.49 0.34|1.0 1.0 9.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 24 04:21:49 ubuntu dstat.sh[83266]: 24-12 04:21:49|  7   2  69  19   0|1068M 1275M  193M 5210M| 739k   16k|   0  7622k|   0   655 |5025  9679 |1.02 0.52 0.35|1.0 1.0  15|   0     0 |   0     0 |  9    8    0   10    2
Dec 24 04:21:50 ubuntu dstat.sh[83266]: 24-12 04:21:50|  7   3  68  21   0|1069M 1270M  194M 5213M| 803k   15k|   0  6312k|   0   652 |5079  9555 |1.02 0.52 0.35|2.0 1.0  15|   0     0 |   0     0 |  9    8    0   10    2
Dec 24 04:21:51 ubuntu dstat.sh[83266]: 24-12 04:21:51|  8   4  65  20   0|1072M 1263M  194M 5216M| 843k   18k|   0    11M|   0   670 |5347    10k|1.02 0.52 0.35|  0 1.0  16|   0     0 |   0     0 |  9    8    0   10    2
Dec 24 04:21:52 ubuntu dstat.sh[83266]: 24-12 04:21:52|  7   2  69  19   0|1075M 1258M  194M 5219M| 708k   10k|   0  5871k|   0   601 |4312  8682 |1.02 0.52 0.35|3.0 1.0  13|   0     0 |   0     0 |  9    8    0   10    2
Dec 24 04:21:53 ubuntu dstat.sh[83266]: 24-12 04:21:53| 20   6  71   1   0| 999M 1331M  194M 5221M|1194k   11k|   0   596k|   0  58.0 |2200  2742 |1.02 0.52 0.35|1.0   0  76|   0     0 |   0     0 |  9    6    0   10    2
Dec 24 04:21:54 ubuntu dstat.sh[83266]: 24-12 04:21:54| 25   3  70   1   0|1051M 1279M  194M 5221M| 166k 6480 |   0    13M|   0   207 |1432  1170 |1.09 0.54 0.36|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 24 04:21:55 ubuntu dstat.sh[83266]: 24-12 04:21:55| 28   2  67   2   0|1075M 1254M  194M 5221M| 191k 7025 |   0  7654k|   0   399 |2230  2961 |1.09 0.54 0.36|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 24 04:21:56 ubuntu dstat.sh[83266]: 24-12 04:21:56| 27   4  67   3   0|1019M 1309M  194M 5222M| 236k 7879 |   0  7917k|   0   421 |2337  3627 |1.09 0.54 0.36|2.0   0  13|   0     0 |   0     0 |  9    6    0   10    2
Dec 24 04:21:57 ubuntu dstat.sh[83266]: 24-12 04:21:57| 26   2  68   3   0|1074M 1255M  194M 5222M| 170k 7502 |   0  7463k|   0   401 |2219  2931 |1.09 0.54 0.36|3.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 24 04:21:58 ubuntu dstat.sh[83266]: 24-12 04:21:58| 22   7  66   2   0| 984M 1344M  195M 5223M|  54k 4983 |   0  7515k|   0   393 |2615  4130 |1.09 0.54 0.36|1.0   0 144|   0     0 |   0     0 |  9    6    0   10    2
Dec 24 04:21:59 ubuntu dstat.sh[83266]: 24-12 04:21:59| 15  18  66   1   0| 983M 1343M  195M 5223M| 159k 6601 |   0  1604k|   0  69.0 |2864  4801 |1.01 0.53 0.36|2.0   0 379|   0     0 |   0     0 |  9    6    0   10    2
Dec 24 04:22:00 ubuntu dstat.sh[83266]: 24-12 04:22:00| 22  18  59   1   0| 987M 1339M  195M 5224M|  50k 6425 |   0   829k|   0  26.0 |3188  8761 |1.01 0.53 0.36|1.0   0 219|   0     0 |   0     0 |  9    6    0   10    2
Dec 24 04:22:01 ubuntu dstat.sh[83266]: 24-12 04:22:01| 43  14  43   0   0|1091M 1235M  195M 5225M|  65k 5885 | 324k  312k|4.00  6.00 |1914  3464 |1.01 0.53 0.36|2.0   0 153|   0     0 |   0     0 |  9    7    0   10    2
Dec 24 04:22:02 ubuntu dstat.sh[83266]: 24-12 04:22:02| 55  10  34   0   0|1197M 1129M  195M 5225M|  41k 6049 |  20k  396k|4.00  11.0 |1621  6193 |1.01 0.53 0.36|5.0   0  34|   0     0 |   0     0 |  9    7    0   10    2
Dec 24 04:22:03 ubuntu dstat.sh[83266]: 24-12 04:22:03| 50   3  47   1   0|1203M 1120M  195M 5226M|  53k 5976 | 352k  732k|4.00  32.0 |1425  2110 |1.01 0.53 0.36|3.0   0   0|   0     0 |   0     0 |  9    7    0   11    2
Dec 24 04:22:04 ubuntu dstat.sh[83266]: 24-12 04:22:04| 38  13  47   0   0|1231M 1091M  195M 5228M| 163k 7466 |   0    38M|   0   211 |3250  7564 |1.09 0.56 0.37|3.0   0 141|   0     0 |   0     0 |  9    6    0   11    2
Dec 24 04:22:05 ubuntu dstat.sh[83266]: 24-12 04:22:05| 25   3  69   1   0|1287M 1034M  195M 5228M|  59k 5356 |   0   359k|   0  8.98 |1138  1284 |1.09 0.56 0.37|5.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
