-- Logs begin at Thu 2022-12-29 07:17:42 UTC, end at Thu 2022-12-29 11:40:21 UTC. --
Dec 29 11:27:58 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 29 11:27:58 ubuntu dstat.sh[74151]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 29 11:27:58 ubuntu dstat.sh[74151]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 29 11:27:58 ubuntu dstat.sh[74151]: 29-12 11:27:58|                   | 826M 1554M  190M 5061M|           |           |           |           |0.80 0.47 0.37|4.0   0    |           |   0     0 |  8    4    0   10    2
Dec 29 11:27:59 ubuntu dstat.sh[74151]: 29-12 11:27:59| 12  17  69   1   0| 827M 1553M  190M 5062M| 322k   15k|   0   615k|   0  16.2 |3091  4738 |0.84 0.48 0.38|3.0   0 370|   0     0 |   0     0 |  8    4    0   10    2
Dec 29 11:28:00 ubuntu dstat.sh[74151]: 29-12 11:28:00| 19  19  61   0   0| 832M 1546M  190M 5063M| 334k   15k|   0   360k|   0  13.1 |2920  4270 |0.89 0.49 0.38|3.0   0 349|   0     0 |   0     0 |  8    4    0   10    2
Dec 29 11:28:01 ubuntu dstat.sh[74151]: 29-12 11:28:01| 21  20  59   0   0| 819M 1557M  190M 5065M|1044k   21k|   0    12M|   0   242 |5328    11k|0.89 0.49 0.38|2.0   0 233|   0     0 |   0     0 |  8    4    0   10    2
Dec 29 11:28:02 ubuntu dstat.sh[74151]: 29-12 11:28:02| 19  14  66   0   0| 958M 1415M  190M 5189M|1389k   21k|   0     0 |   0     0 |3628  8010 |0.89 0.49 0.38|1.0   0  75|   0     0 |   0     0 |  9    4    0   10    2
Dec 29 11:28:03 ubuntu dstat.sh[74151]: 29-12 11:28:03| 13   8  77   0   1| 966M 1405M  190M 5192M|1363k   21k|   0    16k|   0  4.01 |2543  2688 |0.89 0.49 0.38|1.0   0  98|   0     0 |   0     0 |  9    6    0    8    2
Dec 29 11:28:04 ubuntu dstat.sh[74151]: 29-12 11:28:04| 18  10  69   1   0| 969M 1400M  190M 5193M| 749k   27k|   0  5105k|   0  31.0 |2674  3429 |0.90 0.50 0.38|1.0   0 191|   0     0 |   0     0 |  9    6    0   10    2
Dec 29 11:28:05 ubuntu dstat.sh[74151]: 29-12 11:28:05| 22   5  71   0   0|1011M 1355M  190M 5196M|1599k   22k|  52k  708k|5.00  13.0 |2111  1855 |0.90 0.50 0.38|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 29 11:28:06 ubuntu dstat.sh[74151]: 29-12 11:28:06| 27   4  67   2   0|1036M 1329M  190M 5197M| 113k 7535 | 144k   13M|9.01  52.1 |1432  1681 |0.90 0.50 0.38|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 29 11:28:07 ubuntu dstat.sh[74151]: 29-12 11:28:07| 22   2  69   7   0|1053M 1310M  190M 5198M| 254k   19k|  12k 2602k|1.00   191 |2635  3811 |0.90 0.50 0.38|5.0   0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 29 11:28:08 ubuntu dstat.sh[74151]: 29-12 11:28:08|  9   3  60  26   0|1057M 1303M  191M 5200M| 167k   14k|   0    14M|   0  1014 |6323    11k|0.90 0.50 0.38|2.0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Dec 29 11:28:09 ubuntu dstat.sh[74151]: 29-12 11:28:09|  8   2  66  22   0|1065M 1293M  191M 5203M| 190k   14k|   0  7081k|   0   581 |4510  8714 |1.15 0.56 0.40|1.0 1.0  16|   0     0 |   0     0 |  9    8    0   10    2
Dec 29 11:28:10 ubuntu dstat.sh[74151]: 29-12 11:28:10|  8   3  67  20   0|1067M 1287M  192M 5205M|  61k   12k|   0  6725k|   0   635 |5268  9486 |1.15 0.56 0.40|1.0 2.0  18|   0     0 |   0     0 |  9    8    0   10    2
Dec 29 11:28:11 ubuntu dstat.sh[74151]: 29-12 11:28:11|  8   4  68  20   1|1070M 1283M  192M 5207M| 149k   14k|   0  7014k|   0   661 |5422  9554 |1.15 0.56 0.40|3.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
Dec 29 11:28:12 ubuntu dstat.sh[74151]: 29-12 11:28:12| 10   2  67  18   0|1073M 1277M  193M 5209M|  43k   13k|   0  5853k|   0   569 |4868  8791 |1.15 0.56 0.40|2.0   0  12|   0     0 |   0     0 |  9    8    0   10    2
Dec 29 11:28:13 ubuntu dstat.sh[74151]: 29-12 11:28:13| 23   6  70   1   0|1007M 1343M  193M 5209M|  70k 6915 |   0   697k|   0  12.0 |1492  2012 |1.15 0.56 0.40|2.0   0  78|   0     0 |   0     0 |  9    6    0   10    2
Dec 29 11:28:14 ubuntu dstat.sh[74151]: 29-12 11:28:14| 28   3  68   1   0|1067M 1283M  193M 5209M|  56k 6150 |   0   452k|   0  6.00 |1119  1211 |1.14 0.57 0.41|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Dec 29 11:28:15 ubuntu dstat.sh[74151]: 29-12 11:28:15| 25   3  71   1   0| 994M 1356M  193M 5209M|  22k 3774 |   0  7131k|   0   381 |2014  2775 |1.14 0.57 0.41|1.0   0  11|   0     0 |   0     0 |  9    6    0   10    2
Dec 29 11:28:16 ubuntu dstat.sh[74151]: 29-12 11:28:16| 24   4  70   2   1|1048M 1302M  193M 5209M|  55k 5884 |   0    27M|   0   510 |2084  2829 |1.14 0.57 0.41|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Dec 29 11:28:17 ubuntu dstat.sh[74151]: 29-12 11:28:17| 27   2  69   1   0| 976M 1373M  193M 5209M| 163k 7978 |   0  7684k|   0   392 |2097  2906 |1.14 0.57 0.41|5.0   0  10|   0     0 |   0     0 |  9    6    0   10    2
Dec 29 11:28:18 ubuntu dstat.sh[74151]: 29-12 11:28:18| 18  20  57   2   0| 978M 1371M  193M 5209M|  39k 6451 |   0  7736k|   0   404 |4236    10k|1.14 0.57 0.41|3.0   0 439|   0     0 |   0     0 |  9    6    0   11    2
Dec 29 11:28:19 ubuntu dstat.sh[74151]: 29-12 11:28:19| 19  16  63   1   0| 980M 1367M  193M 5211M| 910k   25k|   0  1800k|   0  53.0 |4513  6890 |1.13 0.57 0.41|1.0   0 293|   0     0 |   0     0 |  9    6    0   11    2
Dec 29 11:28:20 ubuntu dstat.sh[74151]: 29-12 11:28:20| 31  19  48   1   0|1038M 1307M  193M 5213M| 525k   17k| 196k  749k|3.00  16.0 |4638  7769 |1.13 0.57 0.41|2.0   0 185|   0     0 |   0     0 |  9    7    0   10    2
Dec 29 11:28:21 ubuntu dstat.sh[74151]: 29-12 11:28:21| 54   6  38   2   0|1133M 1212M  193M 5214M| 300k   13k| 128k   22M|1.00   460 |2171  1802 |1.13 0.57 0.41|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Dec 29 11:28:22 ubuntu dstat.sh[74151]: 29-12 11:28:22| 48   2  45   3   0|1183M 1160M  193M 5215M| 539k   20k| 372k 1816k|8.00  44.0 |2088  1853 |1.13 0.57 0.41|3.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    2
