"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","15 Dec 2022 02:35:50 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
15-12 02:35:50,,937172,1144244,199960,5518056,,,,,,,1.310,0.720,0.490,4,0,,,,8,6,0,10,2
15-12 02:35:51,10.491,19.234,69.192,0.250,0,940244,1137960,199972,5520912,1696576.393,43072.604,0,251.787,0,9.992,4028,4599,1.290,0.720,0.490,2,0,334.717,0,0,8,6,0,10,2
15-12 02:35:52,11.750,21.000,65.251,0.500,0.250,941472,1130628,199972,5526976,3072551.726,53892.539,0,8448.084,0,255.003,5141,4810,1.290,0.720,0.490,3,1,322.003,0,0,8,6,0,10,2
15-12 02:35:53,28.010,18.006,52.519,0.500,0.500,894232,1173828,199980,5531060,2170804.490,38685.927,0,12488.496,0,81.029,4508,6603,1.290,0.720,0.490,5,0,242.087,0,0,8,4,0,10,2
15-12 02:35:54,42.247,16.249,40.247,0,0,1065392,1000400,199980,5657860,749447.038,17226.829,0,2407.836,0,12.999,4615,9175,1.290,0.720,0.490,1,0,105.993,0,0,9,4,0,10,2
15-12 02:35:55,23.963,5.991,68.644,0.250,0,1077976,987440,200052,5658148,196561.722,10094.374,0,507.215,0,8.986,1741,2000,1.290,0.720,0.490,2,0,76.881,0,0,9,6,1,10,2
15-12 02:35:56,22.511,5.753,70.035,0.500,0.250,1076776,988160,200120,5658556,228352.263,11052.482,0,632.314,0,18.009,1786,2018,1.260,0.730,0.490,2,0,90.045,0,0,9,7,0,8,2
15-12 02:35:57,29.282,9.010,59.815,1.001,0.250,1114032,950396,200240,5658944,198767.458,23338.416,0,1433.561,0,44.048,2270,3023,1.260,0.730,0.490,1,0,129.141,0,0,9,7,1,10,2
15-12 02:35:58,24.250,6.000,67.249,2.750,0,1136812,925748,200396,5660656,55275.005,6989.874,195.996,11183.799,14.000,51.999,1397,1563,1.260,0.730,0.490,2,0,0,0,0,9,8,0,10,2
15-12 02:35:59,25.248,1.750,70.245,2.000,0,1161528,900524,200452,5661040,186452.948,16465.847,11.999,1539.892,1.000,60.996,1733,2168,1.260,0.730,0.490,3,0,2.000,0,0,9,10,0,10,2
15-12 02:36:00,9.484,3.494,62.647,22.962,0.499,1171728,887364,201000,5663392,244213.002,14751.778,0,12303.797,0,928.475,5878,10949,1.260,0.730,0.490,2,0,8.985,0,0,9,10,0,10,2
15-12 02:36:01,9.237,1.997,64.161,20.222,0.250,1178608,875864,201260,5667584,687954.120,21584.041,0,8092.767,0,667.074,4933,9440,1.320,0.750,0.500,4,0,11.983,0,0,9,10,0,10,2
15-12 02:36:02,25.077,5.266,48.648,20.061,0,1159688,891788,201560,5670152,482791.480,19439.329,0,7791.781,0,604.846,5024,9148,1.320,0.750,0.500,1,1,19.058,0,0,9,8,0,10,2
15-12 02:36:03,30.719,4.246,44.704,18.731,0,1179932,869148,201792,5672244,34591.647,11228.524,0,7600.233,0,715.269,5401,9485,1.320,0.750,0.500,4,0,16.983,0,0,9,8,0,10,2
15-12 02:36:04,18.739,5.497,55.218,17.990,0.250,1185432,861524,202040,5674008,198924.420,17057.175,0,6272.387,0,628.638,5589,9457,1.320,0.750,0.500,4,0,16.990,0,0,9,9,0,10,2
15-12 02:36:05,23.038,6.511,69.615,0.751,0.250,1110616,936148,202092,5674136,41896.380,7319.120,0,729.208,0,25.041,1672,2277,1.320,0.750,0.500,1,1,78.129,0,0,9,7,0,10,2
15-12 02:36:06,30.953,3.994,63.903,0.250,0,1165100,879952,202124,5675804,917556.737,24975.213,0,1513.710,0,19.970,2119,1974,1.300,0.750,0.500,2,0,0.998,0,0,9,8,0,10,2
15-12 02:36:07,27.745,1.750,67.739,0.750,0.250,1185000,858760,202184,5676960,672082.418,21380.387,0,7986.650,0,396.933,2946,3370,1.300,0.750,0.500,2,0,1.000,0,0,9,8,0,10,2
15-12 02:36:08,30.801,6.010,60.851,3.255,0.250,1135032,908248,202268,5677340,252873.022,11169.553,0,44970.696,0,761.264,2823,3186,1.300,0.750,0.500,2,0,11.018,0,0,9,8,0,10,2
15-12 02:36:09,27.251,3.250,66.752,2.250,0,1183424,857972,202400,5679012,954944.468,24208.823,0,7908.269,0,423.014,3063,3467,1.300,0.750,0.500,1,0,2.000,0,0,9,8,0,10,2
15-12 02:36:10,27.994,3.499,66.236,1.000,0.250,1054252,985312,202544,5680612,784481.474,10660.751,0,8758.152,0,382.919,2632,3288,1.300,0.750,0.500,3,0,46.990,0,0,9,6,0,10,4
15-12 02:36:11,34.238,22.492,43.735,0,0.250,1078920,960416,202580,5680768,67821.263,6458.739,0,1159.594,0,55.980,3058,4792,1.350,0.770,0.510,2,0,400.860,0,0,9,6,0,10,2
15-12 02:36:12,46.233,22.992,29.240,0.250,0,1095900,939836,202748,5684012,81045.986,5532.020,0,1291.538,0,22.992,4410,8074,1.350,0.770,0.510,1,0,303.891,0,0,9,6,1,10,2
15-12 02:36:13,40.529,13.760,44.282,0.751,0,1203940,830800,202804,5685088,309402.532,12513.960,324.232,2045.465,4.003,13.009,2776,4252,1.350,0.770,0.510,4,0,149.107,0,0,9,8,0,10,2
15-12 02:36:14,54.005,5.000,39.253,0.500,0.250,1283144,748096,202908,5688296,889159.468,25424.186,372.032,1436.124,8.001,9.001,2703,2869,1.350,0.770,0.510,4,0,1.000,0,0,9,9,0,10,2
15-12 02:36:15,60.509,5.001,34.755,0,0,1316260,710000,203152,5691996,18167.616,4397.633,0,952.137,0,5.001,1833,2302,1.350,0.770,0.510,5,0,4.001,0,0,9,9,0,10,2
15-12 02:36:16,31.694,12.478,53.906,0.499,0,1355108,667600,203288,5694900,482802.647,17087.046,0,1321.683,0,9.983,3095,7464,1.320,0.780,0.510,2,0,143.748,0,0,9,8,0,10,2
15-12 02:36:17,26.255,4.251,68.763,0,0.500,1404468,616664,203312,5696448,866275.662,23811.334,0,796.145,0,6.001,1773,1692,1.320,0.780,0.510,2,0,1.000,0,0,9,8,0,10,2
15-12 02:36:18,27.269,2.001,69.048,0.250,0.250,1436776,582012,203384,5698612,1028733.056,25246.622,0,6676.660,0,38.027,1824,1335,1.320,0.780,0.510,4,0,0,0,0,9,8,0,10,2
15-12 02:36:19,32.249,4.250,59.749,2.750,0,1274344,744212,203432,5698792,119828.364,68813.486,0,3327.927,0,272.994,3351,5342,1.320,0.780,0.510,2,0,11.000,0,0,9,6,0,12,2
15-12 02:36:20,27.482,5.746,65.707,0.250,0,1298756,719652,203448,5698888,77852.695,6717.573,0,447.705,0,13.991,1272,1563,1.320,0.780,0.510,1,0,33.978,0,0,9,6,0,12,2
15-12 02:36:21,24.006,3.001,69.517,2.251,0,1326956,690484,203492,5699712,270731.141,54783.586,64.016,1244.309,6.001,9.002,1614,2014,1.380,0.800,0.520,2,0,4.001,0,0,9,15,0,12,2
15-12 02:36:22,27.013,5.753,61.780,4.252,0,1271276,745448,203532,5700216,100811.389,81137.946,216.104,1480.711,54.026,39.019,2196,3133,1.380,0.800,0.520,2,0,46.022,0,0,9,32,0,12,2
15-12 02:36:23,28.226,3.747,66.193,1.499,0.500,1320964,695460,203544,5700456,23168.122,4723.947,0,14511.549,0,442.620,1911,1528,1.380,0.800,0.520,1,0,3.997,0,0,9,32,0,12,2
15-12 02:36:24,41.314,9.264,48.825,0.250,0.250,1294260,721520,203640,5701016,113139.574,62696.741,0,172.266,0,8.012,1927,2935,1.380,0.800,0.520,3,0,150.232,0,0,9,32,0,12,2
15-12 02:36:25,64.748,10.250,24.249,0,0.250,1367220,644796,204052,5703612,7389.823,1565.962,0,47.999,0,9.000,2333,3043,1.380,0.800,0.520,4,0,18.000,0,0,9,32,0,8,2
15-12 02:36:26,67.726,6.498,25.491,0.500,0,1423004,568944,204468,5721712,315270.448,300991.546,0,3046.912,0,102.963,3407,5609,1.590,0.850,0.540,4,1,1.999,0,0,9,38,0,8,2
