-- Logs begin at Tue 2022-12-13 07:36:22 UTC, end at Thu 2022-12-15 03:16:17 UTC. --
Dec 15 02:35:50 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 15 02:35:50 ubuntu dstat.sh[82924]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 15 02:35:50 ubuntu dstat.sh[82924]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 15 02:35:50 ubuntu dstat.sh[82924]: 15-12 02:35:50|                   | 916M 1117M  195M 5389M|           |           |           |           |1.31 0.72 0.49|3.0   0    |           |   0     0 |  8    6    0   10    2
Dec 15 02:35:51 ubuntu dstat.sh[82924]: 15-12 02:35:51| 10  19  69   0   0| 917M 1114M  195M 5390M|1733k   43k|   0   252k|   0  9.99 |4034  4517 |1.30 0.72 0.49|3.5   0 334|   0     0 |   0     0 |  8    6    0   10    2
Dec 15 02:35:52 ubuntu dstat.sh[82924]: 15-12 02:35:52| 12  21  65   1   0| 919M 1105M  195M 5397M|3058k   54k|   0    11M|   0   146 |4611  4658 |1.29 0.72 0.49|4.0   0 329|   0     0 |   0     0 |  8    6    0   10    2
Dec 15 02:35:53 ubuntu dstat.sh[82924]: 15-12 02:35:53| 28  18  53   0   0| 873M 1146M  195M 5401M|2175k   39k|   0  9275k|   0  54.0 |4439  6580 |1.29 0.72 0.49|5.0   0 237|   0     0 |   0     0 |  8    4    0   10    2
Dec 15 02:35:54 ubuntu dstat.sh[82924]: 15-12 02:35:54| 42  16  40   0   0|1040M  977M  195M 5525M| 723k   17k|   0  2408k|   0  13.0 |4611  9181 |1.29 0.72 0.49|1.0   0 106|   0     0 |   0     0 |  9    4    0   10    2
Dec 15 02:35:55 ubuntu dstat.sh[82924]: 15-12 02:35:55| 24   6  69   0   0|1053M  964M  195M 5526M| 197k   10k|   0   507k|   0  8.99 |1734  1990 |1.29 0.72 0.49|1.0   0  77|   0     0 |   0     0 |  9    6    1   10    2
Dec 15 02:35:56 ubuntu dstat.sh[82924]: 15-12 02:35:56| 22   6  70   1   0|1052M  965M  195M 5526M| 228k   11k|   0   632k|   0  18.0 |1798  2057 |1.26 0.73 0.49|1.0   0  93|   0     0 |   0     0 |  9    7    0    8    2
Dec 15 02:35:57 ubuntu dstat.sh[82924]: 15-12 02:35:57| 30   9  60   1   0|1088M  928M  196M 5526M| 199k   23k|   0  1433k|   0  44.0 |2260  2980 |1.26 0.73 0.49|2.0   0 126|   0     0 |   0     0 |  9    7    1   10    2
Dec 15 02:35:58 ubuntu dstat.sh[82924]: 15-12 02:35:58| 24   6  67   3   0|1110M  904M  196M 5528M|  55k 6935 | 196k   11M|14.0  52.0 |1396  1572 |1.26 0.73 0.49|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Dec 15 02:35:59 ubuntu dstat.sh[82924]: 15-12 02:35:59| 26   2  70   2   0|1135M  879M  196M 5528M| 186k   16k|  12k 1539k|1.00  61.0 |1739  2171 |1.26 0.73 0.49|1.0   0 2.0|   0     0 |   0     0 |  9   10    0   10    2
Dec 15 02:36:00 ubuntu dstat.sh[82924]: 15-12 02:36:00|  9   3  62  23   0|1145M  866M  196M 5531M| 244k   15k|   0    12M|   0   932 |5895    11k|1.26 0.73 0.49|  0 1.0 9.0|   0     0 |   0     0 |  9   10    0   10    2
Dec 15 02:36:01 ubuntu dstat.sh[82924]: 15-12 02:36:01| 10   2  64  20   0|1151M  855M  197M 5535M| 690k   22k|   0  8105k|   0   668 |4934  9443 |1.32 0.75 0.50|1.0   0  12|   0     0 |   0     0 |  9   10    0   10    2
Dec 15 02:36:02 ubuntu dstat.sh[82924]: 15-12 02:36:02| 25   5  49  20   0|1134M  869M  197M 5537M| 482k   19k|   0  7921k|   0   606 |5024  9145 |1.32 0.75 0.50|1.0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Dec 15 02:36:03 ubuntu dstat.sh[82924]: 15-12 02:36:03| 31   4  45  19   0|1152M  849M  197M 5539M|  34k   11k|   0  7488k|   0   715 |5404  9483 |1.32 0.75 0.50|2.0 1.0  17|   0     0 |   0     0 |  9    8    0   10    2
Dec 15 02:36:04 ubuntu dstat.sh[82924]: 15-12 02:36:04| 19   5  55  18   0|1158M  841M  197M 5541M| 199k   17k|   0  6227k|   0   623 |5570  9420 |1.32 0.75 0.50|2.0   0  17|   0     0 |   0     0 |  9    9    0   10    2
Dec 15 02:36:05 ubuntu dstat.sh[82924]: 15-12 02:36:05| 23   7  70   1   0|1085M  914M  197M 5541M|  42k 7313 |   0   733k|   0  26.0 |1675  2274 |1.32 0.75 0.50|2.0   0  78|   0     0 |   0     0 |  9    7    0   10    2
Dec 15 02:36:06 ubuntu dstat.sh[82924]: 15-12 02:36:06| 31   4  64   0   0|1138M  859M  197M 5543M| 918k   25k|   0  1511k|   0  19.0 |2109  1967 |1.30 0.75 0.50|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 15 02:36:07 ubuntu dstat.sh[82924]: 15-12 02:36:07| 28   2  68   1   0|1157M  839M  197M 5544M| 673k   21k|   0  7992k|   0   397 |2946  3366 |1.30 0.75 0.50|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 15 02:36:08 ubuntu dstat.sh[82924]: 15-12 02:36:08| 31   6  61   3   0|1108M  887M  198M 5544M| 253k   11k|   0    44M|   0   760 |2822  3186 |1.30 0.75 0.50|2.0   0  11|   0     0 |   0     0 |  9    8    0   10    2
Dec 15 02:36:09 ubuntu dstat.sh[82924]: 15-12 02:36:09| 27   3  67   2   0|1156M  838M  198M 5546M| 955k   24k|   0  7913k|   0   423 |3066  3476 |1.30 0.75 0.50|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 15 02:36:10 ubuntu dstat.sh[82924]: 15-12 02:36:10| 28   4  66   1   0|1030M  962M  198M 5547M| 785k   11k|   0  8759k|   0   383 |2657  3342 |1.30 0.75 0.50|2.0   0  52|   0     0 |   0     0 |  9    6    0   10    4
