-- Logs begin at Thu 2023-01-05 21:57:40 UTC, end at Fri 2023-01-06 16:53:46 UTC. --
Jan 06 16:14:57 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 06 16:14:58 ubuntu dstat.sh[81797]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 06 16:14:58 ubuntu dstat.sh[81797]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 06 16:14:58 ubuntu dstat.sh[81797]: 06-01 16:14:58|                   | 838M 1384M  191M 5210M|           |           |           |           |1.00 0.92 0.62|1.0   0    |           |   0     0 |  8    4    0   10    2
Jan 06 16:14:59 ubuntu dstat.sh[81797]: 06-01 16:14:59| 11  18  69   0   0| 840M 1381M  191M 5210M| 283k 6192 |   0  2482k|   0  20.0 |2620  4202 |1.00 0.92 0.62|1.0   0 351|   0     0 |   0     0 |  8    4    0   10    2
Jan 06 16:15:00 ubuntu dstat.sh[81797]: 06-01 16:15:00| 18  20  61   1   0| 832M 1388M  191M 5211M| 277k 8657 |   0    11M|   0  68.5 |3183  5186 |1.00 0.92 0.62|1.0   0 348|   0     0 |   0     0 |  8    4    0   10    2
Jan 06 16:15:01 ubuntu dstat.sh[81797]: 06-01 16:15:01| 19  16  64   0   0| 829M 1391M  191M 5212M| 149k 5984 |   0   575k|   0  13.0 |3272  5392 |1.00 0.92 0.62|1.0   0 206|   0     0 |   0     0 |  8    4    0   10    2
Jan 06 16:15:02 ubuntu dstat.sh[81797]: 06-01 16:15:02| 21  16  61   1   0| 976M 1243M  191M 5334M| 171k 8151 |   0   525k|   0  9.02 |3501  6484 |1.16 0.96 0.63|1.0   0 144|   0     0 |   0     0 |  9    6    0   10    2
Jan 06 16:15:03 ubuntu dstat.sh[81797]: 06-01 16:15:03| 22   8  68   1   0| 973M 1245M  191M 5334M|  51k 5371 |   0   471k|   0  18.0 |1597  2061 |1.16 0.96 0.63|1.0   0 113|   0     0 |   0     0 |  9    6    0    8    2
Jan 06 16:15:04 ubuntu dstat.sh[81797]: 06-01 16:15:04| 23   7  68   1   1|1011M 1206M  191M 5335M| 168k   19k|   0  1246k|   0  39.1 |1742  2506 |1.16 0.96 0.63|1.0   0 104|   0     0 |   0     0 |  9    6    0   10    2
Jan 06 16:15:05 ubuntu dstat.sh[81797]: 06-01 16:15:05| 22   3  70   4   0|1049M 1168M  191M 5335M|  45k 5649 | 196k 1981k|14.0  21.0 |1187  1474 |1.16 0.96 0.63|3.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 06 16:15:06 ubuntu dstat.sh[81797]: 06-01 16:15:06| 28   4  67   1   0|1056M 1160M  191M 5336M|  65k   12k|  12k 9823k|1.00  49.0 |1234  1573 |1.16 0.96 0.63|2.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 06 16:15:07 ubuntu dstat.sh[81797]: 06-01 16:15:07|  8   4  64  22   0|1067M 1147M  191M 5338M|  50k   11k|   0    11M|   0   836 |5233    10k|1.47 1.03 0.66|1.0   0 9.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 06 16:15:08 ubuntu dstat.sh[81797]: 06-01 16:15:08|  9   3  64  22   0|1074M 1136M  192M 5341M| 170k   12k|   0  8489k|   0   672 |5500  9634 |1.47 1.03 0.66|  0 1.0 7.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 06 16:15:09 ubuntu dstat.sh[81797]: 06-01 16:15:09| 10   3  66  19   0|1077M 1131M  192M 5342M|  72k   12k|   0  6371k|   0   638 |5413  9778 |1.47 1.03 0.66|  0 1.0  24|   0     0 |   0     0 |  9    8    0   10    2
Jan 06 16:15:10 ubuntu dstat.sh[81797]: 06-01 16:15:10| 11   2  65  20   0|1079M 1126M  193M 5345M| 665k   16k|   0  6991k|   0   612 |5354  9144 |1.47 1.03 0.66|  0 1.0  16|   0     0 |   0     0 |  9    8    0   10    2
Jan 06 16:15:11 ubuntu dstat.sh[81797]: 06-01 16:15:11|  9   4  65  21   1|1082M 1120M  193M 5348M| 944k   19k|   0  9083k|   0   647 |5796  9326 |1.47 1.03 0.66|1.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
