-- Logs begin at Tue 2022-12-20 15:03:05 UTC, end at Tue 2022-12-20 16:11:20 UTC. --
Dec 20 15:57:48 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 20 15:57:48 ubuntu dstat.sh[73708]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 20 15:57:48 ubuntu dstat.sh[73708]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 20 15:57:48 ubuntu dstat.sh[73708]: 20-12 15:57:48|                   | 908M 1466M  188M 5068M|           |           |           |           |1.35 0.91 0.61|3.0   0    |           |   0     0 |  8    6    0   10    2
Dec 20 15:57:49 ubuntu dstat.sh[73708]: 20-12 15:57:49| 11  20  67   0   0| 909M 1462M  188M 5070M|2554k   22k|   0  4904k|   0  20.0 |3663  4263 |1.30 0.90 0.61|3.0   0 367|   0     0 |   0     0 |  8    6    0   10    2
Dec 20 15:57:50 ubuntu dstat.sh[73708]: 20-12 15:57:50| 26  19  54   0   1| 889M 1475M  189M 5078M|2560k   17k|   0  3693k|   0  20.0 |3562  4165 |1.24 0.89 0.61|7.0   0 356|   0     0 |   0     0 |  8    4    0   10    2
Dec 20 15:57:51 ubuntu dstat.sh[73708]: 20-12 15:57:51| 42  19  39   0   0| 883M 1480M  189M 5079M| 220k 7384 |   0   944k|   0  13.0 |3747  8372 |1.24 0.89 0.61|2.0   0 236|   0     0 |   0     0 |  8    4    0   10    2
Dec 20 15:57:52 ubuntu dstat.sh[73708]: 20-12 15:57:52| 28  14  56   0   0|1033M 1330M  189M 5201M| 110k 6580 |   0  1148k|   0  8.97 |3026  8083 |1.24 0.89 0.61|1.0   0  75|   0     0 |   0     0 |  9    5    0   10    2
Dec 20 15:57:53 ubuntu dstat.sh[73708]: 20-12 15:57:53| 14   8  76   1   0|1039M 1323M  189M 5201M| 191k 9881 |   0    10M|   0  49.0 |1829  2243 |1.24 0.89 0.61|2.0   0  96|   0     0 |   0     0 |  9    7    0   10    2
Dec 20 15:57:54 ubuntu dstat.sh[73708]: 20-12 15:57:54| 26  11  61   1   0|1041M 1321M  189M 5201M| 181k   19k|   0  1157k|   0  35.0 |2305  3327 |1.30 0.91 0.62|3.0   0 194|   0     0 |   0     0 |  9    8    0   10    2
Dec 20 15:57:55 ubuntu dstat.sh[73708]: 20-12 15:57:55| 26   5  68   2   0|1066M 1295M  189M 5202M| 143k 7645 |  20k 1271k|2.00  21.0 |1322  1410 |1.30 0.91 0.62|3.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 20 15:57:56 ubuntu dstat.sh[73708]: 20-12 15:57:56| 23   3  70   4   0|1101M 1258M  189M 5204M| 100k 6546 | 176k  901k|12.0  13.0 |1286  1483 |1.30 0.91 0.62|2.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Dec 20 15:57:57 ubuntu dstat.sh[73708]: 20-12 15:57:57| 25   2  69   3   0|1121M 1237M  189M 5204M| 349k   21k|  12k 2375k|1.00  83.8 |1760  2185 |1.30 0.91 0.62|3.0 1.0 1.0|   0     0 |   0     0 |  9   10    0   10    2
