-- Logs begin at Mon 2022-12-19 20:45:09 UTC, end at Tue 2022-12-20 13:44:36 UTC. --
Dec 20 13:31:57 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 20 13:31:57 ubuntu dstat.sh[81008]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 20 13:31:57 ubuntu dstat.sh[81008]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 20 13:31:57 ubuntu dstat.sh[81008]: 20-12 13:31:57|                   | 908M 1435M  191M 5089M|           |           |           |           |1.37 0.80 0.51|4.0   0    |           |   0     0 |  8    6    0   10    2
Dec 20 13:31:58 ubuntu dstat.sh[81008]: 20-12 13:31:58| 29  20  49   1   0| 898M 1445M  191M 5090M| 346k 8638 |   0    18M|   0   335 |3130  5036 |1.37 0.80 0.51|4.5   0 439|   0     0 |   0     0 |  8    5    0   10    2
Dec 20 13:31:59 ubuntu dstat.sh[81008]: 20-12 13:31:59| 39  19  42   0   0| 893M 1449M  191M 5091M| 242k 7872 |   0   908k|   0   176 |2778  5690 |1.37 0.80 0.51|2.0   0 370|   0     0 |   0     0 |  8    4    0   10    2
Dec 20 13:32:00 ubuntu dstat.sh[81008]: 20-12 13:32:00| 22  18  58   0   0| 896M 1446M  191M 5091M| 181k 8838 |   0  1588k|   0  16.0 |2638  8627 |1.42 0.82 0.52| 13   0 239|   0     0 |   0     0 |  8    5    0   10    2
Dec 20 13:32:01 ubuntu dstat.sh[81008]: 20-12 13:32:01| 21  13  65   1   0|1036M 1304M  191M 5213M| 145k 8048 |   0   924k|   0  12.0 |2419  4185 |1.42 0.82 0.52|2.0   0 129|   0     0 |   0     0 |  9    7    0   10    2
Dec 20 13:32:02 ubuntu dstat.sh[81008]: 20-12 13:32:02| 23  10  65   0   0|1037M 1303M  191M 5214M|  64k   17k|   0   703k|   0  30.0 |2198  3012 |1.42 0.82 0.52|1.0   0 187|   0     0 |   0     0 |  9    8    0   12    2
Dec 20 13:32:03 ubuntu dstat.sh[81008]: 20-12 13:32:03| 23   4  70   1   0|1082M 1258M  191M 5214M| 156k 9470 |  20k   11M|2.00  52.0 |1346  1510 |1.42 0.82 0.52|1.0   0  10|   0     0 |   0     0 |  9    8    0   12    2
Dec 20 13:32:04 ubuntu dstat.sh[81008]: 20-12 13:32:04| 25   3  71   2   0|1104M 1234M  191M 5216M| 141k 7393 | 176k 1301k|12.0  16.0 |1220  1465 |1.42 0.82 0.52|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Dec 20 13:32:05 ubuntu dstat.sh[81008]: 20-12 13:32:05| 25   1  70   3   0|1122M 1215M  191M 5217M| 342k   19k|  12k 2093k|1.00   107 |1852  2594 |1.38 0.83 0.52|1.0 1.0 1.0|   0     0 |   0     0 |  9   10    0   10    2
Dec 20 13:32:06 ubuntu dstat.sh[81008]: 20-12 13:32:06| 14   4  61  23   0|1135M 1198M  192M 5220M| 944k   24k|   0    14M|   0  1035 |5354    11k|1.38 0.83 0.52|1.0 1.0 9.0|   0     0 |   0     0 |  9   10    0   10    2
Dec 20 13:32:07 ubuntu dstat.sh[81008]: 20-12 13:32:07| 30   5  43  21   0|1126M 1203M  192M 5223M|  47k 9917 |   0  7500k|   0   632 |5293  9647 |1.38 0.83 0.52|1.0 1.0  17|   0     0 |   0     0 |  9    8    0   10    2
Dec 20 13:32:08 ubuntu dstat.sh[81008]: 20-12 13:32:08| 29   6  47  17   0|1141M 1186M  192M 5225M|  81k   13k|   0  7783k|   0   700 |5163  9466 |1.38 0.83 0.52|1.0 1.0  22|   0     0 |   0     0 |  9    8    0   10    2
Dec 20 13:32:09 ubuntu dstat.sh[81008]: 20-12 13:32:09|  8   3  66  21   0|1142M 1182M  193M 5227M| 146k   12k|   0  6276k|   0   647 |5543  9521 |1.38 0.83 0.52|  0 1.0  16|   0     0 |   0     0 |  9    9    0   10    2
Dec 20 13:32:10 ubuntu dstat.sh[81008]: 20-12 13:32:10| 14   3  60  21   0|1147M 1176M  193M 5229M| 235k   16k|   0  6237k|   0   633 |5278  9269 |1.43 0.85 0.53|2.0   0  13|   0     0 |   0     0 |  9    9    0   10    2
Dec 20 13:32:11 ubuntu dstat.sh[81008]: 20-12 13:32:11| 26   5  68   1   0|1075M 1247M  193M 5230M| 489k   18k|   0  1149k|   0  32.0 |2200  2802 |1.43 0.85 0.53|1.0   0  76|   0     0 |   0     0 |  9    8    0   10    2
Dec 20 13:32:12 ubuntu dstat.sh[81008]: 20-12 13:32:12| 24   3  70   0   0|1134M 1186M  193M 5231M|1071k   29k|   0  1304k|   0  4.00 |2243  2020 |1.43 0.85 0.53|2.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 20 13:32:13 ubuntu dstat.sh[81008]: 20-12 13:32:13| 33   1  62   3   0|1148M 1171M  193M 5232M| 649k   18k|   0  8043k|   0   385 |2489  3307 |1.43 0.85 0.53|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 20 13:32:14 ubuntu dstat.sh[81008]: 20-12 13:32:14| 26   4  65   4   0|1097M 1219M  193M 5234M| 975k   22k|   0    44M|   0   762 |3324  3258 |1.43 0.85 0.53|1.0   0  12|   0     0 |   0     0 |  9    8    0   10    2
Dec 20 13:32:15 ubuntu dstat.sh[81008]: 20-12 13:32:15| 30   3  62   4   0|1080M 1236M  193M 5235M| 263k 9961 |   0  8936k|   0   411 |2388  3098 |1.48 0.86 0.54|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Dec 20 13:32:16 ubuntu dstat.sh[81008]: 20-12 13:32:16| 31   8  58   2   0|1009M 1305M  193M 5237M|  76k 4535 |   0  7825k|   0   390 |2800  4062 |1.48 0.86 0.54|3.0   0 138|   0     0 |   0     0 |  9    6    0   10    2
Dec 20 13:32:17 ubuntu dstat.sh[81008]: 20-12 13:32:17| 18  20  61   1   0| 989M 1323M  193M 5238M| 275k   11k|   0  1961k|   0  66.0 |3340  5220 |1.48 0.86 0.54|1.0   0 411|   0     0 |   0     0 |  9    6    0   10    2
Dec 20 13:32:18 ubuntu dstat.sh[81008]: 20-12 13:32:18| 21  15  63   0   0| 993M 1319M  193M 5238M|  49k 5848 |   0   959k|   0  22.0 |4403  9123 |1.48 0.86 0.54|1.0   0 197|   0     0 |   0     0 |  9    6    0   10    2
Dec 20 13:32:19 ubuntu dstat.sh[81008]: 20-12 13:32:19| 41  14  43   1   0|1104M 1207M  193M 5240M| 534k   17k| 324k 2370k|4.00  17.0 |2953  3927 |1.48 0.86 0.54|3.0   0 156|   0     0 |   0     0 |  9    7    0   10    2
Dec 20 13:32:20 ubuntu dstat.sh[81008]: 20-12 13:32:20| 57   7  34   0   0|1180M 1125M  194M 5245M| 404k   12k|  20k 1526k|4.00  28.0 |1818  1580 |1.52 0.88 0.55|2.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    2
Dec 20 13:32:21 ubuntu dstat.sh[81008]: 20-12 13:32:21| 52   4  44   1   0|1213M 1089M  194M 5247M| 453k   16k| 352k 1938k|4.00  20.0 |2023  2984 |1.52 0.88 0.55|3.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Dec 20 13:32:22 ubuntu dstat.sh[81008]: 20-12 13:32:22| 39  18  42   0   0|1249M 1050M  194M 5249M| 541k   18k|   0  1372k|   0  9.00 |4180  8802 |1.52 0.88 0.55|2.0   0 459|   0     0 |   0     0 |  8    6    0   11    2
Dec 20 13:32:23 ubuntu dstat.sh[81008]: 20-12 13:32:23| 32  22  44   0   0|1302M  996M  194M 5250M| 100k 8075 |   0   932k|   0  60.0 |3180  5701 |1.52 0.88 0.55|2.0   0 790|   0     0 |   0     0 |  8    6    0   11    2
Dec 20 13:32:24 ubuntu dstat.sh[81008]: 20-12 13:32:24| 39  21  39   0   0|1327M  971M  194M 5250M|  30k 4614 |   0  4240k|   0   113 |3470  6286 |1.52 0.88 0.55|2.0   0 737|   0     0 |   0     0 |  8    6    0   11    2
Dec 20 13:32:25 ubuntu dstat.sh[81008]: 20-12 13:32:25| 37  19  40   3   0|1236M 1062M  194M 5250M| 225k   72k|   0  4479k|   0   325 |5626    10k|1.72 0.94 0.56|2.0   0 730|   0     0 |   0     0 |  8    6    0   13    2
Dec 20 13:32:26 ubuntu dstat.sh[81008]: 20-12 13:32:26| 40  22  37   1   0|1283M 1014M  194M 5251M| 141k 7087 |  36k 1865k|3.00   110 |3682  6844 |1.72 0.94 0.56|3.0   0 786|   0     0 |   0     0 |  8    6    0   13    2
Dec 20 13:32:27 ubuntu dstat.sh[81008]: 20-12 13:32:27| 36  20  40   3   0|1290M 1007M  194M 5251M|  97k   81k| 156k 2558k|35.0  99.9 |3869  7417 |1.72 0.94 0.56|1.0 1.0 717|   0     0 |   0     0 |  8   18    0   13    2
Dec 20 13:32:28 ubuntu dstat.sh[81008]: 20-12 13:32:28| 40  22  33   3   0|1273M 1022M  194M 5252M| 110k   50k|  88k 2626k|22.0   152 |3872  7307 |1.72 0.94 0.56|3.0   0 766|   0     0 |   0     0 |  8   32    0   15    2
Dec 20 13:32:29 ubuntu dstat.sh[81008]: 20-12 13:32:29| 58  19  20   1   0|1304M  988M  195M 5255M|  11k 1620 |   0    16M|   0   474 |  12k   35k|1.72 0.94 0.56|3.0   0 188|   0     0 |   0     0 |  9   32    0   15    2
Dec 20 13:32:30 ubuntu dstat.sh[81008]: 20-12 13:32:30| 50  14  34   2   0|1285M 1002M  195M 5258M|  70k   60k|   0  1648k|   0  34.0 |5549    12k|1.82 0.97 0.58|3.0   0 160|   0     0 |   0     0 |  9   32    0   15    2
Dec 20 13:32:31 ubuntu dstat.sh[81008]: 20-12 13:32:31| 59  14  19   7   0|1397M  872M  195M 5275M|  60k   53k|   0  3199k|   0  93.9 |2397  3589 |1.82 0.97 0.58|3.0   0 234|   0     0 |   0     0 |  9   32    0   12    2
Dec 20 13:32:32 ubuntu dstat.sh[81008]: 20-12 13:32:32| 61   9  28   2   0|1385M  873M  196M 5283M| 665k  656k|  28k 2848k|1.99   120 |5050  9698 |1.82 0.97 0.58|3.0   0 2.0|   0     0 |   0     0 |  9   37    0   14    2
Dec 20 13:32:33 ubuntu dstat.sh[81008]: 20-12 13:32:33| 68  21   7   3   1|1357M  892M  196M 5291M|8780  2455 |   0  3121k|   0  94.5 |2415  4127 |1.82 0.97 0.58|6.0   0 428|   0     0 |   0     0 |  9   36    0   15    2
Dec 20 13:32:34 ubuntu dstat.sh[81008]: 20-12 13:32:34| 86  14   0   0   0|1496M  743M  197M 5299M| 119k  103k|   0  4869k|   0   100 |2517  3607 |1.82 0.97 0.58|7.0   0 137|   0     0 |   0     0 |  9   36    0   15    2
Dec 20 13:32:35 ubuntu dstat.sh[81008]: 20-12 13:32:35| 87  13   0   0   0|1530M  692M  197M 5315M| 713k  706k|   0  7103k|   0   289 |5636    11k|2.32 1.09 0.62|8.0 1.0  42|   0     0 |   0     0 |  9   38    0   16    2
Dec 20 13:32:36 ubuntu dstat.sh[81008]: 20-12 13:32:36| 72  14  14   1   0|1387M  831M  197M 5317M| 296k  288k|   0  2131k|   0  78.4 |3555  6579 |2.32 1.09 0.62|2.0   0 187|   0     0 |   0     0 |  9   37    0   16    2
Dec 20 13:32:37 ubuntu dstat.sh[81008]: 20-12 13:32:37| 27   5  65   2   0|1262M  957M  197M 5317M| 218k  210k|   0   455k|   0  38.9 |2608  4407 |2.32 1.09 0.62|1.0   0  68|   0     0 |   0     0 |  9   37    0   16    2
Dec 20 13:32:38 ubuntu dstat.sh[81008]: 20-12 13:32:38| 37   7  54   1   0|1245M  994M  197M 5297M|8701  2343 |   0   977k|   0  18.0 |1464  1589 |2.32 1.09 0.62|2.0   0  46|   0     0 |   0     0 |  9   34    0   16    0
Dec 20 13:32:39 ubuntu dstat.sh[81008]: 20-12 13:32:39| 44   8  46   1   0|1315M  924M  197M 5297M| 214k  209k|   0  3234k|   0  59.0 |5093  9482 |2.32 1.09 0.62|3.0   0  13|   0     0 |   0     0 |  9   34    0   17    0
Dec 20 13:32:40 ubuntu dstat.sh[81008]: 20-12 13:32:40| 43   9  46   1   0|1268M  971M  197M 5297M|9154  1725 |   0  1145k|   0  15.0 |5860    11k|2.37 1.12 0.63|2.0   0  78|   0     0 |   0     0 |  9   34    0   17    0
Dec 20 13:32:41 ubuntu dstat.sh[81008]: 20-12 13:32:41| 47   6  45   1   0|1319M  920M  198M 5298M| 132k  127k|   0  1136k|   0  12.0 |6891    17k|2.37 1.12 0.63|4.0   0 7.0|   0     0 |   0     0 |  9   35    0   17    0
