-- Logs begin at Thu 2022-12-22 23:48:56 UTC, end at Fri 2022-12-23 01:17:02 UTC. --
Dec 23 00:38:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 23 00:38:13 ubuntu dstat.sh[79908]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 23 00:38:13 ubuntu dstat.sh[79908]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 23 00:38:13 ubuntu dstat.sh[79908]: 23-12 00:38:13|                   | 845M 1517M  187M 5076M|           |           |           |           |1.02 0.89 0.61|1.0   0    |           |   0     0 |  8    4    0   11    2
Dec 23 00:38:14 ubuntu dstat.sh[79908]: 23-12 00:38:14| 12  19  68   0   0| 846M 1517M  187M 5076M| 110k 6729 |   0   591k|   0  19.0 |2577  4097 |1.06 0.90 0.61|1.0   0 362|   0     0 |   0     0 |  8    4    0   11    2
Dec 23 00:38:15 ubuntu dstat.sh[79908]: 23-12 00:38:15| 11  21  67   1   1| 847M 1515M  187M 5076M| 243k 8233 |   0   680k|   0  17.5 |2564  3914 |1.09 0.91 0.61|1.0   0 349|   0     0 |   0     0 |  8    4    0   11    2
Dec 23 00:38:16 ubuntu dstat.sh[79908]: 23-12 00:38:16| 20  18  60   1   0| 833M 1528M  187M 5077M| 154k 7570 |   0    22M|   0   263 |3965  6584 |1.09 0.91 0.61|1.0   0 239|   0     0 |   0     0 |  8    4    0   11    2
Dec 23 00:38:17 ubuntu dstat.sh[79908]: 23-12 00:38:17| 20  12  66   1   0| 972M 1388M  187M 5199M| 174k 9454 |   0  1036k|   0  12.0 |3428  5880 |1.09 0.91 0.61|  0   0  73|   0     0 |   0     0 |  9    4    0   11    2
Dec 23 00:38:18 ubuntu dstat.sh[79908]: 23-12 00:38:18| 13   7  79   1   0| 976M 1384M  187M 5200M| 161k 7829 |   0   577k|   0  12.0 |1631  2222 |1.09 0.91 0.61|1.0   0  94|   0     0 |   0     0 |  9    6    0   11    2
Dec 23 00:38:19 ubuntu dstat.sh[79908]: 23-12 00:38:19| 19  12  68   1   0| 978M 1382M  187M 5200M|  56k   17k|   0   660k|   0  29.0 |2005  2907 |1.17 0.92 0.62|1.0   0 174|   0     0 |   0     0 |  9    6    0   13    2
Dec 23 00:38:20 ubuntu dstat.sh[79908]: 23-12 00:38:20| 24   5  69   1   0|1022M 1337M  187M 5200M|  47k 5396 |  20k 1012k|2.00  21.0 |1344  1597 |1.17 0.92 0.62|1.0   0  22|   0     0 |   0     0 |  9    6    0   11    2
Dec 23 00:38:21 ubuntu dstat.sh[79908]: 23-12 00:38:21| 25   4  69   2   0|1046M 1312M  187M 5201M|  77k 6528 | 176k 1602k|12.0  17.0 |1362  1608 |1.17 0.92 0.62|2.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Dec 23 00:38:22 ubuntu dstat.sh[79908]: 23-12 00:38:22| 21   3  68   7   0|1070M 1287M  187M 5202M|  46k   15k|  12k 3226k|1.00   209 |2459  3959 |1.17 0.92 0.62|1.0 1.0 4.0|   0     0 |   0     0 |  9    8    0   11    2
Dec 23 00:38:23 ubuntu dstat.sh[79908]: 23-12 00:38:23|  9   4  65  22   0|1070M 1283M  188M 5205M| 199k   15k|   0    14M|   0  1060 |5431    11k|1.17 0.92 0.62|1.0   0 7.0|   0     0 |   0     0 |  9    8    0   11    2
Dec 23 00:38:24 ubuntu dstat.sh[79908]: 23-12 00:38:24|  7   3  67  20   0|1078M 1273M  188M 5207M|  39k 9291 |   0  6383k|   0   549 |4269  8539 |1.23 0.94 0.63|  0 1.0  18|   0     0 |   0     0 |  9    8    0   11    2
Dec 23 00:38:25 ubuntu dstat.sh[79908]: 23-12 00:38:25| 12   3  66  19   0|1080M 1268M  189M 5210M| 695k   20k|   0  7568k|   0   710 |5315    10k|1.23 0.94 0.63|2.0 1.0  16|   0     0 |   0     0 |  9    8    0   11    2
Dec 23 00:38:26 ubuntu dstat.sh[79908]: 23-12 00:38:26|  9   4  64  22   0|1082M 1261M  189M 5213M| 918k   24k|   0  9218k|   0   661 |5956  9714 |1.23 0.94 0.63|  0 1.0  14|   0     0 |   0     0 |  9    8    0   11    2
Dec 23 00:38:27 ubuntu dstat.sh[79908]: 23-12 00:38:27| 15   2  60  19   0|1087M 1254M  189M 5215M| 613k   23k|   0  5954k|   0   571 |5537  9227 |1.23 0.94 0.63|  0 1.0  13|   0     0 |   0     0 |  9    8    0   11    2
Dec 23 00:38:28 ubuntu dstat.sh[79908]: 23-12 00:38:28| 23   6  70   0   0|1003M 1338M  189M 5215M|  96k 7700 |   0   656k|   0  30.0 |1844  2440 |1.23 0.94 0.63|1.0   0  79|   0     0 |   0     0 |  9    6    0   11    2
Dec 23 00:38:29 ubuntu dstat.sh[79908]: 23-12 00:38:29| 27   2  70   1   0|1064M 1277M  189M 5216M|  84k 6076 |   0   624k|   0  9.00 |1309  1200 |1.21 0.94 0.63|1.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Dec 23 00:38:30 ubuntu dstat.sh[79908]: 23-12 00:38:30| 27   1  68   3   1|1085M 1255M  190M 5216M| 282k 8296 |   0  7820k|   0   401 |2525  3016 |1.21 0.94 0.63|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   11    2
