-- Logs begin at Tue 2023-01-03 14:10:15 UTC, end at Wed 2023-01-04 15:30:16 UTC. --
Jan 04 14:51:57 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 04 14:51:57 ubuntu dstat.sh[82538]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 04 14:51:57 ubuntu dstat.sh[82538]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 04 14:51:57 ubuntu dstat.sh[82538]: 04-01 14:51:57|                   | 842M 1383M  191M 5205M|           |           |           |           |0.86 0.69 0.49|4.0   0    |           |   0     0 |  8    4    0   10    2
Jan 04 14:51:58 ubuntu dstat.sh[82538]: 04-01 14:51:58| 12  18  68   0   0| 843M 1378M  191M 5208M|2996k   28k|   0   550k|   0  9.97 |4247  5672 |0.86 0.69 0.49|3.0   0 359|   0     0 |   0     0 |  8    4    0   10    2
Jan 04 14:51:59 ubuntu dstat.sh[82538]: 04-01 14:51:59| 13  20  66   0   0| 845M 1369M  191M 5214M|1951k   21k|   0  4338k|   0  13.0 |3744  4707 |0.86 0.69 0.49|3.0   0 338|   0     0 |   0     0 |  8    4    0   10    2
Jan 04 14:52:00 ubuntu dstat.sh[82538]: 04-01 14:52:00| 20  17  62   1   0| 831M 1382M  191M 5215M| 414k   11k|   0  2520k|   0  18.0 |3989  6010 |0.86 0.69 0.49|5.0   0 213|   0     0 |   0     0 |  8    4    0   10    2
Jan 04 14:52:01 ubuntu dstat.sh[82538]: 04-01 14:52:01| 21  15  62   0   0| 976M 1237M  191M 5338M| 242k 7221 |   0   671k|   0  8.98 |3800  7106 |0.86 0.69 0.49|  0   0 105|   0     0 |   0     0 |  9    4    0   10    2
Jan 04 14:52:02 ubuntu dstat.sh[82538]: 04-01 14:52:02| 18   8  73   1   1| 983M 1228M  191M 5339M| 181k 8821 |   0    10M|   0  47.1 |1870  2361 |0.88 0.69 0.49|1.0   0 106|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:03 ubuntu dstat.sh[82538]: 04-01 14:52:03| 19  10  69   0   0| 991M 1220M  191M 5339M| 167k   18k|   0   671k|   0  27.0 |2173  3120 |0.88 0.69 0.49|1.0   0 182|   0     0 |   0     0 |  9    6    0   12    2
Jan 04 14:52:04 ubuntu dstat.sh[82538]: 04-01 14:52:04| 26   3  70   1   0|1048M 1162M  191M 5340M| 159k 6602 |  52k 1204k|5.00  22.0 |1217  1372 |0.88 0.69 0.49|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:05 ubuntu dstat.sh[82538]: 04-01 14:52:05| 27   2  69   1   0|1055M 1153M  191M 5341M|  51k 5817 | 156k 1553k|10.0  20.0 |1262  1613 |0.88 0.69 0.49|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:06 ubuntu dstat.sh[82538]: 04-01 14:52:06| 11   3  65  17   0|1072M 1135M  192M 5342M|  76k   18k|   0  7676k|   0   606 |4002  8103 |0.88 0.69 0.49|  0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 14:52:07 ubuntu dstat.sh[82538]: 04-01 14:52:07| 11   2  65  20   0|1074M 1130M  192M 5344M|  66k   11k|   0    14M|   0  1036 |4976  9314 |0.89 0.70 0.49|1.0 2.0   0|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 14:52:08 ubuntu dstat.sh[82538]: 04-01 14:52:08| 11   3  66  18   0|1081M 1121M  192M 5347M|  62k   11k|   0  7231k|   0   625 |4932  9169 |0.89 0.70 0.49|  0 1.0  18|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 14:52:09 ubuntu dstat.sh[82538]: 04-01 14:52:09|  9   4  66  20   0|1084M 1116M  193M 5348M| 170k   13k|   0  6282k|   0   656 |5467  9510 |0.89 0.70 0.49|1.0 1.0  25|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 14:52:10 ubuntu dstat.sh[82538]: 04-01 14:52:10| 11   3  65  20   0|1086M 1112M  193M 5350M|  31k 9975 |   0  6225k|   0   586 |4814  8693 |0.89 0.70 0.49|1.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 14:52:11 ubuntu dstat.sh[82538]: 04-01 14:52:11| 18   2  66  13   0|1089M 1106M  193M 5352M| 670k   19k|   0  4813k|   0   421 |4283  7199 |0.89 0.70 0.49|1.0   0  13|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:12 ubuntu dstat.sh[82538]: 04-01 14:52:12| 21   7  69   2   0|1037M 1157M  193M 5354M| 903k 7656 |   0  5060k|   0   195 |2000  1987 |0.90 0.70 0.50|1.0   0  77|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:13 ubuntu dstat.sh[82538]: 04-01 14:52:13| 31   3  65   1   0|1086M 1107M  193M 5355M| 597k   10k|   0  1351k|   0  21.0 |1389  1286 |0.90 0.70 0.50|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:14 ubuntu dstat.sh[82538]: 04-01 14:52:14| 25   3  69   3   1|1035M 1157M  194M 5355M|  47k 5185 |   0  7472k|   0   407 |2229  2975 |0.90 0.70 0.50|1.0   0  11|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:15 ubuntu dstat.sh[82538]: 04-01 14:52:15| 28   3  66   2   0|1087M 1105M  194M 5355M|  82k 6122 |   0  7391k|   0   387 |2233  2916 |0.90 0.70 0.50|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:16 ubuntu dstat.sh[82538]: 04-01 14:52:16| 18  10  67   3   0| 996M 1196M  194M 5355M|  76k 6267 |   0  7479k|   0   414 |3089  4744 |0.90 0.70 0.50|2.0   0 212|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:17 ubuntu dstat.sh[82538]: 04-01 14:52:17| 13  20  64   2   0| 996M 1194M  194M 5356M| 336k 7109 |   0  8199k|   0   387 |3939  5988 |1.14 0.76 0.51|3.0   0 386|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:18 ubuntu dstat.sh[82538]: 04-01 14:52:18| 34  17  46   2   0| 998M 1190M  194M 5358M|  13k 3434 |   0    35M|   0   263 |5023  8533 |1.14 0.76 0.51|1.0   0 148|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:19 ubuntu dstat.sh[82538]: 04-01 14:52:19| 51  14  33   0   0|1106M 1075M  194M 5365M| 874k   14k| 324k 1871k|4.01  14.0 |3106  5448 |1.14 0.76 0.51|3.0   0 151|   0     0 |   0     0 |  9    7    0   10    2
Jan 04 14:52:20 ubuntu dstat.sh[82538]: 04-01 14:52:20| 51   5  44   0   0|1190M  990M  194M 5366M|  79k 6351 | 372k  753k|8.01  9.01 |1433  1377 |1.14 0.76 0.51|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Jan 04 14:52:21 ubuntu dstat.sh[82538]: 04-01 14:52:21| 54   3  42   0   0|1220M  956M  195M 5369M| 941k   15k|   0  1934k|   0  8.99 |2206  4637 |1.14 0.76 0.51|3.0   0  16|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:22 ubuntu dstat.sh[82538]: 04-01 14:52:22| 27  11  60   1   0|1273M  902M  195M 5370M|  68k 6071 |   0   527k|   0  8.99 |2342  3861 |1.13 0.76 0.52|1.0   0 130|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:23 ubuntu dstat.sh[82538]: 04-01 14:52:23| 29   2  68   1   0|1323M  852M  195M 5370M|  56k 5746 |   0  2306k|   0  19.0 |1198  1276 |1.13 0.76 0.52|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 14:52:24 ubuntu dstat.sh[82538]: 04-01 14:52:24| 27   3  67   2   0|1343M  831M  195M 5370M| 144k   69k|   0  1426k|   0   162 |3027  4775 |1.13 0.76 0.52|1.0   0 1.0|   0     0 |   0     0 |  9   12    0   10    2
Jan 04 14:52:25 ubuntu dstat.sh[82538]: 04-01 14:52:25| 28   5  66   1   0|1281M  893M  195M 5370M| 222k 7233 |   0  2680k|   0   135 |1910  2404 |1.13 0.76 0.52|1.0   0  48|   0     0 |   0     0 |  9    6    0   12    2
Jan 04 14:52:26 ubuntu dstat.sh[82538]: 04-01 14:52:26| 35   5  58   1   0|1291M  882M  195M 5371M|  48k   27k|  64k 1021k|6.01  15.0 |1562  1895 |1.13 0.76 0.52|2.0   0 4.0|   0     0 |   0     0 |  9   13    0   12    2
Jan 04 14:52:27 ubuntu dstat.sh[82538]: 04-01 14:52:27| 22   3  70   4   0|1303M  869M  195M 5371M| 166k  106k| 216k 1022k|53.9  20.0 |2043  2797 |1.12 0.77 0.52|1.0   0 3.0|   0     0 |   0     0 |  9   32    0   13    2
Jan 04 14:52:28 ubuntu dstat.sh[82538]: 04-01 14:52:28| 41   9  49   0   0|1293M  878M  195M 5372M|  14k 1711 |   0  9332k|   0  42.0 |1563  1712 |1.12 0.77 0.52|2.0   0  49|   0     0 |   0     0 |  9   32    0   13    2
Jan 04 14:52:29 ubuntu dstat.sh[82538]: 04-01 14:52:29| 48  11  41   0   0|1239M  929M  195M 5375M|  68k   62k|   0    48k|   0  9.01 |3011  6465 |1.12 0.77 0.52|2.0   0  50|   0     0 |   0     0 |  9   32    0   14    2
Jan 04 14:52:30 ubuntu dstat.sh[82538]: 04-01 14:52:30| 53  14  27   6   0|1325M  828M  195M 5388M|8072  1621 |   0  2353k|   0  68.0 |1980  2507 |1.12 0.77 0.52|2.0 1.0 146|   0     0 |   0     0 |  9   32    0   11    2
Jan 04 14:52:31 ubuntu dstat.sh[82538]: 04-01 14:52:31| 60   9  29   1   0|1386M  755M  196M 5398M| 273k  267k|   0  1684k|   0  79.8 |2408  4540 |1.12 0.77 0.52|3.0   0 1.0|   0     0 |   0     0 |  9   36    0   11    2
Jan 04 14:52:32 ubuntu dstat.sh[82538]: 04-01 14:52:32| 59  15  21   4   0|1276M  855M  197M 5406M| 446k  440k|  28k 3388k|2.00   144 |4047  9367 |1.19 0.79 0.53|8.0   0 267|   0     0 |   0     0 |  9   36    0   10    2
Jan 04 14:52:33 ubuntu dstat.sh[82538]: 04-01 14:52:33| 84  16   1   0   0|1439M  680M  197M 5417M|8898  1622 |   0  4706k|   0   113 |2328  3232 |1.19 0.79 0.53|9.0   0 212|   0     0 |   0     0 |  9   36    0   10    2
Jan 04 14:52:34 ubuntu dstat.sh[82538]: 04-01 14:52:34| 86  13   0   0   0|1569M  530M  198M 5434M| 507k  501k|   0  1964k|   0  84.0 |3512  7466 |1.19 0.79 0.53|9.0   0 111|   0     0 |   0     0 |  9   38    0   11    2
Jan 04 14:52:35 ubuntu dstat.sh[82538]: 04-01 14:52:35| 78  16   5   0   0|1384M  712M  198M 5436M| 469k  462k|   0  2367k|   0   118 |4023  9885 |1.19 0.79 0.53|3.0   0 201|   0     0 |   0     0 |  9   37    0   11    2
Jan 04 14:52:36 ubuntu dstat.sh[82538]: 04-01 14:52:36| 40   6  52   0   0|1336M  759M  198M 5437M| 359k  338k|   0   803k|   0  64.9 |3342  5903 |1.19 0.79 0.53|2.0   0  53|   0     0 |   0     0 |  9   37    0   11    2
Jan 04 14:52:37 ubuntu dstat.sh[82538]: 04-01 14:52:37| 37   9  54   1   0|1261M  855M  198M 5417M|  12k 2386 |   0   581k|   0  30.1 |1633  1897 |1.26 0.81 0.54|3.0   0  65|   0     0 |   0     0 |  9   34    0   11    0
Jan 04 14:52:38 ubuntu dstat.sh[82538]: 04-01 14:52:38| 44   8  45   2   0|1325M  791M  198M 5417M| 215k  205k|   0  9351k|   0   520 |7473    16k|1.26 0.81 0.54|3.0   0  10|   0     0 |   0     0 |  9   35    0   11    0
Jan 04 14:52:39 ubuntu dstat.sh[82538]: 04-01 14:52:39| 41  10  48   1   0|1261M  855M  198M 5417M|  18k 7762 |   0  4355k|   0   190 |3631  5810 |1.26 0.81 0.54|2.0   0  78|   0     0 |   0     0 |  9   34    0   12    0
Jan 04 14:52:40 ubuntu dstat.sh[82538]: 04-01 14:52:40| 45   8  45   0   0|1327M  789M  198M 5417M|  61k   52k|   0   796k|   0  5.00 |7659    16k|1.26 0.81 0.54|2.0   0 7.0|   0     0 |   0     0 |  9   34    0   12    0
Jan 04 14:52:41 ubuntu dstat.sh[82538]: 04-01 14:52:41| 39  13  46   0   0|1234M  882M  198M 5417M| 162k  153k|   0   340k|   0  26.0 |2879  4888 |1.26 0.81 0.54|2.0   0 209|   0     0 |   0     0 |  9   34    0   12    0
Jan 04 14:52:42 ubuntu dstat.sh[82538]: 04-01 14:52:42| 36  27  35   0   0|1223M  893M  198M 5417M|  10k 1567 |   0   328k|   0  17.0 |2704  4755 |1.32 0.83 0.54|4.0   0 585|   0     0 |   0     0 |  9   34    0   12    0
Jan 04 14:52:43 ubuntu dstat.sh[82538]: 04-01 14:52:43| 87  13   0   0   0|1378M  737M  198M 5417M|  12k 1620 |   0   252k|   0  12.0 |1985  3157 |1.32 0.83 0.54|6.0   0 272|   0     0 |   0     0 |  9   34    0   12    0
Jan 04 14:52:44 ubuntu dstat.sh[82538]: 04-01 14:52:44| 90   9   0   0   0|1476M  639M  198M 5417M| 413k  405k|   0   696k|   0  45.0 |3543  6133 |1.32 0.83 0.54|6.0   0  29|   0     0 |   0     0 |  9   36    0   12    0
Jan 04 14:52:45 ubuntu dstat.sh[82538]: 04-01 14:52:45| 82  11   6   0   0|1411M  704M  198M 5418M|1126k 1121k|   0   700k|   0  86.0 |6678    16k|1.32 0.83 0.54|6.0   0  78|   0     0 |   0     0 |  9   36    0   13    0
Jan 04 14:52:46 ubuntu dstat.sh[82538]: 04-01 14:52:46| 83  15   1   0   0|1364M  751M  198M 5418M| 376k  368k|   0   504k|   0  49.0 |4063  7733 |1.32 0.83 0.54|7.0   0 212|   0     0 |   0     0 |  9   34    0   13    0
Jan 04 14:52:47 ubuntu dstat.sh[82538]: 04-01 14:52:47| 88  12   0   0   0|1514M  601M  198M 5418M| 708k  702k|   0   392k|   0  31.0 |4142  8745 |1.77 0.93 0.58|8.0   0  57|   0     0 |   0     0 |  9   36    0   13    0
Jan 04 14:52:48 ubuntu dstat.sh[82538]: 04-01 14:52:48| 82  10   7   0   0|1524M  590M  198M 5418M|1134k 1127k|   0  7691k|   0   227 |7798    15k|1.77 0.93 0.58|3.0   0  50|   0     0 |   0     0 |  9   38    0   14    0
Jan 04 14:52:49 ubuntu dstat.sh[82538]: 04-01 14:52:49| 60  14  25   0   0|1257M  857M  198M 5419M|1047k 1041k|   0   671k|   0  56.9 |6815    16k|1.77 0.93 0.58|2.0   0 219|   0     0 |   0     0 |  9   35    0   15    0
Jan 04 14:52:50 ubuntu dstat.sh[82538]: 04-01 14:52:50| 45   6  49   0   0|1273M  841M  198M 5419M|  40k   34k|   0   236k|   0  21.0 |1608  2296 |1.77 0.93 0.58|2.0   0  33|   0     0 |   0     0 |  9   34    0   15    0
Jan 04 14:52:51 ubuntu dstat.sh[82538]: 04-01 14:52:51| 45   6  48   1   0|1320M  795M  198M 5419M| 359k  351k|   0   352k|   0  33.0 |2654  5232 |1.77 0.93 0.58|2.0   0 1.0|   0     0 |   0     0 |  9   35    0   16    0
Jan 04 14:52:52 ubuntu dstat.sh[82538]: 04-01 14:52:52| 57  18  24   0   0|1265M  849M  198M 5419M| 455k  445k|   0  1480k|   0  94.0 |4268  9080 |1.87 0.96 0.59|3.0   0 382|   0     0 |   0     0 |  9   34    0   16    0
Jan 04 14:52:53 ubuntu dstat.sh[82538]: 04-01 14:52:53| 69   7  25   0   0|1386M  728M  198M 5419M| 150k  140k|   0  1540k|   0  13.0 |1915  2624 |1.87 0.96 0.59|3.0   0   0|   0     0 |   0     0 |  9   35    0   13    0
Jan 04 14:52:54 ubuntu dstat.sh[82538]: 04-01 14:52:54| 54   8  36   0   0|1256M  857M  198M 5420M| 852k  844k|   0   476k|   0  58.0 |5413    12k|1.87 0.96 0.59|4.0   0  61|   0     0 |   0     0 |  9   35    0   14    0
Jan 04 14:52:55 ubuntu dstat.sh[82538]: 04-01 14:52:55| 82  15   3   0   0|1365M  748M  198M 5420M|  71k   62k|   0   344k|   0  25.0 |2471  3743 |1.87 0.96 0.59|4.0   0 206|   0     0 |   0     0 |  9   34    0   14    0
Jan 04 14:52:56 ubuntu dstat.sh[82538]: 04-01 14:52:56| 80   9  11   0   0|1459M  653M  198M 5420M| 691k  683k|   0   303k|   0  25.0 |3980  9107 |1.87 0.96 0.59|2.0   0   0|   0     0 |   0     0 |  9   38    0   14    0
Jan 04 14:52:57 ubuntu dstat.sh[82538]: 04-01 14:52:57| 72  12  15   0   0|1314M  798M  198M 5420M|1090k 1084k|   0   834k|   0  75.2 |5336    15k|2.04 1.02 0.61|5.0   0 249|   0     0 |   0     0 |  9   34    0   16    0
Jan 04 14:52:58 ubuntu dstat.sh[82538]: 04-01 14:52:58| 69  12  19   0   0|1374M  738M  198M 5420M|  58k   52k|   0   216k|   0  13.0 |1852  2372 |2.04 1.02 0.61|3.0   0  81|   0     0 |   0     0 |  9   34    0   16    0
Jan 04 14:52:59 ubuntu dstat.sh[82538]: 04-01 14:52:59| 63   9  26   0   0|1258M  854M  198M 5421M| 847k  840k|   0  2315k|   0  69.0 |5597    12k|2.04 1.02 0.61|4.0   0  75|   0     0 |   0     0 |  9   35    0   17    0
Jan 04 14:53:00 ubuntu dstat.sh[82538]: 04-01 14:53:00| 73  15  10   0   0|1324M  788M  198M 5421M| 327k  313k|   0   348k|   0  25.0 |3217  6476 |2.04 1.02 0.61|3.0   0 230|   0     0 |   0     0 |  9   34    0   17    0
Jan 04 14:53:01 ubuntu dstat.sh[82538]: 04-01 14:53:01| 63   9  29   1   0|1394M  718M  199M 5421M| 640k  615k|   0   456k|   0  44.0 |4372  8724 |2.04 1.02 0.61|3.0   0   0|   0     0 |   0     0 |  9   36    0   19    0
Jan 04 14:53:02 ubuntu dstat.sh[82538]: 04-01 14:53:02| 67  17  15   0   1|1303M  808M  199M 5421M| 514k  505k|   0   316k|   0  22.0 |4482  9270 |2.20 1.07 0.63|3.0   0 292|   0     0 |   0     0 |  9   34    0   20    0
Jan 04 14:53:03 ubuntu dstat.sh[82538]: 04-01 14:53:03| 68   6  26   0   0|1392M  719M  199M 5421M| 384k  373k|   0   324k|   0  27.0 |2501  4594 |2.20 1.07 0.63|4.0   0   0|   0     0 |   0     0 |  9   35    0   20    0
Jan 04 14:53:04 ubuntu dstat.sh[82538]: 04-01 14:53:04| 65  12  24   1   0|1274M  837M  199M 5421M| 548k  541k|   0    44M|   0   178 |3658  8644 |2.20 1.07 0.63|3.0   0 116|   0     0 |   0     0 |  9   34    0   22    0
Jan 04 14:53:05 ubuntu dstat.sh[82538]: 04-01 14:53:05| 66   9  25   0   0|1385M  727M  199M 5421M| 232k  221k|   0   256k|   0  19.0 |2209  4101 |2.20 1.07 0.63|3.0   0 3.0|   0     0 |   0     0 |  9   36    0   20    0
Jan 04 14:53:06 ubuntu dstat.sh[82538]: 04-01 14:53:06| 74  15   9   0   0|1327M  784M  199M 5421M| 688k  682k|   0   797k|   0  68.1 |3831    11k|2.20 1.07 0.63|6.0   0 313|   0     0 |   0     0 |  9   34    0   20    0
Jan 04 14:53:07 ubuntu dstat.sh[82538]: 04-01 14:53:07| 85  14   0   0   0|1429M  682M  199M 5421M|  53k   46k|   0   236k|   0  16.0 |2041  2996 |2.42 1.13 0.65|6.0   0 182|   0     0 |   0     0 |  9   34    0   20    0
