-- Logs begin at Sat 2022-12-24 05:03:38 UTC, end at Sun 2022-12-25 19:45:30 UTC. --
Dec 25 19:06:22 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 25 19:06:23 ubuntu dstat.sh[83113]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 25 19:06:23 ubuntu dstat.sh[83113]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 25 19:06:23 ubuntu dstat.sh[83113]: 25-12 19:06:23|                   | 855M 1488M  191M 5089M|           |           |           |           |0.65 0.80 0.66|2.0 1.0    |           |   0     0 |  8    4    0   10    2
Dec 25 19:06:24 ubuntu dstat.sh[83113]: 25-12 19:06:24| 12  19  68   1   0| 855M 1487M  191M 5090M| 187k   10k|   0   631k|   0  20.0 |2839  4451 |0.66 0.80 0.66|2.0 0.5 391|   0     0 |   0     0 |  8    4    0   10    2
Dec 25 19:06:25 ubuntu dstat.sh[83113]: 25-12 19:06:25| 19  18  62   1   0| 839M 1503M  191M 5090M| 149k 8436 |   0   564k|   0  18.0 |3118  5040 |0.68 0.80 0.66|2.0   0 342|   0     0 |   0     0 |  8    4    0   10    2
Dec 25 19:06:26 ubuntu dstat.sh[83113]: 25-12 19:06:26| 19  18  61   0   1| 840M 1501M  191M 5091M| 163k 8793 |   0    20M|   0   115 |3687  5912 |0.68 0.80 0.66|2.0   0 205|   0     0 |   0     0 |  8    4    0   10    2
Dec 25 19:06:27 ubuntu dstat.sh[83113]: 25-12 19:06:27| 17   9  72   0   0| 974M 1366M  191M 5213M|  45k 5487 |   0   403k|   0  8.99 |3032  4863 |0.68 0.80 0.66|1.0   0  66|   0     0 |   0     0 |  9    4    0   10    2
Dec 25 19:06:28 ubuntu dstat.sh[83113]: 25-12 19:06:28| 17   9  74   0   0| 982M 1358M  191M 5213M|  51k 6361 |   0   448k|   0  14.0 |1715  2157 |0.68 0.80 0.66|2.0   0 101|   0     0 |   0     0 |  9    6    0   10    2
Dec 25 19:06:29 ubuntu dstat.sh[83113]: 25-12 19:06:29| 19  12  69   1   0| 985M 1355M  191M 5214M|  82k   18k|   0   624k|   0  29.0 |2260  3291 |0.71 0.81 0.67|2.0   0 186|   0     0 |   0     0 |  9    6    0   12    2
Dec 25 19:06:30 ubuntu dstat.sh[83113]: 25-12 19:06:30| 25   4  68   1   0|1012M 1327M  191M 5214M|  50k 4790 |  52k  800k|5.00  19.0 |1311  1373 |0.71 0.81 0.67|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Dec 25 19:06:31 ubuntu dstat.sh[83113]: 25-12 19:06:31| 23   3  71   2   0|1056M 1282M  191M 5215M| 147k 7981 | 144k 1632k|9.00  16.0 |1413  1563 |0.71 0.81 0.67|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 25 19:06:32 ubuntu dstat.sh[83113]: 25-12 19:06:32| 20   3  67   9   1|1076M 1262M  191M 5216M|  71k   16k|  12k 8888k|1.00   541 |3524  4477 |0.71 0.81 0.67|1.0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 25 19:06:33 ubuntu dstat.sh[83113]: 25-12 19:06:33| 10   5  61  25   0|1077M 1258M  191M 5218M|  54k   11k|   0    15M|   0  1186 |6682    11k|0.71 0.81 0.67|4.0 1.0  11|   0     0 |   0     0 |  9    8    0   10    2
Dec 25 19:06:34 ubuntu dstat.sh[83113]: 25-12 19:06:34|  8   3  66  21   0|1085M 1246M  192M 5222M| 903k   28k|   0  7744k|   0   586 |5962  9498 |0.81 0.83 0.67|2.0 1.0  18|   0     0 |   0     0 |  9    8    0   10    2
Dec 25 19:06:35 ubuntu dstat.sh[83113]: 25-12 19:06:35| 12   2  66  18   0|1087M 1240M  192M 5224M| 671k   26k|   0  7815k|   0   695 |6441    10k|0.81 0.83 0.67|2.0 2.0  16|   0     0 |   0     0 |  9    8    0   10    2
Dec 25 19:06:36 ubuntu dstat.sh[83113]: 25-12 19:06:36| 18   6  57  17   0|1092M 1233M  192M 5226M| 266k   18k|   0  6546k|   0   658 |6493    13k|0.81 0.83 0.67|2.0 1.0  48|   0     0 |   0     0 |  9    8    0   10    2
Dec 25 19:06:37 ubuntu dstat.sh[83113]: 25-12 19:06:37|  9   4  63  23   1|1093M 1229M  193M 5228M| 429k   19k|   0    40M|   0   655 |5447  8436 |0.81 0.83 0.67|5.0   0  10|   0     0 |   0     0 |  9    8    0   10    2
Dec 25 19:06:38 ubuntu dstat.sh[83113]: 25-12 19:06:38| 22   6  68   2   0|1008M 1314M  193M 5229M|  59k 9440 |   0  1243k|   0   111 |2180  3402 |0.81 0.83 0.67|2.0   0  79|   0     0 |   0     0 |  9    6    0   10    2
