-- Logs begin at Thu 2022-12-29 18:24:06 UTC, end at Wed 2023-01-04 16:54:31 UTC. --
Jan 04 16:14:06 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 04 16:14:06 ubuntu dstat.sh[87456]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 04 16:14:06 ubuntu dstat.sh[87456]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 04 16:14:06 ubuntu dstat.sh[87456]: 04-01 16:14:06|                   | 845M 1354M  196M 5222M|           |           |           |           |1.34 1.05 0.70|2.0   0    |           |   0     0 |  8    4    0    9    2
Jan 04 16:14:07 ubuntu dstat.sh[87456]: 04-01 16:14:07| 12  17  68   1   0| 846M 1353M  196M 5222M| 219k 9359 |   0   715k|   0  19.0 |2743  4237 |1.34 1.05 0.70|2.5   0 398|   0     0 |   0     0 |  8    4    0    9    2
Jan 04 16:14:08 ubuntu dstat.sh[87456]: 04-01 16:14:08| 17  18  63   1   0| 835M 1363M  196M 5223M| 112k 7618 |   0    19M|   0  83.0 |3124  4744 |1.34 1.05 0.70|1.0   0 355|   0     0 |   0     0 |  8    4    0    9    2
Jan 04 16:14:09 ubuntu dstat.sh[87456]: 04-01 16:14:09| 20  18  61   2   0| 832M 1365M  196M 5223M| 199k 9886 |   0   733k|   0  16.0 |3574  5561 |1.34 1.05 0.70|2.0   0 210|   0     0 |   0     0 |  8    4    0    9    2
Jan 04 16:14:10 ubuntu dstat.sh[87456]: 04-01 16:14:10| 14   9  75   0   0| 979M 1218M  196M 5345M| 153k 8460 |   0   476k|   0  8.99 |2946  5463 |1.23 1.04 0.70|  0   0  72|   0     0 |   0     0 |  9    4    0    8    2
Jan 04 16:14:11 ubuntu dstat.sh[87456]: 04-01 16:14:11| 14   8  77   0   0| 983M 1213M  196M 5346M| 140k 6956 |   0   508k|   0  12.0 |1663  2150 |1.23 1.04 0.70|1.0   0  91|   0     0 |   0     0 |  9    6    0    8    2
Jan 04 16:14:12 ubuntu dstat.sh[87456]: 04-01 16:14:12| 21   9  68   1   0| 983M 1213M  197M 5346M|  41k 5275 |   0   448k|   0  15.0 |1752  2205 |1.23 1.04 0.70|1.0   0 126|   0     0 |   0     0 |  9    6    0    8    2
Jan 04 16:14:13 ubuntu dstat.sh[87456]: 04-01 16:14:13| 21   7  70   1   0|1022M 1173M  197M 5346M| 108k   19k|   0  2379k|   0  42.0 |1767  2314 |1.23 1.04 0.70|  0 2.0  70|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 16:14:14 ubuntu dstat.sh[87456]: 04-01 16:14:14| 26   3  67   2   0|1048M 1146M  197M 5348M|  30k 4820 | 196k 1028k|14.0  14.0 |1301  1560 |1.23 1.04 0.70|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 16:14:15 ubuntu dstat.sh[87456]: 04-01 16:14:15| 23   3  69   4   0|1065M 1128M  197M 5348M| 171k   16k|  12k 2583k|1.00   128 |2020  3006 |1.21 1.04 0.70|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 16:14:16 ubuntu dstat.sh[87456]: 04-01 16:14:16|  8   4  63  24   0|1074M 1117M  197M 5350M|  67k   11k|   0    12M|   0   935 |5579    11k|1.21 1.04 0.70|2.0   0 9.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 16:14:17 ubuntu dstat.sh[87456]: 04-01 16:14:17|  9   3  66  20   1|1082M 1106M  198M 5352M|  43k   11k|   0  7800k|   0   654 |4416  9303 |1.21 1.04 0.70|2.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 16:14:18 ubuntu dstat.sh[87456]: 04-01 16:14:18|  8   3  66  20   0|1084M 1100M  198M 5356M| 928k   13k|   0    10M|   0   726 |4798  8776 |1.21 1.04 0.70|1.0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 16:14:19 ubuntu dstat.sh[87456]: 04-01 16:14:19| 11   3  63  19   0|1088M 1093M  198M 5359M| 780k   17k|   0  7095k|   0   657 |5063  9631 |1.21 1.04 0.70|3.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 16:14:20 ubuntu dstat.sh[87456]: 04-01 16:14:20| 10   3  64  21   0|1091M 1088M  198M 5361M| 493k   12k|   0  6520k|   0   577 |4289  8577 |1.28 1.05 0.70|  0 2.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 16:14:21 ubuntu dstat.sh[87456]: 04-01 16:14:21| 20   3  69   8   0| 995M 1183M  198M 5361M|  76k   11k|   0  2444k|   0   254 |2957  5013 |1.28 1.05 0.70|1.0   0  42|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 16:14:22 ubuntu dstat.sh[87456]: 04-01 16:14:22| 23   5  71   0   0|1041M 1137M  198M 5361M|  69k 6142 |   0   696k|   0  21.0 |1389  1721 |1.28 1.05 0.70|1.0   0  47|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 16:14:23 ubuntu dstat.sh[87456]: 04-01 16:14:23| 31   5  65   1   0|1101M 1075M  198M 5363M| 328k 5424 |   0    33M|   0   181 |1547  1285 |1.28 1.05 0.70|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 16:14:24 ubuntu dstat.sh[87456]: 04-01 16:14:24| 33   4  61   1   0|1022M 1152M  198M 5365M|  44k 5139 |   0  8272k|   0   400 |2367  2977 |1.28 1.05 0.70|1.0   0  13|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 16:14:25 ubuntu dstat.sh[87456]: 04-01 16:14:25| 24   3  71   1   0|1072M 1102M  199M 5365M|  54k 5242 |   0  7433k|   0   410 |2222  2873 |1.26 1.05 0.71|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 16:14:26 ubuntu dstat.sh[87456]: 04-01 16:14:26| 37   4  54   4   0|1092M 1075M  199M 5370M| 855k 5281 |   0  9299k|   0   407 |2680  3265 |1.26 1.05 0.71|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 16:14:27 ubuntu dstat.sh[87456]: 04-01 16:14:27| 17  15  66   2   0| 998M 1168M  199M 5371M| 618k 8733 |   0  8315k|   0   390 |3752  5491 |1.26 1.05 0.71|1.0   0 312|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 16:14:28 ubuntu dstat.sh[87456]: 04-01 16:14:28| 14  20  64   0   0| 999M 1166M  199M 5372M| 378k 7058 |   0  3411k|   0  61.2 |2997  4842 |1.26 1.05 0.71|5.0   0 364|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 16:14:29 ubuntu dstat.sh[87456]: 04-01 16:14:29| 31  18  50   1   0|1050M 1114M  199M 5373M|  48k 6392 | 199k  576k|5.07  19.3 |4522  9664 |1.26 1.05 0.71|3.0   0 203|   0     0 |   0     0 |  9    6    0   10    2
Jan 04 16:14:30 ubuntu dstat.sh[87456]: 04-01 16:14:30| 53   7  40   0   0|1154M 1010M  199M 5373M|  59k 5537 | 128k  252k|1.00  5.99 |1574  2480 |1.32 1.07 0.71| 14   0  50|   0     0 |   0     0 |  9    7    0   10    2
Jan 04 16:14:31 ubuntu dstat.sh[87456]: 04-01 16:14:31| 59   8  34   1   0|1207M  956M  199M 5374M| 157k 7907 | 373k  662k|8.02  9.02 |1801  4425 |1.32 1.07 0.71|2.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    2
Jan 04 16:14:32 ubuntu dstat.sh[87456]: 04-01 16:14:32| 56   7  34   1   0|1236M  924M  199M 5377M| 148k 3868 |   0   779k|   0  20.0 |1917  4183 |1.32 1.07 0.71|3.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    2
Jan 04 16:14:33 ubuntu dstat.sh[87456]: 04-01 16:14:33| 28  10  62   1   0|1276M  883M  199M 5377M|  29k 5522 |   0  2066k|   0  44.0 |2437  4005 |1.32 1.07 0.71|1.0 2.0 140|   0     0 |   0     0 |  9    6    0   11    2
