-- Logs begin at Wed 2023-01-04 15:32:33 UTC, end at Wed 2023-01-04 17:00:31 UTC. --
Jan 04 16:21:22 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 04 16:21:22 ubuntu dstat.sh[73207]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 04 16:21:22 ubuntu dstat.sh[73207]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 04 16:21:22 ubuntu dstat.sh[73207]: 04-01 16:21:22|                   | 841M 1530M  185M 5074M|           |           |           |           |1.58 1.00 0.67|4.0   0    |           |   0     0 |  8    4    0   11    2
Jan 04 16:21:23 ubuntu dstat.sh[73207]: 04-01 16:21:23| 10  19  67   1   0| 843M 1527M  185M 5075M| 588k   14k|   0  2595k|   0  23.0 |3086  4372 |1.58 1.00 0.67|3.0   0 369|   0     0 |   0     0 |  8    4    0   11    2
Jan 04 16:21:24 ubuntu dstat.sh[73207]: 04-01 16:21:24| 14  20  65   1   0| 851M 1518M  185M 5076M| 194k 8889 |   0   737k|   0  19.5 |2979  4818 |1.58 1.00 0.67| 16   0 355|   0     0 |   0     0 |  8    4    0   11    2
Jan 04 16:21:25 ubuntu dstat.sh[73207]: 04-01 16:21:25| 19  17  61   0   0| 828M 1539M  185M 5077M| 215k 9817 |   0   879k|   0  13.0 |2765  6899 |1.58 1.00 0.67|1.0   0 214|   0     0 |   0     0 |  8    4    0   11    2
Jan 04 16:21:26 ubuntu dstat.sh[73207]: 04-01 16:21:26| 17  14  69   0   0| 968M 1399M  185M 5199M|  77k 7105 |   0    20M|   0   104 |2763  8057 |1.46 0.98 0.67|  0   0  74|   0     0 |   0     0 |  9    4    0   11    2
Jan 04 16:21:27 ubuntu dstat.sh[73207]: 04-01 16:21:27| 14   6  78   1   0| 977M 1390M  185M 5200M| 155k 9368 |   0   532k|   0  11.0 |1672  2276 |1.46 0.98 0.67|1.0   0  86|   0     0 |   0     0 |  9    6    0   11    2
Jan 04 16:21:28 ubuntu dstat.sh[73207]: 04-01 16:21:28| 21   9  69   2   0| 974M 1392M  185M 5200M| 153k   15k|   0   772k|   0  22.0 |1947  2781 |1.46 0.98 0.67|2.0   0 171|   0     0 |   0     0 |  9    8    0   10    2
Jan 04 16:21:29 ubuntu dstat.sh[73207]: 04-01 16:21:29| 23   6  70   2   0|1019M 1347M  185M 5200M|  62k   12k|  20k 1490k|2.00  34.0 |1516  2069 |1.46 0.98 0.67|1.0   0  33|   0     0 |   0     0 |  9    6    0   11    2
Jan 04 16:21:30 ubuntu dstat.sh[73207]: 04-01 16:21:30| 27   3  68   2   0|1039M 1325M  185M 5201M|  59k 5374 | 176k 1482k|12.0  17.0 |1334  1541 |1.46 0.98 0.67|2.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Jan 04 16:21:31 ubuntu dstat.sh[73207]: 04-01 16:21:31| 24   2  68   5   0|1056M 1307M  185M 5202M|  48k   14k|  12k 1647k|1.00  97.0 |1830  2795 |1.42 0.98 0.67|  0 1.0 1.0|   0     0 |   0     0 |  9    8    0   11    2
Jan 04 16:21:32 ubuntu dstat.sh[73207]: 04-01 16:21:32|  7   3  63  26   0|1067M 1295M  186M 5203M|  43k 9442 |   0    10M|   0   746 |5088  9118 |1.42 0.98 0.67|  0 1.0 9.0|   0     0 |   0     0 |  9    8    0   11    2
Jan 04 16:21:33 ubuntu dstat.sh[73207]: 04-01 16:21:33|  6   2  67  22   0|1068M 1292M  186M 5205M| 196k   14k|   0  6000k|   0   501 |4190  8056 |1.42 0.98 0.67|  0 1.0 1.0|   0     0 |   0     0 |  9    8    0   11    2
Jan 04 16:21:34 ubuntu dstat.sh[73207]: 04-01 16:21:34| 11   3  66  21   0|1075M 1282M  186M 5207M|  32k 9652 |   0  7058k|   0   581 |4446  8958 |1.42 0.98 0.67|  0 1.0  18|   0     0 |   0     0 |  9    8    0   11    2
Jan 04 16:21:35 ubuntu dstat.sh[73207]: 04-01 16:21:35|  8   4  68  19   0|1078M 1275M  187M 5211M| 932k   31k|   0  7095k|   0   611 |5180  9501 |1.42 0.98 0.67|1.0   0  19|   0     0 |   0     0 |  9    8    0   11    2
Jan 04 16:21:36 ubuntu dstat.sh[73207]: 04-01 16:21:36|  9   4  60  26   1|1080M 1270M  187M 5213M| 677k   24k|   0    32M|   0  1067 |5745  7933 |1.39 0.98 0.67|  0 3.0  11|   0     0 |   0     0 |  9    8    0   11    2
Jan 04 16:21:37 ubuntu dstat.sh[73207]: 04-01 16:21:37| 12   2  62  21   0|1085M 1264M  187M 5214M| 240k   17k|   0  5920k|   0   611 |4635  8949 |1.39 0.98 0.67|2.0   0  10|   0     0 |   0     0 |  9    8    0   11    2
Jan 04 16:21:38 ubuntu dstat.sh[73207]: 04-01 16:21:38| 20   7  69   3   0|1004M 1344M  187M 5215M| 407k   17k|   0  1946k|   0   112 |2695  3886 |1.39 0.98 0.67|1.0   0  79|   0     0 |   0     0 |  9    6    0   11    2
Jan 04 16:21:39 ubuntu dstat.sh[73207]: 04-01 16:21:39| 26   3  70   1   0|1056M 1292M  187M 5215M| 109k 8592 |   0  1085k|   0  29.0 |1251  1339 |1.39 0.98 0.67|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   11    2
Jan 04 16:21:40 ubuntu dstat.sh[73207]: 04-01 16:21:40| 29   3  67   1   0|1086M 1261M  188M 5216M|  96k 6147 |   0  7514k|   0   400 |1907  2957 |1.39 0.98 0.67|3.0   0 2.0|   0     0 |   0     0 |  9    6    0   11    2
Jan 04 16:21:41 ubuntu dstat.sh[73207]: 04-01 16:21:41| 42   9  47   2   0|1023M 1322M  188M 5218M|  21k 4930 |   0  8273k|   0   398 |2541    12k|1.44 1.00 0.68|1.0   0  47|   0     0 |   0     0 |  9    6    0   12    2
Jan 04 16:21:42 ubuntu dstat.sh[73207]: 04-01 16:21:42| 26   3  68   2   0|1080M 1264M  188M 5219M| 299k   11k|   0    23M|   0   489 |2284  3120 |1.44 1.00 0.68|1.0 1.0 1.0|   0     0 |   0     0 |  9    6    0   11    2
Jan 04 16:21:43 ubuntu dstat.sh[73207]: 04-01 16:21:43| 22   7  65   6   0| 991M 1353M  188M 5218M|  46k 5539 |   0  7636k|   0   393 |2471  4002 |1.44 1.00 0.68|2.0   0 124|   0     0 |   0     0 |  9    6    0   11    2
