-- Logs begin at Thu 2023-01-05 01:29:35 UTC, end at Thu 2023-01-05 10:18:32 UTC. --
Jan 05 09:29:31 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 05 09:29:32 ubuntu dstat.sh[75837]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 05 09:29:32 ubuntu dstat.sh[75837]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 05 09:29:32 ubuntu dstat.sh[75837]: 05-01 09:29:32|                   | 861M 1513M  189M 5066M|           |           |           |           |0.90 0.42 0.21|3.0   0    |           |   0     0 |  8    4    1   10    4
Jan 05 09:29:33 ubuntu dstat.sh[75837]: 05-01 09:29:33|  8  19  70   1   0| 862M 1512M  189M 5066M|  88k 5101 |   0    12M|   0   269 |2846  4182 |0.90 0.42 0.21|3.5   0 373|   0     0 |   0     0 |  8    4    0   10    3
Jan 05 09:29:34 ubuntu dstat.sh[75837]: 05-01 09:29:34| 15  22  63   0   0| 849M 1525M  189M 5067M| 275k 8947 |   0   425k|   0   141 |2918  5342 |0.90 0.42 0.21|1.0   0 353|   0     0 |   0     0 |  8    5    0   10    2
Jan 05 09:29:35 ubuntu dstat.sh[75837]: 05-01 09:29:35| 18  16  64   0   0| 824M 1549M  189M 5068M| 292k   11k|   0   659k|   0  11.0 |2878  4639 |0.91 0.43 0.22|1.0   0 205|   0     0 |   0     0 |  8    4    0   10    2
Jan 05 09:29:36 ubuntu dstat.sh[75837]: 05-01 09:29:36| 21  15  64   1   0| 962M 1410M  189M 5190M| 278k 8849 |   0   948k|   0  6.00 |3313  4846 |0.91 0.43 0.22|2.0   0  67|   0     0 |   0     0 |  9    4    0   10    2
Jan 05 09:29:37 ubuntu dstat.sh[75837]: 05-01 09:29:37| 20   8  71   0   0| 966M 1404M  189M 5192M| 853k   14k|   0    28k|   0  7.01 |1976  2148 |0.91 0.43 0.22|1.0   0 108|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:38 ubuntu dstat.sh[75837]: 05-01 09:29:38| 16  12  71   0   0| 987M 1381M  189M 5194M|1253k   20k|   0   268k|   0  16.0 |2596  3209 |0.91 0.43 0.22|1.0   0 180|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:39 ubuntu dstat.sh[75837]: 05-01 09:29:39| 25   3  71   1   0|1034M 1331M  189M 5197M|1642k   12k|  92k  689k|7.01  12.0 |1871  1440 |0.91 0.43 0.22|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:40 ubuntu dstat.sh[75837]: 05-01 09:29:40| 27   2  69   1   0|1048M 1315M  190M 5199M| 603k 8329 | 116k 5348k|7.99  17.0 |1589  1597 |0.92 0.44 0.22|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:41 ubuntu dstat.sh[75837]: 05-01 09:29:41|  9   5  67  19   0|1063M 1295M  190M 5203M|1414k   19k|   0  9288k|   0   767 |5983  9760 |0.92 0.44 0.22|1.0   0  11|   0     0 |   0     0 |  9    8    0   10    2
Jan 05 09:29:42 ubuntu dstat.sh[75837]: 05-01 09:29:42| 10   4  65  20   0|1072M 1281M  190M 5207M| 631k   15k|   0    10M|   0   681 |5767  9561 |0.92 0.44 0.22|1.0   0 7.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 05 09:29:43 ubuntu dstat.sh[75837]: 05-01 09:29:43| 11   5  64  21   0|1074M 1276M  191M 5209M| 193k   12k|   0    15M|   0   614 |4763  8870 |0.92 0.44 0.22|  0 1.0  22|   0     0 |   0     0 |  9    8    0   10    2
Jan 05 09:29:44 ubuntu dstat.sh[75837]: 05-01 09:29:44| 15   5  59  18   0|1077M 1272M  191M 5211M| 220k   13k|   0  6599k|   0   644 |6560    13k|0.92 0.44 0.22|1.0 1.0  54|   0     0 |   0     0 |  9    8    0   10    2
Jan 05 09:29:45 ubuntu dstat.sh[75837]: 05-01 09:29:45|  9   2  65  22   0|1079M 1267M  192M 5212M|  83k   12k|   0  6565k|   0   561 |4804  8641 |0.93 0.45 0.23|  0 1.0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 05 09:29:46 ubuntu dstat.sh[75837]: 05-01 09:29:46| 20   4  66  10   0| 986M 1359M  192M 5214M| 158k   12k|   0  2735k|   0   296 |3616  5716 |0.93 0.45 0.23|  0   0  48|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:47 ubuntu dstat.sh[75837]: 05-01 09:29:47| 23   5  70   1   0|1029M 1316M  192M 5214M| 146k 6165 |   0  1127k|   0  31.0 |1462  1729 |0.93 0.45 0.23|2.0   0  42|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:48 ubuntu dstat.sh[75837]: 05-01 09:29:48| 27   2  70   1   0|1075M 1269M  192M 5214M|  59k 6164 |   0   844k|   0  25.0 |1160  1250 |0.93 0.45 0.23|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:49 ubuntu dstat.sh[75837]: 05-01 09:29:49| 28   3  67   2   0|1005M 1338M  192M 5214M|  59k 5117 |   0  7498k|   0   402 |2360  3051 |0.93 0.45 0.23|2.0   0  11|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:50 ubuntu dstat.sh[75837]: 05-01 09:29:50| 25   4  67   2   0|1065M 1279M  192M 5214M|  47k 5348 |   0  7530k|   0   408 |2316  3034 |0.93 0.46 0.23|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:51 ubuntu dstat.sh[75837]: 05-01 09:29:51| 27   4  67   3   0| 987M 1356M  192M 5215M|  65k 6445 |   0  7734k|   0   422 |2456  3307 |0.93 0.46 0.23|1.0   0  38|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:52 ubuntu dstat.sh[75837]: 05-01 09:29:52| 12  19  64   3   0| 987M 1356M  192M 5215M|  50k 4485 |   0  7601k|   0   379 |3878  5855 |0.93 0.46 0.23|2.0   0 364|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:53 ubuntu dstat.sh[75837]: 05-01 09:29:53| 17  19  62   1   0| 990M 1352M  192M 5215M| 159k 5656 |   0    32M|   0   195 |3390  6870 |0.93 0.46 0.23|1.0   0 305|   0     0 |   0     0 |  9    6    0   10    2
Jan 05 09:29:54 ubuntu dstat.sh[75837]: 05-01 09:29:54| 37  17  45   0   0|1057M 1283M  192M 5217M| 890k 8888 | 196k 2285k|3.00  18.0 |3509  7432 |0.93 0.46 0.23|2.0   0 188|   0     0 |   0     0 |  9    7    0   10    2
Jan 05 09:29:55 ubuntu dstat.sh[75837]: 05-01 09:29:55| 48   6  46   0   0|1155M 1184M  193M 5219M| 653k 6908 | 128k 1056k|1.00  6.00 |1515  1345 |1.10 0.50 0.25|3.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Jan 05 09:29:56 ubuntu dstat.sh[75837]: 05-01 09:29:56| 54   4  42   1   0|1195M 1143M  193M 5220M| 150k 8798 | 372k  837k|8.01  28.0 |1590  1590 |1.10 0.50 0.25|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Jan 05 09:29:57 ubuntu dstat.sh[75837]: 05-01 09:29:57| 48   9  42   1   0|1223M 1112M  193M 5223M| 525k 8347 |   0  1731k|   0  31.0 |2747  6042 |1.10 0.50 0.25|1.0   0  52|   0     0 |   0     0 |  9    6    0   11    2
Jan 05 09:29:58 ubuntu dstat.sh[75837]: 05-01 09:29:58| 22   9  61   7   0|1263M 1070M  193M 5223M|  39k 3855 |   0  9464k|   0   403 |2700  3090 |1.10 0.50 0.25|1.0 2.0  90|   0     0 |   0     0 |  9    6    0   11    2
Jan 05 09:29:59 ubuntu dstat.sh[75837]: 05-01 09:29:59| 27   2  70   1   0|1313M 1021M  193M 5223M|  66k 5804 |   0  6117k|   0  49.0 |1174  1317 |1.10 0.50 0.25|1.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Jan 05 09:30:00 ubuntu dstat.sh[75837]: 05-01 09:30:00| 36   4  59   0   0|1326M 1004M  193M 5226M|  79k 8740 |   0   172k|   0  4.00 |1303  1394 |1.17 0.53 0.26|1.0   0 5.0|   0     0 |   0     0 |  9    8    0   11    2
Jan 05 09:30:01 ubuntu dstat.sh[75837]: 05-01 09:30:01| 24   6  67   3   1|1216M 1114M  193M 5226M| 363k   65k|   0  3878k|   0   261 |3488  5586 |1.17 0.53 0.26|2.0   0  44|   0     0 |   0     0 |  9    6    0   13    2
