-- Logs begin at Fri 2023-01-06 17:08:42 UTC, end at Mon 2023-01-09 13:29:41 UTC. --
Jan 09 12:44:55 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 09 12:44:55 ubuntu dstat.sh[93090]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 09 12:44:55 ubuntu dstat.sh[93090]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 09 12:44:55 ubuntu dstat.sh[93090]: 09-01 12:44:55|                   | 866M 1350M  194M 5210M|           |           |           |           |1.10 0.55 0.27|2.0   0    |           |   0     0 |  8    5    0   10    2
Jan 09 12:44:56 ubuntu dstat.sh[93090]: 09-01 12:44:56| 12  17  71   0   0| 866M 1349M  194M 5210M|  73k 3895 |   0   263k|   0  9.96 |2637  3945 |1.10 0.55 0.27|2.0   0 363|   0     0 |   0     0 |  8    5    0   10    2
Jan 09 12:44:57 ubuntu dstat.sh[93090]: 09-01 12:44:57| 12  20  67   0   0| 843M 1372M  194M 5210M| 170k 5921 |   0    32k|   0  8.99 |2552  3728 |1.10 0.55 0.27|3.0   0 338|   0     0 |   0     0 |  8    4    0   10    2
Jan 09 12:44:58 ubuntu dstat.sh[93090]: 09-01 12:44:58| 19  18  55   8   0| 826M 1388M  194M 5210M|  42k 4443 |   0    17M|   0   469 |4347  7380 |1.09 0.56 0.27|2.0   0 233|   0     0 |   0     0 |  8    4    0   10    2
Jan 09 12:44:59 ubuntu dstat.sh[93090]: 09-01 12:44:59| 15  15  70   0   0| 961M 1253M  194M 5332M|  61k 2999 |   0     0 |   0     0 |3509  7919 |1.09 0.56 0.27|1.0   0  70|   0     0 |   0     0 |  9    4    0   10    2
Jan 09 12:45:00 ubuntu dstat.sh[93090]: 09-01 12:45:00|  6   7  86   0   0| 968M 1246M  194M 5333M|  74k 3179 |   0  4108B|   0  1.00 |1488  2089 |1.09 0.56 0.27|2.0   0  80|   0     0 |   0     0 |  9    6    0    8    2
Jan 09 12:45:01 ubuntu dstat.sh[93090]: 09-01 12:45:01| 17  10  72   0   0| 966M 1248M  194M 5333M|  40k 2556 |   0    32k|   0  7.98 |1750  2347 |1.09 0.56 0.27|2.0   0 142|   0     0 |   0     0 |  9    6    0    8    2
Jan 09 12:45:02 ubuntu dstat.sh[93090]: 09-01 12:45:02| 20   8  71   1   1|1007M 1207M  194M 5333M|  91k   17k|  20k  874k|2.00  21.0 |1674  2304 |1.09 0.56 0.27|2.0   0  66|   0     0 |   0     0 |  9    6    0   10    2
Jan 09 12:45:03 ubuntu dstat.sh[93090]: 09-01 12:45:03| 23   2  72   1   0|1043M 1169M  194M 5334M|  83k 3535 | 176k  652k|12.0  19.0 |1331  1630 |1.08 0.56 0.28|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 09 12:45:04 ubuntu dstat.sh[93090]: 09-01 12:45:04| 15   3  71  10   0|1063M 1148M  194M 5335M| 108k   14k|  12k 3883k|1.00   302 |3096  5332 |1.08 0.56 0.28|3.0   0  10|   0     0 |   0     0 |  9    8    0   10    2
