-- Logs begin at Mon 2023-01-09 13:32:07 UTC, end at Tue 2023-01-10 08:32:54 UTC. --
Jan 10 07:43:29 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 10 07:43:30 ubuntu dstat.sh[89022]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 10 07:43:30 ubuntu dstat.sh[89022]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 10 07:43:30 ubuntu dstat.sh[89022]: 10-01 07:43:30|                   | 859M 1488M  198M 5077M|           |           |           |           |0.98 0.53 0.45|1.0   0    |           |   0     0 |  8    5    0   12    2
Jan 10 07:43:31 ubuntu dstat.sh[89022]: 10-01 07:43:31| 14  18  65   2   0| 848M 1499M  198M 5077M| 415k   17k|   0    11M|   0   139 |3533  5331 |0.98 0.53 0.45|1.5   0 367|   0     0 |   0     0 |  8    4    0   12    2
Jan 10 07:43:32 ubuntu dstat.sh[89022]: 10-01 07:43:32| 13  18  67   0   0| 838M 1507M  198M 5078M| 240k 6559 |   0   648k|   0  76.1 |3092  4678 |0.98 0.53 0.45|2.0   0 348|   0     0 |   0     0 |  8    4    0   12    2
Jan 10 07:43:33 ubuntu dstat.sh[89022]: 10-01 07:43:33| 23  17  60   0   0| 829M 1516M  198M 5079M| 455k   15k|   0    16k|   0  4.01 |3140  5261 |0.98 0.53 0.45|2.0   0 202|   0     0 |   0     0 |  8    4    0   12    2
Jan 10 07:43:34 ubuntu dstat.sh[89022]: 10-01 07:43:34| 21  16  60   0   0| 972M 1371M  198M 5203M|1021k   19k|   0     0 |   0     0 |5531  9872 |0.98 0.54 0.46|  0   0 107|   0     0 |   0     0 |  9    4    0   10    2
Jan 10 07:43:35 ubuntu dstat.sh[89022]: 10-01 07:43:35|  5   5  89   0   0| 978M 1363M  198M 5205M|1160k   17k|   0     0 |   0     0 |1973  2178 |0.98 0.54 0.46|1.0   0  70|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 07:43:36 ubuntu dstat.sh[89022]: 10-01 07:43:36| 21   6  72   0   0| 978M 1360M  198M 5208M|1408k   29k|   0  4636k|   0   160 |2484  1620 |0.98 0.54 0.46|1.0   0  40|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 07:43:37 ubuntu dstat.sh[89022]: 10-01 07:43:37| 18  12  69   0   1| 994M 1343M  198M 5209M| 697k   30k|   0  4584k|   0  27.0 |2696  3386 |0.98 0.54 0.46|1.0   0 177|   0     0 |   0     0 |  9    6    0   12    2
Jan 10 07:43:38 ubuntu dstat.sh[89022]: 10-01 07:43:38| 23   4  71   1   0|1025M 1309M  198M 5212M|1498k   21k|  92k  784k|7.00  19.0 |2356  2058 |0.98 0.54 0.46|1.0   0   0|   0     0 |   0     0 |  9    6    0   12    2
Jan 10 07:43:39 ubuntu dstat.sh[89022]: 10-01 07:43:39| 26   2  69   2   0|1051M 1280M  199M 5213M| 240k 8516 | 104k 3248k|7.00  14.0 |1291  1303 |0.98 0.55 0.46|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Jan 10 07:43:40 ubuntu dstat.sh[89022]: 10-01 07:43:40| 16   3  67  14   0|1071M 1260M  199M 5215M| 176k   19k|  12k 7432k|1.00   555 |4338  7516 |0.98 0.55 0.46|1.0 1.0  11|   0     0 |   0     0 |  9    8    0   12    2
Jan 10 07:43:41 ubuntu dstat.sh[89022]: 10-01 07:43:41|  7   3  67  22   0|1072M 1256M  199M 5217M| 234k   14k|   0    16M|   0   639 |5084  8642 |0.98 0.55 0.46|5.0   0 2.0|   0     0 |   0     0 |  9    8    0   12    2
Jan 10 07:43:42 ubuntu dstat.sh[89022]: 10-01 07:43:42|  9   2  65  21   0|1078M 1246M  200M 5220M| 174k   13k|   0  7182k|   0   603 |4738  9196 |0.98 0.55 0.46|2.0 1.0  21|   0     0 |   0     0 |  9    8    0   12    2
Jan 10 07:43:43 ubuntu dstat.sh[89022]: 10-01 07:43:43| 10   3  64  22   1|1081M 1241M  200M 5222M|  58k   12k|   0  6638k|   0   638 |4814  9382 |0.98 0.55 0.46|1.0 1.0  18|   0     0 |   0     0 |  9    8    0   12    2
