-- Logs begin at Tue 2023-01-10 13:18:20 UTC, end at Tue 2023-01-10 23:17:20 UTC. --
Jan 10 22:38:26 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 10 22:38:27 ubuntu dstat.sh[88370]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 10 22:38:27 ubuntu dstat.sh[88370]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 10 22:38:27 ubuntu dstat.sh[88370]: 10-01 22:38:27|                   | 841M 1342M  219M 5218M|           |           |           |           |1.59 0.99 0.65|1.0 1.0    |           |   0     0 |  8    4    0   10    2
Jan 10 22:38:28 ubuntu dstat.sh[88370]: 10-01 22:38:28| 13  19  67   0   0| 843M 1338M  219M 5220M|2000k   38k|   0  2238k|   0  18.0 |4168  4934 |1.61 1.00 0.66|1.5 0.5 373|   0     0 |   0     0 |  8    4    0   10    2
Jan 10 22:38:29 ubuntu dstat.sh[88370]: 10-01 22:38:29| 16  19  61   1   0| 829M 1350M  219M 5222M| 225k 9648 |   0    12M|   0   136 |3919  5313 |1.63 1.01 0.66|1.0   0 336|   0     0 |   0     0 |  8    4    0   10    2
Jan 10 22:38:30 ubuntu dstat.sh[88370]: 10-01 22:38:30| 18  17  64   0   0| 829M 1349M  219M 5222M| 113k 6232 |   0   508k|   0  13.0 |3290  5948 |1.63 1.01 0.66|1.0   0 205|   0     0 |   0     0 |  8    4    0   10    2
Jan 10 22:38:31 ubuntu dstat.sh[88370]: 10-01 22:38:31| 14   9  74   1   0| 971M 1207M  219M 5345M| 186k 8577 |   0   519k|   0  8.99 |2917  6052 |1.63 1.01 0.66|1.0   0  74|   0     0 |   0     0 |  9    4    0   10    2
Jan 10 22:38:32 ubuntu dstat.sh[88370]: 10-01 22:38:32| 14   7  78   1   0| 979M 1198M  219M 5345M| 181k 8782 |   0   617k|   0  15.0 |1711  2180 |1.63 1.01 0.66|2.0   0  92|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:33 ubuntu dstat.sh[88370]: 10-01 22:38:33| 20  10  70   0   0| 976M 1200M  219M 5346M| 152k   20k|   0   692k|   0  28.0 |2185  3002 |1.66 1.03 0.66|1.0   0 184|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:34 ubuntu dstat.sh[88370]: 10-01 22:38:34| 25   4  70   0   0|1022M 1154M  219M 5347M|  41k 5337 |  20k 9911k|2.00  52.0 |1397  1529 |1.66 1.03 0.66|1.0   0  13|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:35 ubuntu dstat.sh[88370]: 10-01 22:38:35| 26   4  69   1   0|1047M 1127M  220M 5348M|  86k 7041 | 176k 2129k|12.0  21.0 |1322  1497 |1.66 1.03 0.66|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:36 ubuntu dstat.sh[88370]: 10-01 22:38:36| 24   3  66   7   0|1067M 1107M  220M 5348M|  49k   14k|  12k 2597k|1.00   246 |2733  4194 |1.66 1.03 0.66|1.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 10 22:38:37 ubuntu dstat.sh[88370]: 10-01 22:38:37|  9   4  61  25   1|1068M 1103M  220M 5350M| 167k   14k|   0    12M|   0   904 |6058    10k|1.66 1.03 0.66|  0 2.0 7.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 10 22:38:38 ubuntu dstat.sh[88370]: 10-01 22:38:38|  8   4  67  21   0|1075M 1093M  220M 5353M|  58k   11k|   0  7324k|   0   647 |5411  9580 |1.68 1.04 0.67|3.0   0  20|   0     0 |   0     0 |  9    8    0   10    2
Jan 10 22:38:39 ubuntu dstat.sh[88370]: 10-01 22:38:39|  7   3  64  23   0|1078M 1089M  220M 5355M|  57k   12k|   0    12M|   0   945 |5846  9257 |1.68 1.04 0.67|  0 2.0  15|   0     0 |   0     0 |  9    8    0   10    2
Jan 10 22:38:40 ubuntu dstat.sh[88370]: 10-01 22:38:40| 10   4  66  19   0|1081M 1082M  221M 5358M| 917k   30k|   0  7493k|   0   650 |5586  9957 |1.68 1.04 0.67|  0 1.0  14|   0     0 |   0     0 |  9    8    0   10    2
Jan 10 22:38:41 ubuntu dstat.sh[88370]: 10-01 22:38:41| 10   2  66  19   0|1082M 1078M  221M 5360M| 381k   19k|   0  6323k|   0   643 |5427  9417 |1.68 1.04 0.67|3.0   0  10|   0     0 |   0     0 |  9    8    0   10    2
Jan 10 22:38:42 ubuntu dstat.sh[88370]: 10-01 22:38:42| 27   5  64   3   0| 997M 1163M  221M 5361M| 445k   20k|   0  1648k|   0  76.0 |2513  3353 |1.68 1.04 0.67|1.0   0  80|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:43 ubuntu dstat.sh[88370]: 10-01 22:38:43| 25   4  71   1   0|1048M 1111M  221M 5361M| 539k   17k|   0   997k|   0  20.0 |1753  1686 |1.63 1.04 0.67|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:44 ubuntu dstat.sh[88370]: 10-01 22:38:44| 26   3  67   3   0|1080M 1079M  221M 5362M|  58k 5587 |   0  7790k|   0   395 |2337  3023 |1.63 1.04 0.67|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:45 ubuntu dstat.sh[88370]: 10-01 22:38:45| 26   4  65   3   0|1028M 1130M  221M 5362M|  56k 5761 |   0    42M|   0   582 |2761  3287 |1.63 1.04 0.67|1.0   0  11|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:46 ubuntu dstat.sh[88370]: 10-01 22:38:46| 25   4  68   2   0|1081M 1077M  221M 5362M| 272k   10k|   0  7589k|   0   406 |2504  3131 |1.63 1.04 0.67|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:47 ubuntu dstat.sh[88370]: 10-01 22:38:47| 31  13  54   2   0| 989M 1166M  222M 5365M|  81k 4230 |   0  7786k|   0   395 |3221  4988 |1.63 1.04 0.67|1.0   0 214|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:48 ubuntu dstat.sh[88370]: 10-01 22:38:48| 13  20  65   1   0| 990M 1164M  222M 5365M|  52k 5195 |   0  1593k|   0  56.0 |2915  4718 |1.58 1.04 0.67|1.0   0 382|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:49 ubuntu dstat.sh[88370]: 10-01 22:38:49| 21  15  64   1   0| 992M 1162M  222M 5366M| 407k   13k|   0   456k|   0  18.0 |4685  8648 |1.58 1.04 0.67|1.0   0 152|   0     0 |   0     0 |  9    6    0   10    2
Jan 10 22:38:50 ubuntu dstat.sh[88370]: 10-01 22:38:50| 53  17  28   1   0|1111M 1036M  222M 5371M| 516k   14k| 324k 2495k|4.00  8.99 |2713  3289 |1.58 1.04 0.67|2.0   0 151|   0     0 |   0     0 |  9    7    0   10    2
Jan 10 22:38:51 ubuntu dstat.sh[88370]: 10-01 22:38:51| 49   4  44   1   0|1193M  953M  222M 5373M| 613k   19k| 372k 1829k|8.00  17.0 |2024  1738 |1.58 1.04 0.67|2.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Jan 10 22:38:52 ubuntu dstat.sh[88370]: 10-01 22:38:52| 53   3  43   0   0|1220M  922M  222M 5376M| 390k   14k|   0   920k|   0  10.0 |2215  4863 |1.58 1.04 0.67|2.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Jan 10 22:38:53 ubuntu dstat.sh[88370]: 10-01 22:38:53| 27  10  63   1   0|1260M  882M  222M 5376M|  87k 8176 |   0   800k|   0  9.00 |2352  3935 |1.53 1.04 0.68|1.0   0 140|   0     0 |   0     0 |  9    6    0   11    2
Jan 10 22:38:54 ubuntu dstat.sh[88370]: 10-01 22:38:54| 27   3  68   0   0|1315M  827M  222M 5376M|  37k 5454 |   0   408k|   0  12.0 |1079  1251 |1.53 1.04 0.68|2.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Jan 10 22:38:55 ubuntu dstat.sh[88370]: 10-01 22:38:55| 31   2  67   1   0|1334M  807M  222M 5377M| 107k   35k|   0  6089k|   0  65.1 |1646  2426 |1.53 1.04 0.68|4.0   0 1.0|   0     0 |   0     0 |  9   12    0   11    2
Jan 10 22:38:56 ubuntu dstat.sh[88370]: 10-01 22:38:56| 26   5  65   2   0|1233M  908M  222M 5377M| 256k   45k|   0  3354k|   0   263 |3122  5430 |1.53 1.04 0.68|2.0   0  46|   0     0 |   0     0 |  9    6    0   13    2
Jan 10 22:38:57 ubuntu dstat.sh[88370]: 10-01 22:38:57| 35   4  59   2   0|1274M  865M  222M 5378M|  22k 3031 |  64k  736k|6.00  8.00 |1165  1291 |1.53 1.04 0.68|3.0   0 2.0|   0     0 |   0     0 |  9    6    0   13    2
Jan 10 22:38:58 ubuntu dstat.sh[88370]: 10-01 22:38:58| 28   3  66   4   0|1295M  844M  222M 5378M| 169k  111k| 216k 1068k|54.0  12.0 |1840  2784 |1.49 1.04 0.68|3.0   0 6.0|   0     0 |   0     0 |  9   31    0   13    2
Jan 10 22:38:59 ubuntu dstat.sh[88370]: 10-01 22:38:59| 38   7  53   0   0|1275M  863M  223M 5379M|  29k   20k|   0  4974k|   0   248 |2136  3113 |1.49 1.04 0.68|2.0   0  50|   0     0 |   0     0 |  9   32    0   13    2
Jan 10 22:39:00 ubuntu dstat.sh[88370]: 10-01 22:39:00| 43   7  48   1   0|1300M  834M  223M 5381M|  51k   46k|   0  8054k|   0   201 |2515  3206 |1.49 1.04 0.68|3.0   0 3.0|   0     0 |   0     0 |  9   33    0   11    2
