-- Logs begin at Fri 2023-01-13 01:28:22 UTC, end at Fri 2023-01-13 02:41:44 UTC. --
Jan 13 02:29:39 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 13 02:29:39 ubuntu dstat.sh[81218]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 13 02:29:39 ubuntu dstat.sh[81218]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 13 02:29:39 ubuntu dstat.sh[81218]: 13-01 02:29:39|                   | 835M 1516M  195M 5080M|           |           |           |           |1.25 0.87 0.63|2.0   0    |           |   0     0 |  8    4    0   10    2
Jan 13 02:29:40 ubuntu dstat.sh[81218]: 13-01 02:29:40| 11  19  68   1   1| 836M 1515M  195M 5080M| 242k   11k|   0   691k|   0  19.0 |2671  4131 |1.25 0.87 0.63|1.5   0 352|   0     0 |   0     0 |  8    4    0   10    2
Jan 13 02:29:41 ubuntu dstat.sh[81218]: 13-01 02:29:41| 15  21  62   1   0| 829M 1521M  195M 5081M| 151k 7974 |   0   548k|   0  17.5 |2912  4535 |1.31 0.88 0.64|1.0   0 343|   0     0 |   0     0 |  8    4    0   10    2
Jan 13 02:29:42 ubuntu dstat.sh[81218]: 13-01 02:29:42| 18  17  63   0   0| 828M 1521M  195M 5081M| 169k 9354 |   0   560k|   0  13.0 |2819  7443 |1.31 0.88 0.64|1.0   0 205|   0     0 |   0     0 |  8    4    0   10    2
Jan 13 02:29:43 ubuntu dstat.sh[81218]: 13-01 02:29:43| 18  13  67   1   0| 964M 1385M  195M 5204M|  52k 5999 |   0   432k|   0  8.99 |2605  6630 |1.31 0.88 0.64|  0   0  68|   0     0 |   0     0 |  9    4    0   10    2
Jan 13 02:29:44 ubuntu dstat.sh[81218]: 13-01 02:29:44| 13   7  78   2   0| 972M 1376M  195M 5204M| 143k 9001 |   0    14M|   0   212 |1836  2149 |1.31 0.88 0.64|1.0   0  94|   0     0 |   0     0 |  9    6    0   10    2
Jan 13 02:29:45 ubuntu dstat.sh[81218]: 13-01 02:29:45| 18  11  69   1   0| 968M 1379M  195M 5204M|  66k   18k|   0   692k|   0  27.0 |1958  2820 |1.31 0.88 0.64|1.0   0 179|   0     0 |   0     0 |  9    6    0   10    2
Jan 13 02:29:46 ubuntu dstat.sh[81218]: 13-01 02:29:46| 24   4  69   2   0|1015M 1332M  195M 5205M|  67k 6656 |  20k  987k|2.00  24.0 |1259  1580 |1.28 0.89 0.64|1.0   0  17|   0     0 |   0     0 |  9    6    0   10    2
Jan 13 02:29:47 ubuntu dstat.sh[81218]: 13-01 02:29:47| 27   3  68   2   0|1046M 1300M  195M 5206M|  29k 4200 | 176k 1276k|12.0  13.0 |1174  1411 |1.28 0.89 0.64|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 13 02:29:48 ubuntu dstat.sh[81218]: 13-01 02:29:48| 20   2  69   9   0|1065M 1280M  195M 5207M|  68k   16k|  12k 3208k|1.00   229 |2324  4161 |1.28 0.89 0.64|1.0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 13 02:29:49 ubuntu dstat.sh[81218]: 13-01 02:29:49|  7   4  62  25   0|1066M 1277M  196M 5209M|  54k   11k|   0    13M|   0  1016 |5893    11k|1.28 0.89 0.64|  0 1.0 6.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 13 02:29:50 ubuntu dstat.sh[81218]: 13-01 02:29:50|  8   2  64  23   0|1072M 1267M  196M 5211M| 151k   13k|   0  6980k|   0   572 |4804  9040 |1.28 0.89 0.64|2.0   0  19|   0     0 |   0     0 |  9    8    0   10    2
Jan 13 02:29:51 ubuntu dstat.sh[81218]: 13-01 02:29:51| 10   2  66  19   0|1075M 1261M  196M 5214M| 658k   25k|   0  6642k|   0   631 |5447  9815 |1.26 0.89 0.64|  0 1.0  16|   0     0 |   0     0 |  9    8    0   10    2
Jan 13 02:29:52 ubuntu dstat.sh[81218]: 13-01 02:29:52|  9   4  64  21   0|1078M 1255M  197M 5217M| 774k   27k|   0  7582k|   0   643 |5692    10k|1.26 0.89 0.64|1.0 1.0  14|   0     0 |   0     0 |  9    8    0   10    2
Jan 13 02:29:53 ubuntu dstat.sh[81218]: 13-01 02:29:53| 11   3  65  20   0|1082M 1249M  197M 5219M| 322k   21k|   0  6744k|   0   589 |4952  9273 |1.26 0.89 0.64|1.0 1.0  14|   0     0 |   0     0 |  9    8    0   10    2
Jan 13 02:29:54 ubuntu dstat.sh[81218]: 13-01 02:29:54| 26   5  66   0   0|1012M 1318M  197M 5219M| 477k   15k|   0   727k|   0  21.0 |2149  2641 |1.26 0.89 0.64|2.0   0  77|   0     0 |   0     0 |  9    6    0   10    2
Jan 13 02:29:55 ubuntu dstat.sh[81218]: 13-01 02:29:55| 27   4  69   1   0|1063M 1267M  197M 5220M|  90k 6745 |   0    37M|   0   328 |1831  1289 |1.26 0.89 0.64|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 13 02:29:56 ubuntu dstat.sh[81218]: 13-01 02:29:56| 28   2  68   2   0| 990M 1339M  197M 5220M|  68k 5925 |   0  7588k|   0   398 |2055  3051 |1.24 0.89 0.64|2.0   0  10|   0     0 |   0     0 |  9    6    0   10    2
Jan 13 02:29:57 ubuntu dstat.sh[81218]: 13-01 02:29:57| 32   7  60   1   0|1053M 1276M  197M 5220M|  50k 7602 |   0  7331k|   0   388 |2541  8349 |1.24 0.89 0.64|1.0   0  35|   0     0 |   0     0 |  9    6    0   11    2
Jan 13 02:29:58 ubuntu dstat.sh[81218]: 13-01 02:29:58| 27   2  70   1   0|1084M 1244M  198M 5221M| 338k   12k|   0  7550k|   0   391 |2255  3028 |1.24 0.89 0.64|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 13 02:29:59 ubuntu dstat.sh[81218]: 13-01 02:29:59| 28  18  52   1   0| 989M 1336M  198M 5223M|  14k 2641 |   0  7967k|   0   378 |3234  5488 |1.24 0.89 0.64|2.0   0 325|   0     0 |   0     0 |  9    6    0   10    2
Jan 13 02:30:00 ubuntu dstat.sh[81218]: 13-01 02:30:00| 13  18  65   1   0| 989M 1335M  198M 5223M| 139k 7881 |   0  3056k|   0  68.9 |2927  4542 |1.24 0.89 0.64|1.0   0 346|   0     0 |   0     0 |  9    6    0   10    2
Jan 13 02:30:01 ubuntu dstat.sh[81218]: 13-01 02:30:01| 37  21  39   3   0|1038M 1280M  198M 5229M| 787k   18k| 152k 1125k|6.00  15.0 |4193    11k|1.22 0.89 0.65|4.0 2.0 258|   0     0 |   0     0 |  9    6    0   10    2
Jan 13 02:30:02 ubuntu dstat.sh[81218]: 13-01 02:30:02| 51  12  35   0   0|1132M 1184M  198M 5230M| 389k   14k| 268k 1083k|3.00  7.00 |2286  3170 |1.22 0.89 0.65|2.0 1.0 229|   0     0 |   0     0 |  9    7    0   10    2
Jan 13 02:30:03 ubuntu dstat.sh[81218]: 13-01 02:30:03| 50   4  44   1   0|1192M 1122M  198M 5232M| 602k   18k| 372k 1040k|8.00  8.00 |2109  1792 |1.22 0.89 0.65|2.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    2
Jan 13 02:30:04 ubuntu dstat.sh[81218]: 13-01 02:30:04| 51   7  42   1   0|1220M 1091M  198M 5234M|  94k 7650 |   0  1048k|   0  9.00 |2140  8434 |1.22 0.89 0.65|4.0   0  17|   0     0 |   0     0 |  9    6    0   11    2
Jan 13 02:30:05 ubuntu dstat.sh[81218]: 13-01 02:30:05| 23  11  64   1   0|1269M 1042M  198M 5234M|  43k 4931 |   0  3984k|   0  23.0 |2151  3126 |1.22 0.89 0.65|1.0   0 132|   0     0 |   0     0 |  9    6    0   11    2
Jan 13 02:30:06 ubuntu dstat.sh[81218]: 13-01 02:30:06| 31   2  66   1   0|1315M  996M  198M 5235M|  85k 5039 |   0   316k|   0  6.00 |1142  1230 |1.20 0.89 0.65|2.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Jan 13 02:30:07 ubuntu dstat.sh[81218]: 13-01 02:30:07| 33  10  56   0   0|1336M  974M  198M 5235M| 112k   13k|   0   555k|   0  19.0 |2592  4160 |1.20 0.89 0.65|1.0   0 279|   0     0 |   0     0 |  8    8    0   11    2
Jan 13 02:30:08 ubuntu dstat.sh[81218]: 13-01 02:30:08| 33   6  57   3   1|1247M 1062M  199M 5235M| 189k   63k|   0  2905k|   0   248 |3361  5557 |1.20 0.89 0.65|1.0   0  81|   0     0 |   0     0 |  8    6    0   13    2
Jan 13 02:30:09 ubuntu dstat.sh[81218]: 13-01 02:30:09| 31   5  62   0   0|1291M 1018M  199M 5236M|  63k 5180 |  36k  575k|3.00  23.0 |1504  1567 |1.20 0.89 0.65|1.0   0  37|   0     0 |   0     0 |  8    6    0   13    2
Jan 13 02:30:10 ubuntu dstat.sh[81218]: 13-01 02:30:10| 32   6  58   4   0|1336M  972M  199M 5236M| 102k   80k| 116k   11M|25.0  54.1 |2074  2674 |1.20 0.89 0.65|2.0   0  40|   0     0 |   0     0 |  8   18    0   13    2
Jan 13 02:30:11 ubuntu dstat.sh[81218]: 13-01 02:30:11| 43   9  46   1   0|1283M 1021M  199M 5239M|  54k   47k| 128k 1623k|32.0  63.0 |2826  4189 |1.35 0.93 0.66|3.0   0  87|   0     0 |   0     0 |  8   32    0   12    2
Jan 13 02:30:12 ubuntu dstat.sh[81218]: 13-01 02:30:12| 54  14  31   1   0|1311M  990M  199M 5242M|7831  1621 |   0   937k|   0  35.0 |6956    16k|1.35 0.93 0.66|2.0   0  86|   0     0 |   0     0 |  8   32    0   10    2
Jan 13 02:30:13 ubuntu dstat.sh[81218]: 13-01 02:30:13| 41  17  34   5   0|1266M 1016M  199M 5259M|  69k   61k|   0  3007k|   0   127 |  18k   39k|1.35 0.93 0.66|5.0   0 188|   0     0 |   0     0 |  9   32    0   11    2
Jan 13 02:30:14 ubuntu dstat.sh[81218]: 13-01 02:30:14| 62  10  27   0   0|1366M  908M  200M 5266M|7807  1669 |   0  2342k|   0  92.9 |1902  1927 |1.35 0.93 0.66|4.0   0  49|   0     0 |   0     0 |  9   32    0    9    2
Jan 13 02:30:15 ubuntu dstat.sh[81218]: 13-01 02:30:15| 59   8  25   8   0|1413M  849M  201M 5275M| 477k  458k|  28k   12M|2.00   535 |4891  8849 |1.35 0.93 0.66|6.0   0  38|   0     0 |   0     0 |  9   38    0    9    2
Jan 13 02:30:16 ubuntu dstat.sh[81218]: 13-01 02:30:16| 65  19  13   2   0|1329M  909M  201M 5297M| 266k  255k|   0  5973k|   0   285 |3690  7677 |1.56 0.98 0.68|6.0   0 364|   0     0 |   0     0 |  9   36    0   11    2
Jan 13 02:30:17 ubuntu dstat.sh[81218]: 13-01 02:30:17| 85  15   0   0   0|1483M  749M  202M 5301M|  45k   33k|   0  1592k|   0  75.0 |2163  3323 |1.56 0.98 0.68|7.0   0 226|   0     0 |   0     0 |  9   38    0   11    2
Jan 13 02:30:18 ubuntu dstat.sh[81218]: 13-01 02:30:18| 86  12   1   0   0|1611M  621M  202M 5302M| 569k  561k|   0   676k|   0  40.0 |3823  8626 |1.56 0.98 0.68|7.0   0 106|   0     0 |   0     0 |  9   41    0   11    2
Jan 13 02:30:19 ubuntu dstat.sh[81218]: 13-01 02:30:19| 85  14   1   0   0|1342M  909M  202M 5282M| 500k  484k|   0  1461k|   0  74.0 |3589  9189 |1.56 0.98 0.68|7.0   0 215|   0     0 |   0     0 |  9   36    0   11    0
Jan 13 02:30:20 ubuntu dstat.sh[81218]: 13-01 02:30:20| 47  13  36   1   0|1275M  976M  202M 5282M| 207k  201k|   0  1928k|   0   146 |9000    20k|1.56 0.98 0.68|3.0   0 182|   0     0 |   0     0 |  9   34    0   11    0
Jan 13 02:30:21 ubuntu dstat.sh[81218]: 13-01 02:30:21| 45   8  47   1   1|1295M  957M  202M 5282M|  58k   52k|   0  1245k|   0  21.0 |1641  2008 |1.59 1.00 0.69|5.0   0  47|   0     0 |   0     0 |  9   34    0   11    0
Jan 13 02:30:22 ubuntu dstat.sh[81218]: 13-01 02:30:22| 45  10  42   1   0|1282M  969M  202M 5282M| 168k  161k|   0  1096k|   0  42.0 |5933    14k|1.59 1.00 0.69|2.0   0 118|   0     0 |   0     0 |  9   34    0   11    0
Jan 13 02:30:23 ubuntu dstat.sh[81218]: 13-01 02:30:23| 45   8  46   1   0|1295M  956M  202M 5282M|8427  1619 |   0   356k|   0  18.0 |1562  1651 |1.59 1.00 0.69|2.0   0  46|   0     0 |   0     0 |  9   34    0   11    0
