-- Logs begin at Mon 2023-05-08 22:29:04 UTC, end at Mon 2023-05-08 23:58:09 UTC. --
May 08 23:21:04 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 08 23:21:05 ubuntu dstat.sh[72843]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 08 23:21:05 ubuntu dstat.sh[72843]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 08 23:21:05 ubuntu dstat.sh[72843]: 08-05 23:21:05|                   | 978M 1336M  194M 5119M|           |           |           |           |1.29 0.78 0.52|2.0   0    |           |   0     0 |  8    6    0    8    2
May 08 23:21:06 ubuntu dstat.sh[72843]: 08-05 23:21:06| 33  21  44   0   0| 980M 1333M  194M 5120M| 595k   15k|   0  1223k|   0  23.0 |2994  4589 |1.29 0.78 0.52|2.0   0 445|   0     0 |   0     0 |  8    6    0    8    2
May 08 23:21:07 ubuntu dstat.sh[72843]: 08-05 23:21:07| 17  19  62   0   0| 967M 1343M  194M 5123M|1209k   19k|   0  1035k|   0  19.0 |3186  4676 |1.29 0.78 0.52|2.0   0 349|   0     0 |   0     0 |  8    7    0    8    2
May 08 23:21:08 ubuntu dstat.sh[72843]: 08-05 23:21:08| 37  20  41   1   0| 957M 1351M  194M 5125M| 790k   15k|   0  3368k|   0  22.9 |3790  5286 |1.34 0.80 0.53| 16   0 226|   0     0 |   0     0 |  8    5    1    8    2
May 08 23:21:09 ubuntu dstat.sh[72843]: 08-05 23:21:09| 33  11  55   0   0|1113M 1193M  194M 5248M| 170k 9545 |   0   928k|   0  9.04 |2453  3563 |1.34 0.80 0.53|1.0   0  46|   0     0 |   0     0 |  9    6    0    7    2
May 08 23:21:10 ubuntu dstat.sh[72843]: 08-05 23:21:10| 30  10  58   1   0|1121M 1185M  194M 5248M|  75k 8807 |   0    10M|   0  41.0 |1764  2223 |1.34 0.80 0.53|2.0   0 106|   0     0 |   0     0 |  9    9    0    7    2
May 08 23:21:11 ubuntu dstat.sh[72843]: 08-05 23:21:11| 18  12  69   1   0|1127M 1178M  194M 5249M| 277k   24k|   0   708k|   0  29.0 |2328  3298 |1.34 0.80 0.53|1.0   0 186|   0     0 |   0     0 |  9    9    0    9    2
May 08 23:21:12 ubuntu dstat.sh[72843]: 08-05 23:21:12| 31   3  63   2   1|1121M 1183M  194M 5250M| 621k   13k|  52k 1504k|5.00  29.0 |1659  1527 |1.34 0.80 0.53|2.0   0 2.0|   0     0 |   0     0 |  9    8    0    9    2
May 08 23:21:13 ubuntu dstat.sh[72843]: 08-05 23:21:13| 40   5  53   2   0|1108M 1194M  194M 5252M| 430k 8286 | 144k 2562k|9.01  17.0 |1625  1685 |1.40 0.82 0.54|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
May 08 23:21:14 ubuntu dstat.sh[72843]: 08-05 23:21:14| 40   5  45  11   0|1144M 1156M  195M 5254M|  84k   17k|  12k 4197k|1.00   342 |3390  5953 |1.40 0.82 0.54|3.0   0  10|   0     0 |   0     0 |  9    8    0    9    2
May 08 23:21:15 ubuntu dstat.sh[72843]: 08-05 23:21:15| 17   6  56  20   0|1147M 1150M  195M 5256M|  47k   11k|   0  8655k|   0   642 |4839  9188 |1.40 0.82 0.54|1.0   0 4.0|   0     0 |   0     0 |  9    9    0    9    2
May 08 23:21:16 ubuntu dstat.sh[72843]: 08-05 23:21:16| 10   4  63  21   0|1154M 1140M  196M 5259M| 580k   26k|   0  6549k|   0   614 |5880  9639 |1.40 0.82 0.54|  0 1.0  20|   0     0 |   0     0 |  9    9    0    9    2
