-- Logs begin at Mon 2023-05-22 11:21:04 UTC, end at Tue 2023-05-23 11:00:47 UTC. --
May 23 10:46:20 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 23 10:46:21 ubuntu dstat.sh[83190]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 23 10:46:21 ubuntu dstat.sh[83190]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 23 10:46:21 ubuntu dstat.sh[83190]: 23-05 10:46:21|                   | 870M 1287M  201M 5260M|           |           |           |           |1.01 0.91 0.66|1.0   0    |           |   0     0 |  8    4    0    9    2
May 23 10:46:22 ubuntu dstat.sh[83190]: 23-05 10:46:22| 11  18  69   1   0| 872M 1286M  201M 5260M|  75k 7509 |   0   767k|   0  31.0 |2798  4567 |1.01 0.91 0.66|1.0   0 360|   0     0 |   0     0 |  8    4    0    9    2
May 23 10:46:23 ubuntu dstat.sh[83190]: 23-05 10:46:23| 15  21  62   1   0| 864M 1292M  201M 5261M|  71k 5862 |   0   588k|   0  25.5 |2750  5202 |1.01 0.91 0.66|1.0   0 326|   0     0 |   0     0 |  8    4    0    8    2
May 23 10:46:24 ubuntu dstat.sh[83190]: 23-05 10:46:24| 24  15  59   1   0| 861M 1295M  201M 5261M|  58k 4965 |   0   504k|   0  13.0 |2238  5585 |1.01 0.91 0.66|1.0   0 204|   0     0 |   0     0 |  8    4    0    8    2
May 23 10:46:25 ubuntu dstat.sh[83190]: 23-05 10:46:25| 16  15  67   0   0|1004M 1152M  201M 5383M|  62k 5805 |   0   404k|   0  9.00 |3186  9639 |1.17 0.95 0.67|  0   0  77|   0     0 |   0     0 |  9    4    0    8    2
May 23 10:46:26 ubuntu dstat.sh[83190]: 23-05 10:46:26| 16   7  76   2   0|1012M 1143M  201M 5384M| 139k 9019 |   0  2788k|   0   199 |2024  2422 |1.17 0.95 0.67|2.0   0  88|   0     0 |   0     0 |  9    6    0    8    2
May 23 10:46:27 ubuntu dstat.sh[83190]: 23-05 10:46:27| 19  10  69   1   0|1010M 1144M  201M 5385M| 670k   31k|   0   997k|   0  27.0 |2732  3271 |1.17 0.95 0.67|3.0 1.0 173|   0     0 |   0     0 |  9    6    0   10    2
May 23 10:46:28 ubuntu dstat.sh[83190]: 23-05 10:46:28| 24   5  69   1   0|1070M 1082M  201M 5387M| 930k   26k|  52k 1953k|4.99  20.0 |2459  2440 |1.17 0.95 0.67|2.0   0  30|   0     0 |   0     0 |  9    6    0   10    2
May 23 10:46:29 ubuntu dstat.sh[83190]: 23-05 10:46:29| 31   4  64   2   0|1078M 1071M  201M 5389M| 626k   21k| 144k 1691k|9.02  16.0 |1982  1968 |1.17 0.95 0.67|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
May 23 10:46:30 ubuntu dstat.sh[83190]: 23-05 10:46:30| 12   2  66  17   0|1095M 1051M  202M 5391M| 107k   21k|  12k 9256k|1.00   638 |4612  8731 |1.40 1.00 0.69|1.0 1.0  11|   0     0 |   0     0 |  9    8    0   10    2
May 23 10:46:31 ubuntu dstat.sh[83190]: 23-05 10:46:31|  8   5  62  25   0|1095M 1048M  202M 5393M|  87k   11k|   0    46M|   0  1202 |6002    11k|1.40 1.00 0.69|2.0 2.0 2.0|   0     0 |   0     0 |  9    8    0   10    2
May 23 10:46:32 ubuntu dstat.sh[83190]: 23-05 10:46:32|  9   4  64  22   1|1101M 1040M  202M 5395M| 285k   17k|   0  9842k|   0   796 |5780    10k|1.40 1.00 0.69|1.0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
May 23 10:46:33 ubuntu dstat.sh[83190]: 23-05 10:46:33| 17   6  53  22   0|1103M 1034M  203M 5398M|  80k 9802 |   0    15M|   0  1051 |6489    11k|1.40 1.00 0.69|  0 1.0  22|   0     0 |   0     0 |  9    8    0   10    2
May 23 10:46:34 ubuntu dstat.sh[83190]: 23-05 10:46:34| 21   8  50  21   0|1114M 1015M  204M 5405M| 918k   31k|   0    22M|   0  1416 |9695    18k|1.40 1.00 0.69|1.0 2.0  47|   0     0 |   0     0 |  9    8    0   11    2
May 23 10:46:35 ubuntu dstat.sh[83190]: 23-05 10:46:35| 15   3  60  17   0|1105M 1023M  204M 5406M|  55k   12k|   0  8270k|   0   683 |5382  8874 |1.36 1.00 0.69|2.0   0  12|   0     0 |   0     0 |  9    8    0   10    2
