-- Logs begin at Mon 2023-07-24 07:55:34 UTC, end at Mon 2023-07-24 09:31:01 UTC. --
Jul 24 08:54:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 24 08:54:39 ubuntu dstat.sh[93539]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 24 08:54:39 ubuntu dstat.sh[93539]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 24 08:54:39 ubuntu dstat.sh[93539]: 24-07 08:54:39|                   | 846M 1463M  191M 5112M|           |           |           |           |0.84 0.64 0.48|2.0   0    |           |   0     0 |  8    4    0    7    0
Jul 24 08:54:39 ubuntu dstat.sh[93539]: 24-07 08:54:39| 20  21  58   1   0| 847M 1461M  191M 5112M|  70k 2502 |   0   489k|   0  17.2 |2812  4226 |0.84 0.64 0.48|2.0   0 386|   0     0 |   0     0 |  8    4    0    7    0
Jul 24 08:54:40 ubuntu dstat.sh[93539]: 24-07 08:54:40| 35  19  43   0   0| 840M 1467M  191M 5113M|  11k 1619 |   0    28k|   0  12.1 |3004  5179 |0.84 0.64 0.48|2.0   0 360|   0     0 |   0     0 |  8    4    0    7    0
Jul 24 08:54:41 ubuntu dstat.sh[93539]: 24-07 08:54:41| 32  22  44   0   0| 794M 1514M  191M 5112M|  11k 1968 |   0   236k|   0  9.00 |3222  5378 |0.84 0.64 0.48|2.0   0 328|   0     0 |   0     0 |  8    2    0    7    0
Jul 24 08:54:42 ubuntu dstat.sh[93539]: 24-07 08:54:42| 33  16  51   0   0| 969M 1338M  191M 5234M|  12k 1622 |4100B    0 |1.00     0 |3493  7644 |0.84 0.64 0.48|1.0   0 139|   0     0 |   0     0 |  9    2    0    7    0
Jul 24 08:54:43 ubuntu dstat.sh[93539]: 24-07 08:54:43| 77  20   2   2   0|1079M 1197M  192M 5262M|  14k 2379 | 104k 8194B|5.00  2.00 |4535  7620 |1.17 0.71 0.50|5.0   0  64|   0     0 |   0     0 |  9    4    0    7    0
Jul 24 08:54:44 ubuntu dstat.sh[93539]: 24-07 08:54:44| 88  11   0   0   0|1150M 1122M  192M 5265M|  12k 1640 |  32k 2293k|2.00  10.0 |1693  1789 |1.17 0.71 0.50|4.0   0  58|   0     0 |   0     0 |  9    4    1    7    0
Jul 24 08:54:45 ubuntu dstat.sh[93539]: 24-07 08:54:45| 29  13  55   0   0|1127M 1145M  192M 5265M|  29k   15k|   0   320k|   0  20.0 |2313  3393 |1.17 0.71 0.50|1.0   0 197|   0     0 |   0     0 |  9    8    0    9    0
Jul 24 08:54:46 ubuntu dstat.sh[93539]: 24-07 08:54:46| 24   4  72   1   0|1170M 1101M  192M 5266M|  42k 8109 |  52k  748k|5.00  21.0 |1280  1459 |1.17 0.71 0.50|1.0   0   0|   0     0 |   0     0 |  9    8    1    9    0
Jul 24 08:54:47 ubuntu dstat.sh[93539]: 24-07 08:54:47| 34   3  62   1   0|1169M 1101M  193M 5267M| 199k 7855 | 148k 1336k|10.0  10.0 |1267  1231 |1.17 0.71 0.50|2.0   0   0|   0     0 |   0     0 |  9   10    0    9    0
Jul 24 08:54:48 ubuntu dstat.sh[93539]: 24-07 08:54:48| 21   4  61  13   0|1153M 1115M  193M 5268M|  66k   15k|  12k 5928k|1.00   439 |3734  5970 |1.24 0.74 0.51|3.0   0  12|   0     0 |   0     0 |  9   12    0    9    0
Jul 24 08:54:49 ubuntu dstat.sh[93539]: 24-07 08:54:49| 35   5  40  20   0|1176M 1088M  193M 5271M| 221k   13k|   0    11M|   0   858 |5883    10k|1.24 0.74 0.51|3.0   0 2.0|   0     0 |   0     0 |  9   12    0    9    0
