-- Logs begin at Thu 2023-05-04 16:59:48 UTC, end at Mon 2023-05-08 08:58:48 UTC. --
May 08 08:21:48 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 08 08:21:48 ubuntu dstat.sh[86086]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 08 08:21:48 ubuntu dstat.sh[86086]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 08 08:21:48 ubuntu dstat.sh[86086]: 08-05 08:21:48|                   | 963M 1032M  222M 5394M|           |           |           |           |0.99 0.79 0.55|1.0   0    |           |   0     0 |  8    8    0    8    0
May 08 08:21:49 ubuntu dstat.sh[86086]: 08-05 08:21:49| 10  19  70   0   0| 957M 1039M  222M 5394M| 150k 5462 |   0   284k|   0  18.0 |2614  4041 |0.99 0.79 0.55|1.0   0 360|   0     0 |   0     0 |  8    8    0    8    0
May 08 08:21:50 ubuntu dstat.sh[86086]: 08-05 08:21:50| 12  18  69   0   0| 950M 1045M  222M 5395M| 359k 7356 |   0    28k|   0  12.5 |2606  3956 |0.99 0.79 0.55|2.0   0 344|   0     0 |   0     0 |  8    7    0    8    0
May 08 08:21:51 ubuntu dstat.sh[86086]: 08-05 08:21:51| 19  17  64   0   0| 932M 1061M  222M 5397M|1639k   26k|   0    16k|   0  4.00 |4857  7339 |1.07 0.81 0.55|1.0   0 207|   0     0 |   0     0 |  8    6    0    7    1
May 08 08:21:52 ubuntu dstat.sh[86086]: 08-05 08:21:52| 35  16  47   0   0|1105M  885M  222M 5521M|1079k   14k|   0  2171k|   0  4.00 |4166  5397 |1.07 0.81 0.55|2.0   0 101|   0     0 |   0     0 |  9    3    0    7    3
May 08 08:21:53 ubuntu dstat.sh[86086]: 08-05 08:21:53| 36   8  56   0   0|1077M  913M  222M 5521M|  16k 4112 |   0    12k|   0  3.00 |1756  2129 |1.07 0.81 0.55|3.0   0  93|   0     0 |   0     0 |  9    6    0    7    1
May 08 08:21:54 ubuntu dstat.sh[86086]: 08-05 08:21:54| 18  13  69   0   0|1078M  912M  222M 5521M|  86k 9571 |   0   164k|   0  8.01 |1899  2504 |1.07 0.81 0.55|  0 1.0 162|   0     0 |   0     0 |  9    9    0    7    1
May 08 08:21:55 ubuntu dstat.sh[86086]: 08-05 08:21:55| 33   6  59   2   0|1140M  849M  222M 5521M| 152k   11k|  52k  876k|5.00  28.0 |1772  2072 |1.07 0.81 0.55|3.0   0  38|   0     0 |   0     0 |  9    6    0    9    1
May 08 08:21:56 ubuntu dstat.sh[86086]: 08-05 08:21:56| 45   6  47   1   0|1177M  811M  222M 5522M|  18k 2585 | 144k  627k|8.99  7.99 |1433  1531 |1.22 0.85 0.57|2.0   0   0|   0     0 |   0     0 |  9    7    0    9    1
May 08 08:21:57 ubuntu dstat.sh[86086]: 08-05 08:21:57| 27   6  59   7   0|1203M  784M  223M 5523M|  52k   15k|  12k 3368k|1.00   278 |3062  4952 |1.22 0.85 0.57|  0 1.0 8.0|   0     0 |   0     0 |  9   10    0    9    1
May 08 08:21:58 ubuntu dstat.sh[86086]: 08-05 08:21:58| 21   3  52  22   0|1206M  779M  223M 5526M| 146k   12k|   0    15M|   0  1074 |5430    11k|1.22 0.85 0.57|  0 1.0 8.0|   0     0 |   0     0 |  9   11    0    9    1
