-- Logs begin at Fri 2023-03-24 18:24:47 UTC, end at Sun 2023-03-26 14:20:31 UTC. --
Mar 26 13:41:59 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 26 13:41:59 ubuntu dstat.sh[90418]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 26 13:41:59 ubuntu dstat.sh[90418]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 26 13:41:59 ubuntu dstat.sh[90418]: 26-03 13:41:59|                   | 962M 1139M  198M 5317M|           |           |           |           |0.96 0.68 0.52|1.0   0    |           |   0     0 |  8    6    0    9    4
Mar 26 13:42:00 ubuntu dstat.sh[90418]: 26-03 13:42:00| 19  19  60   1   0| 956M 1145M  198M 5318M| 380k   16k|   0  1199k|   0  23.0 |2779  4135 |0.96 0.68 0.52|1.0   0 351|   0     0 |   0     0 |  8    6    0    8    3
Mar 26 13:42:01 ubuntu dstat.sh[90418]: 26-03 13:42:01| 21  18  60   0   0| 954M 1145M  198M 5318M| 229k 9018 |   0   376k|   0  16.0 |2674  3940 |0.96 0.68 0.52|1.0   0 341|   0     0 |   0     0 |  8    6    0    8    2
Mar 26 13:42:02 ubuntu dstat.sh[90418]: 26-03 13:42:02| 15  18  65   0   0| 936M 1162M  198M 5320M|1014k   12k|   0    20k|   0  5.00 |3259  4711 |0.97 0.68 0.52|1.0   0 213|   0     0 |   0     0 |  8    6    0    8    2
Mar 26 13:42:03 ubuntu dstat.sh[90418]: 26-03 13:42:03| 24  15  60   0   0|1076M 1019M  198M 5445M|1188k 9606 |   0     0 |   0     0 |4915  8788 |0.97 0.68 0.52|  0   0 102|   0     0 |   0     0 |  9    6    0    8    2
Mar 26 13:42:04 ubuntu dstat.sh[90418]: 26-03 13:42:04| 13   7  78   0   0|1083M 1009M  198M 5448M|1573k   17k|   0    16k|   0  4.00 |2241  2221 |0.97 0.68 0.52|1.0   0  96|   0     0 |   0     0 |  9    8    0    8    2
Mar 26 13:42:05 ubuntu dstat.sh[90418]: 26-03 13:42:05| 30  11  60   1   0|1069M 1020M  198M 5450M|1576k   25k|   0  1502k|   0  24.0 |2924  3379 |0.97 0.68 0.52|4.0   0 192|   0     0 |   0     0 |  9    6    0   10    2
Mar 26 13:42:06 ubuntu dstat.sh[90418]: 26-03 13:42:06| 47   5  45   1   0|1137M  950M  198M 5452M| 721k 6217 |  92k 4970k|6.99  21.0 |1554  1452 |0.97 0.68 0.52|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Mar 26 13:42:07 ubuntu dstat.sh[90418]: 26-03 13:42:07| 34   5  60   0   0|1144M  940M  198M 5455M|1212k 7338 | 104k 1024k|7.00  8.00 |1729  1696 |1.05 0.71 0.53|1.0   0 4.0|   0     0 |   0     0 |  9    7    0   10    2
Mar 26 13:42:08 ubuntu dstat.sh[90418]: 26-03 13:42:08| 16   4  64  15   0|1166M  916M  198M 5457M| 241k   19k|  12k   18M|1.00   555 |4062  6966 |1.05 0.71 0.53|  0 1.0  11|   0     0 |   0     0 |  9    9    0   10    2
Mar 26 13:42:09 ubuntu dstat.sh[90418]: 26-03 13:42:09| 14   3  60  22   0|1169M  910M  199M 5459M| 288k   15k|   0  8693k|   0   755 |5832    10k|1.05 0.71 0.53|1.0 1.0 2.0|   0     0 |   0     0 |  9   10    0   10    2
Mar 26 13:42:10 ubuntu dstat.sh[90418]: 26-03 13:42:10|  9   3  64  22   0|1177M  899M  199M 5462M| 178k   15k|   0  7766k|   0   634 |5644  9605 |1.05 0.71 0.53|3.0   0  19|   0     0 |   0     0 |  9   10    0   10    2
Mar 26 13:42:11 ubuntu dstat.sh[90418]: 26-03 13:42:11| 10   3  66  21   0|1179M  894M  199M 5464M| 299k   16k|   0  6234k|   0   662 |5517  9614 |1.05 0.71 0.53|2.0   0  25|   0     0 |   0     0 |  9   10    0   10    2
Mar 26 13:42:12 ubuntu dstat.sh[90418]: 26-03 13:42:12| 10   3  65  21   0|1183M  887M  200M 5467M| 563k   20k|   0  7057k|   0   618 |5490  9227 |1.05 0.71 0.53|  0 1.0 4.0|   0     0 |   0     0 |  9   10    0   10    2
Mar 26 13:42:13 ubuntu dstat.sh[90418]: 26-03 13:42:13| 27   6  58  10   0|1067M 1001M  200M 5469M| 665k   15k|   0  4560k|   0   343 |3964  6259 |1.05 0.71 0.53|2.0   0  55|   0     0 |   0     0 |  9    6    0   10    2
Mar 26 13:42:14 ubuntu dstat.sh[90418]: 26-03 13:42:14| 45   8  46   0   0|1139M  928M  200M 5470M|  66k 6545 |   0   855k|   0  24.0 |1552  1626 |1.05 0.71 0.53|2.0   0  38|   0     0 |   0     0 |  9    6    0   10    2
Mar 26 13:42:15 ubuntu dstat.sh[90418]: 26-03 13:42:15| 40   5  53   1   0|1178M  889M  200M 5470M|  64k 6566 |   0  7511k|   0   395 |2236  2927 |1.05 0.71 0.53|1.0   0 4.0|   0     0 |   0     0 |  9    7    0   10    2
Mar 26 13:42:16 ubuntu dstat.sh[90418]: 26-03 13:42:16| 31   4  65   1   0|1122M  945M  200M 5470M|  74k 7772 |   0  7409k|   0   402 |2210  3066 |1.05 0.71 0.53|1.0   0  11|   0     0 |   0     0 |  9    7    0   10    2
Mar 26 13:42:17 ubuntu dstat.sh[90418]: 26-03 13:42:17| 31   4  64   1   0|1165M  901M  200M 5470M| 168k 7627 |   0  7743k|   0   419 |2200  2918 |1.04 0.72 0.53|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Mar 26 13:42:18 ubuntu dstat.sh[90418]: 26-03 13:42:18| 25   3  65   5   0|1183M  883M  200M 5470M|  37k 6661 |   0    41M|   0   649 |2294  2997 |1.04 0.72 0.53|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Mar 26 13:42:19 ubuntu dstat.sh[90418]: 26-03 13:42:19| 17  15  68   1   0|1098M  968M  200M 5470M| 122k 7538 |   0  2122k|   0   107 |2735  4404 |1.04 0.72 0.53|1.0   0 306|   0     0 |   0     0 |  9    8    0   10    2
Mar 26 13:42:20 ubuntu dstat.sh[90418]: 26-03 13:42:20| 13  19  67   0   0|1098M  966M  200M 5472M| 953k   14k|   0   496k|   0  22.0 |3159  4521 |1.04 0.72 0.53|2.0   0 365|   0     0 |   0     0 |  9    8    0   10    2
Mar 26 13:42:21 ubuntu dstat.sh[90418]: 26-03 13:42:21| 26  13  60   0   0|1104M  957M  200M 5475M|1193k   15k|   0  1113k|   0  8.01 |5058    10k|1.04 0.72 0.53| 16   0  93|   0     0 |   0     0 |  9    8    0   10    2
Mar 26 13:42:22 ubuntu dstat.sh[90418]: 26-03 13:42:22| 58  12  29   1   0|1169M  890M  201M 5477M| 668k   13k| 324k 2449k|4.00  22.0 |2633  3996 |1.12 0.74 0.54|2.0   0 130|   0     0 |   0     0 |  9    7    0   10    2
Mar 26 13:42:23 ubuntu dstat.sh[90418]: 26-03 13:42:23| 49   6  45   1   0|1229M  828M  201M 5478M| 539k 8640 | 372k 5818k|8.01  96.1 |1764  1602 |1.12 0.74 0.54|2.0   0 4.0|   0     0 |   0     0 |  9    7    0   10    2
Mar 26 13:42:24 ubuntu dstat.sh[90418]: 26-03 13:42:24| 53   4  43   0   0|1259M  796M  201M 5480M|  75k 6462 |   0   856k|   0  9.00 |1557  3979 |1.12 0.74 0.54|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Mar 26 13:42:25 ubuntu dstat.sh[90418]: 26-03 13:42:25| 25  10  63   0   0|1293M  761M  201M 5481M| 294k 8010 |   0   888k|   0  9.00 |2364  4322 |1.12 0.74 0.54|1.0   0 141|   0     0 |   0     0 |  9    6    0   11    2
Mar 26 13:42:26 ubuntu dstat.sh[90418]: 26-03 13:42:26| 31   3  65   1   0|1347M  706M  201M 5482M| 101k 5614 |   0   376k|   0  8.99 |1202  1320 |1.12 0.74 0.54|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   11    2
Mar 26 13:42:27 ubuntu dstat.sh[90418]: 26-03 13:42:27| 38   7  55   0   0|1358M  692M  201M 5485M| 386k 9210 |   0   545k|   0  5.01 |2124  6902 |1.19 0.76 0.55|3.0   0  37|   0     0 |   0     0 |  9    6    0   12    2
Mar 26 13:42:28 ubuntu dstat.sh[90418]: 26-03 13:42:28| 31   7  57   3   0|1297M  746M  201M 5490M| 578k   69k|   0    15M|   0   606 |4378  5832 |1.19 0.76 0.55|2.0   0  46|   0     0 |   0     0 |  9    6    0   10    2
Mar 26 13:42:29 ubuntu dstat.sh[90418]: 26-03 13:42:29| 28   4  67   0   0|1302M  742M  201M 5490M|  51k 5405 |  36k  656k|3.00  7.00 |1273  1424 |1.19 0.76 0.55|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Mar 26 13:42:30 ubuntu dstat.sh[90418]: 26-03 13:42:30| 24   3  69   3   0|1321M  721M  201M 5491M| 692k   92k|  92k 1584k|19.0  18.0 |2143  2689 |1.19 0.76 0.55|  0 1.0 3.0|   0     0 |   0     0 |  9   18    0   10    2
