-- Logs begin at Thu 2023-04-13 15:26:07 UTC, end at Thu 2023-04-13 20:53:08 UTC. --
Apr 13 20:39:46 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 13 20:39:47 ubuntu dstat.sh[88663]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 13 20:39:47 ubuntu dstat.sh[88663]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 13 20:39:47 ubuntu dstat.sh[88663]: 13-04 20:39:47|                   | 924M 1498M  175M 5028M|           |           |           |           |0.99 0.48 0.32|4.0   0    |           |   0     0 |  8    6    0    8    2
Apr 13 20:39:48 ubuntu dstat.sh[88663]: 13-04 20:39:48| 24  21  53   0   0| 928M 1493M  175M 5028M| 619k   15k|   0   567k|   0  18.0 |3990    10k|1.07 0.50 0.33|3.0   0 446|   0     0 |   0     0 |  8    6    0    8    2
Apr 13 20:39:49 ubuntu dstat.sh[88663]: 13-04 20:39:49| 17  16  66   0   0| 919M 1499M  175M 5032M|1464k   17k|   0    24k|   0  12.0 |3609  7931 |1.15 0.52 0.33|1.0   0 349|   0     0 |   0     0 |  8    6    0    7    2
Apr 13 20:39:50 ubuntu dstat.sh[88663]: 13-04 20:39:50| 18  17  64   0   0| 918M 1497M  175M 5035M|1869k   15k|   0    16k|   0  4.00 |3806  7921 |1.15 0.52 0.33|1.0   0 204|   0     0 |   0     0 |  8    6    0    7    2
Apr 13 20:39:51 ubuntu dstat.sh[88663]: 13-04 20:39:51| 19  12  68   2   0|1004M 1407M  175M 5159M|1107k   15k|   0  5134k|   0  14.0 |3666  6126 |1.15 0.52 0.33|  0   0  72|   0     0 |   0     0 |  9    4    0    7    2
Apr 13 20:39:52 ubuntu dstat.sh[88663]: 13-04 20:39:52| 14   8  77   0   1|1006M 1403M  175M 5162M|1492k 6432 |   0    20k|   0  5.00 |2050  2397 |1.15 0.52 0.33|1.0   0 103|   0     0 |   0     0 |  9    6    0    7    2
Apr 13 20:39:53 ubuntu dstat.sh[88663]: 13-04 20:39:53| 19  10  70   1   0|1015M 1393M  175M 5163M| 556k   20k|   0  2493k|   0  29.0 |2348  3412 |1.14 0.53 0.33|1.0   0 187|   0     0 |   0     0 |  9    6    0    9    2
Apr 13 20:39:54 ubuntu dstat.sh[88663]: 13-04 20:39:54| 26   4  68   1   0|1043M 1364M  175M 5164M| 205k 7731 |  52k 1206k|4.99  21.0 |1329  1536 |1.14 0.53 0.33|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 13 20:39:55 ubuntu dstat.sh[88663]: 13-04 20:39:55| 24   4  69   3   0|1073M 1332M  176M 5165M| 224k 6861 | 144k   11M|9.00  45.0 |1212  1559 |1.14 0.53 0.33|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 13 20:39:56 ubuntu dstat.sh[88663]: 13-04 20:39:56| 17   2  68  13   0|1093M 1311M  176M 5166M|  97k   18k|  12k 3077k|1.00   241 |2691  4967 |1.14 0.53 0.33|1.0 2.0 4.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 13 20:39:57 ubuntu dstat.sh[88663]: 13-04 20:39:57| 10   4  61  23   0|1094M 1307M  176M 5168M| 173k   13k|   0    13M|   0   915 |5722    10k|1.14 0.53 0.33|2.0 1.0 7.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 13 20:39:58 ubuntu dstat.sh[88663]: 13-04 20:39:58|  7   3  67  22   0|1101M 1298M  176M 5171M| 154k   10k|   0  6092k|   0   450 |4386  7691 |1.13 0.54 0.34|2.0   0 7.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 13 20:39:59 ubuntu dstat.sh[88663]: 13-04 20:39:59|  7   2  67  22   0|1102M 1295M  177M 5172M|  67k   10k|   0  4095k|   0   366 |4054  7147 |1.13 0.54 0.34|3.0   0  12|   0     0 |   0     0 |  9    8    0    9    2
Apr 13 20:40:00 ubuntu dstat.sh[88663]: 13-04 20:40:00|  7   3  69  20   0|1104M 1291M  177M 5173M|  53k 9630 |   0  4925k|   0   492 |4189  7939 |1.13 0.54 0.34|  0 1.0  18|   0     0 |   0     0 |  9    8    0    9    2
Apr 13 20:40:01 ubuntu dstat.sh[88663]: 13-04 20:40:01| 10   2  65  20   0|1107M 1286M  177M 5174M|  92k   12k|   0  5172k|   0   483 |4425  8072 |1.13 0.54 0.34|  0 1.0  10|   0     0 |   0     0 |  9    8    0    9    2
Apr 13 20:40:02 ubuntu dstat.sh[88663]: 13-04 20:40:02|  8   3  66  22   0|1108M 1284M  178M 5176M|  29k 9821 |   0  5471k|   0   515 |4462  8174 |1.13 0.54 0.34|  0 1.0 2.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 13 20:40:03 ubuntu dstat.sh[88663]: 13-04 20:40:03| 17   5  68   8   0|1019M 1372M  178M 5176M|  87k   11k|   0  2432k|   0   239 |3055  5063 |1.28 0.58 0.35|2.0   0  82|   0     0 |   0     0 |  9    6    0    9    2
Apr 13 20:40:04 ubuntu dstat.sh[88663]: 13-04 20:40:04| 27   5  68   0   0|1076M 1315M  178M 5176M| 106k 6996 |   0   796k|   0  28.0 |1268  1360 |1.28 0.58 0.35|1.0   0 7.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 13 20:40:05 ubuntu dstat.sh[88663]: 13-04 20:40:05| 27   3  69   1   0|1108M 1281M  178M 5178M| 952k   16k|   0    33M|   0   111 |1852  1392 |1.28 0.58 0.35|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 13 20:40:06 ubuntu dstat.sh[88663]: 13-04 20:40:06| 28   4  64   4   0|1068M 1320M  178M 5179M| 789k   18k|   0  8170k|   0   402 |2569  3367 |1.28 0.58 0.35|2.0   0  12|   0     0 |   0     0 |  9    6    0    9    2
Apr 13 20:40:07 ubuntu dstat.sh[88663]: 13-04 20:40:07| 30   3  64   2   0|1110M 1277M  178M 5180M| 475k   10k|   0  7637k|   0   409 |2228  3169 |1.28 0.58 0.35|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 13 20:40:08 ubuntu dstat.sh[88663]: 13-04 20:40:08| 24   8  63   5   0|1024M 1363M  178M 5180M| 129k 8191 |   0  7638k|   0   408 |2768  4244 |1.58 0.65 0.38|1.0   0 144|   0     0 |   0     0 |  9    6    0    9    2
Apr 13 20:40:09 ubuntu dstat.sh[88663]: 13-04 20:40:09| 14  19  64   1   0|1025M 1362M  178M 5181M|  90k 6488 |   0  7659k|   0   397 |3729  6193 |1.58 0.65 0.38|3.0   0 378|   0     0 |   0     0 |  9    6    0    9    2
