-- Logs begin at Fri 2023-05-19 09:27:29 UTC, end at Fri 2023-05-19 21:38:13 UTC. --
May 19 21:24:01 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 19 21:24:01 ubuntu dstat.sh[73638]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 19 21:24:01 ubuntu dstat.sh[73638]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 19 21:24:01 ubuntu dstat.sh[73638]: 19-05 21:24:01|                   | 958M 1354M  198M 5117M|           |           |           |           |0.91 0.64 0.48|3.0   0    |           |   0     0 |  8    5    0    8    2
May 19 21:24:02 ubuntu dstat.sh[73638]: 19-05 21:24:02| 36  21  37   4   0| 968M 1343M  198M 5117M| 441k   17k|   0    18M|   0   547 |4982  6600 |0.91 0.64 0.48|2.5   0 430|   0     0 |   0     0 |  8    6    0    8    2
May 19 21:24:03 ubuntu dstat.sh[73638]: 19-05 21:24:03| 35  18  45   0   0| 969M 1341M  198M 5119M| 251k   12k|   0   403k|   0   279 |4200  6574 |0.91 0.64 0.48|1.0   0 363|   0     0 |   0     0 |  8    7    0    8    2
May 19 21:24:04 ubuntu dstat.sh[73638]: 19-05 21:24:04| 18  17  64   0   0| 968M 1340M  198M 5121M|1020k 9772 |   0    16k|   0  4.00 |3592  6441 |0.91 0.64 0.48|1.0   0 210|   0     0 |   0     0 |  8    7    0    8    2
May 19 21:24:05 ubuntu dstat.sh[73638]: 19-05 21:24:05| 15  11  73   0   0|1112M 1193M  198M 5245M|1473k   10k|   0   508k|   0  3.00 |3091  6067 |0.83 0.63 0.48|  0   0  68|   0     0 |   0     0 |  9    8    0    8    2
May 19 21:24:06 ubuntu dstat.sh[73638]: 19-05 21:24:06| 18   7  74   0   0|1115M 1186M  198M 5249M|1753k   22k|   0    28k|   0  7.01 |2483  2467 |0.83 0.63 0.48|1.0   0 107|   0     0 |   0     0 |  9   10    0    7    2
May 19 21:24:07 ubuntu dstat.sh[73638]: 19-05 21:24:07| 38  14  47   1   0|1123M 1176M  198M 5250M|1008k   26k|   0  5720k|   0  47.0 |2720  3483 |0.83 0.63 0.48|2.0   0 185|   0     0 |   0     0 |  9    8    0    9    2
May 19 21:24:08 ubuntu dstat.sh[73638]: 19-05 21:24:08| 44   8  47   1   0|1155M 1140M  198M 5254M|1584k   19k| 196k  947k|14.0  7.99 |2405  1999 |0.83 0.63 0.48|2.0   0 4.0|   0     0 |   0     0 |  9    8    1    9    2
May 19 21:24:09 ubuntu dstat.sh[73638]: 19-05 21:24:09| 26   2  69   1   0|1179M 1113M  198M 5257M|1384k   18k|   0  3135k|   0  18.0 |1978  1542 |0.83 0.63 0.48|1.0   0   0|   0     0 |   0     0 |  9    9    0    9    2
May 19 21:24:10 ubuntu dstat.sh[73638]: 19-05 21:24:10| 23   5  52  19   0|1203M 1084M  198M 5262M|1014k   31k|  12k   15M|1.00   883 |5292    10k|1.25 0.71 0.51|1.0 1.0  12|   0     0 |   0     0 |  9    9    1    9    4
May 19 21:24:11 ubuntu dstat.sh[73638]: 19-05 21:24:11| 34   8  39  17   0|1205M 1079M  199M 5264M| 224k   15k|   0  8510k|   0   834 |5572    17k|1.25 0.71 0.51|1.0 1.0  47|   0     0 |   0     0 |  9   10    0   10    2
May 19 21:24:12 ubuntu dstat.sh[73638]: 19-05 21:24:12| 23   5  49  22   0|1212M 1070M  199M 5266M| 255k   17k|   0    17M|   0   716 |5488  9020 |1.25 0.71 0.51|  0 2.0  26|   0     0 |   0     0 |  9   11    0    9    2
May 19 21:24:13 ubuntu dstat.sh[73638]: 19-05 21:24:13| 11   3  63  21   0|1214M 1064M  200M 5269M| 281k   16k|   0  7016k|   0   670 |5658  9648 |1.25 0.71 0.51|2.0 1.0  16|   0     0 |   0     0 |  9   11    0    9    2
May 19 21:24:14 ubuntu dstat.sh[73638]: 19-05 21:24:14| 15   4  58  22   0|1166M 1109M  200M 5272M| 725k   20k|   0  7028k|   0   588 |5203  8654 |1.25 0.71 0.51|1.0 1.0 1.0|   0     0 |   0     0 |  9   10    0    9    2
May 19 21:24:15 ubuntu dstat.sh[73638]: 19-05 21:24:15| 24   7  63   7   0|1028M 1246M  200M 5273M| 387k   15k|   0  3071k|   0   202 |3311  4893 |1.23 0.72 0.51|1.0   0  88|   0     0 |   0     0 |  9    6    0    9    2
May 19 21:24:16 ubuntu dstat.sh[73638]: 19-05 21:24:16| 25   3  71   1   0|1088M 1186M  200M 5273M|  70k 6496 |   0  1056k|   0  28.0 |1195  1290 |1.23 0.72 0.51|1.0 1.0   0|   0     0 |   0     0 |  9    6    0    9    2
May 19 21:24:17 ubuntu dstat.sh[73638]: 19-05 21:24:17| 28   3  67   2   0|1107M 1166M  201M 5273M|  66k 6460 |   0  9137k|   0   396 |2272  2912 |1.23 0.72 0.51|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
May 19 21:24:18 ubuntu dstat.sh[73638]: 19-05 21:24:18| 28   4  66   2   0|1077M 1196M  201M 5273M|  50k 5403 |   0  7780k|   0   427 |2338  3172 |1.23 0.72 0.51|1.0   0  11|   0     0 |   0     0 |  9    6    0    9    2
May 19 21:24:19 ubuntu dstat.sh[73638]: 19-05 21:24:19| 27   2  68   3   0|1106M 1167M  201M 5273M|  82k 7726 |   0  7634k|   0   403 |2104  2991 |1.23 0.72 0.51|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
May 19 21:24:20 ubuntu dstat.sh[73638]: 19-05 21:24:20| 21  10  66   2   1|1018M 1254M  201M 5273M| 111k 7022 |   0  7725k|   0   402 |3157  4913 |1.13 0.71 0.51|1.0   0 226|   0     0 |   0     0 |  9    6    0    9    2
May 19 21:24:21 ubuntu dstat.sh[73638]: 19-05 21:24:21| 15  19  64   1   0|1019M 1252M  201M 5275M| 652k   19k|   0  1601k|   0  49.0 |3422  5102 |1.13 0.71 0.51|3.0   0 377|   0     0 |   0     0 |  9    6    0    9    2
May 19 21:24:22 ubuntu dstat.sh[73638]: 19-05 21:24:22| 22  16  60   0   0|1022M 1247M  201M 5277M|1021k   28k|   0    33M|   0   133 |4539  8672 |1.13 0.71 0.51|1.0   0 142|   0     0 |   0     0 |  9    6    0    9    2
May 19 21:24:23 ubuntu dstat.sh[73638]: 19-05 21:24:23| 50  11  37   2   0|1145M 1122M  201M 5278M| 506k   16k| 324k 1710k|4.00  7.01 |3347  5678 |1.13 0.71 0.51|4.0   0 156|   0     0 |   0     0 |  9    7    0    9    2
May 19 21:24:24 ubuntu dstat.sh[73638]: 19-05 21:24:24| 50   3  46   1   0|1215M 1051M  201M 5279M|  99k 7623 | 372k  932k|8.00  41.0 |1498  1342 |1.13 0.71 0.51|2.0   0 1.0|   0     0 |   0     0 |  9    7    0    9    2
May 19 21:24:25 ubuntu dstat.sh[73638]: 19-05 21:24:25| 49   6  44   0   0|1241M 1023M  201M 5281M|  67k 6242 |   0   921k|   0  10.0 |2774  4592 |1.28 0.75 0.52|2.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
May 19 21:24:26 ubuntu dstat.sh[73638]: 19-05 21:24:26| 28  12  59   1   0|1273M  990M  201M 5282M| 300k   13k|   0  1175k|   0  36.0 |3045  4663 |1.28 0.75 0.52|1.0   0 141|   0     0 |   0     0 |  9    6    0   10    2
