-- Logs begin at Mon 2023-06-05 19:38:43 UTC, end at Mon 2023-06-05 21:10:23 UTC. --
Jun 05 20:33:19 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 05 20:33:19 ubuntu dstat.sh[88771]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 05 20:33:19 ubuntu dstat.sh[88771]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 05 20:33:19 ubuntu dstat.sh[88771]: 05-06 20:33:19|                   | 876M 1350M  198M 5194M|           |           |           |           |1.51 1.16 0.74|3.0   0    |           |   0     0 |  8    4    0    8    2
Jun 05 20:33:20 ubuntu dstat.sh[88771]: 05-06 20:33:20| 11  18  68   1   0| 878M 1348M  198M 5194M| 159k 7556 |   0   703k|   0  23.0 |2747  4163 |1.51 1.16 0.74|3.0   0 371|   0     0 |   0     0 |  8    4    0    8    2
Jun 05 20:33:21 ubuntu dstat.sh[88771]: 05-06 20:33:21| 16  18  67   1   0| 880M 1345M  198M 5195M| 179k 9102 |   0   604k|   0  19.5 |2664  4084 |1.39 1.14 0.74|2.0   0 358|   0     0 |   0     0 |  8    4    0    8    2
Jun 05 20:33:22 ubuntu dstat.sh[88771]: 05-06 20:33:22| 19  20  60   0   0| 866M 1358M  198M 5195M|  61k 5528 |   0   492k|   0  12.0 |3677  8052 |1.39 1.14 0.74|1.0 1.0 234|   0     0 |   0     0 |  8    4    0    8    2
Jun 05 20:33:23 ubuntu dstat.sh[88771]: 05-06 20:33:23| 20  16  63   1   0|1009M 1214M  198M 5318M| 152k 9061 |   0   516k|   0  10.0 |3176  7058 |1.39 1.14 0.74|2.0   0 138|   0     0 |   0     0 |  9    6    0    8    2
Jun 05 20:33:24 ubuntu dstat.sh[88771]: 05-06 20:33:24| 22   6  68   4   0|1014M 1209M  198M 5318M|  68k 6503 |   0    14M|   0   228 |1704  1758 |1.39 1.14 0.74|1.0   0  53|   0     0 |   0     0 |  9    6    0    7    2
Jun 05 20:33:25 ubuntu dstat.sh[88771]: 05-06 20:33:25| 19   9  70   1   0|1044M 1179M  198M 5318M|  63k   17k|   0   797k|   0  25.0 |2042  3068 |1.39 1.14 0.74|2.0   0 171|   0     0 |   0     0 |  9    6    0    9    2
Jun 05 20:33:26 ubuntu dstat.sh[88771]: 05-06 20:33:26| 25   2  69   2   0|1084M 1137M  198M 5319M|  68k 6655 |  44k 1715k|6.00  28.0 |1301  1485 |1.44 1.16 0.75|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jun 05 20:33:27 ubuntu dstat.sh[88771]: 05-06 20:33:27| 26   3  66   4   0|1088M 1132M  198M 5320M|  54k   14k|   0  2213k|   0   150 |2289  3301 |1.44 1.16 0.75|1.0 1.0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Jun 05 20:33:28 ubuntu dstat.sh[88771]: 05-06 20:33:28|  9   3  61  25   0|1096M 1121M  199M 5323M|  80k   12k|   0    13M|   0   908 |6375    11k|1.44 1.16 0.75|1.0 2.0 9.0|   0     0 |   0     0 |  9    8    0    9    2
Jun 05 20:33:29 ubuntu dstat.sh[88771]: 05-06 20:33:29|  9   2  65  21   0|1101M 1114M  199M 5324M| 103k   13k|   0    10M|   0   772 |5285  9894 |1.44 1.16 0.75|1.0 1.0  16|   0     0 |   0     0 |  9    8    0    9    2
Jun 05 20:33:30 ubuntu dstat.sh[88771]: 05-06 20:33:30| 10   3  61  23   0|1103M 1109M  199M 5327M| 693k   25k|   0    16M|   0  1227 |7232    13k|1.44 1.16 0.75|3.0   0  16|   0     0 |   0     0 |  9    8    0    9    2
Jun 05 20:33:31 ubuntu dstat.sh[88771]: 05-06 20:33:31| 11   5  60  23   0|1105M 1102M  200M 5330M| 949k   30k|   0    20M|   0  1338 |8510    14k|1.57 1.19 0.76|3.0   0  19|   0     0 |   0     0 |  9    8    0    9    2
Jun 05 20:33:32 ubuntu dstat.sh[88771]: 05-06 20:33:32| 13   3  61  21   0|1108M 1097M  200M 5332M| 318k   20k|   0  9493k|   0   778 |5484    10k|1.57 1.19 0.76|5.0   0 7.0|   0     0 |   0     0 |  9    8    0    9    2
Jun 05 20:33:33 ubuntu dstat.sh[88771]: 05-06 20:33:33| 24   7  62   7   0|1029M 1175M  201M 5333M| 403k   16k|   0    11M|   0   719 |4621  6705 |1.57 1.19 0.76|2.0   0  83|   0     0 |   0     0 |  9    6    0    9    2
Jun 05 20:33:34 ubuntu dstat.sh[88771]: 05-06 20:33:34| 28   4  67   1   0|1086M 1118M  201M 5333M|  79k 6644 |   0    34M|   0   276 |1680  1308 |1.57 1.19 0.76|4.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jun 05 20:33:35 ubuntu dstat.sh[88771]: 05-06 20:33:35| 28   1  68   2   0|1105M 1099M  201M 5333M|  63k 6051 |   0  5004k|   0   248 |1905  2453 |1.57 1.19 0.76|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jun 05 20:33:36 ubuntu dstat.sh[88771]: 05-06 20:33:36| 30   5  64   1   0|1095M 1107M  201M 5335M| 341k   12k|   0   776k|   0  19.0 |1611  1612 |1.52 1.19 0.76|2.0   0  16|   0     0 |   0     0 |  9    6    0    9    2
Jun 05 20:33:37 ubuntu dstat.sh[88771]: 05-06 20:33:37| 28   2  69   0   0|1105M 1095M  201M 5337M| 811k   23k|   0   392k|   0  4.00 |1966  1773 |1.52 1.19 0.76|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 05 20:33:38 ubuntu dstat.sh[88771]: 05-06 20:33:38| 21  20  58   1   0|1018M 1177M  201M 5341M| 111k 5699 |   0  1550k|   0  10.0 |2699  4112 |1.52 1.19 0.76|3.0   0 330|   0     0 |   0     0 |  9    6    0    9    2
Jun 05 20:33:39 ubuntu dstat.sh[88771]: 05-06 20:33:39| 16  18  64   0   0|1018M 1176M  201M 5342M| 442k   17k|   0  2269k|   0  19.0 |2949  4458 |1.52 1.19 0.76|3.0   0 337|   0     0 |   0     0 |  9    6    0    9    2
Jun 05 20:33:40 ubuntu dstat.sh[88771]: 05-06 20:33:40| 29  19  50   0   0|1062M 1130M  202M 5343M| 623k   19k|   0   885k|   0  7.00 |4347    10k|1.52 1.19 0.76|4.0   0 150|   0     0 |   0     0 |  9    6    0    9    2
Jun 05 20:33:41 ubuntu dstat.sh[88771]: 05-06 20:33:41| 50   7  42   1   0|1169M 1023M  202M 5343M|  52k 6157 |   0   363k|   0  8.98 |1705  2128 |1.64 1.22 0.77|3.0   0  80|   0     0 |   0     0 |  9    7    0    9    2
Jun 05 20:33:42 ubuntu dstat.sh[88771]: 05-06 20:33:42| 50   5  45   1   0|1223M  968M  202M 5344M|  91k 6946 |   0   585k|   0  9.02 |1441  1388 |1.64 1.22 0.77|4.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
Jun 05 20:33:43 ubuntu dstat.sh[88771]: 05-06 20:33:43| 39  12  47   1   0|1249M  939M  202M 5346M| 124k 8168 |   0  1040k|   0  8.96 |3112  7221 |1.64 1.22 0.77|2.0   0 140|   0     0 |   0     0 |  9    6    0   10    2
Jun 05 20:33:44 ubuntu dstat.sh[88771]: 05-06 20:33:44| 35   5  59   1   0|1313M  875M  202M 5347M| 109k 7174 |   0   388k|   0  6.01 |1744  4507 |1.64 1.22 0.77|1.0   0  34|   0     0 |   0     0 |  9    6    0   11    2
Jun 05 20:33:45 ubuntu dstat.sh[88771]: 05-06 20:33:45| 29   2  68   0   0|1337M  850M  202M 5347M| 226k 9296 |   0  3690k|   0  18.0 |1413  1444 |1.64 1.22 0.77|3.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Jun 05 20:33:46 ubuntu dstat.sh[88771]: 05-06 20:33:46| 33   3  63   1   0|1248M  939M  202M 5347M|  81k   66k|   0  1839k|   0   184 |2992  5062 |1.75 1.25 0.78|2.0   0 8.0|   0     0 |   0     0 |  9    6    0   12    2
Jun 05 20:33:47 ubuntu dstat.sh[88771]: 05-06 20:33:47| 29   5  63   2   0|1271M  916M  202M 5347M|  39k 4508 |4087B  587k|1.00  22.0 |1424  1730 |1.75 1.25 0.78|3.0 1.0  40|   0     0 |   0     0 |  9    6    0   12    2
Jun 05 20:33:48 ubuntu dstat.sh[88771]: 05-06 20:33:48| 29   3  65   1   0|1302M  884M  202M 5348M| 157k   81k|  52k 1236k|13.0  15.0 |1788  2421 |1.75 1.25 0.78|2.0   0 2.0|   0     0 |   0     0 |  9   18    0   12    2
Jun 05 20:33:49 ubuntu dstat.sh[88771]: 05-06 20:33:49| 36   7  47  10   0|1327M  853M  203M 5353M|  65k   48k| 217k 2727k|54.1   113 |2542  3704 |1.75 1.25 0.78|2.0   0 8.0|   0     0 |   0     0 |  9   32    0   12    2
Jun 05 20:33:50 ubuntu dstat.sh[88771]: 05-06 20:33:50| 43   7  49   1   0|1297M  883M  203M 5352M|  10k 1624 |   0    13M|   0   107 |1851  2239 |1.75 1.25 0.78|4.0   0  47|   0     0 |   0     0 |  9   32    0   12    2
Jun 05 20:33:51 ubuntu dstat.sh[88771]: 05-06 20:33:51| 36   9  49   6   0|1254M  906M  203M 5370M|  68k   61k|   0  1819k|   0  78.0 |2056  2751 |1.77 1.26 0.79|3.0   0  57|   0     0 |   0     0 |  9   32    0    9    2
Jun 05 20:33:52 ubuntu dstat.sh[88771]: 05-06 20:33:52| 59  11  26   4   0|1354M  798M  204M 5377M|8872  1512 |   0  1204k|   0  57.0 |1882  2157 |1.77 1.26 0.79|4.0   0 104|   0     0 |   0     0 |  9   32    0    9    2
Jun 05 20:33:53 ubuntu dstat.sh[88771]: 05-06 20:33:53| 57   8  29   5   0|1392M  747M  204M 5387M| 537k  528k|   0  3263k|   0   130 |4086  8745 |1.77 1.26 0.79|4.0   0 2.0|   0     0 |   0     0 |  9   38    0    9    2
Jun 05 20:33:54 ubuntu dstat.sh[88771]: 05-06 20:33:54| 68  18  13   2   0|1366M  750M  205M 5408M| 190k  181k|   0  2093k|   0  84.1 |3582  6465 |1.77 1.26 0.79|5.0   0 347|   0     0 |   0     0 |  9   36    0    9    2
Jun 05 20:33:55 ubuntu dstat.sh[88771]: 05-06 20:33:55| 83  15   1   0   0|1502M  607M  206M 5412M| 245k  236k|   0    12M|   0   489 |3320  5837 |1.77 1.26 0.79|7.0   0 185|   0     0 |   0     0 |  9   37    1    9    2
Jun 05 20:33:56 ubuntu dstat.sh[88771]: 05-06 20:33:56| 86  12   2   0   0|1492M  618M  206M 5413M| 676k  663k|   0  4808k|   0   280 |5502    12k|2.11 1.34 0.82|7.0   0  98|   0     0 |   0     0 |  9   37    0   10    2
Jun 05 20:33:57 ubuntu dstat.sh[88771]: 05-06 20:33:57| 65  13  20   0   0|1273M  856M  206M 5393M| 401k  394k|   0  1519k|   0  73.8 |3725  8208 |2.11 1.34 0.82|4.0   0 212|   0     0 |   0     0 |  9   35    0   11    0
Jun 05 20:33:58 ubuntu dstat.sh[88771]: 05-06 20:33:58| 41  10  48   0   0|1290M  839M  206M 5394M|  30k   21k|   0   361k|   0  21.1 |1898  2442 |2.11 1.34 0.82|4.0   0  69|   0     0 |   0     0 |  9   34    0   12    0
