-- Logs begin at Sun 2023-03-26 14:22:24 UTC, end at Mon 2023-03-27 03:42:29 UTC. --
Mar 27 03:03:05 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 27 03:03:05 ubuntu dstat.sh[84793]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 27 03:03:05 ubuntu dstat.sh[84793]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 27 03:03:05 ubuntu dstat.sh[84793]: 27-03 03:03:05|                   | 945M 1147M  198M 5328M|           |           |           |           |1.48 1.00 0.67|1.0   0    |           |   0     0 |  8    4    1    8    2
Mar 27 03:03:06 ubuntu dstat.sh[84793]: 27-03 03:03:06| 13  19  66   0   0| 946M 1146M  198M 5328M| 103k 8503 |   0    21M|   0  98.8 |2861  3981 |1.48 1.00 0.67|1.0   0 367|   0     0 |   0     0 |  8    4    0    8    2
Mar 27 03:03:07 ubuntu dstat.sh[84793]: 27-03 03:03:07| 23  20  56   0   0| 936M 1154M  198M 5330M| 166k 9363 |   0   800k|   0  58.9 |2978  4522 |1.52 1.02 0.67|1.0   0 345|   0     0 |   0     0 |  8    6    0    8    2
Mar 27 03:03:08 ubuntu dstat.sh[84793]: 27-03 03:03:08| 18  16  64   0   0| 935M 1155M  198M 5330M| 152k 9249 |   0   556k|   0  13.0 |3558  5666 |1.52 1.02 0.67|1.0   0 205|   0     0 |   0     0 |  8    6    0    8    2
Mar 27 03:03:09 ubuntu dstat.sh[84793]: 27-03 03:03:09| 33  16  50   0   0|1087M 1002M  198M 5453M| 232k   11k|   0   461k|   0  10.0 |4044  6347 |1.52 1.02 0.67|1.0   0  87|   0     0 |   0     0 |  9    6    0    8    2
Mar 27 03:03:10 ubuntu dstat.sh[84793]: 27-03 03:03:10| 22   8  68   0   0|1077M 1011M  198M 5453M| 325k   13k|   0   795k|   0  21.0 |2234  2953 |1.52 1.02 0.67|1.0   0 121|   0     0 |   0     0 |  9    8    0    8    2
Mar 27 03:03:11 ubuntu dstat.sh[84793]: 27-03 03:03:11| 19  10  70   0   0|1099M  987M  198M 5455M| 879k   24k|   0   632k|   0  25.0 |2394  3182 |1.52 1.02 0.67|1.0   0 171|   0     0 |   0     0 |  9    8    0    9    2
Mar 27 03:03:12 ubuntu dstat.sh[84793]: 27-03 03:03:12| 43   6  50   1   0|1128M  956M  198M 5456M| 236k   10k| 196k 3024k|14.0  24.0 |1547  1445 |1.64 1.05 0.69|2.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
Mar 27 03:03:13 ubuntu dstat.sh[84793]: 27-03 03:03:13| 50   5  44   1   0|1153M  931M  198M 5457M|  81k   14k|  12k 1221k|1.00  50.1 |1800  2180 |1.64 1.05 0.69|2.0 1.0 4.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 27 03:03:14 ubuntu dstat.sh[84793]: 27-03 03:03:14| 12   4  63  18   0|1164M  918M  198M 5458M|  63k   13k|   0  9701k|   0   771 |5803  9935 |1.64 1.05 0.69|2.0 1.0  10|   0     0 |   0     0 |  9    9    0    9    2
Mar 27 03:03:15 ubuntu dstat.sh[84793]: 27-03 03:03:15| 13   4  63  20   0|1174M  905M  198M 5461M| 119k   15k|   0  8381k|   0   659 |5453  9552 |1.64 1.05 0.69|2.0 1.0  15|   0     0 |   0     0 |  9    9    0    9    2
Mar 27 03:03:16 ubuntu dstat.sh[84793]: 27-03 03:03:16| 14   4  64  18   0|1176M  900M  199M 5463M| 117k   14k|   0  8153k|   0   684 |5798  9740 |1.64 1.05 0.69|  0 1.0  19|   0     0 |   0     0 |  9   10    0    9    2
Mar 27 03:03:17 ubuntu dstat.sh[84793]: 27-03 03:03:17|  9   4  64  20   0|1179M  894M  199M 5466M| 690k   26k|   0  7297k|   0   682 |6444    10k|1.75 1.08 0.70|3.0   0  17|   0     0 |   0     0 |  9   10    0    9    2
Mar 27 03:03:18 ubuntu dstat.sh[84793]: 27-03 03:03:18| 11   3  62  20   0|1183M  886M  199M 5469M|1183k   38k|   0  7488k|   0   628 |6423  9789 |1.75 1.08 0.70|2.0   0 5.0|   0     0 |   0     0 |  9   10    0    9    2
Mar 27 03:03:19 ubuntu dstat.sh[84793]: 27-03 03:03:19| 29  10  58   3   0|1112M  956M  199M 5471M| 898k   25k|   0  1883k|   0   153 |3766  8216 |1.75 1.08 0.70|1.0   0 120|   0     0 |   0     0 |  9    8    0    9    2
Mar 27 03:03:20 ubuntu dstat.sh[84793]: 27-03 03:03:20| 28   4  66   0   0|1111M  955M  200M 5472M| 704k   13k|   0  2040k|   0  33.0 |1580  1406 |1.75 1.08 0.70|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    4
Mar 27 03:03:21 ubuntu dstat.sh[84793]: 27-03 03:03:21| 28   2  67   3   0|1122M  944M  200M 5472M|  99k 7199 |   0    39M|   0   478 |2128  1575 |1.75 1.08 0.70|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Mar 27 03:03:22 ubuntu dstat.sh[84793]: 27-03 03:03:22| 28   6  63   2   0|1107M  957M  200M 5474M| 341k   12k|   0  7724k|   0   397 |2469  3302 |1.85 1.11 0.71|2.0   0  14|   0     0 |   0     0 |  9    6    0    9    2
Mar 27 03:03:23 ubuntu dstat.sh[84793]: 27-03 03:03:23| 33   3  61   1   0|1121M  941M  200M 5475M|  25k 3916 |   0  8299k|   0   401 |2129  3081 |1.85 1.11 0.71|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Mar 27 03:03:24 ubuntu dstat.sh[84793]: 27-03 03:03:24| 18  12  66   2   0|1036M 1025M  200M 5477M| 771k   22k|   0  7428k|   0   414 |3516  5554 |1.85 1.11 0.71|1.0   0 230|   0     0 |   0     0 |  9    6    0    9    2
Mar 27 03:03:25 ubuntu dstat.sh[84793]: 27-03 03:03:25| 22  26  51   1   0|1037M 1018M  200M 5481M| 171k 6246 |   0    10M|   0   396 |3676  6452 |1.85 1.11 0.71|2.0   0 387|   0     0 |   0     0 |  9    6    0    9    2
Mar 27 03:03:26 ubuntu dstat.sh[84793]: 27-03 03:03:26| 23  14  60   1   0|1039M 1016M  200M 5481M| 131k 9009 |   0  5682k|   0  96.0 |4651  7542 |1.85 1.11 0.71|2.0   0 136|   0     0 |   0     0 |  9    6    0    9    2
Mar 27 03:03:27 ubuntu dstat.sh[84793]: 27-03 03:03:27| 51  11  38   1   0|1173M  880M  200M 5483M| 639k   21k| 324k 1008k|4.00  16.0 |2825  3640 |2.02 1.16 0.73|2.0   0 142|   0     0 |   0     0 |  9    7    0    9    2
