-- Logs begin at Mon 2023-03-27 05:14:37 UTC, end at Mon 2023-03-27 06:43:45 UTC. --
Mar 27 06:03:50 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 27 06:03:50 ubuntu dstat.sh[73217]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 27 06:03:50 ubuntu dstat.sh[73217]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 27 06:03:50 ubuntu dstat.sh[73217]: 27-03 06:03:50|                   | 930M 1516M  170M 5014M|           |           |           |           |1.31 0.87 0.61|4.0   0    |           |   0     0 |  8    6    0    8    2
Mar 27 06:03:51 ubuntu dstat.sh[73217]: 27-03 06:03:51| 16  18  62   4   0| 931M 1514M  170M 5016M|1235k   36k|   0    11M|   0   172 |3785  4820 |1.31 0.87 0.61|4.0   0 399|   0     0 |   0     0 |  8    6    0    8    2
Mar 27 06:03:52 ubuntu dstat.sh[73217]: 27-03 06:03:52| 16  18  64   0   0| 918M 1521M  170M 5021M|2227k   33k|   0    28k|   0  89.7 |4330  5544 |1.31 0.87 0.61|2.0   0 345|   0     0 |   0     0 |  8    6    0    8    2
Mar 27 06:03:53 ubuntu dstat.sh[73217]: 27-03 06:03:53| 20  16  63   0   0| 919M 1518M  170M 5024M|1347k   19k|   0  4201k|   0  14.0 |3573  8152 |1.31 0.87 0.61|1.0   0 204|   0     0 |   0     0 |  8    6    0    8    2
Mar 27 06:03:54 ubuntu dstat.sh[73217]: 27-03 06:03:54| 33  15  52   0   0|1043M 1389M  170M 5150M|2214k   28k|   0  3627k|   0  8.00 |4684  7920 |1.45 0.91 0.63|2.0   0  75|   0     0 |   0     0 |  9    4    0    7    2
Mar 27 06:03:55 ubuntu dstat.sh[73217]: 27-03 06:03:55| 39   9  51   0   0|1073M 1359M  170M 5150M| 121k 8833 |   0   649k|   0  13.0 |1864  2264 |1.45 0.91 0.63|3.0   0  99|   0     0 |   0     0 |  9    6    0    7    2
Mar 27 06:03:56 ubuntu dstat.sh[73217]: 27-03 06:03:56| 26  13  60   1   0|1074M 1357M  170M 5151M| 262k   23k|   0    12M|   0   215 |2580  3314 |1.45 0.91 0.63|2.0   0 197|   0     0 |   0     0 |  9    7    0    9    2
Mar 27 06:03:57 ubuntu dstat.sh[73217]: 27-03 06:03:57| 25   3  72   1   0|1122M 1309M  170M 5151M| 163k   11k|  52k 1148k|5.00  21.0 |1352  1390 |1.45 0.91 0.63|2.0   0 1.0|   0     0 |   0     0 |  9    7    0    9    2
Mar 27 06:03:58 ubuntu dstat.sh[73217]: 27-03 06:03:58| 30   5  65   1   1|1132M 1297M  170M 5152M| 178k   10k| 144k 2153k|9.00  20.0 |1575  1684 |1.45 0.91 0.63|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 27 06:03:59 ubuntu dstat.sh[73217]: 27-03 06:03:59| 16   3  67  14   0|1153M 1274M  171M 5154M|  88k   21k|  12k 6791k|1.00   578 |4744  8010 |1.49 0.92 0.63|  0 1.0  10|   0     0 |   0     0 |  9   10    0    9    2
Mar 27 06:04:00 ubuntu dstat.sh[73217]: 27-03 06:04:00|  8   4  67  20   0|1159M 1265M  171M 5157M| 240k   16k|   0  7788k|   0   684 |5856  9825 |1.49 0.92 0.63|  0 1.0 4.0|   0     0 |   0     0 |  9   10    0    9    2
Mar 27 06:04:01 ubuntu dstat.sh[73217]: 27-03 06:04:01| 11   3  65  20   0|1162M 1258M  172M 5160M| 434k   18k|   0  7615k|   0   636 |5557  9634 |1.49 0.92 0.63|1.0 1.0  25|   0     0 |   0     0 |  9   10    0    9    2
Mar 27 06:04:02 ubuntu dstat.sh[73217]: 27-03 06:04:02| 10   4  66  17   0|1167M 1249M  172M 5163M| 866k   23k|   0  7614k|   0   760 |6383    11k|1.49 0.92 0.63|1.0 1.0  19|   0     0 |   0     0 |  9   10    0    9    2
Mar 27 06:04:03 ubuntu dstat.sh[73217]: 27-03 06:04:03| 32   6  46  16   1|1152M 1261M  172M 5165M|  47k   12k|   0  8380k|   0   701 |5840  9687 |1.49 0.92 0.63|5.0   0  14|   0     0 |   0     0 |  9    8    0    9    2
Mar 27 06:04:04 ubuntu dstat.sh[73217]: 27-03 06:04:04| 45   9  44   1   0|1099M 1315M  172M 5166M|  74k 8852 |   0  1126k|   0  50.9 |2081  2726 |1.70 0.98 0.65|2.0   0  80|   0     0 |   0     0 |  9    6    0    9    2
Mar 27 06:04:05 ubuntu dstat.sh[73217]: 27-03 06:04:05| 25   2  71   0   0|1145M 1268M  173M 5166M| 176k 8777 |   0  1380k|   0  24.0 |1314  1507 |1.70 0.98 0.65|4.0   0 1.0|   0     0 |   0     0 |  9    7    0    9    2
Mar 27 06:04:06 ubuntu dstat.sh[73217]: 27-03 06:04:06| 32   3  60   3   0|1163M 1250M  173M 5166M|  67k 7538 |   0  9694k|   0   420 |2462  3210 |1.70 0.98 0.65|2.0   0 2.0|   0     0 |   0     0 |  9    7    1    9    2
Mar 27 06:04:07 ubuntu dstat.sh[73217]: 27-03 06:04:07| 25   4  69   1   0|1121M 1291M  173M 5166M| 100k 8434 |   0  7610k|   0   393 |2392  3065 |1.70 0.98 0.65|1.0   0  12|   0     0 |   0     0 |  9    8    0    9    2
Mar 27 06:04:08 ubuntu dstat.sh[73217]: 27-03 06:04:08| 26   4  68   2   0|1163M 1249M  173M 5166M| 135k 9015 |   0  7850k|   0   412 |2424  3111 |1.70 0.98 0.65|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 27 06:04:09 ubuntu dstat.sh[73217]: 27-03 06:04:09| 26  14  57   2   0|1078M 1333M  173M 5168M| 876k   26k|   0  7548k|   0   386 |4294  7843 |1.72 0.99 0.66|1.0   0 251|   0     0 |   0     0 |  9    8    0   10    2
Mar 27 06:04:10 ubuntu dstat.sh[73217]: 27-03 06:04:10| 13  21  64   1   0|1080M 1328M  173M 5171M|1595k   31k|   0  3538k|   0   138 |4165  5549 |1.72 0.99 0.66|1.0   0 366|   0     0 |   0     0 |  9    8    0   10    2
Mar 27 06:04:11 ubuntu dstat.sh[73217]: 27-03 06:04:11| 29  15  53   3   0|1026M 1380M  173M 5172M| 426k   14k|   0    41M|   0   577 |5655  7428 |1.72 0.99 0.66|2.0   0 160|   0     0 |   0     0 |  9    6    0    9    2
Mar 27 06:04:12 ubuntu dstat.sh[73217]: 27-03 06:04:12| 46  14  38   1   0|1137M 1268M  173M 5173M| 501k   17k| 324k  907k|4.99  6.99 |3243  5212 |1.72 0.99 0.66|3.0   0 153|   0     0 |   0     0 |  9    7    0    9    2
