-- Logs begin at Mon 2023-04-03 17:44:12 UTC, end at Tue 2023-04-04 11:59:04 UTC. --
Apr 04 11:21:22 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 04 11:21:22 ubuntu dstat.sh[82795]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 04 11:21:22 ubuntu dstat.sh[82795]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 04 11:21:22 ubuntu dstat.sh[82795]: 04-04 11:21:22|                   | 944M 1149M  198M 5325M|           |           |           |           |0.75 0.51 0.44|2.0   0    |           |   0     0 |  8    5    0    8    2
Apr 04 11:21:23 ubuntu dstat.sh[82795]: 04-04 11:21:23| 16  20  63   0   0| 945M 1148M  198M 5326M| 333k   15k|   0   906k|   0  22.9 |2824  4447 |0.76 0.51 0.44|1.5   0 375|   0     0 |   0     0 |  8    5    0    8    2
Apr 04 11:21:24 ubuntu dstat.sh[82795]: 04-04 11:21:24| 11  21  67   0   0| 952M 1139M  198M 5327M| 296k   11k|   0   692k|   0  18.0 |2738  4143 |0.77 0.51 0.44|6.0   0 350|   0     0 |   0     0 |  8    6    0    8    2
Apr 04 11:21:25 ubuntu dstat.sh[82795]: 04-04 11:21:25| 26  18  54   0   1| 938M 1152M  198M 5328M| 770k   25k|   0    16k|   0  4.00 |4348  6579 |0.77 0.51 0.44|1.0   0 235|   0     0 |   0     0 |  8    6    0    8    2
Apr 04 11:21:26 ubuntu dstat.sh[82795]: 04-04 11:21:26| 18  11  69   0   0|1076M 1010M  198M 5454M|1889k   40k|   0     0 |   0     0 |5208  7269 |0.77 0.51 0.44|  0   0  73|   0     0 |   0     0 |  9    6    0    8    2
Apr 04 11:21:27 ubuntu dstat.sh[82795]: 04-04 11:21:27|  9   5  84   0   0|1081M 1000M  198M 5458M|2151k   37k|   0  3824k|   0  7.01 |2707  2675 |0.77 0.51 0.44|1.0   0  76|   0     0 |   0     0 |  9    8    0    7    2
Apr 04 11:21:28 ubuntu dstat.sh[82795]: 04-04 11:21:28| 41  12  47   1   0|1069M 1009M  198M 5461M|1863k   29k|   0  1380k|   0  16.0 |3092  2989 |0.87 0.54 0.45|2.0   0 144|   0     0 |   0     0 |  9    6    0    7    2
Apr 04 11:21:29 ubuntu dstat.sh[82795]: 04-04 11:21:29| 40  12  46   2   0|1122M  955M  198M 5463M| 463k   24k|  52k 3032k|5.00  36.0 |2163  2649 |0.87 0.54 0.45|1.0   0  75|   0     0 |   0     0 |  9    6    1    9    2
Apr 04 11:21:30 ubuntu dstat.sh[82795]: 04-04 11:21:30| 27   3  68   1   0|1145M  931M  198M 5464M| 204k   11k| 144k 1611k|8.99  16.0 |1428  1610 |0.87 0.54 0.45|1.0   0 1.0|   0     0 |   0     0 |  9    7    0    9    2
Apr 04 11:21:31 ubuntu dstat.sh[82795]: 04-04 11:21:31| 24   4  63   8   0|1166M  908M  198M 5465M| 246k   20k|  12k   16M|1.00   458 |2879  4386 |0.87 0.54 0.45|1.0 1.0 3.0|   0     0 |   0     0 |  9    9    1    9    2
