-- Logs begin at Fri 2023-03-31 04:45:45 UTC, end at Sat 2023-04-01 15:53:04 UTC. --
Apr 01 15:15:21 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 15:15:21 ubuntu dstat.sh[83365]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 01 15:15:21 ubuntu dstat.sh[83365]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 01 15:15:21 ubuntu dstat.sh[83365]: 01-04 15:15:21|                   | 947M 1134M  195M 5338M|           |           |           |           |1.50 0.91 0.61|2.0   0    |           |   0     0 |  8    6    0    8    2
Apr 01 15:15:22 ubuntu dstat.sh[83365]: 01-04 15:15:22| 33  20  44   1   0| 941M 1139M  195M 5338M| 115k 8373 |   0  1826k|   0  30.0 |2776  5055 |1.50 0.91 0.61|2.0   0 442|   0     0 |   0     0 |  8    5    0    8    2
Apr 01 15:15:23 ubuntu dstat.sh[83365]: 01-04 15:15:23| 34  21  43   1   0| 929M 1150M  195M 5340M| 259k   11k|   0    22M|   0   143 |3006  4710 |1.50 0.91 0.61|1.0   0 377|   0     0 |   0     0 |  8    4    1    8    2
Apr 01 15:15:24 ubuntu dstat.sh[83365]: 01-04 15:15:24| 18  15  65   1   1| 930M 1149M  195M 5340M| 164k 9648 |   0  1289k|   0  14.0 |3154  4790 |1.50 0.91 0.61|1.0   0 205|   0     0 |   0     0 |  8    5    0    8    2
Apr 01 15:15:25 ubuntu dstat.sh[83365]: 01-04 15:15:25| 23  11  64   1   0|1073M 1005M  196M 5462M| 180k   11k|   0   779k|   0  12.0 |3518  7556 |1.46 0.91 0.61|  0   0  72|   0     0 |   0     0 |  9    5    1    8    2
Apr 01 15:15:26 ubuntu dstat.sh[83365]: 01-04 15:15:26| 19   8  71   1   0|1078M  999M  196M 5463M|  74k 8272 |   0   468k|   0  16.0 |1888  2278 |1.46 0.91 0.61|1.0   0 112|   0     0 |   0     0 |  9    8    0    7    2
Apr 01 15:15:27 ubuntu dstat.sh[83365]: 01-04 15:15:27| 18  12  69   1   0|1091M  986M  196M 5463M| 210k   22k|   0   716k|   0  27.0 |2449  3186 |1.46 0.91 0.61|1.0   0 179|   0     0 |   0     0 |  9    8    0    9    2
Apr 01 15:15:28 ubuntu dstat.sh[83365]: 01-04 15:15:28| 26   3  69   2   0|1145M  931M  196M 5464M| 231k 8693 | 196k 1398k|14.0  21.0 |1377  1361 |1.46 0.91 0.61|1.0   0   0|   0     0 |   0     0 |  9    8    0    9    2
Apr 01 15:15:29 ubuntu dstat.sh[83365]: 01-04 15:15:29| 28   3  69   1   0|1146M  928M  196M 5466M| 486k   11k|   0  1031k|   0  17.0 |1580  1546 |1.46 0.91 0.61|1.0   0   0|   0     0 |   0     0 |  9    8    0    9    2
Apr 01 15:15:30 ubuntu dstat.sh[83365]: 01-04 15:15:30| 22   6  55  17   0|1138M  933M  196M 5468M| 566k   23k|  12k 9910k|1.00   663 |4990  8217 |1.75 0.98 0.63|2.0   0  11|   0     0 |   0     0 |  9    8    0    9    2
