-- Logs begin at Wed 2023-03-29 05:40:05 UTC, end at Wed 2023-03-29 16:30:48 UTC. --
Mar 29 15:52:51 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 29 15:52:51 ubuntu dstat.sh[91567]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 29 15:52:51 ubuntu dstat.sh[91567]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 29 15:52:51 ubuntu dstat.sh[91567]: 29-03 15:52:51|                   | 943M 1162M  197M 5316M|           |           |           |           |1.08 0.59 0.47|3.0   0    |           |   0     0 |  8    6    0    8    2
Mar 29 15:52:52 ubuntu dstat.sh[91567]: 29-03 15:52:52| 11  18  68   0   0| 944M 1159M  197M 5318M|2741k   39k|   0   563k|   0  14.0 |4031  4743 |1.08 0.59 0.47|2.5   0 345|   0     0 |   0     0 |  8    6    0    8    2
Mar 29 15:52:53 ubuntu dstat.sh[91567]: 29-03 15:52:53| 32  20  47   0   0| 924M 1174M  197M 5323M|1054k   17k|   0  5135k|   0  17.0 |3572  4456 |1.08 0.59 0.47|7.0   0 348|   0     0 |   0     0 |  8    4    0    8    2
Mar 29 15:52:54 ubuntu dstat.sh[91567]: 29-03 15:52:54| 41  19  40   0   0| 928M 1167M  197M 5327M|1882k   33k|   0  2021k|   0  12.0 |4800  6004 |1.08 0.59 0.47|4.0   0 213|   0     0 |   0     0 |  8    4    0    8    2
Mar 29 15:52:55 ubuntu dstat.sh[91567]: 29-03 15:52:55| 27  17  54   0   0|1071M 1023M  197M 5449M| 143k 8851 |   0   495k|   0  8.98 |3438    12k|1.08 0.59 0.47|3.0   0 105|   0     0 |   0     0 |  9    5    0    8    2
Mar 29 15:52:56 ubuntu dstat.sh[91567]: 29-03 15:52:56| 21   9  68   2   1|1082M 1011M  197M 5450M| 230k   11k|   0  6868k|   0  54.1 |2058  2636 |0.99 0.58 0.47|2.0 1.0 112|   0     0 |   0     0 |  9    7    0    7    2
Mar 29 15:52:57 ubuntu dstat.sh[91567]: 29-03 15:52:57| 22  11  64   1   0|1093M  999M  197M 5450M| 191k   23k|   0  4581k|   0  39.0 |2245  3297 |0.99 0.58 0.47|1.0   0 182|   0     0 |   0     0 |  9    8    0    9    2
Mar 29 15:52:58 ubuntu dstat.sh[91567]: 29-03 15:52:58| 26   3  69   3   0|1142M  950M  197M 5451M| 165k 9536 | 196k 1332k|14.0  21.0 |1230  1403 |0.99 0.58 0.47|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 29 15:52:59 ubuntu dstat.sh[91567]: 29-03 15:52:59| 27   3  69   1   0|1144M  946M  197M 5452M| 263k   11k|   0  1228k|   0  17.0 |1441  1640 |0.99 0.58 0.47|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 29 15:53:00 ubuntu dstat.sh[91567]: 29-03 15:53:00| 14   4  67  14   0|1164M  924M  198M 5454M| 344k   22k|  12k 7300k|1.00   566 |4387  7953 |0.99 0.58 0.47|  0 1.0  10|   0     0 |   0     0 |  9   10    0    9    2
Mar 29 15:53:01 ubuntu dstat.sh[91567]: 29-03 15:53:01|  9   2  64  21   0|1165M  919M  198M 5457M| 749k   17k|   0  7602k|   0   659 |5351  9290 |1.07 0.61 0.48|2.0 1.0 1.0|   0     0 |   0     0 |  9   10    0    9    2
Mar 29 15:53:02 ubuntu dstat.sh[91567]: 29-03 15:53:02| 21   4  54  19   0|1150M  931M  198M 5460M| 280k   14k|   0  8781k|   0   629 |4637  9161 |1.07 0.61 0.48|1.0 1.0  19|   0     0 |   0     0 |  9    8    0    9    2
Mar 29 15:53:03 ubuntu dstat.sh[91567]: 29-03 15:53:03| 31   4  46  18   0|1167M  912M  199M 5462M|  47k   11k|   0  5886k|   0   586 |5245  8738 |1.07 0.61 0.48|1.0 1.0  25|   0     0 |   0     0 |  9    8    0    9    2
Mar 29 15:53:04 ubuntu dstat.sh[91567]: 29-03 15:53:04| 22   6  54  16   0|1175M  901M  199M 5464M| 228k   17k|   0  7402k|   0   645 |5559  9323 |1.07 0.61 0.48|  0 1.0 9.0|   0     0 |   0     0 |  9    9    0    9    2
Mar 29 15:53:05 ubuntu dstat.sh[91567]: 29-03 15:53:05| 20   2  65  12   0|1108M  967M  199M 5465M|  98k   14k|   0  3098k|   0   326 |3575  6015 |1.07 0.61 0.48|1.0   0  12|   0     0 |   0     0 |  9    7    0    9    2
Mar 29 15:53:06 ubuntu dstat.sh[91567]: 29-03 15:53:06| 28   7  64   1   0|1134M  941M  199M 5465M|  86k 7447 |   0   944k|   0  31.0 |1681  2043 |1.15 0.63 0.49|1.0   0  79|   0     0 |   0     0 |  9    8    0    9    2
Mar 29 15:53:07 ubuntu dstat.sh[91567]: 29-03 15:53:07| 27   3  68   1   0|1174M  900M  199M 5465M| 108k 9198 |   0    35M|   0   308 |1821  1396 |1.15 0.63 0.49|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 29 15:53:08 ubuntu dstat.sh[91567]: 29-03 15:53:08| 26   3  68   2   0|1118M  955M  199M 5466M| 704k   19k|   0  7344k|   0   413 |2925  3564 |1.15 0.63 0.49|1.0   0  12|   0     0 |   0     0 |  9    8    0    9    2
Mar 29 15:53:09 ubuntu dstat.sh[91567]: 29-03 15:53:09| 26   4  67   2   0|1161M  911M  199M 5468M| 913k   23k|   0  8179k|   0   394 |2956  3512 |1.15 0.63 0.49|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 29 15:53:10 ubuntu dstat.sh[91567]: 29-03 15:53:10| 38   4  55   2   0|1182M  888M  199M 5470M|1165k   25k|   0  7987k|   0   403 |3471  6922 |1.15 0.63 0.49|1.0   0  34|   0     0 |   0     0 |  9    8    0    9    2
