-- Logs begin at Wed 2023-03-29 16:32:38 UTC, end at Thu 2023-03-30 07:55:44 UTC. --
Mar 30 07:17:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 30 07:17:38 ubuntu dstat.sh[82708]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 30 07:17:38 ubuntu dstat.sh[82708]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 30 07:17:38 ubuntu dstat.sh[82708]: 30-03 07:17:38|                   | 955M 1133M  197M 5331M|           |           |           |           |1.27 0.92 0.66|5.0   0    |           |   0     0 |  8    4    0    9    2
Mar 30 07:17:39 ubuntu dstat.sh[82708]: 30-03 07:17:39| 18  18  61   1   0| 956M 1132M  197M 5331M| 122k 8602 |   0    12M|   0  92.8 |2785  4330 |1.27 0.92 0.66|3.0   0 404|   0     0 |   0     0 |  8    4    0    9    2
Mar 30 07:17:40 ubuntu dstat.sh[82708]: 30-03 07:17:40| 17  20  62   1   0| 943M 1145M  197M 5332M| 184k   11k|   0   768k|   0  55.9 |3167  4926 |1.27 0.92 0.66|2.0   0 362|   0     0 |   0     0 |  8    5    0    9    2
Mar 30 07:17:41 ubuntu dstat.sh[82708]: 30-03 07:17:41| 25  17  56   0   0| 943M 1144M  197M 5332M| 153k 7993 |   0   540k|   0  12.0 |2793  3684 |1.27 0.92 0.66|1.0 1.0 205|   0     0 |   0     0 |  8    6    0    9    2
Mar 30 07:17:42 ubuntu dstat.sh[82708]: 30-03 07:17:42| 22  13  63   0   0|1085M 1001M  197M 5455M|  69k 7741 |   0   312k|   0  6.99 |3126  5763 |1.24 0.92 0.66|  0   0  72|   0     0 |   0     0 |  9    6    0    8    2
Mar 30 07:17:43 ubuntu dstat.sh[82708]: 30-03 07:17:43|  9   6  83   1   0|1087M  999M  197M 5456M| 227k 8748 |   0   480k|   0  10.0 |1531  2031 |1.24 0.92 0.66|1.0   0  83|   0     0 |   0     0 |  9    8    0    8    2
Mar 30 07:17:44 ubuntu dstat.sh[82708]: 30-03 07:17:44| 19  12  69   1   0|1088M  996M  197M 5456M| 456k   15k|   0  9748k|   0  37.0 |2301  2762 |1.24 0.92 0.66|1.0   0 171|   0     0 |   0     0 |  9   10    0    8    2
Mar 30 07:17:45 ubuntu dstat.sh[82708]: 30-03 07:17:45| 23   6  69   2   0|1118M  965M  197M 5458M| 872k   24k|  52k 1123k|5.00  36.0 |1997  2125 |1.24 0.92 0.66|1.0   0  36|   0     0 |   0     0 |  9    8    0   10    2
Mar 30 07:17:46 ubuntu dstat.sh[82708]: 30-03 07:17:46| 48   8  42   1   0|1136M  945M  198M 5459M|  73k 7563 | 144k 2623k|9.01  21.0 |2123  4652 |1.24 0.92 0.66|2.0   0  36|   0     0 |   0     0 |  9    6    0   10    2
Mar 30 07:17:47 ubuntu dstat.sh[82708]: 30-03 07:17:47| 41   5  40  12   0|1172M  908M  198M 5460M| 212k   20k|  12k 4732k|1.00   379 |3812  5815 |1.31 0.94 0.67|1.0 1.0  14|   0     0 |   0     0 |  9    8    0   10    2
