-- Logs begin at Sat 2023-04-01 15:55:32 UTC, end at Sun 2023-04-02 08:49:16 UTC. --
Apr 02 08:36:17 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 02 08:36:17 ubuntu dstat.sh[90032]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 02 08:36:17 ubuntu dstat.sh[90032]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 02 08:36:17 ubuntu dstat.sh[90032]: 02-04 08:36:17|                   | 944M 1152M  195M 5324M|           |           |           |           |0.70 0.40 0.32|3.0   0    |           |   0     0 |  8    6    0    8    0
Apr 02 08:36:18 ubuntu dstat.sh[90032]: 02-04 08:36:18| 32  21  46   0   0| 948M 1147M  195M 5325M| 296k   10k|   0   484k|   0  21.0 |2850  4915 |0.79 0.42 0.33|2.0   0 472|   0     0 |   0     0 |  8    6    0    8    0
Apr 02 08:36:19 ubuntu dstat.sh[90032]: 02-04 08:36:19| 16  17  65   0   0| 937M 1158M  195M 5325M| 672k   11k|   0   208k|   0  15.0 |3226  5625 |0.88 0.45 0.34|2.0   0 365|   0     0 |   0     0 |  8    7    0    8    1
Apr 02 08:36:20 ubuntu dstat.sh[90032]: 02-04 08:36:20| 40  18  41   0   0| 914M 1180M  195M 5326M|  69k 4690 |   0   176k|   0  7.99 |2263  6115 |0.88 0.45 0.34|3.0   0 211|   0     0 |   0     0 |  8    5    0    7    1
Apr 02 08:36:21 ubuntu dstat.sh[90032]: 02-04 08:36:21| 34  11  55   0   0|1067M 1026M  195M 5448M|  97k 4108 |   0   272k|   0  3.00 |2284  4889 |0.88 0.45 0.34|1.0   0  69|   0     0 |   0     0 |  9    4    0    7    2
Apr 02 08:36:22 ubuntu dstat.sh[90032]: 02-04 08:36:22| 15   6  76   1   0|1073M 1019M  195M 5449M| 208k   10k|   0   464k|   0  8.00 |1674  2233 |0.88 0.45 0.34|2.0   0  90|   0     0 |   0     0 |  9    7    0    7    2
Apr 02 08:36:23 ubuntu dstat.sh[90032]: 02-04 08:36:23| 22  10  66   1   0|1071M 1021M  195M 5449M| 276k   26k|   0   889k|   0  31.0 |2290  3367 |0.89 0.45 0.34|2.0   0 194|   0     0 |   0     0 |  9    7    0    9    2
Apr 02 08:36:24 ubuntu dstat.sh[90032]: 02-04 08:36:24| 33   4  60   2   0|1125M  967M  195M 5450M| 228k 7272 |  52k  860k|5.00  15.0 |1373  1533 |0.89 0.45 0.34|2.0   0 8.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:36:25 ubuntu dstat.sh[90032]: 02-04 08:36:25| 20   4  70   4   0|1130M  960M  195M 5451M| 642k   20k| 144k  705k|9.01  8.01 |1726  2068 |0.89 0.45 0.34|2.0   0 3.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:36:26 ubuntu dstat.sh[90032]: 02-04 08:36:26| 23   4  71   2   0|1155M  933M  196M 5454M|1144k   31k|  12k 1204k|1.00  54.0 |2404  2654 |0.89 0.45 0.34|2.0   0 1.0|   0     0 |   0     0 |  9   10    0    9    2
Apr 02 08:36:27 ubuntu dstat.sh[90032]: 02-04 08:36:27|  6   2  64  24   0|1164M  919M  196M 5458M|1677k   33k|   0    11M|   0   791 |6176  9784 |0.89 0.45 0.34|  0 1.0 9.0|   0     0 |   0     0 |  9   10    0    9    2
Apr 02 08:36:28 ubuntu dstat.sh[90032]: 02-04 08:36:28| 14   4  62  20   0|1143M  934M  196M 5462M|1599k   25k|   0    10M|   0   471 |5074  8060 |0.98 0.48 0.35|2.0 1.0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:36:29 ubuntu dstat.sh[90032]: 02-04 08:36:29| 27   5  45  20   0|1163M  911M  196M 5466M| 698k   22k|   0  5424k|   0   430 |4777  7543 |0.98 0.48 0.35|2.0 1.0  20|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:36:30 ubuntu dstat.sh[90032]: 02-04 08:36:30| 27   5  54  14   0|1173M  896M  197M 5470M|1315k   31k|   0  8491k|   0   624 |6245  9474 |0.98 0.48 0.35|2.0 1.0  19|   0     0 |   0     0 |  9    8    1    9    2
Apr 02 08:36:31 ubuntu dstat.sh[90032]: 02-04 08:36:31| 15   5  60  20   0|1176M  891M  197M 5471M| 123k   14k|   0  5218k|   0   491 |5326    12k|0.98 0.48 0.35|  0 1.0  48|   0     0 |   0     0 |  9    9    0   10    2
Apr 02 08:36:32 ubuntu dstat.sh[90032]: 02-04 08:36:32| 14   4  56  26   0|1179M  887M  197M 5473M| 252k   15k|   0    21M|   0   834 |4778  6622 |0.98 0.48 0.35|  0 2.0 2.0|   0     0 |   0     0 |  9    9    1    9    2
Apr 02 08:36:33 ubuntu dstat.sh[90032]: 02-04 08:36:33| 15   2  67  15   0|1181M  884M  197M 5474M| 165k   15k|   0  3813k|   0   391 |4077  7042 |0.98 0.49 0.36|1.0   0  13|   0     0 |   0     0 |  9   10    0    9    2
Apr 02 08:36:34 ubuntu dstat.sh[90032]: 02-04 08:36:34| 24   6  69   1   0|1128M  936M  198M 5474M| 215k   11k|   0   828k|   0  25.0 |1697  2072 |0.98 0.49 0.36|1.0   0  77|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:36:35 ubuntu dstat.sh[90032]: 02-04 08:36:35| 27   3  70   0   0|1176M  887M  198M 5475M| 205k 8385 |   0   857k|   0  24.0 |1246  1398 |0.98 0.49 0.36|1.0   0 2.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:36:36 ubuntu dstat.sh[90032]: 02-04 08:36:36| 26   3  68   1   0|1116M  946M  198M 5476M| 522k   12k|   0  7518k|   0   400 |2649  3143 |0.98 0.49 0.36|2.0   0  12|   0     0 |   0     0 |  9    8    0    9    2
Apr 02 08:36:37 ubuntu dstat.sh[90032]: 02-04 08:36:37| 31   4  62   4   0|1137M  924M  198M 5477M| 621k   10k|   0  8967k|   0   428 |2710  3171 |0.98 0.49 0.36|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    4
Apr 02 08:36:38 ubuntu dstat.sh[90032]: 02-04 08:36:38| 47   6  43   4   0|1085M  975M  198M 5477M|  77k 6797 |   0  7586k|   0   399 |2803  3507 |1.06 0.52 0.37|5.0   0  66|   0     0 |   0     0 |  9    6    0    9    2
Apr 02 08:36:39 ubuntu dstat.sh[90032]: 02-04 08:36:39| 29  21  46   3   0|1089M  970M  198M 5478M|  69k 5482 |   0  7853k|   0   399 |4013  6410 |1.06 0.52 0.37|1.0 1.0 422|   0     0 |   0     0 |  9    6    1    9    2
Apr 02 08:36:40 ubuntu dstat.sh[90032]: 02-04 08:36:40| 24  17  58   1   0|1092M  968M  198M 5478M|  45k 6189 |   0  1169k|   0  56.9 |3692  5618 |1.06 0.52 0.37|3.0   0 221|   0     0 |   0     0 |  9    7    0    9    2
Apr 02 08:36:41 ubuntu dstat.sh[90032]: 02-04 08:36:41| 42  14  42   1   0|1167M  892M  198M 5479M| 141k   10k| 325k  930k|4.01  22.0 |2826  6677 |1.06 0.52 0.37|2.0   0 185|   0     0 |   0     0 |  9    9    0    9    2
Apr 02 08:36:42 ubuntu dstat.sh[90032]: 02-04 08:36:42| 49   4  46   0   0|1258M  799M  198M 5480M|  65k 7275 |  20k  420k|4.00  9.00 |1588  1723 |1.06 0.52 0.37|2.0   0   0|   0     0 |   0     0 |  9    9    0    9    2
