-- Logs begin at Mon 2023-04-10 03:59:20 UTC, end at Mon 2023-04-10 15:23:15 UTC. --
Apr 10 14:36:41 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 10 14:36:41 ubuntu dstat.sh[91063]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 10 14:36:41 ubuntu dstat.sh[91063]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 10 14:36:41 ubuntu dstat.sh[91063]: 10-04 14:36:41|                   | 895M 1188M  196M 5340M|           |           |           |           |1.73 1.13 0.72|1.0   0    |           |   0     0 |  8    4    0    8    2
Apr 10 14:36:42 ubuntu dstat.sh[91063]: 10-04 14:36:42| 14  17  66   1   0| 896M 1187M  196M 5340M| 258k 8884 |   0    17M|   0   339 |3074  4525 |1.73 1.13 0.72|2.0   0 390|   0     0 |   0     0 |  8    4    0    8    2
Apr 10 14:36:43 ubuntu dstat.sh[91063]: 10-04 14:36:43| 16  18  64   1   0| 879M 1202M  196M 5341M| 223k 7308 |   0   828k|   0   178 |3322  5126 |1.73 1.13 0.72|2.0   0 343|   0     0 |   0     0 |  8    4    0    8    2
Apr 10 14:36:44 ubuntu dstat.sh[91063]: 10-04 14:36:44| 18  15  64   0   0| 879M 1202M  196M 5342M|  89k 7305 |   0   864k|   0  13.0 |2417  5376 |1.67 1.13 0.72|1.0   0 204|   0     0 |   0     0 |  8    4    0    8    2
Apr 10 14:36:45 ubuntu dstat.sh[91063]: 10-04 14:36:45| 19  14  66   0   0|1017M 1063M  196M 5465M| 162k 7095 |   0  1112k|   0  10.0 |2703  8144 |1.67 1.13 0.72|1.0   0 102|   0     0 |   0     0 |  9    6    0    8    2
Apr 10 14:36:46 ubuntu dstat.sh[91063]: 10-04 14:36:46| 21   7  71   1   0|1020M 1060M  196M 5465M| 147k 6138 |   0   641k|   0  17.0 |1620  1875 |1.67 1.13 0.72|1.0   0  84|   0     0 |   0     0 |  9    6    0    8    2
Apr 10 14:36:47 ubuntu dstat.sh[91063]: 10-04 14:36:47| 20  10  69   1   1|1037M 1042M  197M 5465M|  58k   17k|   0  5437k|   0  42.0 |2103  3087 |1.67 1.13 0.72|1.0   0 171|   0     0 |   0     0 |  9    6    0    9    2
Apr 10 14:36:48 ubuntu dstat.sh[91063]: 10-04 14:36:48| 25   4  72   1   0|1081M  997M  197M 5465M|  76k 7269 |  92k 1592k|7.00  25.0 |1072  1279 |1.67 1.13 0.72|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Apr 10 14:36:49 ubuntu dstat.sh[91063]: 10-04 14:36:49| 26   4  69   0   0|1091M  986M  197M 5467M|  67k 6666 | 104k 1355k|7.00  17.0 |1283  1541 |1.62 1.13 0.72|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Apr 10 14:36:50 ubuntu dstat.sh[91063]: 10-04 14:36:50| 17   4  66  12   0|1112M  964M  197M 5468M|  54k   16k|  12k 4398k|1.00   421 |3600  6876 |1.62 1.13 0.72|  0 2.0  10|   0     0 |   0     0 |  9    8    0    9    2
