-- Logs begin at Tue 2023-04-11 16:30:43 UTC, end at Wed 2023-04-12 12:51:38 UTC. --
Apr 12 12:29:17 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 12 12:29:17 ubuntu dstat.sh[84080]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 12 12:29:17 ubuntu dstat.sh[84080]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 12 12:29:17 ubuntu dstat.sh[84080]: 12-04 12:29:17|                   | 892M 1168M  196M 5357M|           |           |           |           |0.97 1.01 0.69|1.0   0    |           |   0     0 |  8    4    0    9    2
Apr 12 12:29:18 ubuntu dstat.sh[84080]: 12-04 12:29:18| 11  20  67   0   0| 892M 1167M  196M 5358M|  86k 7434 |   0    21M|   0   132 |2854  4366 |0.97 1.01 0.69|1.0   0 374|   0     0 |   0     0 |  8    4    0    9    2
Apr 12 12:29:19 ubuntu dstat.sh[84080]: 12-04 12:29:19| 14  19  65   0   0| 893M 1164M  196M 5359M| 164k 8183 |   0   572k|   0  73.9 |2726  4138 |0.97 1.01 0.69|2.0   0 348|   0     0 |   0     0 |  8    4    0    9    2
Apr 12 12:29:20 ubuntu dstat.sh[84080]: 12-04 12:29:20| 19  20  60   0   0| 880M 1177M  196M 5359M| 153k 7385 |   0   588k|   0  13.0 |4203  6858 |0.97 1.01 0.69|3.0   0 236|   0     0 |   0     0 |  8    4    0    9    2
Apr 12 12:29:21 ubuntu dstat.sh[84080]: 12-04 12:29:21| 20  13  65   1   0|1019M 1038M  197M 5482M|  44k 5547 |   0   436k|   0  9.00 |3808  7683 |1.21 1.06 0.70|  0   0  75|   0     0 |   0     0 |  9    4    0    8    2
Apr 12 12:29:22 ubuntu dstat.sh[84080]: 12-04 12:29:22| 14   7  77   1   0|1023M 1033M  197M 5482M|  67k 7218 |   0   424k|   0  14.0 |1732  2280 |1.21 1.06 0.70|1.0   0  99|   0     0 |   0     0 |  9    6    0    8    2
Apr 12 12:29:23 ubuntu dstat.sh[84080]: 12-04 12:29:23| 18  13  68   0   0|1028M 1027M  197M 5482M|  82k   19k|   0   571k|   0  28.0 |2259  3239 |1.21 1.06 0.70|1.0   0 187|   0     0 |   0     0 |  9    6    0   10    2
Apr 12 12:29:24 ubuntu dstat.sh[84080]: 12-04 12:29:24| 29   3  66   2   0|1074M  982M  197M 5482M|  36k 4457 |  52k  844k|5.00  18.0 |1237  1367 |1.21 1.06 0.70|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Apr 12 12:29:25 ubuntu dstat.sh[84080]: 12-04 12:29:25| 25   4  69   1   0|1090M  964M  197M 5483M|  98k 7198 | 144k 1529k|9.01  17.0 |1422  1705 |1.21 1.06 0.70|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 12 12:29:26 ubuntu dstat.sh[84080]: 12-04 12:29:26| 16   3  66  13   0|1109M  943M  197M 5484M|  88k   17k|  12k 6285k|1.00   462 |3624  6498 |1.44 1.10 0.72|5.0   0  10|   0     0 |   0     0 |  9    8    0   10    2
