-- Logs begin at Thu 2023-04-13 22:09:21 UTC, end at Fri 2023-04-14 00:47:42 UTC. --
Apr 14 00:35:03 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 14 00:35:03 ubuntu dstat.sh[88549]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 14 00:35:03 ubuntu dstat.sh[88549]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 14 00:35:03 ubuntu dstat.sh[88549]: 14-04 00:35:03|                   | 936M 1482M  176M 5030M|           |           |           |           |1.34 0.63 0.44|2.0   0    |           |   0     0 |  8    6    0    8    2
Apr 14 00:35:04 ubuntu dstat.sh[88549]: 14-04 00:35:04| 13  19  66   1   1| 936M 1480M  176M 5031M|1159k   29k|   0  1657k|   0   173 |3679  4769 |1.44 0.66 0.44|2.0   0 353|   0     0 |   0     0 |  8    6    0    8    2
Apr 14 00:35:05 ubuntu dstat.sh[88549]: 14-04 00:35:05| 11  21  67   0   0| 938M 1473M  176M 5037M|2168k   34k|   0   862k|   0   155 |3974  4685 |1.55 0.68 0.45|2.0 1.0 342|   0     0 |   0     0 |  8    6    0    7    2
Apr 14 00:35:06 ubuntu dstat.sh[88549]: 14-04 00:35:06| 21  19  58   1   0| 867M 1540M  176M 5040M|1666k   23k|   0  5066k|   0  29.9 |4301  5813 |1.55 0.68 0.45|2.0   0 215|   0     0 |   0     0 |  8    4    0    7    2
Apr 14 00:35:07 ubuntu dstat.sh[88549]: 14-04 00:35:07| 23  14  60   0   0| 868M 1537M  176M 5043M|1493k   24k|   0   160k|   0  3.00 |4287  8114 |1.55 0.68 0.45|2.0   0  74|   0     0 |   0     0 |  8    4    0    7    2
Apr 14 00:35:08 ubuntu dstat.sh[88549]: 14-04 00:35:08| 20  12  68   1   1|1012M 1391M  176M 5166M| 598k   14k|   0  2320k|   0  14.0 |2972  3909 |1.55 0.68 0.45|2.0   0 125|   0     0 |   0     0 |  9    6    0    7    2
Apr 14 00:35:09 ubuntu dstat.sh[88549]: 14-04 00:35:09| 24  15  60   1   0|1017M 1386M  176M 5166M| 224k   22k|   0    14M|   0   266 |3516  6635 |1.51 0.69 0.46|2.0   0 225|   0     0 |   0     0 |  9    6    0    9    2
Apr 14 00:35:10 ubuntu dstat.sh[88549]: 14-04 00:35:10| 23   4  72   1   0|1068M 1334M  176M 5167M| 219k 8621 |  52k 1697k|4.99  23.0 |1202  1372 |1.51 0.69 0.46|2.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 14 00:35:11 ubuntu dstat.sh[88549]: 14-04 00:35:11| 25   3  69   1   0|1086M 1315M  176M 5168M|  89k 7440 | 144k 1440k|9.00  16.0 |1339  1588 |1.51 0.69 0.46|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Apr 14 00:35:12 ubuntu dstat.sh[88549]: 14-04 00:35:12| 21   3  67   9   0|1103M 1296M  176M 5169M| 170k   19k|  12k 3536k|1.00   296 |3073  5151 |1.51 0.69 0.46|2.0 1.0 8.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 14 00:35:13 ubuntu dstat.sh[88549]: 14-04 00:35:13|  8   3  62  26   0|1104M 1293M  177M 5171M| 154k   13k|   0    13M|   0  1009 |5448    11k|1.51 0.69 0.46|2.0 1.0 4.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 14 00:35:14 ubuntu dstat.sh[88549]: 14-04 00:35:14| 10   4  65  19   0|1111M 1282M  177M 5174M|  47k   11k|   0  7412k|   0   634 |5214  9476 |1.55 0.71 0.47|4.0   0  20|   0     0 |   0     0 |  9    8    0    9    2
Apr 14 00:35:15 ubuntu dstat.sh[88549]: 14-04 00:35:15|  9   3  65  21   1|1114M 1277M  177M 5176M|  76k   13k|   0  6251k|   0   610 |5346  9193 |1.55 0.71 0.47|1.0 1.0  18|   0     0 |   0     0 |  9    8    0    9    2
