-- Logs begin at Wed 2023-04-19 07:37:17 UTC, end at Wed 2023-04-19 11:19:27 UTC. --
Apr 19 10:41:18 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 19 10:41:18 ubuntu dstat.sh[79743]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 19 10:41:18 ubuntu dstat.sh[79743]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 19 10:41:18 ubuntu dstat.sh[79743]: 19-04 10:41:18|                   | 934M 1473M  173M 5049M|           |           |           |           |1.19 1.00 0.70|2.0   0    |           |   0     0 |  8    6    0    9    2
Apr 19 10:41:19 ubuntu dstat.sh[79743]: 19-04 10:41:19| 14  19  65   1   0| 907M 1499M  173M 5049M| 293k   12k|   0  2009k|   0  29.9 |2717  4206 |1.19 1.00 0.70|2.5   0 347|   0     0 |   0     0 |  8    5    0    9    2
Apr 19 10:41:20 ubuntu dstat.sh[79743]: 19-04 10:41:20| 13  18  66   0   0| 879M 1526M  173M 5050M| 200k   11k|   0   528k|   0  23.0 |2786  4190 |1.19 1.00 0.70|8.0   0 333|   0     0 |   0     0 |  8    4    0    9    2
Apr 19 10:41:21 ubuntu dstat.sh[79743]: 19-04 10:41:21| 18  21  59   1   0| 865M 1540M  173M 5050M| 130k 8868 |   0    21M|   0  91.0 |3082  6893 |1.19 1.00 0.70|6.0   0 233|   0     0 |   0     0 |  8    4    0    8    2
Apr 19 10:41:22 ubuntu dstat.sh[79743]: 19-04 10:41:22| 20  11  67   1   0| 999M 1406M  173M 5173M| 161k 8376 |   0   740k|   0  9.01 |3339  6082 |1.41 1.05 0.72|2.0   0  75|   0     0 |   0     0 |  9    4    0    8    2
Apr 19 10:41:23 ubuntu dstat.sh[79743]: 19-04 10:41:23| 16   6  77   0   0|1006M 1397M  173M 5173M| 140k 8641 |   0   412k|   0  10.0 |1805  2314 |1.41 1.05 0.72|3.0   0  96|   0     0 |   0     0 |  9    6    0    8    2
Apr 19 10:41:24 ubuntu dstat.sh[79743]: 19-04 10:41:24| 19  12  68   1   0|1011M 1393M  173M 5174M|  64k   18k|   0   769k|   0  32.0 |2198  3384 |1.41 1.05 0.72|3.0   0 191|   0     0 |   0     0 |  9    6    0   10    2
Apr 19 10:41:25 ubuntu dstat.sh[79743]: 19-04 10:41:25| 24   2  71   2   0|1047M 1356M  173M 5174M|  65k 7406 |  52k 1271k|5.00  21.0 |1130  1467 |1.41 1.05 0.72|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Apr 19 10:41:26 ubuntu dstat.sh[79743]: 19-04 10:41:26| 27   3  68   1   0|1075M 1327M  174M 5175M|  69k 6761 | 144k 1380k|9.00  17.0 |1249  1503 |1.41 1.05 0.72|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Apr 19 10:41:27 ubuntu dstat.sh[79743]: 19-04 10:41:27| 17   3  65  15   0|1095M 1305M  174M 5177M|  65k   17k|  12k 7153k|1.00   569 |4523  7860 |1.62 1.10 0.73|1.0 2.0  10|   0     0 |   0     0 |  9    8    0   10    2
