-- Logs begin at Fri 2023-04-14 15:58:53 UTC, end at Mon 2023-04-17 11:25:49 UTC. --
Apr 17 10:48:02 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 17 10:48:02 ubuntu dstat.sh[97007]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 17 10:48:02 ubuntu dstat.sh[97007]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 17 10:48:02 ubuntu dstat.sh[97007]: 17-04 10:48:02|                   | 999M 1071M  200M 5343M|           |           |           |           |1.28 0.69 0.52|3.0   0    |           |   0     0 |  8    7    0    8    2
Apr 17 10:48:03 ubuntu dstat.sh[97007]: 17-04 10:48:03| 12  18  68   0   0|1001M 1069M  200M 5343M|1005k   30k|   0   268k|   0  14.0 |3390  4693 |1.28 0.69 0.52|2.0   0 351|   0     0 |   0     0 |  8    7    0    8    2
Apr 17 10:48:04 ubuntu dstat.sh[97007]: 17-04 10:48:04| 17  19  60   0   0| 951M 1114M  200M 5348M|1802k   35k|   0   156k|   0  12.0 |3654  4677 |1.28 0.69 0.52|2.0   0 343|   0     0 |   0     0 |  8    6    0    7    2
Apr 17 10:48:05 ubuntu dstat.sh[97007]: 17-04 10:48:05| 17  20  62   0   0| 935M 1126M  200M 5352M|1869k   30k|   0  3921k|   0  16.0 |4203  6500 |1.28 0.69 0.52|3.0   0 213|   0     0 |   0     0 |  8    6    0    7    2
Apr 17 10:48:06 ubuntu dstat.sh[97007]: 17-04 10:48:06| 26  16  57   0   0|1022M 1036M  200M 5477M|1821k   28k|   0  1394k|   0  8.99 |5097  7904 |1.25 0.70 0.53|2.0   0 107|   0     0 |   0     0 |  9    4    0    7    2
Apr 17 10:48:07 ubuntu dstat.sh[97007]: 17-04 10:48:07| 19   9  70   0   0|1032M 1024M  200M 5478M| 622k   16k|   0  2367k|   0  18.0 |2345  2731 |1.25 0.70 0.53|1.0   0 111|   0     0 |   0     0 |  9    6    0    7    2
Apr 17 10:48:08 ubuntu dstat.sh[97007]: 17-04 10:48:08| 18  12  69   0   0|1049M 1006M  200M 5479M| 231k   22k|   0   756k|   0  25.0 |2405  3269 |1.25 0.70 0.53|1.0   0 177|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:09 ubuntu dstat.sh[97007]: 17-04 10:48:09| 24   3  71   2   0|1100M  954M  200M 5480M| 218k 9470 | 196k 1460k|14.0  26.0 |1470  1679 |1.25 0.70 0.53|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:10 ubuntu dstat.sh[97007]: 17-04 10:48:10| 27   4  68   1   0|1101M  953M  200M 5480M|  95k   15k|  12k   11M|1.00  44.0 |1402  1674 |1.25 0.70 0.53|  0 2.0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 17 10:48:11 ubuntu dstat.sh[97007]: 17-04 10:48:11| 11   4  62  22   0|1113M  938M  200M 5483M| 171k   15k|   0    13M|   0   914 |6194    11k|1.47 0.75 0.55|  0 2.0  10|   0     0 |   0     0 |  9    8    0    9    2
Apr 17 10:48:12 ubuntu dstat.sh[97007]: 17-04 10:48:12|  8   4  64  21   0|1120M  927M  201M 5486M| 154k   14k|   0  8308k|   0   675 |5110  9736 |1.47 0.75 0.55|1.0   0 9.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 17 10:48:13 ubuntu dstat.sh[97007]: 17-04 10:48:13| 11   2  65  21   0|1123M  923M  201M 5487M|  52k   11k|   0  5756k|   0   583 |4736  9056 |1.47 0.75 0.55|2.0 1.0  24|   0     0 |   0     0 |  9    8    0    9    2
Apr 17 10:48:14 ubuntu dstat.sh[97007]: 17-04 10:48:14|  8   2  65  21   0|1125M  918M  201M 5489M|  73k   12k|   0  6519k|   0   640 |4912  9545 |1.47 0.75 0.55|2.0   0  13|   0     0 |   0     0 |  9    8    0    9    2
Apr 17 10:48:15 ubuntu dstat.sh[97007]: 17-04 10:48:15| 10   3  66  21   0|1128M  913M  201M 5491M|  78k   13k|   0  6919k|   0   591 |4692  8481 |1.47 0.75 0.55|  0 1.0 3.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 17 10:48:16 ubuntu dstat.sh[97007]: 17-04 10:48:16| 22   6  65   7   1|1038M 1002M  202M 5491M|  55k 9400 |   0  2205k|   0   246 |3261  5325 |1.44 0.76 0.55|1.0   0  87|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:17 ubuntu dstat.sh[97007]: 17-04 10:48:17| 25   3  70   1   0|1099M  942M  202M 5491M|  80k 6860 |   0   752k|   0  26.0 |1268  1400 |1.44 0.76 0.55|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:18 ubuntu dstat.sh[97007]: 17-04 10:48:18| 27   3  69   3   0|1126M  914M  202M 5491M|  82k 6342 |   0  7549k|   0   401 |2295  3173 |1.44 0.76 0.55|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:19 ubuntu dstat.sh[97007]: 17-04 10:48:19| 25   5  68   2   0|1092M  946M  202M 5493M| 674k   20k|   0  7881k|   0   411 |3029  3693 |1.44 0.76 0.55|1.0   0  12|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:20 ubuntu dstat.sh[97007]: 17-04 10:48:20| 27   2  67   2   0|1126M  911M  202M 5494M| 937k   25k|   0  8124k|   0   388 |3214  3622 |1.44 0.76 0.55|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:21 ubuntu dstat.sh[97007]: 17-04 10:48:21| 22  14  62   2   0|1042M  993M  202M 5496M| 628k   21k|   0    41M|   0   490 |4046  6006 |1.40 0.76 0.55|1.0 1.0 300|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:22 ubuntu dstat.sh[97007]: 17-04 10:48:22| 14  19  63   1   0|1042M  994M  202M 5495M|  80k 7260 |   0  1143k|   0  52.0 |2904  4738 |1.40 0.76 0.55|3.0   0 365|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:23 ubuntu dstat.sh[97007]: 17-04 10:48:23| 26  18  57   0   0|1071M  964M  202M 5496M|  72k 6577 |  56k  656k|1.00  20.0 |4048    11k|1.40 0.76 0.55|4.0   0 123|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:24 ubuntu dstat.sh[97007]: 17-04 10:48:24| 57  10  32   0   0|1179M  854M  202M 5498M|  90k 5583 | 268k  596k|3.00  7.00 |1894  2703 |1.40 0.76 0.55|5.0   0 111|   0     0 |   0     0 |  9    7    0    9    2
Apr 17 10:48:25 ubuntu dstat.sh[97007]: 17-04 10:48:25| 50   3  45   1   0|1235M  796M  202M 5499M| 300k   13k| 372k  772k|8.00  9.00 |1615  1536 |1.40 0.76 0.55|3.0   0 1.0|   0     0 |   0     0 |  9    7    0    9    2
Apr 17 10:48:26 ubuntu dstat.sh[97007]: 17-04 10:48:26| 49   9  42   0   0|1263M  764M  203M 5503M| 905k   24k|   0  3286k|   0  12.0 |3141  6335 |1.53 0.80 0.56|4.0   0  70|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:27 ubuntu dstat.sh[97007]: 17-04 10:48:27| 35   9  55   0   0|1322M  700M  203M 5507M|  17k 3458 |   0   877k|   0  5.00 |1983  3019 |1.53 0.80 0.56|1.0   0  79|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:28 ubuntu dstat.sh[97007]: 17-04 10:48:28| 28   2  69   0   0|1360M  661M  203M 5508M| 542k   19k|   0   296k|   0  5.99 |1572  1559 |1.53 0.80 0.56|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 17 10:48:29 ubuntu dstat.sh[97007]: 17-04 10:48:29| 28   4  65   3   0|1378M  641M  203M 5509M| 583k   80k|   0  3752k|   0   257 |3769  5736 |1.53 0.80 0.56|1.0   0 2.0|   0     0 |   0     0 |  9   12    0    9    2
Apr 17 10:48:30 ubuntu dstat.sh[97007]: 17-04 10:48:30| 23   5  70   0   0|1292M  727M  203M 5509M|  51k 6090 |   0   499k|   0  18.0 |1493  1823 |1.53 0.80 0.56|1.0   0  44|   0     0 |   0     0 |  9    6    0   11    2
Apr 17 10:48:31 ubuntu dstat.sh[97007]: 17-04 10:48:31| 25   4  65   6   0|1318M  701M  203M 5510M| 100k   17k|  88k   14M|12.0   509 |1829  1812 |1.57 0.82 0.57|1.0   0 3.0|   0     0 |   0     0 |  9   13    0   11    2
Apr 17 10:48:32 ubuntu dstat.sh[97007]: 17-04 10:48:32| 18   3  69   8   0|1329M  689M  203M 5510M| 221k   90k| 216k 1992k|54.0  61.0 |2058  3037 |1.57 0.82 0.57|1.0   0 5.0|   0     0 |   0     0 |  9   29    0   11    2
Apr 17 10:48:33 ubuntu dstat.sh[97007]: 17-04 10:48:33| 30   5  65   0   0|1306M  712M  203M 5511M| 138k   36k|   0   333k|   0  6.02 |1598  2011 |1.57 0.82 0.57|1.0   0  46|   0     0 |   0     0 |  9   32    0    9    2
