-- Logs begin at Thu 2023-05-18 16:47:54 UTC, end at Thu 2023-05-18 19:25:26 UTC. --
May 18 19:11:18 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 18 19:11:19 ubuntu dstat.sh[68474]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 18 19:11:19 ubuntu dstat.sh[68474]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 18 19:11:19 ubuntu dstat.sh[68474]: 18-05 19:11:19|                   | 982M 1334M  195M 5115M|           |           |           |           |1.39 0.83 0.54|3.0   0    |           |   0     0 |  8    8    0    8    2
May 18 19:11:20 ubuntu dstat.sh[68474]: 18-05 19:11:20| 33  20  45   0   0| 979M 1337M  195M 5116M| 759k   16k|   0  4145k|   0  20.0 |3134  4673 |1.39 0.83 0.54|3.0   0 425|   0     0 |   0     0 |  8    7    0    8    2
May 18 19:11:21 ubuntu dstat.sh[68474]: 18-05 19:11:21| 34  21  45   0   0| 967M 1345M  195M 5120M|2110k   38k|   0    28k|   0  13.5 |3658  5579 |1.39 0.83 0.54|2.0   0 364|   0     0 |   0     0 |  8    6    1    7    2
May 18 19:11:22 ubuntu dstat.sh[68474]: 18-05 19:11:22| 20  19  59   1   0| 969M 1341M  195M 5122M|1055k   19k|   0    13M|   0   137 |3402  8172 |1.36 0.83 0.54|4.0   0 207|   0     0 |   0     0 |  8    7    0    7    2
May 18 19:11:23 ubuntu dstat.sh[68474]: 18-05 19:11:23| 26  14  58   1   0|1113M 1194M  195M 5246M|1178k   21k|   0  1180k|   0  12.0 |3641  7228 |1.36 0.83 0.54|1.0   0 143|   0     0 |   0     0 |  9    9    1    7    2
May 18 19:11:24 ubuntu dstat.sh[68474]: 18-05 19:11:24| 40  11  47   1   0|1104M 1202M  195M 5247M| 249k   10k|   0  2780k|   0  22.0 |2138  2729 |1.36 0.83 0.54|2.0   0 170|   0     0 |   0     0 |  9    8    0    7    2
May 18 19:11:25 ubuntu dstat.sh[68474]: 18-05 19:11:25| 45   6  46   3   0|1151M 1155M  195M 5248M| 225k   23k|  52k 1416k|5.00  36.0 |2000  2388 |1.36 0.83 0.54|2.0   0  50|   0     0 |   0     0 |  9    8    0    9    2
May 18 19:11:26 ubuntu dstat.sh[68474]: 18-05 19:11:26| 27   7  65   2   1|1177M 1126M  196M 5250M| 213k 9713 | 144k 1812k|9.00  17.0 |1469  1649 |1.36 0.83 0.54|1.0   0 1.0|   0     0 |   0     0 |  9    9    0    9    2
May 18 19:11:27 ubuntu dstat.sh[68474]: 18-05 19:11:27| 27   3  63   5   0|1168M 1133M  196M 5251M| 631k   24k|  12k 3019k|1.00   197 |2750  3773 |1.57 0.88 0.56|1.0 1.0 5.0|   0     0 |   0     0 |  9   10    0    9    3
May 18 19:11:28 ubuntu dstat.sh[68474]: 18-05 19:11:28| 14   4  55  24   0|1098M 1199M  196M 5255M| 534k   15k|   0    16M|   0  1004 |6027    11k|1.57 0.88 0.56|  0 1.0 6.0|   0     0 |   0     0 |  9    8    0    9    2
May 18 19:11:29 ubuntu dstat.sh[68474]: 18-05 19:11:29|  8   3  67  20   0|1103M 1192M  197M 5256M|  52k   11k|   0  6130k|   0   619 |5177  9192 |1.57 0.88 0.56|  0 1.0  15|   0     0 |   0     0 |  9    8    0    9    2
May 18 19:11:30 ubuntu dstat.sh[68474]: 18-05 19:11:30|  9   3  65  21   0|1103M 1189M  197M 5258M|  72k   12k|   0  6768k|   0   619 |5252  9312 |1.57 0.88 0.56|  0 1.0  15|   0     0 |   0     0 |  9    8    0    9    2
May 18 19:11:31 ubuntu dstat.sh[68474]: 18-05 19:11:31| 14   3  61  20   0|1105M 1185M  197M 5260M|  62k   11k|   0  6103k|   0   600 |5500  9316 |1.57 0.88 0.56|2.0 2.0  16|   0     0 |   0     0 |  9    8    0    9    2
May 18 19:11:32 ubuntu dstat.sh[68474]: 18-05 19:11:32|  7   3  68  20   0|1107M 1181M  198M 5261M|  64k   12k|   0    21M|   0   665 |4842  8983 |1.61 0.90 0.57|  0 1.0 6.0|   0     0 |   0     0 |  9    8    0    9    2
May 18 19:11:33 ubuntu dstat.sh[68474]: 18-05 19:11:33| 22   6  68   2   0|1030M 1258M  198M 5262M| 113k   10k|   0   846k|   0  88.8 |2335  3432 |1.61 0.90 0.57|1.0   0  83|   0     0 |   0     0 |  9    6    0    9    2
May 18 19:11:34 ubuntu dstat.sh[68474]: 18-05 19:11:34| 27   3  68   0   0|1090M 1196M  198M 5263M| 662k   20k|   0  1059k|   0  6.00 |1773  1736 |1.61 0.90 0.57|1.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
May 18 19:11:35 ubuntu dstat.sh[68474]: 18-05 19:11:35| 27   4  68   2   0|1020M 1265M  198M 5265M| 927k   26k|   0  8389k|   0   394 |3087  3551 |1.61 0.90 0.57|1.0   0  11|   0     0 |   0     0 |  9    6    0    9    2
May 18 19:11:36 ubuntu dstat.sh[68474]: 18-05 19:11:36| 28   5  65   1   0|1081M 1202M  198M 5266M| 629k   21k|   0  7936k|   0   411 |2780  3217 |1.61 0.90 0.57|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
May 18 19:11:37 ubuntu dstat.sh[68474]: 18-05 19:11:37| 34   6  60   1   0|1110M 1174M  198M 5266M| 103k 8771 |   0  7598k|   0   385 |2841  8006 |1.56 0.90 0.57|1.0   0  35|   0     0 |   0     0 |  9    6    0   10    2
May 18 19:11:38 ubuntu dstat.sh[68474]: 18-05 19:11:38| 20  11  65   2   0|1023M 1260M  199M 5266M|  65k 6302 |   0    27M|   0   465 |3065  5115 |1.56 0.90 0.57|1.0   0 252|   0     0 |   0     0 |  9    6    0    9    2
May 18 19:11:39 ubuntu dstat.sh[68474]: 18-05 19:11:39| 14  20  64   1   0|1023M 1259M  199M 5267M| 309k   12k|   0  1574k|   0  58.1 |3107  4857 |1.56 0.90 0.57|1.0   0 367|   0     0 |   0     0 |  9    6    0    9    2
May 18 19:11:40 ubuntu dstat.sh[68474]: 18-05 19:11:40| 28  15  55   0   0|1026M 1254M  199M 5268M|  77k 5276 |   0  1151k|   0  19.0 |3510  7779 |1.56 0.90 0.57|1.0   0 127|   0     0 |   0     0 |  9    6    0    9    2
