-- Logs begin at Tue 2023-04-18 16:15:11 UTC, end at Tue 2023-04-18 17:44:53 UTC. --
Apr 18 17:07:17 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 18 17:07:17 ubuntu dstat.sh[73305]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 18 17:07:17 ubuntu dstat.sh[73305]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 18 17:07:17 ubuntu dstat.sh[73305]: 18-04 17:07:17|                   | 980M 1439M  173M 5037M|           |           |           |           |0.83 0.71 0.54|4.0   0    |           |   0     0 |  8    7    0    9    2
Apr 18 17:07:18 ubuntu dstat.sh[73305]: 18-04 17:07:18| 18  20  61   0   0| 956M 1460M  173M 5040M|2480k   46k|   0   439k|   0  18.0 |5559  7250 |0.83 0.71 0.54|3.5   0 385|   0     0 |   0     0 |  8    6    0    9    2
Apr 18 17:07:19 ubuntu dstat.sh[73305]: 18-04 17:07:19| 17  19  64   0   1| 932M 1478M  173M 5046M|1986k   33k|   0    15M|   0  51.5 |4960  6464 |0.83 0.71 0.54|8.0   0 345|   0     0 |   0     0 |  8    6    0    9    2
Apr 18 17:07:20 ubuntu dstat.sh[73305]: 18-04 17:07:20| 25  17  56   0   0| 861M 1546M  173M 5049M|1447k   25k|   0  3796k|   0  18.0 |3989  5488 |0.83 0.71 0.54|2.0   0 222|   0     0 |   0     0 |  8    4    0    9    2
Apr 18 17:07:21 ubuntu dstat.sh[73305]: 18-04 17:07:21| 21  13  64   0   0| 997M 1409M  173M 5171M| 228k 9975 |   0   952k|   0  9.00 |4240  8948 |1.65 0.89 0.60|  0   0  73|   0     0 |   0     0 |  9    4    0    9    2
Apr 18 17:07:22 ubuntu dstat.sh[73305]: 18-04 17:07:22|  6   6  87   1   0|1005M 1401M  173M 5171M| 119k 8183 |   0   436k|   0  9.00 |1372  1916 |1.65 0.89 0.60|1.0   0  71|   0     0 |   0     0 |  9    6    0    8    2
Apr 18 17:07:23 ubuntu dstat.sh[73305]: 18-04 17:07:23| 23   6  71   1   0|1002M 1403M  173M 5171M| 211k   11k|   0   789k|   0  21.0 |1568  1750 |1.65 0.89 0.60|2.0   0  56|   0     0 |   0     0 |  9    6    0    8    2
Apr 18 17:07:24 ubuntu dstat.sh[73305]: 18-04 17:07:24| 19  12  67   1   0|1034M 1371M  173M 5172M| 133k   19k|   0    10M|   0  58.0 |1996  3038 |1.65 0.89 0.60|1.0   0 162|   0     0 |   0     0 |  9    6    0   10    2
Apr 18 17:07:25 ubuntu dstat.sh[73305]: 18-04 17:07:25| 25   3  68   2   0|1058M 1345M  173M 5174M| 167k 8243 | 196k 1707k|14.0  16.0 |1336  1664 |1.65 0.89 0.60|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 18 17:07:26 ubuntu dstat.sh[73305]: 18-04 17:07:26| 26   3  69   3   0|1083M 1320M  173M 5174M|  63k   14k|  12k 2092k|1.00   122 |1921  2876 |1.52 0.87 0.60|  0 1.0 1.0|   0     0 |   0     0 |  9    8    0   10    2
