"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","10 May 2023 11:05:45 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
10-05 11:05:45,,976408,1379304,204836,5245080,,,,,,,1.200,0.790,0.590,3,0,,,,8,5,0,8,2
10-05 11:05:46,36.242,20.710,41.678,0,0,1001404,1348544,204844,5250592,2719735.785,47232.761,0,4415.322,0,25.887,4580,4840,1.200,0.790,0.590,4,0,355.172,0,0,8,5,0,8,2
10-05 11:05:47,23.246,21.497,54.742,0,0.500,1003020,1343980,204856,5253644,1530692.743,30980.198,0,19972.904,0,91.986,4224,6028,1.200,0.790,0.590,2,0,351.945,0,0,8,7,0,8,2
10-05 11:05:48,20.013,17.261,60.289,0.500,0.250,993232,1352468,204912,5254916,597149.356,17584.377,0,3218.082,0,19.012,3990,6492,1.200,0.790,0.590,2,0,236.153,0,0,8,7,0,8,2
10-05 11:05:49,24.771,12.510,60.801,1.001,0,1082636,1261892,204972,5380464,443890.424,14823.437,0,724.608,0,13.011,4365,8014,1.340,0.820,0.600,0,0,75.063,0,0,9,6,0,7,2
10-05 11:05:50,16.726,7.239,74.391,0.749,0,1087020,1255848,205032,5381956,776728.976,16890.340,0,519.242,0,13.980,1945,2380,1.340,0.820,0.600,1,0,100.853,0,0,9,8,0,7,2
10-05 11:05:51,35.287,11.262,51.303,0.501,0.250,1085760,1256036,205120,5382936,501477.537,22481.381,0,1958.036,0,33.034,2277,3194,1.340,0.820,0.600,2,0,189.197,0,0,9,6,0,9,2
10-05 11:05:52,49.296,5.255,43.791,1.251,0,1138008,1201888,205216,5384608,58122.519,6256.869,196.184,1373.288,14.013,27.025,1425,1689,1.340,0.820,0.600,2,0,3.003,0,0,9,6,0,9,2
10-05 11:05:53,27.685,2.744,67.591,0.998,0,1155164,1183676,205336,5385340,149479.872,9302.149,0,1061.507,0,9.977,1337,1463,1.340,0.820,0.600,1,0,1.995,0,0,9,7,0,9,2
10-05 11:05:54,19.287,4.509,56.609,18.536,0.250,1178092,1157648,205704,5387956,79374.240,19782.944,12.023,11213.508,1.002,743.426,5460,9580,1.310,0.830,0.600,1,1,10.019,0,0,9,9,0,9,2
10-05 11:05:55,12.719,3.242,63.095,18.953,0.499,1127312,1205812,206052,5390180,73734.834,13359.177,0,8275.667,0,728.211,5578,9848,1.310,0.830,0.600,0,1,2.993,0,0,9,8,0,9,2
10-05 11:05:56,10.758,4.003,64.797,18.763,0,1129460,1201796,206372,5391672,73659.888,10027.200,0,6096.377,0,670.481,5646,9730,1.310,0.830,0.600,0,1,27.019,0,0,9,8,0,9,2
10-05 11:05:57,14.245,4.249,57.981,22.992,0.250,1130944,1198360,206844,5393104,39594.013,9549.868,0,43353.780,0,1001.671,4849,8369,1.310,0.830,0.600,0,1,11.996,0,0,9,8,0,9,2
