-- Logs begin at Wed 2023-06-14 21:51:20 UTC, end at Thu 2023-06-15 10:21:23 UTC. --
Jun 15 09:58:54 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 15 09:58:54 ubuntu dstat.sh[96775]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 15 09:58:54 ubuntu dstat.sh[96775]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 15 09:58:54 ubuntu dstat.sh[96775]: 15-06 09:58:54|                   |1010M 1020M  221M 5359M|           |           |           |           |0.81 0.69 0.56|6.0   0    |           |   0     0 |  8    3    0    7    0
Jun 15 09:58:55 ubuntu dstat.sh[96775]: 15-06 09:58:55| 32  22  41   4   0|1011M 1018M  221M 5359M|  12k 3175 |   0  4985k|   0   161 |2871  4614 |0.81 0.69 0.56|4.0   0 440|   0     0 |   0     0 |  8    4    0    7    0
Jun 15 09:58:56 ubuntu dstat.sh[96775]: 15-06 09:58:56| 11  20  67   1   0|1014M 1015M  221M 5360M|  55k 8141 |   0   212k|   0  85.3 |2636  4115 |0.74 0.68 0.56|2.0   0 379|   0     0 |   0     0 |  8    7    0    7    0
Jun 15 09:58:57 ubuntu dstat.sh[96775]: 15-06 09:58:57| 21  18  60   1   0| 963M 1066M  221M 5360M| 121k 6568 |   0   320k|   0  9.99 |2815  6591 |0.74 0.68 0.56|1.0   0 236|   0     0 |   0     0 |  8    7    1    7    1
Jun 15 09:58:58 ubuntu dstat.sh[96775]: 15-06 09:58:58| 36  18  47   1   0|1046M  982M  221M 5428M| 112k 8722 |   0   409k|   0  7.01 |3439  8896 |0.74 0.68 0.56| 23   0 123|   0     0 |   0     0 |  9    8    0    7    0
Jun 15 09:58:59 ubuntu dstat.sh[96775]: 15-06 09:58:59| 20   8  71   0   0|1061M  965M  221M 5484M| 192k 8019 |   0    16k|   0  3.99 |1861  2395 |0.74 0.68 0.56|1.0   0  96|   0     0 |   0     0 |  9   10    0    7    0
Jun 15 09:59:00 ubuntu dstat.sh[96775]: 15-06 09:59:00| 21   8  71   1   0|1062M  963M  221M 5484M| 433k   12k|   0   269k|   0  9.02 |1906  2201 |0.74 0.68 0.56|3.0   0 128|   0     0 |   0     0 |  9   10    0    7    0
Jun 15 09:59:01 ubuntu dstat.sh[96775]: 15-06 09:59:01| 22   7  68   1   0|1107M  916M  221M 5487M|1688k   38k|   0  1089k|   0  32.9 |2352  2352 |0.84 0.70 0.57|1.0   0  69|   0     0 |   0     0 |  9   10    0    9    1
Jun 15 09:59:02 ubuntu dstat.sh[96775]: 15-06 09:59:02| 29   5  66   1   0|1096M  925M  221M 5489M|1049k   14k|  44k 2281k|6.00  10.0 |1796  1700 |0.84 0.70 0.57|2.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    1
Jun 15 09:59:03 ubuntu dstat.sh[96775]: 15-06 09:59:03| 42   4  46   7   0|1143M  876M  222M 5489M| 124k   15k|   0  6407k|   0   415 |3262  5458 |0.84 0.70 0.57|1.0 1.0 9.0|   0     0 |   0     0 |  9    9    0    9    2
Jun 15 09:59:04 ubuntu dstat.sh[96775]: 15-06 09:59:04| 28   5  49  17   0|1135M  881M  222M 5493M| 206k   13k|   0    12M|   0   911 |5372    11k|0.84 0.70 0.57|1.0 1.0 7.0|   0     0 |   0     0 |  9    8    1    9    2
Jun 15 09:59:05 ubuntu dstat.sh[96775]: 15-06 09:59:05|  9   3  64  23   0|1139M  874M  222M 5494M| 235k   15k|   0  9290k|   0   736 |5220  9624 |0.84 0.70 0.57|1.0 1.0  19|   0     0 |   0     0 |  9    9    0    9    2
