-- Logs begin at Wed 2023-05-03 21:00:24 UTC, end at Thu 2023-05-04 10:20:12 UTC. --
May 04 09:44:12 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 04 09:44:12 ubuntu dstat.sh[93283]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 04 09:44:12 ubuntu dstat.sh[93283]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 04 09:44:12 ubuntu dstat.sh[93283]: 04-05 09:44:12|                   | 983M 1173M  202M 5260M|           |           |           |           |1.24 0.95 0.67|5.0   0    |           |   0     0 |  8    6    0    8    2
May 04 09:44:13 ubuntu dstat.sh[93283]: 04-05 09:44:13| 33  19  45   1   0| 991M 1164M  202M 5260M| 302k   12k|   0   771k|   0  23.0 |3171  5222 |1.24 0.95 0.67|3.5   0 383|   0     0 |   0     0 |  8    6    0    8    2
May 04 09:44:14 ubuntu dstat.sh[93283]: 04-05 09:44:14| 30  21  47   1   0| 991M 1163M  202M 5262M| 359k   12k|   0   604k|   0  19.5 |3197  5198 |1.24 0.95 0.67|1.0   0 361|   0     0 |   0     0 |  8    7    0    8    2
May 04 09:44:15 ubuntu dstat.sh[93283]: 04-05 09:44:15| 18  19  63   0   0| 991M 1161M  202M 5263M| 727k   20k|   0   571k|   0  13.0 |3183  4925 |1.24 0.95 0.67|1.0   0 205|   0     0 |   0     0 |  8    7    0    8    2
May 04 09:44:16 ubuntu dstat.sh[93283]: 04-05 09:44:16| 31  17  51   1   0|1106M 1042M  202M 5388M|1501k   19k|   0  3065k|   0  19.0 |4175  7463 |1.24 0.95 0.67|3.0   0 148|   0     0 |   0     0 |  9    8    0    8    4
May 04 09:44:17 ubuntu dstat.sh[93283]: 04-05 09:44:17| 47  10  43   1   0|1134M 1014M  202M 5389M|  62k 7040 |   0    19M|   0   260 |1954  1847 |1.30 0.97 0.67|3.0   0  67|   0     0 |   0     0 |  9    8    0    8    2
May 04 09:44:18 ubuntu dstat.sh[93283]: 04-05 09:44:18| 38  11  49   1   0|1176M  971M  202M 5389M| 118k   18k|  20k 1047k|2.00  35.0 |2239  2899 |1.30 0.97 0.67|2.0   0 155|   0     0 |   0     0 |  9    8    1    9    2
May 04 09:44:19 ubuntu dstat.sh[93283]: 04-05 09:44:19| 23   3  70   2   0|1195M  950M  202M 5390M| 120k 9273 | 176k 1559k|12.0  19.0 |1529  1636 |1.30 0.97 0.67|2.0   0   0|   0     0 |   0     0 |  9    9    0    9    2
May 04 09:44:20 ubuntu dstat.sh[93283]: 04-05 09:44:20| 32   3  60   4   0|1165M  980M  202M 5391M| 115k   17k|  12k 2191k|1.00   142 |2185  3124 |1.30 0.97 0.67|7.0   0 1.0|   0     0 |   0     0 |  9   10    0    9    2
May 04 09:44:21 ubuntu dstat.sh[93283]: 04-05 09:44:21|  9   4  62  25   0|1173M  969M  203M 5393M| 115k   13k|   0    13M|   0   987 |6345    11k|1.30 0.97 0.67|1.0 1.0 9.0|   0     0 |   0     0 |  9   10    0    9    2
