-- Logs begin at Fri 2023-04-21 13:15:03 UTC, end at Fri 2023-04-21 16:20:08 UTC. --
Apr 21 15:42:34 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 21 15:42:34 ubuntu dstat.sh[81784]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 21 15:42:34 ubuntu dstat.sh[81784]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 21 15:42:34 ubuntu dstat.sh[81784]: 21-04 15:42:34|                   | 923M 1483M  174M 5048M|           |           |           |           |1.62 0.97 0.58|2.0 1.0    |           |   0     0 |  8    4    0    8    2
Apr 21 15:42:35 ubuntu dstat.sh[81784]: 21-04 15:42:35| 36  19  45   0   0| 930M 1475M  174M 5048M|  88k 7933 |   0   735k|   0  26.0 |2643  4281 |1.62 0.97 0.58|2.5 0.5 422|   0     0 |   0     0 |  8    4    0    8    2
Apr 21 15:42:36 ubuntu dstat.sh[81784]: 21-04 15:42:36| 21  21  55   0   0| 923M 1481M  174M 5050M| 162k 8398 |   0   920k|   0  21.5 |2960  4680 |1.57 0.97 0.59|1.0   0 359|   0     0 |   0     0 |  8    5    0    8    2
Apr 21 15:42:37 ubuntu dstat.sh[81784]: 21-04 15:42:37| 20  16  62   0   0| 924M 1480M  174M 5050M| 150k 9691 |   0  1028k|   0  16.0 |2983  4132 |1.57 0.97 0.59|2.0   0 205|   0     0 |   0     0 |  8    5    0    8    2
Apr 21 15:42:38 ubuntu dstat.sh[81784]: 21-04 15:42:38| 23  12  63   1   0|1072M 1332M  174M 5172M|  54k 5915 |   0   851k|   0  8.99 |3868  7720 |1.57 0.97 0.59|  0   0  75|   0     0 |   0     0 |  9    6    0    8    2
Apr 21 15:42:39 ubuntu dstat.sh[81784]: 21-04 15:42:39| 13   8  78   1   0|1079M 1324M  174M 5172M|  82k 9108 |   0    10M|   0  61.0 |1655  2101 |1.57 0.97 0.59|1.0   0  90|   0     0 |   0     0 |  9    8    0    8    2
Apr 21 15:42:40 ubuntu dstat.sh[81784]: 21-04 15:42:40| 18  12  68   1   1|1075M 1327M  174M 5173M| 175k   19k|   0   716k|   0  26.0 |2233  3111 |1.57 0.97 0.59|1.0   0 188|   0     0 |   0     0 |  9    8    0    9    2
Apr 21 15:42:41 ubuntu dstat.sh[81784]: 21-04 15:42:41| 29   5  65   1   0|1108M 1293M  174M 5174M| 545k   12k|  52k 1172k|5.00  24.0 |1742  1878 |1.60 0.99 0.59|1.0   0  10|   0     0 |   0     0 |  9    8    0    9    2
Apr 21 15:42:42 ubuntu dstat.sh[81784]: 21-04 15:42:42| 32   3  63   1   0|1108M 1291M  174M 5176M| 657k   14k| 144k 3041k|9.00  19.0 |1681  1695 |1.60 0.99 0.59|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 21 15:42:43 ubuntu dstat.sh[81784]: 21-04 15:42:43| 40   4  44  11   0|1151M 1247M  175M 5177M|  37k   15k|  12k 3838k|1.00   324 |3712  6020 |1.60 0.99 0.59|2.0 1.0  11|   0     0 |   0     0 |  9    8    0    9    2
Apr 21 15:42:44 ubuntu dstat.sh[81784]: 21-04 15:42:44| 21   5  49  23   0|1158M 1236M  175M 5180M| 544k   22k|   0    17M|   0  1105 |7317    12k|1.60 0.99 0.59|  0 1.0 5.0|   0     0 |   0     0 |  9    9    0    9    2
Apr 21 15:42:45 ubuntu dstat.sh[81784]: 21-04 15:42:45| 11   3  66  18   0|1164M 1226M  175M 5184M| 865k   29k|   0  8095k|   0   629 |6236  9997 |1.60 0.99 0.59|3.0   0  19|   0     0 |   0     0 |  9    9    0    9    2
Apr 21 15:42:46 ubuntu dstat.sh[81784]: 21-04 15:42:46| 24   4  50  21   0|1172M 1215M  176M 5186M| 387k   22k|   0  7613k|   0   649 |5663  9881 |1.71 1.02 0.61|1.0 1.0  21|   0     0 |   0     0 |  9   10    0    9    2
Apr 21 15:42:47 ubuntu dstat.sh[81784]: 21-04 15:42:47| 11   4  64  21   0|1175M 1209M  176M 5189M| 553k   25k|   0  7220k|   0   619 |5243  9563 |1.71 1.02 0.61|1.0 1.0 9.0|   0     0 |   0     0 |  9   10    0    9    2
Apr 21 15:42:48 ubuntu dstat.sh[81784]: 21-04 15:42:48| 17   3  64  14   1|1086M 1297M  177M 5190M| 148k   14k|   0  3888k|   0   410 |4180  7107 |1.71 1.02 0.61|3.0   0  19|   0     0 |   0     0 |  9    8    0    9    2
Apr 21 15:42:49 ubuntu dstat.sh[81784]: 21-04 15:42:49| 31   7  59   3   0|1144M 1236M  177M 5192M| 293k 8528 |   0    40M|   0   630 |2908  2363 |1.71 1.02 0.61|2.0   0  73|   0     0 |   0     0 |  9    8    0    9    2
Apr 21 15:42:50 ubuntu dstat.sh[81784]: 21-04 15:42:50| 25   3  70   0   0|1171M 1207M  177M 5193M| 855k   15k|   0  1104k|   0  10.0 |1799  1779 |1.71 1.02 0.61|1.0   0 3.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 21 15:42:51 ubuntu dstat.sh[81784]: 21-04 15:42:51| 30   3  63   3   0|1046M 1331M  177M 5194M| 351k 8689 |   0  8667k|   0   397 |2670  3251 |1.74 1.04 0.61|1.0   0  12|   0     0 |   0     0 |  9    6    0    9    2
