-- Logs begin at Tue 2023-05-09 18:16:38 UTC, end at Wed 2023-05-10 01:56:11 UTC. --
May 10 01:43:23 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 10 01:43:23 ubuntu dstat.sh[79320]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 10 01:43:23 ubuntu dstat.sh[79320]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 10 01:43:23 ubuntu dstat.sh[79320]: 10-05 01:43:23|                   | 985M 1320M  195M 5121M|           |           |           |           |0.85 0.75 0.52|2.0 1.0    |           |   0     0 |  8    8    0    8    2
May 10 01:43:24 ubuntu dstat.sh[79320]: 10-05 01:43:24| 33  20  45   1   0| 982M 1324M  195M 5121M| 337k   12k|   0    13M|   0   117 |2986  4146 |0.85 0.75 0.52|3.0 0.5 385|   0     0 |   0     0 |  8    7    0    8    2
May 10 01:43:25 ubuntu dstat.sh[79320]: 10-05 01:43:25| 35  22  42   0   1| 968M 1334M  195M 5124M|1206k   32k|   0  1052k|   0  66.4 |3522  5307 |1.18 0.83 0.54|2.0   0 367|   0     0 |   0     0 |  8    6    1    7    2
May 10 01:43:26 ubuntu dstat.sh[79320]: 10-05 01:43:26| 26  18  55   1   0| 941M 1360M  195M 5126M|1141k   15k|   0  3005k|   0  18.0 |3622  4970 |1.18 0.83 0.54|2.0   0 206|   0     0 |   0     0 |  8    5    0    7    2
May 10 01:43:27 ubuntu dstat.sh[79320]: 10-05 01:43:27| 44  13  42   0   0|1107M 1192M  195M 5248M| 176k   10k|   0  1177k|   0  12.0 |2819  6216 |1.18 0.83 0.54|1.0   0  77|   0     0 |   0     0 |  9    5    1    7    2
May 10 01:43:28 ubuntu dstat.sh[79320]: 10-05 01:43:28| 28   9  63   0   0|1120M 1178M  195M 5249M|  65k 7565 |   0   795k|   0  9.99 |1657  2155 |1.18 0.83 0.54|1.0   0  86|   0     0 |   0     0 |  9    9    0    7    2
May 10 01:43:29 ubuntu dstat.sh[79320]: 10-05 01:43:29| 21  10  69   1   0|1118M 1180M  195M 5249M| 191k   10k|   0    10M|   0  50.0 |1881  2362 |1.18 0.83 0.54|1.0   0 133|   0     0 |   0     0 |  9    9    0    7    2
May 10 01:43:30 ubuntu dstat.sh[79320]: 10-05 01:43:30| 28   7  63   1   0|1104M 1194M  195M 5250M| 280k   23k|  52k 1397k|5.00  40.0 |1911  2439 |1.17 0.83 0.55|1.0   0  74|   0     0 |   0     0 |  9    8    0    9    2
May 10 01:43:31 ubuntu dstat.sh[79320]: 10-05 01:43:31| 23   4  70   1   0|1127M 1168M  196M 5252M| 746k   15k| 144k 1516k|9.00  17.0 |1530  1587 |1.17 0.83 0.55|1.0   0   0|   0     0 |   0     0 |  9    8    0    9    2
May 10 01:43:32 ubuntu dstat.sh[79320]: 10-05 01:43:32| 42   5  44   8   0|1140M 1154M  196M 5253M| 266k   17k|  12k 4619k|1.00   244 |3218  4534 |1.17 0.83 0.55|1.0 1.0 6.0|   0     0 |   0     0 |  9    8    0    9    2
