-- Logs begin at Wed 2023-05-10 13:16:52 UTC, end at Wed 2023-05-10 15:46:45 UTC. --
May 10 15:09:30 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 10 15:09:31 ubuntu dstat.sh[72950]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 10 15:09:31 ubuntu dstat.sh[72950]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 10 15:09:31 ubuntu dstat.sh[72950]: 10-05 15:09:31|                   | 983M 1337M  197M 5109M|           |           |           |           |0.99 0.83 0.59|4.0   0    |           |   0     0 |  8    7    0    8    2
May 10 15:09:32 ubuntu dstat.sh[72950]: 10-05 15:09:32| 13  18  66   1   0| 984M 1334M  197M 5112M|2721k   45k|   0    15M|   0   102 |4731  5120 |0.99 0.83 0.59|3.0   0 362|   0     0 |   0     0 |  8    7    0    8    2
May 10 15:09:33 ubuntu dstat.sh[72950]: 10-05 15:09:33| 13  20  65   0   0| 985M 1326M  197M 5118M|2043k   40k|   0   244k|   0  56.0 |4216  4796 |0.99 0.84 0.59|1.0   0 352|   0     0 |   0     0 |  8    8    0    8    2
May 10 15:09:34 ubuntu dstat.sh[72950]: 10-05 15:09:34| 39  19  41   0   0| 956M 1353M  197M 5120M| 892k   19k|   0  3860k|   0  19.0 |3915  8072 |0.99 0.84 0.59|4.0   0 207|   0     0 |   0     0 |  8    6    0    8    2
May 10 15:09:35 ubuntu dstat.sh[72950]: 10-05 15:09:35| 42  16  42   0   0|1117M 1191M  197M 5243M| 391k   13k|   0  1037k|   0  9.00 |3866  8572 |0.99 0.84 0.59|2.0   0 105|   0     0 |   0     0 |  9    6    0    7    2
May 10 15:09:36 ubuntu dstat.sh[72950]: 10-05 15:09:36| 11   6  80   1   0|1115M 1191M  197M 5245M| 791k   18k|   0  1200k|   0  12.0 |1888  2201 |0.99 0.84 0.59|3.0   0  78|   0     0 |   0     0 |  9    9    0    7    2
May 10 15:09:37 ubuntu dstat.sh[72950]: 10-05 15:09:37| 29   6  63   2   0|1125M 1178M  197M 5247M|1470k   22k|   0    13M|   0   302 |2671  1826 |0.99 0.84 0.59|3.0   0  41|   0     0 |   0     0 |  9    9    0    7    2
May 10 15:09:38 ubuntu dstat.sh[72950]: 10-05 15:09:38| 45  12  41   1   0|1147M 1155M  197M 5248M| 123k   19k|  20k 3451k|2.00  41.0 |2217  3318 |1.08 0.85 0.60|2.0   0 173|   0     0 |   0     0 |  9    8    0    9    2
May 10 15:09:39 ubuntu dstat.sh[72950]: 10-05 15:09:39| 44   8  46   3   0|1180M 1121M  197M 5250M| 179k 9293 | 176k 1798k|12.0  16.0 |1643  1829 |1.08 0.85 0.60|1.0   0 7.0|   0     0 |   0     0 |  9    8    1    9    2
May 10 15:09:40 ubuntu dstat.sh[72950]: 10-05 15:09:40| 21   3  68   7   0|1205M 1095M  197M 5251M| 159k   18k|  12k 3480k|1.00   258 |2930  4653 |1.08 0.85 0.60|  0 1.0 4.0|   0     0 |   0     0 |  9   11    0    9    2
