-- Logs begin at Fri 2023-05-19 21:39:57 UTC, end at Tue 2023-05-23 11:50:01 UTC. --
May 23 11:35:14 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 23 11:35:15 ubuntu dstat.sh[97001]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 23 11:35:15 ubuntu dstat.sh[97001]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 23 11:35:15 ubuntu dstat.sh[97001]: 23-05 11:35:15|                   | 887M 1246M  205M 5277M|           |           |           |           |1.14 0.94 0.60|3.0   0    |           |   0     0 |  8    4    0    8    2
May 23 11:35:16 ubuntu dstat.sh[97001]: 23-05 11:35:16| 10  19  69   1   0| 887M 1245M  205M 5277M|  50k 5574 |   0   588k|   0  26.0 |2610  3944 |1.14 0.94 0.60|2.5   0 355|   0     0 |   0     0 |  8    4    0    8    2
May 23 11:35:17 ubuntu dstat.sh[97001]: 23-05 11:35:17| 17  19  63   0   0| 876M 1256M  205M 5278M|  66k 6636 |   0   483k|   0  20.5 |2928  4620 |1.14 0.94 0.60|2.0   0 319|   0     0 |   0     0 |  8    4    0    7    2
May 23 11:35:18 ubuntu dstat.sh[97001]: 23-05 11:35:18| 20  17  61   0   0| 877M 1255M  205M 5278M|  58k 5370 |   0   320k|   0  9.99 |3305  5070 |1.14 0.94 0.60|2.0   0 206|   0     0 |   0     0 |  8    4    0    7    2
May 23 11:35:19 ubuntu dstat.sh[97001]: 23-05 11:35:19| 16  12  71   1   0|1015M 1117M  205M 5400M|  68k 6629 |   0   761k|   0  16.0 |3865  7739 |1.14 0.94 0.60|1.0   0  72|   0     0 |   0     0 |  9    4    0    7    2
May 23 11:35:20 ubuntu dstat.sh[97001]: 23-05 11:35:20| 18   7  74   1   0|1019M 1112M  205M 5400M| 131k 8692 |   0   368k|   0  12.0 |1752  2358 |1.29 0.98 0.62|2.0   0 103|   0     0 |   0     0 |  9    6    0    7    2
May 23 11:35:21 ubuntu dstat.sh[97001]: 23-05 11:35:21| 18  12  68   1   0|1030M 1100M  205M 5401M| 652k   30k|   0  1051k|   0  26.0 |2737  3553 |1.29 0.98 0.62|2.0   0 186|   0     0 |   0     0 |  9    6    0    9    2
May 23 11:35:22 ubuntu dstat.sh[97001]: 23-05 11:35:22| 25   5  67   1   0|1066M 1061M  205M 5403M| 937k   26k| 196k 1855k|14.0  18.0 |2254  2079 |1.29 0.98 0.62|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
May 23 11:35:23 ubuntu dstat.sh[97001]: 23-05 11:35:23| 29   4  66   0   0|1091M 1034M  205M 5405M| 628k   22k|   0  1702k|   0  14.0 |1889  1867 |1.29 0.98 0.62|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
May 23 11:35:24 ubuntu dstat.sh[97001]: 23-05 11:35:24| 14   4  64  17   0|1110M 1014M  206M 5406M| 115k   19k|  12k   37M|1.00   671 |3959  6769 |1.29 0.98 0.62|2.0   0  11|   0     0 |   0     0 |  9    8    0    9    2
May 23 11:35:25 ubuntu dstat.sh[97001]: 23-05 11:35:25|  8   2  66  22   0|1109M 1011M  206M 5409M|  72k   12k|   0    10M|   0   795 |4807    10k|1.35 0.99 0.62|2.0   0   0|   0     0 |   0     0 |  9    8    0    9    2
May 23 11:35:26 ubuntu dstat.sh[97001]: 23-05 11:35:26| 10   4  60  25   0|1115M 1004M  206M 5411M| 305k   16k|   0    17M|   0  1203 |7143    13k|1.35 0.99 0.62|  0   0  19|   0     0 |   0     0 |  9    8    0    9    2
May 23 11:35:27 ubuntu dstat.sh[97001]: 23-05 11:35:27| 15   5  54  22   0|1117M  998M  207M 5414M|  82k   11k|   0    19M|   0  1257 |6692    13k|1.35 0.99 0.62|1.0 1.0  22|   0     0 |   0     0 |  9    8    0    9    2
May 23 11:35:28 ubuntu dstat.sh[97001]: 23-05 11:35:28| 14   6  58  21   0|1121M  985M  207M 5421M| 909k   27k|   0    14M|   0   962 |6911    12k|1.35 0.99 0.62|6.0 1.0  14|   0     0 |   0     0 |  9    8    0    9    2
May 23 11:35:29 ubuntu dstat.sh[97001]: 23-05 11:35:29| 17   4  59  22   0|1119M  986M  207M 5422M|  55k   12k|   0    16M|   0   925 |5890    11k|1.35 0.99 0.62|1.0   0  13|   0     0 |   0     0 |  9    8    0    9    2
May 23 11:35:30 ubuntu dstat.sh[97001]: 23-05 11:35:30| 23   8  65   3   0|1052M 1052M  208M 5423M| 434k   16k|   0  8384k|   0   486 |3385  4936 |1.40 1.01 0.63|1.0   0  77|   0     0 |   0     0 |  9    6    0    9    2
May 23 11:35:31 ubuntu dstat.sh[97001]: 23-05 11:35:31| 27   3  68   0   0|1100M 1002M  208M 5424M| 609k   20k|   0  1017k|   0  8.97 |1719  1572 |1.40 1.01 0.63|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
May 23 11:35:32 ubuntu dstat.sh[97001]: 23-05 11:35:32| 26   2  70   1   0|1117M  985M  208M 5424M|  80k 6939 |   0  3963k|   0   228 |1695  2326 |1.40 1.01 0.63|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
May 23 11:35:33 ubuntu dstat.sh[97001]: 23-05 11:35:33| 27   3  70   0   0|1067M 1035M  208M 5424M| 157k 8857 |   0   618k|   0  19.1 |1305  1402 |1.40 1.01 0.63|1.0   0  12|   0     0 |   0     0 |  9    6    0    9    2
May 23 11:35:34 ubuntu dstat.sh[97001]: 23-05 11:35:34| 27   3  69   0   0|1115M  987M  208M 5424M|  25k 4721 |   0  2868k|   0  16.0 |1076  1161 |1.40 1.01 0.63|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
May 23 11:35:35 ubuntu dstat.sh[97001]: 23-05 11:35:35| 26   7  65   0   0|1032M 1070M  208M 5424M| 191k 8398 |   0   432k|   0  6.00 |1817  2428 |1.45 1.03 0.64|2.0   0 136|   0     0 |   0     0 |  9    6    0    9    2
May 23 11:35:36 ubuntu dstat.sh[97001]: 23-05 11:35:36| 17  21  60   0   0|1032M 1069M  208M 5425M| 146k 7139 |   0   528k|   0  17.0 |2793  4589 |1.45 1.03 0.64|2.0   0 373|   0     0 |   0     0 |  9    6    0    9    2
May 23 11:35:37 ubuntu dstat.sh[97001]: 23-05 11:35:37| 25  17  56   0   1|1036M 1065M  208M 5425M|  29k 4815 |   0   377k|   0  10.0 |4530  8503 |1.45 1.03 0.64|2.0   0 237|   0     0 |   0     0 |  9    6    0    9    2
May 23 11:35:38 ubuntu dstat.sh[97001]: 23-05 11:35:38| 41  14  42   2   0|1129M  971M  208M 5426M|  77k 5414 | 323k  367k|3.99  5.99 |2772  5497 |1.45 1.03 0.64|4.0   0 150|   0     0 |   0     0 |  9    7    0    9    2
