-- Logs begin at Fri 2023-05-19 09:40:12 UTC, end at Mon 2023-05-22 11:18:21 UTC. --
May 22 11:04:11 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 22 11:04:11 ubuntu dstat.sh[84686]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 22 11:04:11 ubuntu dstat.sh[84686]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 22 11:04:11 ubuntu dstat.sh[84686]: 22-05 11:04:11|                   | 998M 1146M  203M 5269M|           |           |           |           |1.60 1.07 0.70|3.0   0    |           |   0     0 |  8    6    0    8    2
May 22 11:04:12 ubuntu dstat.sh[84686]: 22-05 11:04:12| 13  22  58   8   1| 999M 1144M  203M 5270M| 751k   16k|   0    23M|   0   287 |3172  4521 |1.60 1.07 0.70|2.5   0 392|   0     0 |   0     0 |  8    6    0    8    2
May 22 11:04:13 ubuntu dstat.sh[84686]: 22-05 11:04:13| 27  19  52   0   0| 956M 1182M  203M 5274M|1489k   26k|   0  3158k|   0   157 |3315  5079 |1.60 1.07 0.70|4.0   0 360|   0     0 |   0     0 |  8    5    0    8    4
May 22 11:04:14 ubuntu dstat.sh[84686]: 22-05 11:04:14| 21  18  61   0   0| 938M 1200M  203M 5275M| 162k 8812 |   0   564k|   0  13.0 |3301  6530 |1.47 1.06 0.69|2.0   0 205|   0     0 |   0     0 |  8    6    0    8    2
May 22 11:04:15 ubuntu dstat.sh[84686]: 22-05 11:04:15| 18  11  68   0   0|1080M 1057M  203M 5397M| 171k 9678 |   0   531k|   0  8.99 |3998  7250 |1.47 1.06 0.69|1.0   0  75|   0     0 |   0     0 |  9    6    0    8    2
May 22 11:04:16 ubuntu dstat.sh[84686]: 22-05 11:04:16| 18   8  73   1   1|1087M 1050M  203M 5397M| 178k 8988 |   0   460k|   0  14.0 |1832  2289 |1.47 1.06 0.69|2.0   0 101|   0     0 |   0     0 |  9    8    0    7    2
May 22 11:04:17 ubuntu dstat.sh[84686]: 22-05 11:04:17| 18  11  69   1   0|1096M 1039M  204M 5398M| 597k   26k|   0  3700k|   0  35.0 |2500  3171 |1.47 1.06 0.69|3.0   0 186|   0     0 |   0     0 |  9    8    0    9    2
May 22 11:04:18 ubuntu dstat.sh[84686]: 22-05 11:04:18| 28   4  65   3   0|1072M 1062M  204M 5400M| 522k   13k| 196k 2208k|14.0  25.0 |1581  1565 |1.47 1.06 0.69|3.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
May 22 11:04:19 ubuntu dstat.sh[84686]: 22-05 11:04:19| 30   2  66   1   0|1094M 1038M  204M 5401M|  57k 6140 |   0  1344k|   0  16.0 |1190  1421 |1.43 1.06 0.70|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
May 22 11:04:20 ubuntu dstat.sh[84686]: 22-05 11:04:20| 13   3  68  15   0|1114M 1015M  204M 5403M|  80k   19k|  12k   10M|1.00   719 |4779  8756 |1.43 1.06 0.70|2.0   0  10|   0     0 |   0     0 |  9    8    0    9    2
