-- Logs begin at Thu 2023-06-15 15:20:37 UTC, end at Thu 2023-06-15 16:40:38 UTC. --
Jun 15 16:18:19 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 15 16:18:19 ubuntu dstat.sh[95827]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 15 16:18:19 ubuntu dstat.sh[95827]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 15 16:18:19 ubuntu dstat.sh[95827]: 15-06 16:18:19|                   | 936M 1255M  202M 5221M|           |           |           |           |1.16 0.70 0.59|1.0   0    |           |   0     0 |  8    6    0    8    2
Jun 15 16:18:20 ubuntu dstat.sh[95827]: 15-06 16:18:20| 15  19  64   1   0| 908M 1282M  202M 5222M|1272k 7984 |   0  5312k|   0  29.0 |2849  4143 |1.16 0.70 0.59|1.5   0 358|   0     0 |   0     0 |  8    5    0    8    2
Jun 15 16:18:21 ubuntu dstat.sh[95827]: 15-06 16:18:21| 11  21  66   1   0| 882M 1304M  202M 5226M| 993k 7102 |   0    15M|   0   126 |2862  3923 |1.15 0.71 0.59|2.0   0 341|   0     0 |   0     0 |  8    4    0    8    2
Jun 15 16:18:22 ubuntu dstat.sh[95827]: 15-06 16:18:22| 17  19  62   0   0| 863M 1323M  202M 5227M| 236k 7493 |   0   607k|   0  14.0 |3194  5037 |1.15 0.71 0.59|1.0   0 224|   0     0 |   0     0 |  8    4    0    8    2
Jun 15 16:18:23 ubuntu dstat.sh[95827]: 15-06 16:18:23| 21  14  62   0   0|1007M 1178M  202M 5349M| 121k 6617 |   0   500k|   0  9.00 |4577  7580 |1.15 0.71 0.59|  0   0 107|   0     0 |   0     0 |  9    4    0    7    2
Jun 15 16:18:24 ubuntu dstat.sh[95827]: 15-06 16:18:24| 15   8  77   1   0|1013M 1171M  202M 5349M| 183k 7816 |   0   548k|   0  14.0 |1683  2359 |1.15 0.71 0.59|1.0   0 102|   0     0 |   0     0 |  9    6    0    7    2
Jun 15 16:18:25 ubuntu dstat.sh[95827]: 15-06 16:18:25| 20  11  68   1   1|1019M 1165M  202M 5349M| 177k   19k|   0   676k|   0  28.0 |2209  3136 |1.15 0.71 0.59|1.0   0 189|   0     0 |   0     0 |  9    6    0    9    2
Jun 15 16:18:26 ubuntu dstat.sh[95827]: 15-06 16:18:26| 24   5  69   1   0|1077M 1105M  202M 5351M| 181k 7244 |  36k   11M|5.00  52.0 |1340  1285 |1.22 0.73 0.60|  0 1.0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 15 16:18:27 ubuntu dstat.sh[95827]: 15-06 16:18:27| 28   3  68   0   0|1079M 1103M  203M 5351M|  56k 5889 |8191B 1352k|1.00  16.0 |1247  1455 |1.22 0.73 0.60|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jun 15 16:18:28 ubuntu dstat.sh[95827]: 15-06 16:18:28| 12   4  66  18   0|1096M 1082M  203M 5354M|  93k   20k|   0  9094k|   0   684 |5301  9200 |1.22 0.73 0.60|  0 1.0  10|   0     0 |   0     0 |  9    8    0    9    2
Jun 15 16:18:29 ubuntu dstat.sh[95827]: 15-06 16:18:29|  9   2  67  20   0|1101M 1076M  203M 5356M|  49k   11k|   0  9066k|   0   778 |5637  9969 |1.22 0.73 0.60|3.0 1.0 3.0|   0     0 |   0     0 |  9    8    0    9    2
Jun 15 16:18:30 ubuntu dstat.sh[95827]: 15-06 16:18:30| 12   4  56  25   0|1102M 1073M  203M 5358M|  73k   10k|   0    19M|   0  1327 |7563    13k|1.22 0.73 0.60|3.0 2.0  15|   0     0 |   0     0 |  9    8    0    9    2
Jun 15 16:18:31 ubuntu dstat.sh[95827]: 15-06 16:18:31| 11   6  60  24   0|1103M 1070M  204M 5359M|  81k   11k|   0    18M|   0  1188 |6789    12k|1.28 0.75 0.60|1.0 1.0  18|   0     0 |   0     0 |  9    8    0    9    2
Jun 15 16:18:32 ubuntu dstat.sh[95827]: 15-06 16:18:32|  9   3  66  20   1|1104M 1067M  204M 5361M| 109k   13k|   0  7879k|   0   666 |5099  9137 |1.28 0.75 0.60|2.0 1.0  11|   0     0 |   0     0 |  9    8    0    9    2
Jun 15 16:18:33 ubuntu dstat.sh[95827]: 15-06 16:18:33| 14   3  61  19   0|1106M 1062M  204M 5363M| 676k   13k|   0    15M|   0  1043 |6002    11k|1.28 0.75 0.60|1.0   0  13|   0     0 |   0     0 |  9    8    0    9    2
Jun 15 16:18:34 ubuntu dstat.sh[95827]: 15-06 16:18:34| 25   6  67   2   0|1053M 1113M  205M 5365M| 922k 6606 |   0  7641k|   0   372 |2720  3824 |1.28 0.75 0.60|1.0   0  77|   0     0 |   0     0 |  9    6    0    9    2
Jun 15 16:18:35 ubuntu dstat.sh[95827]: 15-06 16:18:35| 29   3  66   1   0|1104M 1062M  205M 5365M| 639k   11k|   0  1060k|   0  10.0 |1210  1261 |1.28 0.75 0.60|1.0 1.0 3.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 15 16:18:36 ubuntu dstat.sh[95827]: 15-06 16:18:36| 28   3  66   2   0|1022M 1143M  205M 5366M|  87k 6283 |   0    36M|   0   335 |1961  2325 |1.26 0.75 0.61|1.0   0  12|   0     0 |   0     0 |  9    6    0    9    2
Jun 15 16:18:37 ubuntu dstat.sh[95827]: 15-06 16:18:37| 24   4  71   0   0|1071M 1094M  205M 5366M|  96k 6588 |   0   884k|   0  20.0 |1134  1189 |1.26 0.75 0.61|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jun 15 16:18:38 ubuntu dstat.sh[95827]: 15-06 16:18:38| 26   2  71   1   0|1104M 1061M  205M 5366M| 282k 6424 |   0   656k|   0  12.0 |1061  1154 |1.26 0.75 0.61|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 15 16:18:39 ubuntu dstat.sh[95827]: 15-06 16:18:39| 25  14  62   0   0|1020M 1142M  205M 5368M|  76k 3494 |   0   192k|   0  4.00 |2218  3152 |1.26 0.75 0.61|1.0   0 238|   0     0 |   0     0 |  9    6    0    9    2
