-- Logs begin at Thu 2023-06-01 16:05:28 UTC, end at Fri 2023-06-02 01:16:37 UTC. --
Jun 02 01:02:02 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 02 01:02:03 ubuntu dstat.sh[82454]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 02 01:02:03 ubuntu dstat.sh[82454]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 02 01:02:03 ubuntu dstat.sh[82454]: 02-06 01:02:03|                   | 822M 1549M  195M 5061M|           |           |           |           |0.77 0.66 0.46|2.0   0    |           |   0     0 |  8    4    0    7    0
Jun 02 01:02:04 ubuntu dstat.sh[82454]: 02-06 01:02:04| 10  18  70   0   0| 824M 1547M  195M 5061M| 610k   14k|   0   255k|   0  16.0 |3108  4336 |0.74 0.65 0.45|2.0   0 361|   0     0 |   0     0 |  8    4    0    7    0
Jun 02 01:02:05 ubuntu dstat.sh[82454]: 02-06 01:02:05| 11  19  69   0   0| 826M 1545M  195M 5062M| 178k 4923 |   0    28k|   0  11.5 |3012  4543 |0.71 0.64 0.45|1.0   0 335|   0     0 |   0     0 |  8    4    0    6    0
Jun 02 01:02:06 ubuntu dstat.sh[82454]: 02-06 01:02:06| 16  22  61   0   0| 811M 1558M  195M 5063M| 401k 6834 |   0    16k|   0  4.00 |3803  6270 |0.71 0.64 0.45|4.0   0 235|   0     0 |   0     0 |  8    4    0    6    0
Jun 02 01:02:07 ubuntu dstat.sh[82454]: 02-06 01:02:07| 20  12  68   0   0| 949M 1420M  195M 5185M| 728k   12k|   0     0 |   0     0 |3789  8927 |0.71 0.64 0.45|2.0   0  73|   0     0 |   0     0 |  9    4    0    6    0
Jun 02 01:02:08 ubuntu dstat.sh[82454]: 02-06 01:02:08|  7   6  86   0   1| 953M 1414M  195M 5186M|1161k   17k|   0     0 |   0     0 |2112  3619 |0.71 0.64 0.45|3.0   0  71|   0     0 |   0     0 |  9    6    0    6    0
Jun 02 01:02:09 ubuntu dstat.sh[82454]: 02-06 01:02:09| 19   9  71   0   0| 955M 1412M  195M 5187M| 666k   16k|   0   180k|   0  11.0 |2476  3022 |0.73 0.65 0.46|2.0   0 105|   0     0 |   0     0 |  9    6    0    6    0
Jun 02 01:02:10 ubuntu dstat.sh[82454]: 02-06 01:02:10| 18  10  72   1   0| 992M 1375M  195M 5187M| 445k   22k|  20k  208k|2.00  15.0 |2206  3003 |0.73 0.65 0.46|6.0   0 114|   0     0 |   0     0 |  9    6    0    8    0
Jun 02 01:02:11 ubuntu dstat.sh[82454]: 02-06 01:02:11| 27   8  63   1   0|1010M 1355M  196M 5189M| 550k   11k| 196k  797k|13.0  18.0 |2087  4649 |0.73 0.65 0.46|2.0   0  30|   0     0 |   0     0 |  9    6    0    9    0
Jun 02 01:02:12 ubuntu dstat.sh[82454]: 02-06 01:02:12| 23   2  73   1   0|1032M 1332M  196M 5189M| 434k   15k|  16k 1565k|2.00  64.0 |1890  2860 |0.73 0.65 0.46|5.0   0 1.0|   0     0 |   0     0 |  9    8    0    8    0
Jun 02 01:02:13 ubuntu dstat.sh[82454]: 02-06 01:02:13|  8   4  66  21   0|1040M 1320M  196M 5193M| 370k   13k|   0    11M|   0   855 |6366    11k|0.73 0.65 0.46|4.0   0 9.0|   0     0 |   0     0 |  9    8    0    8    0
Jun 02 01:02:14 ubuntu dstat.sh[82454]: 02-06 01:02:14|  7   4  62  26   1|1046M 1312M  197M 5194M| 271k   12k|   0    11M|   0   970 |6031  9898 |0.92 0.69 0.47|  0 1.0 6.0|   0     0 |   0     0 |  9    8    0    8    0
Jun 02 01:02:15 ubuntu dstat.sh[82454]: 02-06 01:02:15|  9   5  60  23   0|1047M 1309M  197M 5196M| 335k   12k|   0    15M|   0  1113 |7370    12k|0.92 0.69 0.47|3.0   0  18|   0     0 |   0     0 |  9    8    0    8    0
Jun 02 01:02:16 ubuntu dstat.sh[82454]: 02-06 01:02:16|  9   5  61  24   0|1048M 1306M  198M 5197M| 302k   11k|   0    16M|   0  1189 |7132    13k|0.92 0.69 0.47|4.0   0  20|   0     0 |   0     0 |  9    8    0    8    0
Jun 02 01:02:17 ubuntu dstat.sh[82454]: 02-06 01:02:17|  8   4  67  20   0|1049M 1303M  198M 5199M| 218k   12k|   0  8907k|   0   742 |5826    10k|0.92 0.69 0.47|4.0   0 4.0|   0     0 |   0     0 |  9    8    0    8    0
Jun 02 01:02:18 ubuntu dstat.sh[82454]: 02-06 01:02:18| 15   4  63  16   0|1050M 1301M  198M 5200M| 210k   12k|   0    14M|   0  1006 |6196    11k|0.92 0.69 0.47|2.0   0  12|   0     0 |   0     0 |  9    8    0    8    0
Jun 02 01:02:19 ubuntu dstat.sh[82454]: 02-06 01:02:19| 21   6  70   1   0| 999M 1351M  198M 5200M| 355k 6441 |   0  5753k|   0   350 |2643  4001 |0.92 0.69 0.47|2.0   0  76|   0     0 |   0     0 |  9    6    0    8    0
Jun 02 01:02:20 ubuntu dstat.sh[82454]: 02-06 01:02:20| 22   4  73   0   0|1042M 1308M  198M 5201M| 276k 6834 |   0   344k|   0  15.0 |1360  1555 |0.92 0.69 0.47|1.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Jun 02 01:02:21 ubuntu dstat.sh[82454]: 02-06 01:02:21| 26   2  72   1   0| 979M 1371M  198M 5201M| 293k 6385 |   0  3653k|   0   211 |1884  2491 |0.92 0.69 0.47|2.0   0  11|   0     0 |   0     0 |  9    6    0    8    0
Jun 02 01:02:22 ubuntu dstat.sh[82454]: 02-06 01:02:22| 23   5  72   0   0|1034M 1314M  198M 5201M| 532k 7957 |   0   132k|   0  10.0 |1399  1910 |0.92 0.69 0.47|2.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Jun 02 01:02:23 ubuntu dstat.sh[82454]: 02-06 01:02:23| 23   4  71   0   0| 958M 1390M  199M 5202M| 708k   13k|   0     0 |   0     0 |1836  1956 |0.92 0.69 0.47|1.0   0  73|   0     0 |   0     0 |  9    6    0    8    0
Jun 02 01:02:24 ubuntu dstat.sh[82454]: 02-06 01:02:24| 12  19  69   0   1| 958M 1390M  199M 5203M| 466k 8579 |   0    20k|   0  5.00 |3179  4900 |0.93 0.70 0.48|2.0   0 372|   0     0 |   0     0 |  9    6    0    8    0
Jun 02 01:02:25 ubuntu dstat.sh[82454]: 02-06 01:02:25| 17  18  64   0   0| 961M 1386M  199M 5203M| 436k 9922 |   0    12M|   0  36.0 |3836  5703 |0.93 0.70 0.48|1.0   0 261|   0     0 |   0     0 |  9    6    0    8    0
Jun 02 01:02:26 ubuntu dstat.sh[82454]: 02-06 01:02:26| 38  16  47   0   0|1046M 1300M  199M 5204M| 450k   11k| 324k    0 |4.00     0 |3985  8137 |0.93 0.70 0.48|2.0   0 185|   0     0 |   0     0 |  9    7    0    8    0
Jun 02 01:02:27 ubuntu dstat.sh[82454]: 02-06 01:02:27| 45   7  48   1   0|1122M 1223M  199M 5205M| 476k 9805 |  20k  184k|4.00  2.00 |1807  2188 |0.93 0.70 0.48|3.0   0   0|   0     0 |   0     0 |  9    7    0    8    0
Jun 02 01:02:28 ubuntu dstat.sh[82454]: 02-06 01:02:28| 49   3  48   0   0|1154M 1190M  199M 5206M| 413k   11k| 352k    0 |4.00     0 |1714  1706 |0.93 0.70 0.48|3.0   0   0|   0     0 |   0     0 |  9    7    0    8    0
Jun 02 01:02:29 ubuntu dstat.sh[82454]: 02-06 01:02:29| 42  11  46   0   0|1180M 1161M  199M 5209M| 810k   15k|   0     0 |   0     0 |3853  6641 |0.93 0.71 0.48|1.0   0  95|   0     0 |   0     0 |  9    6    0    9    0
Jun 02 01:02:30 ubuntu dstat.sh[82454]: 02-06 01:02:30| 24   6  69   1   1|1239M 1101M  199M 5210M| 757k   17k|   0  2798k|   0   156 |2726  3387 |0.93 0.71 0.48|1.0   0  46|   0     0 |   0     0 |  9    6    0    9    0
Jun 02 01:02:31 ubuntu dstat.sh[82454]: 02-06 01:02:31| 23   3  72   0   0|1265M 1074M  199M 5210M| 409k 6370 |   0     0 |   0     0 |1514  1729 |0.93 0.71 0.48|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    0
