-- Logs begin at Sun 2023-06-11 19:00:01 UTC, end at Mon 2023-06-12 06:44:15 UTC. --
Jun 12 06:06:09 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 12 06:06:09 ubuntu dstat.sh[94993]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 12 06:06:09 ubuntu dstat.sh[94993]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 12 06:06:09 ubuntu dstat.sh[94993]: 12-06 06:06:09|                   | 871M 1152M  221M 5368M|           |           |           |           |0.95 0.93 0.70|3.0   0    |           |   0     0 |  8    4    0    8    2
Jun 12 06:06:10 ubuntu dstat.sh[94993]: 12-06 06:06:10| 12  18  68   0   0| 872M 1150M  221M 5368M|  38k 5259 |   0   467k|   0  20.0 |2513  3807 |0.95 0.93 0.70|3.0   0 357|   0     0 |   0     0 |  8    4    0    8    2
Jun 12 06:06:11 ubuntu dstat.sh[94993]: 12-06 06:06:11| 13  18  68   1   0| 873M 1148M  221M 5368M|  72k 7526 |   0   605k|   0  19.0 |2476  3751 |0.95 0.93 0.70|2.0   0 345|   0     0 |   0     0 |  8    4    0    7    2
Jun 12 06:06:12 ubuntu dstat.sh[94993]: 12-06 06:06:12| 18  16  65   0   0| 856M 1165M  221M 5369M|  66k 5939 |   0   456k|   0  14.0 |3776  6567 |0.95 0.93 0.70|1.0   0 210|   0     0 |   0     0 |  8    4    0    7    2
Jun 12 06:06:13 ubuntu dstat.sh[94993]: 12-06 06:06:13| 25  17  57   0   0|1002M 1019M  221M 5491M|  42k 5473 |   0   312k|   0  5.99 |3852  9310 |0.95 0.93 0.70|1.0   0 104|   0     0 |   0     0 |  9    4    0    7    2
Jun 12 06:06:14 ubuntu dstat.sh[94993]: 12-06 06:06:14| 10   6  83   1   0|1008M 1012M  221M 5491M|  75k 6956 |   0   428k|   0  10.0 |1471  2074 |0.96 0.93 0.70|1.0   0  81|   0     0 |   0     0 |  9    6    0    7    2
Jun 12 06:06:15 ubuntu dstat.sh[94993]: 12-06 06:06:15| 22   7  70   1   0|1006M 1014M  222M 5491M| 105k 7373 |   0   452k|   0  17.0 |1562  2008 |0.96 0.93 0.70|1.0   0  88|   0     0 |   0     0 |  9    6    0    7    2
Jun 12 06:06:16 ubuntu dstat.sh[94993]: 12-06 06:06:16| 21   8  70   0   0|1042M  977M  222M 5492M| 584k   29k|   0   356k|   0  21.0 |2226  3020 |0.96 0.93 0.70|1.0   0 122|   0     0 |   0     0 |  9    6    0    9    2
Jun 12 06:06:17 ubuntu dstat.sh[94993]: 12-06 06:06:17| 21   4  65   9   0|1055M  962M  222M 5494M| 724k   21k|  44k   21M|6.00   485 |2539  2231 |0.96 0.93 0.70|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 12 06:06:18 ubuntu dstat.sh[94993]: 12-06 06:06:18| 33   4  62   1   1|1074M  941M  222M 5495M| 480k   18k|   0  1927k|   0  7.01 |1571  1544 |0.96 0.93 0.70|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jun 12 06:06:19 ubuntu dstat.sh[94993]: 12-06 06:06:19| 12   5  68  14   0|1093M  920M  222M 5497M| 555k   27k|   0  7060k|   0   575 |5019  8290 |1.04 0.95 0.71|4.0 1.0  12|   0     0 |   0     0 |  9    8    0    9    2
Jun 12 06:06:20 ubuntu dstat.sh[94993]: 12-06 06:06:20| 10   4  63  21   0|1093M  917M  223M 5500M|  59k   11k|   0    11M|   0   853 |5788    10k|1.04 0.95 0.71|1.0   0   0|   0     0 |   0     0 |  9    8    0    9    2
Jun 12 06:06:21 ubuntu dstat.sh[94993]: 12-06 06:06:21| 11   5  60  22   0|1098M  909M  223M 5502M|  99k   12k|   0    15M|   0  1051 |6617    12k|1.04 0.95 0.71|  0 1.0  18|   0     0 |   0     0 |  9    8    0    9    2
Jun 12 06:06:22 ubuntu dstat.sh[94993]: 12-06 06:06:22| 11   5  62  23   0|1100M  906M  223M 5503M| 286k   15k|   0    37M|   0  1162 |6337    12k|1.04 0.95 0.71|  0 1.0  19|   0     0 |   0     0 |  9    8    0    9    2
Jun 12 06:06:23 ubuntu dstat.sh[94993]: 12-06 06:06:23| 16   7  54  22   0|1102M  901M  224M 5506M|  88k   11k|   0    15M|   0   987 |6726    12k|1.04 0.95 0.71|  0 1.0  14|   0     0 |   0     0 |  9    8    0    9    2
Jun 12 06:06:24 ubuntu dstat.sh[94993]: 12-06 06:06:24| 16   6  53  24   1|1113M  881M  224M 5513M| 900k   29k|   0    15M|   0   951 |7169    11k|1.20 0.99 0.72|2.0   0  15|   0     0 |   0     0 |  9    8    0    9    2
Jun 12 06:06:25 ubuntu dstat.sh[94993]: 12-06 06:06:25| 26   9  64   3   0|1038M  956M  224M 5513M|  51k 6725 |   0  7608k|   0   457 |3080  4637 |1.20 0.99 0.72|1.0   0  78|   0     0 |   0     0 |  9    6    0    9    2
Jun 12 06:06:26 ubuntu dstat.sh[94993]: 12-06 06:06:26| 27   4  68   1   0|1087M  906M  224M 5514M| 448k   16k|   0   925k|   0  25.0 |1534  1563 |1.20 0.99 0.72|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 12 06:06:27 ubuntu dstat.sh[94993]: 12-06 06:06:27| 28   2  67   1   0|1101M  891M  224M 5515M| 589k   18k|   0  7529k|   0   250 |2286  2629 |1.20 0.99 0.72|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 12 06:06:28 ubuntu dstat.sh[94993]: 12-06 06:06:28| 25   4  71   1   0|1051M  940M  225M 5515M|  83k 6941 |   0   528k|   0  19.0 |1160  1277 |1.20 0.99 0.72|1.0   0  11|   0     0 |   0     0 |  9    6    0    9    2
Jun 12 06:06:29 ubuntu dstat.sh[94993]: 12-06 06:06:29| 27   3  69   1   0|1100M  891M  225M 5515M| 158k 8419 |   0   444k|   0  9.00 |1150  1334 |1.26 1.00 0.73|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 12 06:06:30 ubuntu dstat.sh[94993]: 12-06 06:06:30| 20  10  69   1   0|1014M  977M  225M 5515M|  26k 4723 |   0   332k|   0  9.00 |1994  3135 |1.26 1.00 0.73|2.0   0 238|   0     0 |   0     0 |  9    6    0    9    2
Jun 12 06:06:31 ubuntu dstat.sh[94993]: 12-06 06:06:31| 19  19  60   1   0|1017M  973M  225M 5516M| 190k 8177 |   0   496k|   0  15.0 |2754  4428 |1.26 1.00 0.73|2.0   0 376|   0     0 |   0     0 |  9    6    0    9    2
Jun 12 06:06:32 ubuntu dstat.sh[94993]: 12-06 06:06:32| 23  14  61   0   1|1021M  969M  225M 5517M| 145k 7140 |   0  4586k|   0  20.0 |3201  8238 |1.26 1.00 0.73|2.0   0 130|   0     0 |   0     0 |  9    6    0    9    2
Jun 12 06:06:33 ubuntu dstat.sh[94993]: 12-06 06:06:33| 54  12  32   0   0|1144M  845M  225M 5517M|  21k 4075 |   0   224k|   0  4.00 |2053  3050 |1.26 1.00 0.73|2.0   0 151|   0     0 |   0     0 |  9    7    0    9    2
Jun 12 06:06:34 ubuntu dstat.sh[94993]: 12-06 06:06:34| 53   3  43   0   0|1206M  782M  225M 5518M|  85k 6268 |   0   753k|   0  10.0 |1595  1779 |1.32 1.02 0.73|2.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
Jun 12 06:06:35 ubuntu dstat.sh[94993]: 12-06 06:06:35| 65   8  27   0   0|1250M  735M  225M 5521M|  40k 1940 |   0   334k|   0  22.9 |3068  6316 |1.32 1.02 0.73|5.0   0 7.0|   0     0 |   0     0 |  9    7    0    9    2
